House of Representatives - 2001 Election: New South Wales																																				
First Preference Votes and TCP																																				
By Candidate by Polling Place																																				

Kingsford Smith (86647)																																				
	BROWN			NOTLEY-SMITH			HURWITZ			CARMAN			# BRERETON			ZAKRZEWSKI			FORMAL			INFORMAL			TOTAL											
	Jill			Bruce			Arthur			Marina			Laurie			Peter												Two Candidate Preferred								
	HAN			LP			GRN						ALP			DEM												 NOTLEY-SMITH LP			# BRERETON ALP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Ansett	1	5.88		5	29.41		2	11.76		0	0.00		7	41.18		2	11.76		17	94.44		1	5.56		18	0.02		7	41.18		10	58.82				
Banksmeadow	91	7.17		339	26.69		53	4.17		5	0.39		749	58.98		33	2.60		1270	93.59		87	6.41		1357	1.67		425	33.46		845	66.54				
Botany	143	7.19		553	27.80		99	4.98		16	0.80		1112	55.91		66	3.32		1989	92.13		170	7.87		2159	2.65		708	35.60		1281	64.40				
Botany East	94	5.54		669	39.40		94	5.54		6	0.35		777	45.76		58	3.42		1698	93.86		111	6.14		1809	2.22		782	46.05		916	53.95				
Bunnerong	145	5.66		817	31.86		129	5.03		17	0.66		1344	52.42		112	4.37		2564	91.97		224	8.03		2788	3.43		980	38.22		1584	61.78				
Chifley	154	8.37		579	31.45		95	5.16		5	0.27		938	50.95		70	3.80		1841	95.59		85	4.41		1926	2.37		749	40.68		1092	59.32				
Clovelly Beach (Kingsford Smith)	17	2.78		211	34.53		105	17.18		8	1.31		223	36.50		47	7.69		611	95.77		27	4.23		638	0.78		255	41.73		356	58.27				
Clovelly North (Kingsford Smith)	12	2.78		181	42.00		51	11.83		7	1.62		138	32.02		42	9.74		431	94.93		23	5.07		454	0.56		214	49.65		217	50.35
Coogee	49	2.76		691	38.93		216	12.17		19	1.07		641	36.11		159	8.96		1775	95.58		82	4.42		1857	2.28		803	45.24		972	54.76
Coogee Beach	59	2.64		842	37.66		313	14.00		9	0.40		856	38.28		157	7.02		2236	95.64		102	4.36		2338	2.87		976	43.65		1260	56.35
Coogee Central	66	3.30		731	36.51		244	12.19		22	1.10		766	38.26		173	8.64		2002	95.33		98	4.67		2100	2.58		864	43.16		1138	56.84
Coogee South	96	4.35		1030	46.71		137	6.21		13	0.59		810	36.73		119	5.40		2205	93.16		162	6.84		2367	2.91		1167	52.93		1038	47.07
Daceyville	61	7.56		215	26.64		49	6.07		5	0.62		455	56.38		22	2.73		807	93.62		55	6.38		862	1.06		282	34.94		525	65.06
Daceyville South	46	5.75		250	31.25		38	4.75		1	0.13		424	53.00		41	5.13		800	94.67		45	5.33		845	1.04		301	37.63		499	62.37
Eastlakes	52	5.06		242	23.54		38	3.70		7	0.68		667	64.88		22	2.14		1028	92.86		79	7.14		1107	1.36		298	28.99		730	71.01
Eastlakes East	102	4.65		416	18.95		96	4.37		12	0.55		1503	68.47		66	3.01		2195	89.81		249	10.19		2444	3.00		532	24.24		1663	75.76
Express	0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	******		0	0.00		0	0.00
Hillsdale	142	5.12		663	23.93		128	4.62		25	0.90		1738	62.72		75	2.71		2771	92.74		217	7.26		2988	3.67		823	29.70		1948	70.30
International	4	4.94		20	24.69		8	9.88		1	1.23		43	53.09		5	6.17		81	96.43		3	3.57		84	0.10		25	30.86		56	69.14
Kensington	55	3.20		596	34.67		142	8.26		11	0.64		796	46.31		119	6.92		1719	94.09		108	5.91		1827	2.24		700	40.72		1019	59.28
Kensington Park	65	3.92		670	40.36		108	6.51		4	0.24		731	44.04		82	4.94		1660	93.79		110	6.21		1770	2.17		770	46.39		890	53.61
Kensington West	44	2.11		927	44.38		144	6.89		11	0.53		857	41.02		106	5.07		2089	94.01		133	5.99		2222	2.73		1043	49.93		1046	50.07
Kingsford	18	2.93		185	30.13		43	7.00		3	0.49		343	55.86		22	3.58		614	94.03		39	5.97		653	0.80		211	34.36		403	65.64
Kingsford South	80	4.69		541	31.73		100	5.87		9	0.53		907	53.20		68	3.99		1705	94.15		106	5.85		1811	2.23		648	38.01		1057	61.99
La Perouse	102	9.21		363	32.79		73	6.59		12	1.08		519	46.88		38	3.43		1107	94.78		61	5.22		1168	1.44		462	41.73		645	58.27
Malabar	146	7.27		726	36.17		136	6.78		6	0.30		919	45.79		74	3.69		2007	93.65		136	6.35		2143	2.63		888	44.25		1119	55.75
Maroubra	51	3.30		636	41.19		134	8.68		7	0.45		651	42.16		65	4.21		1544	93.18		113	6.82		1657	2.04		726	47.02		818	52.98
Maroubra Bay	50	3.24		542	35.10		215	13.92		9	0.58		650	42.10		78	5.05		1544	94.20		95	5.80		1639	2.01		644	41.71		900	58.29
Maroubra East	45	4.34		583	56.22		70	6.75		6	0.58		293	28.25		40	3.86		1037	95.75		46	4.25		1083	1.33		649	62.58		388	37.42
Maroubra Junction	185	4.46		1571	37.86		251	6.05		39	0.94		1890	45.55		213	5.13		4149	92.67		328	7.33		4477	5.50		1840	44.35		2309	55.65
