House of Representatives - 2001 Election: New South Wales																																								
First Preference Votes and TCP 																																								
By Candidate by Polling Place																																								

Lowe (83707)																																								
	# MURPHY			DOUST			GARRETT			WONG			KRUMINS			LANE			SOULOS			FORMAL			INFORMAL			TOTAL												
	John			David			Anna			Ernest			Harry			Max			Mersina												Two Candidate Preferred									
	ALP			LP			DEM			UNI			HAN						GRN												# MURPHY ALP			 DOUST LP						
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%					
Abbotsford	1457	41.23		1645	46.55		173	4.90		31	0.88		64	1.81		14	0.40		150	4.24		3534	94.87		191	5.13		3725	4.69		1736	49.12		1798	50.88					
Ashfield North (Lowe)	546	50.56		326	30.19		61	5.65		26	2.41		38	3.52		5	0.46		78	7.22		1080	94.74		60	5.26		1140	1.43		693	64.17		387	35.83					
Burwood	1778	50.18		1175	33.16		115	3.25		252	7.11		67	1.89		20	0.56		136	3.84		3543	92.75		277	7.25		3820	4.81		2216	62.55		1327	37.45					
Burwood East	1540	54.17		917	32.25		140	4.92		79	2.78		47	1.65		12	0.42		108	3.80		2843	93.49		198	6.51		3041	3.83		1816	63.88		1027	36.12					
Burwood North	187	51.80		130	36.01		8	2.22		17	4.71		12	3.32		1	0.28		6	1.66		361	97.04		11	2.96		372	0.47		218	60.39		143	39.61					
Burwood Park	445	51.68		284	32.98		30	3.48		49	5.69		24	2.79		1	0.12		28	3.25		861	94.62		49	5.38		910	1.15		537	62.37		324	37.63					
Canada Bay	339	48.85		283	40.78		30	4.32		8	1.15		11	1.59		0	0.00		23	3.31		694	93.66		47	6.34		741	0.93		390	56.20		304	43.80					
Chiswick	623	40.12		746	48.04		61	3.93		16	1.03		30	1.93		3	0.19		74	4.76		1553	94.70		87	5.30		1640	2.06		739	47.59		814	52.41
Concord	555	54.20		363	35.45		29	2.83		27	2.64		23	2.25		3	0.29		24	2.34		1024	94.64		58	5.36		1082	1.36		627	61.23		397	38.77
Concord Central	400	47.90		358	42.87		28	3.35		6	0.72		13	1.56		2	0.24		28	3.35		835	92.27		70	7.73		905	1.14		442	52.93		393	47.07
Concord East	1001	43.56		1028	44.73		79	3.44		58	2.52		30	1.31		10	0.44		92	4.00		2298	93.26		166	6.74		2464	3.10		1187	51.65		1111	48.35
Concord North	536	43.61		522	42.47		57	4.64		27	2.20		35	2.85		5	0.41		47	3.82		1229	95.35		60	4.65		1289	1.62		648	52.73		581	47.27
Concord Repatriation Hospital	71	50.00		60	42.25		7	4.93		0	0.00		2	1.41		0	0.00		2	1.41		142	97.26		4	2.74		146	0.18		77	54.23		65	45.77
Concord West	756	43.05		734	41.80		107	6.09		26	1.48		38	2.16		10	0.57		85	4.84		1756	95.12		90	4.88		1846	2.32		947	53.93		809	46.07
Croydon	444	52.98		290	34.61		48	5.73		14	1.67		8	0.95		2	0.24		32	3.82		838	95.99		35	4.01		873	1.10		515	61.46		323	38.54
Croydon Park	896	48.30		746	40.22		82	4.42		25	1.35		36	1.94		3	0.16		67	3.61		1855	92.84		143	7.16		1998	2.51		1043	56.23		812	43.77
Croydon South	427	51.57		293	35.39		39	4.71		13	1.57		19	2.29		2	0.24		35	4.23		828	92.31		69	7.69		897	1.13		498	60.14		330	39.86
Dobroyd Point	626	45.53		533	38.76		86	6.25		10	0.73		16	1.16		1	0.07		103	7.49		1375	92.53		111	7.47		1486	1.87		792	57.60		583	42.40
Drummoyne	891	41.40		994	46.19		115	5.34		15	0.70		26	1.21		4	0.19		107	4.97		2152	95.01		113	4.99		2265	2.85		1095	50.88		1057	49.12
Drummoyne East	342	30.51		656	58.52		62	5.53		4	0.36		10	0.89		2	0.18		45	4.01		1121	96.39		42	3.61		1163	1.46		421	37.56		700	62.44
Drummoyne North	877	34.37		1298	50.86		162	6.35		21	0.82		42	1.65		9	0.35		143	5.60		2552	95.98		107	4.02		2659	3.35		1142	44.75		1410	55.25
Enfield	997	53.83		625	33.75		57	3.08		56	3.02		40	2.16		7	0.38		70	3.78		1852	92.69		146	7.31		1998	2.51		1155	62.37		697	37.63
Enfield South	341	44.69		325	42.60		27	3.54		19	2.49		21	2.75		2	0.26		28	3.67		763	94.43		45	5.57		808	1.02		402	52.69		361	47.31
Five Dock	981	51.44		712	37.34		80	4.20		8	0.42		32	1.68		7	0.37		87	4.56		1907	92.62		152	7.38		2059	2.59		1118	58.63		789	41.37
Five Dock Central	1019	47.95		843	39.67		117	5.51		19	0.89		26	1.22		8	0.38		93	4.38		2125	94.65		120	5.35		2245	2.83		1203	56.61		922	43.39
Flemington	676	61.23		278	25.18		19	1.72		75	6.79		31	2.81		2	0.18		23	2.08		1104	92.62		88	7.38		1192	1.50		781	70.74		323	29.26
Haberfield	705	49.30		531	37.13		57	3.99		13	0.91		24	1.68		10	0.70		90	6.29		1430	92.02		124	7.98		1554	1.96		849	59.37		581	40.63
Haberfield West	483	49.24		382	38.94		48	4.89		7	0.71		13	1.33		2	0.20		46	4.69		981	92.55		79	7.45		1060	1.33		571	58.21		410	41.79
Homebush	1111	48.49		912	39.81		84	3.67		53	2.31		32	1.40		19	0.83		80	3.49		2291	92.79		178	7.21		2469	3.11		1301	56.79		990	43.21
Homebush North	251	55.16		142	31.21		21	4.62		15	3.30		11	2.42		0	0.00		15	3.30		455	94.40		27	5.60		482	0.61		295	64.84		160	35.16
Homebush South	202	33.78		345	57.69		17	2.84		4	0.67		11	1.84		1	0.17		18	3.01		598	96.14		24	3.86		622	0.78		235	39.30		363	60.70
Infants Home	316	54.77		188	32.58		16	2.77		21	3.64		14	2.43		1	0.17		21	3.64		577	93.97		37	6.03		614	0.77		369	63.95		208	36.05
Malvern Hill	698	45.09		637	41.15		80	5.17		24	1.55		37	2.39		3	0.19		69	4.46		1548	93.08		115	6.92		1663	2.09		841	54.33		707	45.67
Mortlake	922	42.94		980	45.65		66	3.07		12	0.56		61	2.84		3	0.14		103	4.80		2147	94.33		129	5.67		2276	2.86		1078	50.21		1069	49.79
Rhodes	117	39.26		134	44.97		15	5.03		4	1.34		11	3.69		0	0.00		17	5.70		298	98.03		6	1.97		304	0.38		142	47.65		156	52.35
