House of Representatives - 2001 Election: New South Wales																																											
First Preference Votes and TCP 																																											
By Candidate by Polling Place																																											

Macarthur (80127)																																											
	WATKINS			OATES			SANDERS			# FARMER			LANTRY			KNOWLES			SHEPPARD			HUNT			FORMAL			INFORMAL			TOTAL												
	Len			Meg			Eric			Pat			Jasmine			Gregory John			Elwyn			Geraldine												Two Candidate Preferred									
	HAN			ALP			NCP			LP			DEM			IND			CTA			GRN												 OATES ALP			# FARMER LP						
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%					
Airds	51	5.37		565	59.47		7	0.74		263	27.68		15	1.58		8	0.84		14	1.47		27	2.84		950	91.17		92	8.83		1042	1.37		646	68.00		304	32.00					
Airds North	19	2.93		460	70.88		2	0.31		124	19.11		9	1.39		9	1.39		8	1.23		18	2.77		649	91.02		64	8.98		713	0.94		500	77.04		149	22.96					
Ambarvale	200	5.57		1382	38.52		9	0.25		1729	48.19		83	2.31		25	0.70		57	1.59		103	2.87		3588	93.53		248	6.47		3836	5.04		1608	44.82		1980	55.18					
Ambarvale West	99	4.88		866	42.72		10	0.49		902	44.50		31	1.53		21	1.04		25	1.23		73	3.60		2027	93.97		130	6.03		2157	2.84		1022	50.42		1005	49.58					
Austral (Macarthur)	11	6.29		52	29.71		2	1.14		93	53.14		2	1.14		3	1.71		9	5.14		3	1.71		175	92.59		14	7.41		189	0.25		65	37.14		110	62.86					
Badgerys Creek	20	9.09		78	35.45		1	0.45		94	42.73		4	1.82		8	3.64		7	3.18		8	3.64		220	90.53		23	9.47		243	0.32		102	46.36		118	53.64					
Blairmount	31	3.65		416	48.94		1	0.12		353	41.53		16	1.88		4	0.47		17	2.00		12	1.41		850	91.40		80	8.60		930	1.22		463	54.47		387	45.53					
Bradbury	212	5.45		1349	34.68		19	0.49		1929	49.59		119	3.06		81	2.08		73	1.88		108	2.78		3890	94.10		244	5.90		4134	5.43		1639	42.13		2251	57.87
Bradbury South	94	5.55		758	44.72		4	0.24		723	42.65		33	1.95		17	1.00		18	1.06		48	2.83		1695	94.22		104	5.78		1799	2.36		882	52.04		813	47.96
Bringelly	84	7.14		281	23.89		0	0.00		738	62.76		22	1.87		14	1.19		8	0.68		29	2.47		1176	90.53		123	9.47		1299	1.71		363	30.87		813	69.13
Camden	51	3.20		337	21.12		1	0.06		1088	68.17		41	2.57		10	0.63		20	1.25		48	3.01		1596	95.91		68	4.09		1664	2.19		425	26.63		1171	73.37
Camden Downs	38	3.71		277	27.02		0	0.00		618	60.29		26	2.54		3	0.29		20	1.95		43	4.20		1025	95.79		45	4.21		1070	1.41		347	33.85		678	66.15
Camden East	61	3.93		415	26.72		5	0.32		915	58.92		44	2.83		5	0.32		41	2.64		67	4.31		1553	95.28		77	4.72		1630	2.14		547	35.22		1006	64.78
Camden Hospital	11	6.01		51	27.87		0	0.00		109	59.56		5	2.73		0	0.00		0	0.00		7	3.83		183	95.81		8	4.19		191	0.25		63	34.43		120	65.57
Camden South	98	3.99		623	25.34		4	0.16		1510	61.41		73	2.97		23	0.94		49	1.99		79	3.21		2459	95.94		104	4.06		2563	3.37		779	31.68		1680	68.32
Campbelltown	91	4.48		900	44.29		5	0.25		854	42.03		44	2.17		20	0.98		38	1.87		80	3.94		2032	93.51		141	6.49		2173	2.86		1058	52.07		974	47.93
Campbelltown East	177	7.67		917	39.75		6	0.26		1025	44.43		48	2.08		15	0.65		20	0.87		99	4.29		2307	92.10		198	7.90		2505	3.29		1103	47.81		1204	52.19
Campbelltown North	49	5.98		329	40.17		3	0.37		385	47.01		12	1.47		4	0.49		8	0.98		29	3.54		819	94.90		44	5.10		863	1.13		393	47.99		426	52.01
Carrington Hospital	12	2.39		103	20.48		0	0.00		370	73.56		4	0.80		1	0.20		3	0.60		10	1.99		503	97.67		12	2.33		515	0.68		116	23.06		387	76.94
Catherine Field	40	5.10		195	24.84		1	0.13		509	64.84		10	1.27		4	0.51		6	0.76		20	2.55		785	92.35		65	7.65		850	1.12		240	30.57		545	69.43
Cawdor (Macarthur)	1	0.88		26	22.81		0	0.00		78	68.42		2	1.75		1	0.88		2	1.75		4	3.51		114	96.61		4	3.39		118	0.16		29	25.44		85	74.56
Claymore	40	4.10		631	64.65		5	0.51		258	26.43		17	1.74		3	0.31		5	0.51		17	1.74		976	89.21		118	10.79		1094	1.44		688	70.49		288	29.51
Cobbitty (Macarthur)	22	3.59		94	15.36		2	0.33		451	73.69		11	1.80		1	0.16		13	2.12		18	2.94		612	97.76		14	2.24		626	0.82		127	20.75		485	79.25
Currans Hill	90	4.84		668	35.95		7	0.38		963	51.83		37	1.99		23	1.24		20	1.08		50	2.69		1858	94.99		98	5.01		1956	2.57		789	42.47		1069	57.53
Eagle Vale	69	3.80		865	47.66		9	0.50		768	42.31		24	1.32		19	1.05		30	1.65		31	1.71		1815	94.04		115	5.96		1930	2.54		973	53.61		842	46.39
Eschol Park	98	4.16		933	39.58		7	0.30		1185	50.28		54	2.29		17	0.72		21	0.89		42	1.78		2357	94.09		148	5.91		2505	3.29		1069	45.35		1288	54.65
Harrington Park	22	1.83		294	24.46		1	0.08		819	68.14		19	1.58		13	1.08		4	0.33		30	2.50		1202	94.35		72	5.65		1274	1.67		351	29.20		851	70.80
Kentlyn	52	6.36		192	23.50		0	0.00		517	63.28		18	2.20		4	0.49		11	1.35		23	2.82		817	93.59		56	6.41		873	1.15		240	29.38		577	70.62
Leppington	53	5.01		322	30.46		3	0.28		606	57.33		16	1.51		7	0.66		8	0.76		42	3.97		1057	90.89		106	9.11		1163	1.53		400	37.84		657	62.16
Leumeah (Macarthur)	141	8.24		757	44.24		7	0.41		654	38.22		30	1.75		31	1.81		25	1.46		66	3.86		1711	92.39		141	7.61		1852	2.43		921	53.83		790	46.17
Leumeah North (Macarthur)	38	5.97		233	36.64		1	0.16		319	50.16		13	2.04		1	0.16		20	3.14		11	1.73		636	94.36		38	5.64		674	0.89		282	44.34		354	55.66
Luddenham	24	7.08		60	17.70		0	0.00		233	68.73		5	1.47		5	1.47		5	1.47		7	2.06		339	91.13		33	8.87		372	0.49		77	22.71		262	77.29
Menangle (Macarthur)	12	4.84		59	23.79		0	0.00		170	68.55		2	0.81		1	0.40		0	0.00		4	1.61		248	96.88		8	3.13		256	0.34		67	27.02		181	72.98
Mount Annan	107	3.99		798	29.74		6	0.22		1549	57.73		59	2.20		36	1.34		40	1.49		88	3.28		2683	95.31		132	4.69		2815	3.70		993	37.01		1690	62.99
Narellan	90	4.19		642	29.89		3	0.14		1255	58.43		39	1.82		24	1.12		23	1.07		72	3.35		2148	95.17		109	4.83		2257	2.97		775	36.08		1373	63.92
Narellan Vale	192	5.29		1106	30.46		5	0.14		2113	58.19		71	1.96		29	0.80		32	0.88		83	2.29		3631	94.93		194	5.07		3825	5.03		1311	36.11		2320	63.89
Robert Townson (Macarthur)	25	5.98		166	39.71		1	0.24		189	45.22		11	2.63		4	0.96		12	2.87		10	2.39		418	93.10		31	6.90		449	0.59		200	47.85		218	52.15
