House of Representatives - 2001 Election: New South Wales																																				
First Preference Votes and TCP																																				
By Candidate by Polling Place																																				

New England (84941)																																				
	REINER			MCCARTHY			# WINDSOR			BOUNDS			REARDON			ST. CLAIR			FORMAL			INFORMAL			TOTAL											
	Michelle			Annette			Tony			Kayleen			Chris			Stuart												Two Candidate Preferred								
	GRN			CLR			IND			HAN			DEM			NP												# WINDSOR IND			 ST. CLAIR NP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Arding	15	5.68		44	16.67		95	35.98		5	1.89		4	1.52		101	38.26		264	99.25		2	0.75		266	0.33		156	59.09		108	40.91				
Armidale	175	6.74		417	16.06		968	37.29		46	1.77		71	2.73		919	35.40		2596	97.96		54	2.04		2650	3.25		1589	61.21		1007	38.79				
Armidale East	51	4.12		279	22.52		432	34.87		20	1.61		21	1.69		436	35.19		1239	97.79		28	2.21		1267	1.55		740	59.73		499	40.27				
Armidale Hospital	53	6.24		157	18.49		352	41.46		9	1.06		16	1.88		262	30.86		849	97.59		21	2.41		870	1.07		561	66.08		288	33.92				
Armidale South	55	5.10		159	14.75		406	37.66		13	1.21		37	3.43		408	37.85		1078	98.81		13	1.19		1091	1.34		637	59.09		441	40.91				
Armidale University	24	5.30		67	14.79		158	34.88		8	1.77		48	10.60		148	32.67		453	99.12		4	0.88		457	0.56		277	61.15		176	38.85				
Armidale West	97	4.25		366	16.05		898	39.39		43	1.89		53	2.32		823	36.10		2280	97.06		69	2.94		2349	2.88		1381	60.57		899	39.43				
Ashford	9	1.95		47	10.17		219	47.40		32	6.93		1	0.22		154	33.33		462	97.67		11	2.33		473	0.58		287	62.12		175	37.88
Attunga	7	1.52		36	7.83		233	50.65		18	3.91		2	0.43		164	35.65		460	98.29		8	1.71		468	0.57		291	63.26		169	36.74
Barraba	16	1.34		165	13.84		526	44.13		28	2.35		4	0.34		453	38.00		1192	98.11		23	1.89		1215	1.49		710	59.56		482	40.44
Bendemeer	6	1.92		21	6.73		159	50.96		13	4.17		0	0.00		113	36.22		312	98.42		5	1.58		317	0.39		192	61.54		120	38.46
Ben Lomond	0	0.00		4	3.51		27	23.68		2	1.75		1	0.88		80	70.18		114	100.00		0	0.00		114	0.14		33	28.95		81	71.05
Ben Venue	110	4.42		320	12.86		986	39.61		44	1.77		66	2.65		963	38.69		2489	97.61		61	2.39		2550	3.13		1452	58.34		1037	41.66
Bingara	14	1.23		148	12.98		447	39.21		52	4.56		5	0.44		474	41.58		1140	97.02		35	2.98		1175	1.44		633	55.53		507	44.47
Black Mountain	2	1.39		9	6.25		60	41.67		8	5.56		3	2.08		62	43.06		144	99.31		1	0.69		145	0.18		79	54.86		65	45.14
Bonshaw	0	0.00		9	10.71		13	15.48		7	8.33		0	0.00		55	65.48		84	96.55		3	3.45		87	0.11		28	33.33		56	66.67
Bundarra	7	1.79		33	8.46		143	36.67		12	3.08		3	0.77		192	49.23		390	96.77		13	3.23		403	0.49		192	49.23		198	50.77
Calala	6	0.53		41	3.61		593	52.20		16	1.41		5	0.44		475	41.81		1136	99.30		8	0.70		1144	1.40		647	56.95		489	43.05
