House of Representatives - 2001 Election: New South Wales																																													
First Preference Votes and TCP 																																													
By Candidate by Polling Place																																													

Newcastle (89198)																																													
	WILLIAMS			WILLIAMS			CRITICOS			# GRIERSON			SUTTON			KILLION-DELCASTILLO			BATTERSBY			KAVANAGH			LAWN			FORMAL			INFORMAL			TOTAL											
	Harry			David M			Harry			Sharon			John			Erin			Elaine			Mary			Barrie												Two Candidate Preferred								
	PLP			LP			IND			ALP			GRN						CTA			DEM			HAN												 WILLIAMS LP			# GRIERSON ALP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Adamstown	97	4.71		638	31.00		44	2.14		845	41.06		153	7.43		19	0.92		32	1.55		127	6.17		103	5.00		2058	95.68		93	4.32		2151	2.56		928	45.09		1130	54.91				
Adamstown Heights	74	2.98		1075	43.28		70	2.82		794	31.96		133	5.35		9	0.36		56	2.25		158	6.36		115	4.63		2484	95.83		108	4.17		2592	3.08		1398	56.28		1086	43.72				
Adamstown North	62	5.61		269	24.32		21	1.90		524	47.38		92	8.32		5	0.45		13	1.18		52	4.70		68	6.15		1106	94.85		60	5.15		1166	1.39		404	36.53		702	63.47				
Adamstown West	8	2.89		93	33.57		1	0.36		110	39.71		26	9.39		0	0.00		4	1.44		22	7.94		13	4.69		277	95.85		12	4.15		289	0.34		127	45.85		150	54.15				
Beaumont Park	59	7.57		161	20.67		18	2.31		439	56.35		38	4.88		2	0.26		8	1.03		22	2.82		32	4.11		779	90.90		78	9.10		857	1.02		240	30.81		539	69.19				
Birmingham Gardens	41	4.86		253	30.01		21	2.49		356	42.23		44	5.22		1	0.12		20	2.37		36	4.27		71	8.42		843	95.47		40	4.53		883	1.05		359	42.59		484	57.41				
Birmingham Gardens North	32	3.44		249	26.80		16	1.72		441	47.47		39	4.20		6	0.65		9	0.97		10	1.08		127	13.67		929	94.99		49	5.01		978	1.16		332	35.74		597	64.26				
Carrington	51	5.62		131	14.43		15	1.65		540	59.47		71	7.82		3	0.33		14	1.54		39	4.30		44	4.85		908	95.48		43	4.52		951	1.13		226	24.89		682	75.11
Cooks Hill	22	3.06		209	29.11		17	2.37		242	33.70		119	16.57		4	0.56		16	2.23		73	10.17		16	2.23		718	96.12		29	3.88		747	0.89		291	40.53		427	59.47
Cooks Hill South	86	4.39		714	36.47		29	1.48		633	32.33		226	11.54		13	0.66		17	0.87		178	9.09		62	3.17		1958	96.03		81	3.97		2039	2.42		939	47.96		1019	52.04
