House of Representatives - 2001 Election: New South Wales																																										
First Preference Votes and TCP																																										
By Candidate by Polling Place																																										

Parramatta (87286)																																										
	BORGER			TONGSUMRITH			# CAMERON			JONSSON			CLARK			WATSON			GEORGE			SATCHWELL			FORMAL			INFORMAL			TOTAL											
	David			Somchai			Ross			Dee			Anthony			Will			Felicity			John M												Two Candidate Preferred								
	ALP			UNI			LP			CTA			DEM			NCP			GRN			HAN												 BORGER ALP			# CAMERON LP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Ballandella Road	471	41.24		8	0.70		523	45.80		28	2.45		41	3.59		3	0.26		20	1.75		48	4.20		1142	94.93		61	5.07		1203	1.47		548	47.99		594	52.01				
Carlingford (Parramatta)	250	36.93		34	5.02		334	49.34		7	1.03		23	3.40		1	0.15		18	2.66		10	1.48		677	94.69		38	5.31		715	0.87		312	46.09		365	53.91				
Carlingford North	554	28.56		68	3.51		1135	58.51		39	2.01		57	2.94		1	0.05		50	2.58		36	1.86		1940	95.99		81	4.01		2021	2.46		717	36.96		1223	63.04				
Cumberland High	907	33.36		72	2.65		1464	53.84		31	1.14		98	3.60		5	0.18		74	2.72		68	2.50		2719	95.47		129	4.53		2848	3.47		1133	41.67		1586	58.33				
Darcy Road	786	46.84		27	1.61		689	41.06		24	1.43		52	3.10		3	0.18		45	2.68		52	3.10		1678	90.36		179	9.64		1857	2.26		920	54.83		758	45.17				
Dundas	1013	39.11		69	2.66		1158	44.71		61	2.36		142	5.48		4	0.15		74	2.86		69	2.66		2590	94.46		152	5.54		2742	3.34		1264	48.80		1326	51.20				
Dundas Valley	316	41.52		3	0.39		345	45.34		16	2.10		33	4.34		0	0.00		24	3.15		24	3.15		761	94.07		48	5.93		809	0.99		378	49.67		383	50.33				
Ermington	260	40.63		2	0.31		304	47.50		4	0.63		17	2.66		2	0.31		17	2.66		34	5.31		640	93.02		48	6.98		688	0.84		297	46.41		343	53.59
Ermington Central	578	46.09		15	1.20		543	43.30		11	0.88		19	1.52		5	0.40		37	2.95		46	3.67		1254	92.21		106	7.79		1360	1.66		660	52.63		594	47.37
Ermington West	1051	45.38		10	0.43		1022	44.13		38	1.64		67	2.89		6	0.26		41	1.77		81	3.50		2316	92.79		180	7.21		2496	3.04		1153	49.78		1163	50.22
Girraween	990	48.32		20	0.98		824	40.21		40	1.95		49	2.39		0	0.00		71	3.47		55	2.68		2049	91.92		180	8.08		2229	2.72		1128	55.05		921	44.95
Granville North (Parramatta)	184	63.01		7	2.40		76	26.03		4	1.37		7	2.40		0	0.00		6	2.05		8	2.74		292	91.25		28	8.75		320	0.39		204	69.86		88	30.14
Lake Parramatta	506	39.50		12	0.94		626	48.87		20	1.56		39	3.04		3	0.23		53	4.14		22	1.72		1281	93.44		90	6.56		1371	1.67		603	47.07		678	52.93
Macarthur High	806	47.41		43	2.53		687	40.41		21	1.24		57	3.35		2	0.12		48	2.82		36	2.12		1700	92.59		136	7.41		1836	2.24		929	54.65		771	45.35
Noller Park	222	48.05		7	1.52		202	43.72		4	0.87		17	3.68		0	0.00		5	1.08		5	1.08		462	90.59		48	9.41		510	0.62		251	54.33		211	45.67
Northmead	1078	34.46		12	0.38		1651	52.78		74	2.37		97	3.10		3	0.10		100	3.20		113	3.61		3128	94.64		177	5.36		3305	4.03		1284	41.05		1844	58.95
North Rocks (Parramatta)	254	27.43		25	2.70		544	58.75		19	2.05		26	2.81		1	0.11		37	4.00		20	2.16		926	95.96		39	4.04		965	1.18		320	34.56		606	65.44
Oatlands	598	23.61		44	1.74		1614	63.72		24	0.95		99	3.91		1	0.04		80	3.16		73	2.88		2533	95.33		124	4.67		2657	3.24		792	31.27		1741	68.73
Old Toongabbie	1834	42.96		52	1.22		1911	44.76		77	1.80		134	3.14		5	0.12		118	2.76		138	3.23		4269	94.09		268	5.91		4537	5.53		2107	49.36		2162	50.64
Parramatta	1097	54.90		92	4.60		590	29.53		14	0.70		79	3.95		3	0.15		88	4.40		35	1.75		1998	93.63		136	6.37		2134	2.60		1344	67.27		654	32.73
Parramatta East	471	43.85		9	0.84		494	46.00		15	1.40		28	2.61		1	0.09		38	3.54		18	1.68		1074	94.21		66	5.79		1140	1.39		540	50.28		534	49.72
Parramatta High	267	44.80		12	2.01		253	42.45		3	0.50		25	4.19		2	0.34		21	3.52		13	2.18		596	92.40		49	7.60		645	0.79		308	51.68		288	48.32
Parramatta North	764	45.58		11	0.66		708	42.24		16	0.95		65	3.88		8	0.48		70	4.18		34	2.03		1676	92.60		134	7.40		1810	2.21		897	53.52		779	46.48
Pendle Hill	1136	48.36		15	0.64		906	38.57		42	1.79		79	3.36		11	0.47		71	3.02		89	3.79		2349	91.61		215	8.39		2564	3.12		1303	55.47		1046	44.53
Pendle Hill Central	161	50.00		2	0.62		131	40.68		3	0.93		9	2.80		3	0.93		4	1.24		9	2.80		322	92.53		26	7.47		348	0.42		176	54.66		146	45.34
Pendle Hill North	333	40.86		2	0.25		374	45.89		25	3.07		21	2.58		1	0.12		30	3.68		29	3.56		815	96.00		34	4.00		849	1.03		394	48.34		421	51.66
Pitt Row	468	49.16		9	0.95		403	42.33		7	0.74		19	2.00		0	0.00		21	2.21		25	2.63		952	91.28		91	8.72		1043	1.27		514	53.99		438	46.01
Rosehill	719	51.25		30	2.14		521	37.13		14	1.00		31	2.21		4	0.29		45	3.21		39	2.78		1403	92.42		115	7.58		1518	1.85		830	59.16		573	40.84
Rowland Hassall	503	51.96		17	1.76		364	37.60		16	1.65		29	3.00		1	0.10		19	1.96		19	1.96		968	89.96		108	10.04		1076	1.31		569	58.78		399	41.22
Rydalmere	610	45.05		17	1.26		597	44.09		11	0.81		33	2.44		2	0.15		41	3.03		43	3.18		1354	93.83		89	6.17		1443	1.76		693	51.18		661	48.82
Sydney (Parramatta)	53	39.26		6	4.44		53	39.26		3	2.22		10	7.41		0	0.00		6	4.44		4	2.96		135	93.10		10	6.90		145	0.18		72	53.33		63	46.67
Telopea	952	41.52		48	2.09		1036	45.18		38	1.66		68	2.97		5	0.22		78	3.40		68	2.97		2293	91.57		211	8.43		2504	3.05		1136	49.54		1157	50.46
Toongabbie East	446	53.22		9	1.07		329	39.26		8	0.95		11	1.31		2	0.24		15	1.79		18	2.15		838	93.01		63	6.99		901	1.10		481	57.40		357	42.60
Wentworthville	1133	53.09		23	1.08		810	37.96		21	0.98		61	2.86		0	0.00		43	2.01		43	2.01		2134	92.02		185	7.98		2319	2.83		1253	58.72		881	41.28
Wentworthville Central	339	53.64		12	1.90		231	36.55		6	0.95		14	2.22		1	0.16		14	2.22		15	2.37		632	91.20		61	8.80		693	0.84		382	60.44		250	39.56
Westmead	1345	52.54		38	1.48		903	35.27		30	1.17		83	3.24		7	0.27		108	4.22		46	1.80		2560	93.60		175	6.40		2735	3.33		1554	60.70		1006	39.30
Westmead Hospital	124	43.97		3	1.06		129	45.74		4	1.42		15	5.32		0	0.00		4	1.42		3	1.06		282	94.00		18	6.00		300	0.37		148	52.48		134	47.52
Westmead North	291	43.76		15	2.26		272	40.90		14	2.11		31	4.66		1	0.15		37	5.56		4	0.60		665	93.79		44	6.21		709	0.86		361	54.29		304	45.71
