House of Representatives - 2001 Election: New South Wales																																											
First Preference Votes and TCP 																																											
By Candidate by Polling Place																																											

Paterson (82782)																																											
	HORNE			SHAW			DAVIES			RANKE			HENNELLY			# BALDWIN			KING			CARY			FORMAL			INFORMAL			TOTAL												
	Bob			Ian			Sharon			Aina			Paul			Bob			Tony			Paul												Two Candidate Preferred									
	ALP			NP			DEM			GRN			FPY			LP			CEC			HAN												 HORNE ALP			# BALDWIN LP						
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%					
Anna Bay	986	45.35		114	5.24		55	2.53		95	4.37		22	1.01		811	37.30		7	0.32		84	3.86		2174	95.10		112	4.90		2286	2.86		1169	53.77		1005	46.23					
Bandon Grove	38	30.89		15	12.20		3	2.44		0	0.00		2	1.63		52	42.28		0	0.00		13	10.57		123	100.00		0	0.00		123	0.15		41	33.33		82	66.67					
Barrington	65	19.40		114	34.03		6	1.79		17	5.07		3	0.90		118	35.22		4	1.19		8	2.39		335	97.67		8	2.33		343	0.43		95	28.36		240	71.64					
Beresfield	1247	57.41		36	1.66		73	3.36		55	2.53		28	1.29		612	28.18		11	0.51		110	5.06		2172	95.05		113	4.95		2285	2.86		1438	66.21		734	33.79					
Bobs Farm	89	32.36		32	11.64		6	2.18		9	3.27		1	0.36		116	42.18		1	0.36		21	7.64		275	95.49		13	4.51		288	0.36		110	40.00		165	60.00					
Booral	135	33.17		54	13.27		4	0.98		7	1.72		0	0.00		155	38.08		16	3.93		36	8.85		407	95.99		17	4.01		424	0.53		171	42.01		236	57.99					
Bulahdelah	315	32.37		89	9.15		12	1.23		18	1.85		13	1.34		426	43.78		2	0.21		98	10.07		973	95.11		50	4.89		1023	1.28		405	41.62		568	58.38					
Bungwahl	107	41.47		15	5.81		10	3.88		13	5.04		2	0.78		90	34.88		1	0.39		20	7.75		258	97.73		6	2.27		264	0.33		128	49.61		130	50.39
Bunyah	6	13.64		2	4.55		2	4.55		2	4.55		0	0.00		27	61.36		0	0.00		5	11.36		44	100.00		0	0.00		44	0.05		12	27.27		32	72.73
Clarence Town	411	44.77		45	4.90		32	3.49		32	3.49		10	1.09		306	33.33		4	0.44		78	8.50		918	96.63		32	3.37		950	1.19		519	56.54		399	43.46
Coolongolook	56	33.53		15	8.98		1	0.60		6	3.59		0	0.00		68	40.72		0	0.00		21	12.57		167	95.43		8	4.57		175	0.22		70	41.92		97	58.08
Coomba Park	121	37.23		17	5.23		13	4.00		5	1.54		3	0.92		143	44.00		0	0.00		23	7.08		325	94.48		19	5.52		344	0.43		144	44.31		181	55.69
Corlette	465	29.66		76	4.85		35	2.23		35	2.23		5	0.32		894	57.02		3	0.19		55	3.51		1568	96.85		51	3.15		1619	2.02		556	35.46		1012	64.54
Dungog	656	37.90		117	6.76		42	2.43		67	3.87		17	0.98		737	42.58		12	0.69		83	4.79		1731	97.08		52	2.92		1783	2.23		816	47.14		915	52.86
Failford	73	30.80		25	10.55		2	0.84		0	0.00		0	0.00		121	51.05		0	0.00		16	6.75		237	95.56		11	4.44		248	0.31		83	35.02		154	64.98
