House of Representatives - 2001 Election: New South Wales																																										
First Preference Votes and TCP																																										
By Candidate by Polling Place																																										

Prospect (86641)																																										
	FILIPCZYK			HUTCHINSON			OATES			HAROON			PERKINS			PEACOCK			TAI			# CROSIO			FORMAL			INFORMAL			TOTAL											
	Rebecca			John Robert			Garry A			Lewis			Gareth			Thomas			Kek			Janice												Two Candidate Preferred								
	GRN			HAN			AFI			CTA			LP			DEM			UNI			ALP												 PERKINS LP			# CROSIO ALP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Abbotsbury	55	3.81		35	2.42		20	1.38		19	1.31		607	42.01		40	2.77		11	0.76		658	45.54		1445	92.45		118	7.55		1563	1.89		706	48.86		739	51.14				
Banks Drive	180	4.77		254	6.73		89	2.36		72	1.91		1256	33.28		102	2.70		9	0.24		1812	48.01		3774	93.83		248	6.17		4022	4.87		1680	44.52		2094	55.48				
Blackwell	80	3.29		185	7.61		70	2.88		43	1.77		837	34.42		71	2.92		9	0.37		1137	46.75		2432	94.85		132	5.15		2564	3.11		1107	45.52		1325	54.48				
Bossley Park	115	3.81		91	3.02		31	1.03		137	4.54		757	25.09		62	2.06		38	1.26		1786	59.20		3017	89.63		349	10.37		3366	4.08		1022	33.87		1995	66.13				
Bossley Park High	87	4.87		51	2.86		33	1.85		55	3.08		490	27.45		42	2.35		22	1.23		1005	56.30		1785	91.16		173	8.84		1958	2.37		662	37.09		1123	62.91				
Clairgate	68	3.11		123	5.62		54	2.47		63	2.88		812	37.11		72	3.29		8	0.37		988	45.16		2188	94.19		135	5.81		2323	2.81		1045	47.76		1143	52.24				
Erskine Park	128	3.93		248	7.61		68	2.09		73	2.24		1151	35.33		80	2.46		13	0.40		1497	45.95		3258	94.63		185	5.37		3443	4.17		1549	47.54		1709	52.46				
Fairfield	84	5.63		28	1.88		23	1.54		127	8.51		153	10.25		20	1.34		13	0.87		1044	69.97		1492	82.16		324	17.84		1816	2.20		341	22.86		1151	77.14
Fairfield Central	45	4.15		17	1.57		5	0.46		39	3.60		136	12.55		12	1.11		13	1.20		817	75.37		1084	90.64		112	9.36		1196	1.45		206	19.00		878	81.00
Fairfield East (Prospect)	32	4.19		17	2.23		15	1.96		15	1.96		139	18.19		13	1.70		21	2.75		512	67.02		764	87.41		110	12.59		874	1.06		187	24.48		577	75.52
Fairfield Heights	152	4.42		114	3.31		44	1.28		75	2.18		751	21.83		58	1.69		80	2.32		2167	62.98		3441	89.84		389	10.16		3830	4.64		1027	29.85		2414	70.15
Fairfield North	75	4.80		25	1.60		10	0.64		37	2.37		228	14.61		25	1.60		56	3.59		1105	70.79		1561	88.59		201	11.41		1762	2.13		329	21.08		1232	78.92
Fairfield South	89	4.20		68	3.21		24	1.13		28	1.32		402	18.95		43	2.03		96	4.53		1371	64.64		2121	87.25		310	12.75		2431	2.94		547	25.79		1574	74.21
Fairfield West	168	5.47		109	3.55		40	1.30		111	3.61		523	17.02		54	1.76		57	1.85		2011	65.44		3073	91.16		298	8.84		3371	4.08		817	26.59		2256	73.41
Fairvale High	86	5.57		69	4.47		14	0.91		38	2.46		286	18.54		20	1.30		42	2.72		988	64.03		1543	90.76		157	9.24		1700	2.06		426	27.61		1117	72.39
