House of Representatives - 2001 Election: New South Wales																																																			
First Preference Votes and TCP																																																			
By Candidate by Polling Place																																																			

Richmond (81312)																																																			
	NATHAN			# ANTHONY			PENHALIGON			MCALLISTER			FAULKNER			BARHAM			PENIAZEV			BALK			JEFFERYS			ROLFE			SIMPSON			FORMAL			INFORMAL			TOTAL			Two Candidate Preferred								
	Julie			Larry			John			Jenny			Nicolas de Bray			Jan			Alexander			Casey			Dean			Dell			Rob												# ANTHONY NP			 MCALLISTER					
	IND			NP			IND			CLR			IND			GRN			NCP			DEM			HMP			HAN			IND												NP			CLR					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Alstonville	43	1.45		1670	56.30		40	1.35		784	26.43		4	0.13		198	6.68		1	0.03		83	2.80		36	1.21		90	3.03		17	0.57		2966	95.25		148	4.75		3114	4.06		1870	63.05		1096	36.95				
Bangalow	15	1.15		427	32.75		8	0.61		410	31.44		6	0.46		319	24.46		1	0.08		55	4.22		31	2.38		31	2.38		1	0.08		1304	95.53		61	4.47		1365	1.78		513	39.34		791	60.66				
Banora Point	25	0.88		1612	56.90		17	0.60		872	30.78		4	0.14		97	3.42		0	0.00		55	1.94		8	0.28		140	4.94		3	0.11		2833	93.62		193	6.38		3026	3.94		1784	62.97		1049	37.03				
Banora Point South	28	1.09		1227	47.78		25	0.97		1032	40.19		5	0.19		63	2.45		3	0.12		36	1.40		8	0.31		137	5.33		4	0.16		2568	93.83		169	6.17		2737	3.57		1389	54.09		1179	45.91				
Banora Point West	23	1.19		1059	54.62		6	0.31		656	33.83		1	0.05		45	2.32		2	0.10		29	1.50		15	0.77		100	5.16		3	0.15		1939	95.19		98	4.81		2037	2.65		1186	61.17		753	38.83				
Bilambil	12	0.81		717	48.25		26	1.75		499	33.58		0	0.00		81	5.45		1	0.07		59	3.97		13	0.87		75	5.05		3	0.20		1486	94.83		81	5.17		1567	2.04		826	55.59		660	44.41				
Billinudgel	4	0.64		232	36.88		6	0.95		275	43.72		0	0.00		63	10.02		1	0.16		16	2.54		5	0.79		26	4.13		1	0.16		629	94.73		35	5.27		664	0.87		270	42.93		359	57.07				
Bray Park	11	1.01		558	51.19		20	1.83		357	32.75		1	0.09		69	6.33		1	0.09		20	1.83		6	0.55		34	3.12		13	1.19		1090	93.24		79	6.76		1169	1.52		615	56.42		475	43.58
Brunswick Heads	22	1.50		536	36.44		10	0.68		533	36.23		7	0.48		254	17.27		0	0.00		37	2.52		25	1.70		43	2.92		4	0.27		1471	93.46		103	6.54		1574	2.05		615	41.81		856	58.19
Burringbar	6	1.13		176	33.15		5	0.94		214	40.30		1	0.19		91	17.14		1	0.19		6	1.13		14	2.64		16	3.01		1	0.19		531	96.37		20	3.63		551	0.72		215	40.49		316	59.51
Byron Bay	39	1.70		562	24.45		8	0.35		745	32.41		8	0.35		698	30.36		3	0.13		109	4.74		94	4.09		31	1.35		2	0.09		2299	94.65		130	5.35		2429	3.16		702	30.54		1597	69.46
Byron Bay South	24	1.16		615	29.70		4	0.19		657	31.72		8	0.39		576	27.81		1	0.05		87	4.20		62	2.99		30	1.45		7	0.34		2071	95.44		99	4.56		2170	2.83		753	36.36		1318	63.64
Cabarita Beach	15	0.97		577	37.35		9	0.58		688	44.53		2	0.13		109	7.06		1	0.06		38	2.46		9	0.58		94	6.08		3	0.19		1545	94.44		91	5.56		1636	2.13		705	45.63		840	54.37
Carool	0	0.00		50	43.48		5	4.35		44	38.26		0	0.00		5	4.35		0	0.00		2	1.74		1	0.87		7	6.09		1	0.87		115	93.50		8	6.50		123	0.16		58	50.43		57	49.57
Chillingham	2	0.83		106	44.17		5	2.08		69	28.75		1	0.42		41	17.08		0	0.00		1	0.42		1	0.42		12	5.00		2	0.83		240	93.39		17	6.61		257	0.33		126	52.50		114	47.50
Chinderah	16	1.56		359	35.06		9	0.88		496	48.44		3	0.29		45	4.39		0	0.00		21	2.05		14	1.37		59	5.76		2	0.20		1024	92.00		89	8.00		1113	1.45		441	43.07		583	56.93
Condong	11	1.30		429	50.77		10	1.18		286	33.85		2	0.24		43	5.09		1	0.12		16	1.89		3	0.36		43	5.09		1	0.12		845	96.02		35	3.98		880	1.15		494	58.46		351	41.54
Coorabell	3	1.95		59	38.31		2	1.30		41	26.62		1	0.65		34	22.08		1	0.65		6	3.90		3	1.95		4	2.60		0	0.00		154	93.90		10	6.10		164	0.21		67	43.51		87	56.49
Crabbes Creek	3	2.31		53	40.77		3	2.31		36	27.69		0	0.00		26	20.00		0	0.00		2	1.54		2	1.54		5	3.85		0	0.00		130	97.01		4	2.99		134	0.17		65	50.00		65	50.00
Crystal Creek	4	1.42		136	48.40		5	1.78		83	29.54		1	0.36		33	11.74		1	0.36		4	1.42		1	0.36		11	3.91		2	0.71		281	94.30		17	5.70		298	0.39		160	56.94		121	43.06
Cudgen	2	0.35		254	44.33		3	0.52		262	45.72		0	0.00		16	2.79		0	0.00		9	1.57		3	0.52		22	3.84		2	0.35		573	95.82		25	4.18		598	0.78		280	48.87		293	51.13
Dungay	3	1.02		164	55.78		11	3.74		69	23.47		0	0.00		20	6.80		1	0.34		13	4.42		2	0.68		11	3.74		0	0.00		294	94.84		16	5.16		310	0.40		188	63.95		106	36.05
Duranbah	0	0.00		67	51.94		1	0.78		42	32.56		0	0.00		6	4.65		0	0.00		6	4.65		1	0.78		6	4.65		0	0.00		129	96.99		4	3.01		133	0.17		75	58.14		54	41.86
Durrumbul	4	2.56		57	36.54		0	0.00		48	30.77		4	2.56		29	18.59		0	0.00		5	3.21		5	3.21		4	2.56		0	0.00		156	93.41		11	6.59		167	0.22		66	42.31		90	57.69
Eureka	3	1.52		90	45.45		2	1.01		60	30.30		0	0.00		24	12.12		0	0.00		6	3.03		8	4.04		4	2.02		1	0.51		198	96.59		7	3.41		205	0.27		99	50.00		99	50.00
Ewingsdale	7	1.99		159	45.30		3	0.85		90	25.64		1	0.28		70	19.94		0	0.00		6	1.71		3	0.85		10	2.85		2	0.57		351	96.69		12	3.31		363	0.47		183	52.14		168	47.86
Federal	10	2.62		87	22.77		5	1.31		106	27.75		2	0.52		129	33.77		0	0.00		23	6.02		11	2.88		8	2.09		1	0.26		382	95.98		16	4.02		398	0.52		119	31.15		263	68.85
Fernleigh	0	0.00		115	47.72		2	0.83		69	28.63		0	0.00		32	13.28		0	0.00		8	3.32		0	0.00		15	6.22		0	0.00		241	94.51		14	5.49		255	0.33		141	58.51		100	41.49
Fingal Head	8	2.74		91	31.16		3	1.03		117	40.07		0	0.00		38	13.01		0	0.00		16	5.48		1	0.34		18	6.16		0	0.00		292	94.81		16	5.19		308	0.40		121	41.44		171	58.56
Goonengerry	3	2.10		21	14.69		0	0.00		53	37.06		0	0.00		55	38.46		0	0.00		6	4.20		2	1.40		3	2.10		0	0.00		143	98.62		2	1.38		145	0.19		26	18.18		117	81.82
Hastings Point	3	0.96		115	36.74		1	0.32		145	46.33		0	0.00		24	7.67		2	0.64		5	1.60		1	0.32		15	4.79		2	0.64		313	93.43		22	6.57		335	0.44		128	40.89		185	59.11
Kingscliff	26	1.03		1115	44.21		29	1.15		990	39.25		3	0.12		163	6.46		1	0.04		72	2.85		15	0.59		103	4.08		5	0.20		2522	93.86		165	6.14		2687	3.50		1270	50.36		1252	49.64
Kunghur	4	1.75		75	32.89		10	4.39		62	27.19		1	0.44		47	20.61		1	0.44		13	5.70		11	4.82		2	0.88		2	0.88		228	94.61		13	5.39		241	0.31		101	44.30		127	55.70
Lennox Head	28	0.95		1308	44.52		26	0.88		960	32.68		6	0.20		373	12.70		3	0.10		127	4.32		42	1.43		54	1.84		11	0.37		2938	95.05		153	4.95		3091	4.03		1491	50.75		1447	49.25
Mcleans Ridges	1	1.33		52	69.33		1	1.33		13	17.33		0	0.00		3	4.00		0	0.00		0	0.00		0	0.00		4	5.33		1	1.33		75	100.00		0	0.00		75	0.10		56	74.67		19	25.33
Main Arm Upper	2	1.74		16	13.91		0	0.00		26	22.61		0	0.00		55	47.83		0	0.00		6	5.22		9	7.83		1	0.87		0	0.00		115	92.74		9	7.26		124	0.16		24	20.87		91	79.13
Mooball	3	1.66		94	51.93		1	0.55		65	35.91		0	0.00		9	4.97		0	0.00		2	1.10		1	0.55		6	3.31		0	0.00		181	91.41		17	8.59		198	0.26		107	59.12		74	40.88
Mullumbimby	48	1.89		920	36.26		17	0.67		680	26.80		22	0.87		611	24.08		1	0.04		89	3.51		56	2.21		90	3.55		3	0.12		2537	95.20		128	4.80		2665	3.47		1094	43.12		1443	56.88
Murwillumbah	32	1.25		1150	44.75		54	2.10		902	35.10		1	0.04		191	7.43		8	0.31		63	2.45		32	1.25		118	4.59		19	0.74		2570	94.00		164	6.00		2734	3.56		1334	51.91		1236	48.09
Murwillumbah South	11	1.06		530	51.26		23	2.22		343	33.17		0	0.00		45	4.35		2	0.19		20	1.93		5	0.48		53	5.13		2	0.19		1034	93.49		72	6.51		1106	1.44		602	58.22		432	41.78
Newrybar	10	2.17		201	43.60		2	0.43		149	32.32		0	0.00		65	14.10		0	0.00		14	3.04		4	0.87		14	3.04		2	0.43		461	95.84		20	4.16		481	0.63		240	52.06		221	47.94
Ocean Shores	22	1.22		662	36.70		13	0.72		660	36.59		10	0.55		279	15.47		7	0.39		51	2.83		38	2.11		58	3.22		4	0.22		1804	94.65		102	5.35		1906	2.48		768	42.57		1036	57.43
Piggabeen	12	1.76		354	51.98		4	0.59		218	32.01		1	0.15		23	3.38		0	0.00		23	3.38		9	1.32		36	5.29		1	0.15		681	94.32		41	5.68		722	0.94		397	58.30		284	41.70
Pottsville Beach	16	0.98		695	42.38		4	0.24		655	39.94		2	0.12		97	5.91		3	0.18		43	2.62		12	0.73		108	6.59		5	0.30		1640	93.13		121	6.87		1761	2.29		821	50.06		819	49.94
Rous	2	0.98		137	66.83		2	0.98		35	17.07		1	0.49		8	3.90		1	0.49		7	3.41		1	0.49		10	4.88		1	0.49		205	96.70		7	3.30		212	0.28		158	77.07		47	22.93
Stokers Siding	5	1.63		125	40.72		3	0.98		119	38.76		1	0.33		27	8.79		0	0.00		13	4.23		7	2.28		7	2.28		0	0.00		307	93.60		21	6.40		328	0.43		136	44.30		171	55.70
Sydney (Richmond)	1	6.25		3	18.75		0	0.00		7	43.75		0	0.00		1	6.25		0	0.00		3	18.75		1	6.25		0	0.00		0	0.00		16	100.00		0	0.00		16	0.02		5	31.25		11	68.75
Terranora	4	0.34		717	60.25		15	1.26		304	25.55		2	0.17		52	4.37		1	0.08		38	3.19		5	0.42		48	4.03		4	0.34		1190	94.44		70	5.56		1260	1.64		786	66.05		404	33.95
Tintenbar	6	1.21		236	47.68		12	2.42		128	25.86		0	0.00		51	10.30		1	0.20		21	4.24		9	1.82		25	5.05		6	1.21		495	95.56		23	4.44		518	0.67		285	57.58		210	42.42
Tumbulgum	3	0.78		149	38.50		2	0.52		159	41.09		0	0.00		44	11.37		2	0.52		7	1.81		2	0.52		18	4.65		1	0.26		387	94.39		23	5.61		410	0.53		174	44.96		213	55.04
Tweed Heads	41	1.28		1522	47.55		31	0.97		1152	35.99		6	0.19		169	5.28		2	0.06		74	2.31		27	0.84		165	5.15		12	0.37		3201	93.79		212	6.21		3413	4.45		1760	54.98		1441	45.02
Tweed Heads Central	33	1.34		1232	49.90		17	0.69		878	35.56		1	0.04		96	3.89		0	0.00		54	2.19		14	0.57		137	5.55		7	0.28		2469	94.85		134	5.15		2603	3.39		1409	57.07		1060	42.93
Tweed Heads South	43	1.49		1184	41.10		17	0.59		1240	43.04		6	0.21		100	3.47		5	0.17		49	1.70		35	1.21		193	6.70		9	0.31		2881	91.75		259	8.25		3140	4.09		1420	49.29		1461	50.71
Tyalgum	0	0.00		170	39.63		17	3.96		127	29.60		2	0.47		73	17.02		2	0.47		9	2.10		6	1.40		23	5.36		0	0.00		429	93.67		29	6.33		458	0.60		209	48.72		220	51.28
Uki	6	0.87		214	31.10		7	1.02		226	32.85		1	0.15		141	20.49		0	0.00		46	6.69		16	2.33		27	3.92		4	0.58		688	95.03		36	4.97		724	0.94		262	38.08		426	61.92
Wilsons Creek	4	2.47		11	6.79		0	0.00		42	25.93		2	1.23		82	50.62		1	0.62		6	3.70		12	7.41		2	1.23		0	0.00		162	96.43		6	3.57		168	0.22		26	16.05		136	83.95			
Wollongbar	19	1.31		868	59.66		14	0.96		376	25.84		0	0.00		78	5.36		2	0.14		42	2.89		11	0.76		41	2.82		4	0.27		1455	94.97		77	5.03		1532	2.00		956	65.70		499	34.30			
