House of Representatives - 2001 Election: New South Wales																																				
First Preference Votes and TCP 																																				
By Candidate by Polling Place																																				

Throsby (84412)																																				
	ROBERTS			PRSA			PERROTT			AKHURST			STORY			# GEORGE			FORMAL			INFORMAL			TOTAL											
	Madeleine			Ivan			Margaret			Alan			Elsa			Jennie											Two Candidate Preferred									
	DEM			HAN						LP			GRN			ALP												 AKHURST LP			# GEORGE ALP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Albion Park	130	8.93		156	10.72		19	1.31		427	29.35		77	5.29		646	44.40		1455	95.66		66	4.34		1521	1.89		639	43.92		816	56.08				
Albion Park Rail	266	7.41		371	10.34		55	1.53		934	26.03		138	3.85		1824	50.84		3588	94.57		206	5.43		3794	4.71		1370	38.18		2218	61.82				
Albion Park South	189	7.07		214	8.00		37	1.38		894	33.43		117	4.38		1223	45.74		2674	95.09		138	4.91		2812	3.49		1199	44.84		1475	55.16				
Barrack Heights	125	9.13		78	5.70		19	1.39		253	18.48		68	4.97		826	60.34		1369	96.00		57	4.00		1426	1.77		392	28.63		977	71.37				
Berkeley	106	5.31		98	4.91		21	1.05		352	17.63		85	4.26		1335	66.85		1997	95.46		95	4.54		2092	2.59		477	23.89		1520	76.11				
Berkeley South	44	6.65		26	3.93		9	1.36		111	16.77		20	3.02		452	68.28		662	95.11		34	4.89		696	0.86		165	24.92		497	75.08				
Berkeley West	90	5.14		97	5.54		24	1.37		285	16.28		61	3.48		1194	68.19		1751	93.64		119	6.36		1870	2.32		402	22.96		1349	77.04				
Blackbutt	150	8.21		78	4.27		18	0.99		543	29.74		68	3.72		969	53.07		1826	95.85		79	4.15		1905	2.36		704	38.55		1122	61.45
Brownsville	111	8.09		65	4.74		17	1.24		450	32.80		52	3.79		677	49.34		1372	94.17		85	5.83		1457	1.81		570	41.55		802	58.45
Cringila	94	7.57		21	1.69		34	2.74		92	7.41		50	4.03		951	76.57		1242	91.53		115	8.47		1357	1.68		186	14.98		1056	85.02
Dapto	177	7.17		167	6.77		32	1.30		642	26.02		98	3.97		1351	54.76		2467	94.85		134	5.15		2601	3.23		909	36.85		1558	63.15
Farmborough Road	330	10.66		142	4.59		52	1.68		876	28.29		219	7.07		1477	47.71		3096	95.32		152	4.68		3248	4.03		1198	38.70		1898	61.30
Hayes Park	182	7.05		151	5.85		24	0.93		858	33.26		86	3.33		1279	49.57		2580	96.27		100	3.73		2680	3.32		1092	42.33		1488	57.67
Kemblawarra	72	6.73		55	5.14		18	1.68		160	14.95		41	3.83		724	67.66		1070	93.37		76	6.63		1146	1.42		251	23.46		819	76.54
Koonawarra	117	5.38		166	7.63		31	1.42		379	17.42		82	3.77		1401	64.38		2176	94.81		119	5.19		2295	2.85		575	26.42		1601	73.58
Lake Heights	83	6.42		79	6.11		14	1.08		263	20.36		65	5.03		788	60.99		1292	93.02		97	6.98		1389	1.72		382	29.57		910	70.43
Lake Illawarra	88	5.79		114	7.50		17	1.12		382	25.12		78	5.13		842	55.36		1521	95.18		77	4.82		1598	1.98		539	35.44		982	64.56
Lakelands	132	7.53		113	6.44		15	0.86		423	24.12		113	6.44		958	54.62		1754	95.12		90	4.88		1844	2.29		588	33.52		1166	66.48
Marshall Mount	8	6.06		6	4.55		2	1.52		81	61.36		5	3.79		30	22.73		132	94.96		7	5.04		139	0.17		93	70.45		39	29.55
Mount Brown	128	6.72		118	6.19		17	0.89		569	29.85		62	3.25		1012	53.10		1906	94.97		101	5.03		2007	2.49		741	38.88		1165	61.12
Mount Terry	104	6.79		90	5.88		30	1.96		496	32.40		43	2.81		768	50.16		1531	96.17		61	3.83		1592	1.97		629	41.08		902	58.92
Mount Warrigal	167	7.23		146	6.32		55	2.38		524	22.69		110	4.76		1307	56.60		2309	94.94		123	5.06		2432	3.02		748	32.39		1561	67.61
Oak Flats	243	7.60		282	8.82		43	1.35		861	26.94		169	5.29		1598	50.00		3196	95.86		138	4.14		3334	4.14		1248	39.05		1948	60.95
Oak Flats East	83	7.59		60	5.48		20	1.83		280	25.59		50	4.57		601	54.94		1094	95.88		47	4.12		1141	1.42		371	33.91		723	66.09
