House of Representatives - 2001 Election: New South Wales																																							
First Preference Votes and TCP																																							
By Candidate by Polling Place																																							

Warringah (85405)																																							
	LAM			MACDONALD			HERAGHTY			# ABBOTT			BURRIDGE			FERGUSON			KELLY			FORMAL			INFORMAL			TOTAL											
	Keelah			Peter			Julie			Tony			Nina			Christine			David												Two Candidate Preferred								
	GRN			IND			ALP			LP			DEM			NGST			HAN												 MACDONALD IND			# ABBOTT LP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Allambie	13	2.24		162	27.88		80	13.77		284	48.88		14	2.41		4	0.69		24	4.13		581	96.99		18	3.01		599	0.75		273	46.99		308	53.01				
Allambie Heights	73	2.36		846	27.41		438	14.19		1542	49.95		81	2.62		19	0.62		88	2.85		3087	96.41		115	3.59		3202	4.00		1433	46.42		1654	53.58				
Balgowlah	41	3.14		414	31.68		108	8.26		699	53.48		28	2.14		3	0.23		14	1.07		1307	96.24		51	3.76		1358	1.70		576	44.07		731	55.93				
Balgowlah Heights	64	2.58		703	28.36		95	3.83		1550	62.53		39	1.57		6	0.24		22	0.89		2479	97.71		58	2.29		2537	3.17		881	35.54		1598	64.46				
Balmoral	18	1.77		324	31.92		53	5.22		595	58.62		19	1.87		1	0.10		5	0.49		1015	97.97		21	2.03		1036	1.29		398	39.21		617	60.79				
Beacon Hill (Warringah)	38	3.47		255	23.27		165	15.05		566	51.64		31	2.83		13	1.19		28	2.55		1096	94.32		66	5.68		1162	1.45		467	42.61		629	57.39				
Beauty Point	41	3.47		272	23.05		81	6.86		745	63.14		25	2.12		4	0.34		12	1.02		1180	97.20		34	2.80		1214	1.52		404	34.24		776	65.76				
Brookvale	73	4.62		347	21.95		280	17.71		783	49.53		40	2.53		10	0.63		48	3.04		1581	92.67		125	7.33		1706	2.13		714	45.16		867	54.84
Cremorne South (Warringah)	5	1.31		121	31.59		32	8.36		218	56.92		6	1.57		0	0.00		1	0.26		383	96.96		12	3.04		395	0.49		156	40.73		227	59.27
Curl Curl	89	3.52		867	34.28		329	13.01		1122	44.37		54	2.14		12	0.47		56	2.21		2529	96.97		79	3.03		2608	3.26		1323	52.31		1206	47.69
Dee Why (Warringah)	32	7.58		95	22.51		83	19.67		173	41.00		20	4.74		8	1.90		11	2.61		422	92.95		32	7.05		454	0.57		209	49.53		213	50.47
Dee Why Central (Warringah)	97	6.00		314	19.42		402	24.86		683	42.24		56	3.46		18	1.11		47	2.91		1617	94.34		97	5.66		1714	2.14		815	50.40		802	49.60
Dee Why East	93	4.82		363	18.80		387	20.04		956	49.51		62	3.21		18	0.93		52	2.69		1931	96.02		80	3.98		2011	2.51		866	44.85		1065	55.15
Fairlight	45	3.10		457	31.47		116	7.99		774	53.31		30	2.07		7	0.48		23	1.58		1452	97.38		39	2.62		1491	1.86		629	43.32		823	56.68
Forestville	110	3.21		735	21.48		489	14.29		1912	55.87		85	2.48		16	0.47		75	2.19		3422	95.67		155	4.33		3577	4.47		1351	39.48		2071	60.52
Forestville East	30	2.78		251	23.26		135	12.51		602	55.79		27	2.50		7	0.65		27	2.50		1079	96.60		38	3.40		1117	1.40		419	38.83		660	61.17
Frenchs Forest (Warringah)	28	2.33		298	24.83		134	11.17		680	56.67		29	2.42		12	1.00		19	1.58		1200	96.00		50	4.00		1250	1.56		471	39.25		729	60.75
Freshwater	45	5.06		287	32.28		101	11.36		412	46.34		25	2.81		7	0.79		12	1.35		889	98.34		15	1.66		904	1.13		438	49.27		451	50.73
Harbord	103	3.89		845	31.90		386	14.57		1158	43.71		77	2.91		8	0.30		72	2.72		2649	96.33		101	3.67		2750	3.44		1378	52.02		1271	47.98
Killarney Heights	37	1.93		452	23.52		205	10.67		1151	59.89		42	2.19		15	0.78		20	1.04		1922	96.78		64	3.22		1986	2.48		683	35.54		1239	64.46
Manly	203	5.35		1221	32.19		508	13.39		1692	44.61		107	2.82		23	0.61		39	1.03		3793	97.48		98	2.52		3891	4.86		1959	51.65		1834	48.35
Manly Central	45	5.83		295	38.21		61	7.90		348	45.08		12	1.55		2	0.26		9	1.17		772	97.85		17	2.15		789	0.99		403	52.20		369	47.80
Manly Hospital	13	3.50		114	30.73		28	7.55		199	53.64		6	1.62		1	0.27		10	2.70		371	98.15		7	1.85		378	0.47		154	41.51		217	58.49
Manly Vale	86	3.49		749	30.43		430	17.47		1065	43.28		69	2.80		18	0.73		44	1.79		2461	96.59		87	3.41		2548	3.18		1286	52.26		1175	47.74			
Manly West	74	3.59		790	38.28		224	10.85		903	43.75		41	1.99		1	0.05		31	1.50		2064	96.95		65	3.05		2129	2.66		1104	53.49		960	46.51			
Middle Harbour (Warringah)	45	2.82		385	24.15		144	9.03		966	60.60		38	2.38		2	0.13		14	0.88		1594	96.31		61	3.69		1655	2.07		575	36.07		1019	63.93			
Mosman	138	3.15		1100	25.12		394	9.00		2560	58.46		144	3.29		6	0.14		37	0.84		4379	97.38		118	2.62		4497	5.62		1690	38.59		2689	61.41			
Mosman Bay	72	2.91		777	31.36		156	6.30		1404	56.66		46	1.86		5	0.20		18	0.73		2478	97.56		62	2.44		2540	3.17		1023	41.28		1455	58.72			
Mosman West	7	1.05		201	30.09		64	9.58		368	55.09		15	2.25		3	0.45		10	1.50		668	98.09		13	1.91		681	0.85		278	41.62		390	58.38			
North Balgowlah	54	2.57		838	39.85		179	8.51		952	45.27		42	2.00		3	0.14		35	1.66		2103	97.45		55	2.55		2158	2.70		1088	51.74		1015	48.26			
North Manly	25	2.54		282	28.66		148	15.04		485	49.29		13	1.32		5	0.51		26	2.64		984	94.07		62	5.93		1046	1.31		460	46.75		524	53.25			
Queenscliff	89	5.01		669	37.65		157	8.84		786	44.23		48	2.70		7	0.39		21	1.18		1777	98.29		31	1.71		1808	2.26		924	52.00		853	48.00			
Seaforth	72	2.71		828	31.17		226	8.51		1421	53.50		49	1.84		13	0.49		47	1.77		2656	96.72		90	3.28		2746	3.43		1153	43.41		1503	56.59			
