House of Representatives - 2001 Election: New South Wales																																								
First Preference Votes and TCP																																								
By Candidate by Polling Place																																								

Watson (81961)																																								
	NAM			GRIFFITHS			# MCLEAY			POULSEN			FITZSIMMONS			PLOOY			FARRELL			FORMAL			INFORMAL			TOTAL												
	Ken			Kristin			Leo			Ronald			Dominic			Arnold			Michelle												Two Candidate Preferred									
	UNI			DEM			ALP						GRN			LP			HAN												# MCLEAY ALP			 PLOOY LP						
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%					
Bardwell Park	28	2.79		49	4.89		429	42.81		6	0.60		34	3.39		431	43.01		25	2.50		1002	94.00		64	6.00		1066	1.40		518	51.70		484	48.30					
Belmore Central	68	6.05		38	3.38		730	64.95		2	0.18		28	2.49		222	19.75		36	3.20		1124	92.51		91	7.49		1215	1.60		843	75.00		281	25.00					
Belmore North	126	5.23		106	4.40		1620	67.28		10	0.42		67	2.78		423	17.57		56	2.33		2408	90.42		255	9.58		2663	3.50		1889	78.45		519	21.55					
Belmore South	77	3.53		79	3.62		1393	63.84		7	0.32		42	1.92		529	24.24		55	2.52		2182	91.53		202	8.47		2384	3.13		1585	72.64		597	27.36					
Beverly Hills	31	2.93		29	2.74		511	48.25		1	0.09		29	2.74		417	39.38		41	3.87		1059	93.72		71	6.28		1130	1.48		592	55.90		467	44.10					
Beverly Hills South (Watson)	27	3.61		27	3.61		393	52.54		1	0.13		16	2.14		256	34.22		28	3.74		748	92.35		62	7.65		810	1.06		460	61.50		288	38.50					
Bexley North	32	2.86		43	3.84		523	46.74		4	0.36		41	3.66		440	39.32		36	3.22		1119	93.33		80	6.67		1199	1.58		634	56.66		485	43.34					
Bexley West	45	2.36		89	4.68		955	50.18		7	0.37		52	2.73		687	36.10		68	3.57		1903	94.25		116	5.75		2019	2.65		1139	59.85		764	40.15
Brighton Avenue	101	4.37		96	4.15		1160	50.19		12	0.52		147	6.36		730	31.59		65	2.81		2311	91.96		202	8.04		2513	3.30		1472	63.70		839	36.30
Campsie	185	8.70		46	2.16		1565	73.61		5	0.24		73	3.43		227	10.68		25	1.18		2126	93.74		142	6.26		2268	2.98		1845	86.78		281	13.22
Campsie South	111	7.58		39	2.66		985	67.28		5	0.34		30	2.05		270	18.44		24	1.64		1464	90.88		147	9.12		1611	2.12		1139	77.80		325	22.20
Canterbury	39	6.20		23	3.66		372	59.14		3	0.48		23	3.66		146	23.21		23	3.66		629	91.56		58	8.44		687	0.90		446	70.91		183	29.09
Canterbury Hospital	31	5.98		19	3.67		319	61.58		6	1.16		12	2.32		116	22.39		15	2.90		518	93.00		39	7.00		557	0.73		376	72.59		142	27.41
Canterbury South	50	3.74		58	4.34		879	65.74		5	0.37		41	3.07		270	20.19		34	2.54		1337	92.27		112	7.73		1449	1.90		1024	76.59		313	23.41
Carlton West	19	4.45		20	4.68		243	56.91		0	0.00		9	2.11		126	29.51		10	2.34		427	90.27		46	9.73		473	0.62		278	65.11		149	34.89
Clemton Park	126	3.32		121	3.19		2134	56.26		16	0.42		125	3.30		1096	28.90		175	4.61		3793	92.33		315	7.67		4108	5.40		2468	65.07		1325	34.93
Earlwood	18	1.96		42	4.57		504	54.78		2	0.22		28	3.04		305	33.15		21	2.28		920	93.40		65	6.60		985	1.29		582	63.26		338	36.74
Earlwood North	42	2.22		74	3.91		929	49.13		5	0.26		115	6.08		680	35.96		46	2.43		1891	91.80		169	8.20		2060	2.71		1120	59.23		771	40.77
Earlwood South	65	2.57		128	5.06		1414	55.87		14	0.55		106	4.19		758	29.95		46	1.82		2531	91.50		235	8.50		2766	3.63		1667	65.86		864	34.14
Gilchrist Park	34	2.92		35	3.01		587	50.47		3	0.26		37	3.18		422	36.29		45	3.87		1163	92.45		95	7.55		1258	1.65		680	58.47		483	41.53
Harcourt	206	7.45		78	2.82		1714	61.97		9	0.33		63	2.28		624	22.56		72	2.60		2766	91.38		261	8.62		3027	3.98		2028	73.32		738	26.68
Harcourt Central	168	10.10		36	2.16		1096	65.90		4	0.24		27	1.62		290	17.44		42	2.53		1663	90.73		170	9.27		1833	2.41		1315	79.07		348	20.93
Harcourt North	51	5.06		37	3.67		563	55.91		5	0.50		26	2.58		296	29.39		29	2.88		1007	91.96		88	8.04		1095	1.44		679	67.43		328	32.57
Hurstville	119	5.45		124	5.68		1195	54.72		8	0.37		64	2.93		637	29.17		37	1.69		2184	91.96		191	8.04		2375	3.12		1474	67.49		710	32.51
Hurstville East	109	6.58		75	4.53		887	53.53		9	0.54		43	2.60		484	29.21		50	3.02		1657	92.73		130	7.27		1787	2.35		1088	65.66		569	34.34
Hurstville North	80	3.89		99	4.81		966	46.96		9	0.44		70	3.40		749	36.41		84	4.08		2057	94.49		120	5.51		2177	2.86		1211	58.87		846	41.13
Kingsgrove	59	2.95		63	3.15		1067	53.30		8	0.40		58	2.90		687	34.32		60	3.00		2002	93.51		139	6.49		2141	2.81		1237	61.79		765	38.21
Kingsgrove North	27	3.40		19	2.39		435	54.79		1	0.13		23	2.90		257	32.37		32	4.03		794	94.30		48	5.70		842	1.11		501	63.10		293	36.90
Kingsgrove South	46	4.63		45	4.53		551	55.49		6	0.60		25	2.52		307	30.92		13	1.31		993	92.80		77	7.20		1070	1.41		661	66.57		332	33.43
Lakemba	118	6.36		63	3.40		1284	69.22		10	0.54		60	3.23		274	14.77		46	2.48		1855	92.52		150	7.48		2005	2.63		1519	81.89		336	18.11
Lakemba Central	82	4.58		60	3.35		1112	62.16		10	0.56		87	4.86		395	22.08		43	2.40		1789	91.14		174	8.86		1963	2.58		1320	73.78		469	26.22
Lakemba North	131	7.81		28	1.67		1241	73.96		3	0.18		45	2.68		204	12.16		26	1.55		1678	87.72		235	12.28		1913	2.51		1428	85.10		250	14.90
Mccallums Hill	92	2.74		135	4.01		1773	52.72		14	0.42		95	2.82		1094	32.53		160	4.76		3363	92.57		270	7.43		3633	4.77		2092	62.21		1271	37.79
Ponyara Road	49	3.80		61	4.73		556	43.10		3	0.23		31	2.40		541	41.94		49	3.80		1290	94.57		74	5.43		1364	1.79		679	52.64		611	47.36
Sutton Park	35	2.75		51	4.01		625	49.10		12	0.94		40	3.14		476	37.39		34	2.67		1273	91.85		113	8.15		1386	1.82		746	58.60		527	41.40
Sydney (Watson)	10	5.41		20	10.81		105	56.76		1	0.54		11	5.95		36	19.46		2	1.08		185	88.10		25	11.90		210	0.28		138	74.59		47	25.41
Undercliffe	69	4.02		81	4.72		739	43.09		7	0.41		176	10.26		593	34.58		50	2.92		1715	94.28		104	5.72		1819	2.39		1003	58.48		712	41.52
Wiley Park East	51	5.81		34	3.87		615	70.05		3	0.34		25	2.85		132	15.03		18	2.05		878	89.87		99	10.13		977	1.28		721	82.12		157	17.88
Wiley Park West (Watson)	76	14.02		17	3.14		333	61.44		10	1.85		17	3.14		71	13.10		18	3.32		542	83.38		108	16.62		650	0.85		441	81.37		101	18.63
Special Hospitals	0	0.00		0	0.00		23	38.33		0	0.00		0	0.00		34	56.67		3	5.00		60	100.00		0	0.00		60	0.08		26	43.33		34	56.67			
Total Ordinary	2833	4.69		2287	3.79		34525	57.15		246	0.41		2041	3.38		16732	27.70		1742	2.88		60406	92.16		5142	7.84		65548	86.13		41064	67.98		19342	32.02			
ABSENT	250	5.02		282	5.66		2481	49.84		49	0.98		272	5.46		1414	28.40		230	4.62		4978	92.93		379	7.07		5357	7.04		3223	64.74		1755	35.26			
POSTAL	62	2.97		72	3.45		944	45.23		7	0.34		32	1.53		859	41.16		111	5.32		2087	98.68		28	1.32		2115	2.78		1118	53.57		969	46.43			
PRE_POLL	161	6.95		125	5.39		1181	50.95		14	0.60		83	3.58		681	29.38		73	3.15		2318	95.98		97	4.02		2415	3.17		1500	64.71		818	35.29			
PROVISIONAL	43	7.31		22	3.74		385	65.48		6	1.02		18	3.06		105	17.86		9	1.53		588	88.02		80	11.98		668	0.88		469	79.76		119	20.24			
Division Summary	3349	4.76		2788	3.96		39516	56.15		322	0.46		2446	3.48		19791	28.12		2165	3.08		70377	92.48		5726	7.52		76103	92.85		47374	67.31		23003	32.69			
																																						
																																						
																																						
																																						
																																						
