House of Representatives - 2001 Election: New South Wales																																				
First Preference Votes and TCP 																																				
By Candidate by Polling Place																																				

Wentworth (86457)																																				
	GOLDEN			LYSSA			COLLINGS			# KING			JACOBS			NEILSON			FORMAL			INFORMAL			TOTAL											
	Aub			Alison			Margaret			Peter			Alan			Carolyn												Two Candidate Preferred								
	HAN			GRN			DEM			LP			UNI			ALP												# KING LP			 NEILSON ALP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Bellevue Hill	25	0.71		277	7.85		211	5.98		2206	62.55		69	1.96		739	20.95		3527	94.94		188	5.06		3715	4.68		2405	68.19		1122	31.81				
Bondi	81	2.69		333	11.07		170	5.65		1305	43.37		20	0.66		1100	36.56		3009	93.04		225	6.96		3234	4.08		1485	49.35		1524	50.65				
Bondi Beach	86	2.04		671	15.90		324	7.68		1490	35.31		37	0.88		1612	38.20		4220	93.74		282	6.26		4502	5.68		1772	41.99		2448	58.01				
Bondi Junction	63	2.21		272	9.55		209	7.34		1341	47.10		23	0.81		939	32.98		2847	93.13		210	6.87		3057	3.85		1514	53.18		1333	46.82				
Bondi North	35	1.93		156	8.62		89	4.92		899	49.67		13	0.72		618	34.14		1810	94.42		107	5.58		1917	2.42		987	54.53		823	45.47				
Bondi Surf	10	0.87		189	16.46		79	6.88		490	42.68		7	0.61		373	32.49		1148	95.67		52	4.33		1200	1.51		562	48.95		586	51.05				
Bronte	39	1.96		302	15.20		147	7.40		817	41.12		8	0.40		674	33.92		1987	95.53		93	4.47		2080	2.62		909	45.75		1078	54.25				
Castlefield	15	1.99		103	13.66		37	4.91		305	40.45		3	0.40		291	38.59		754	97.04		23	2.96		777	0.98		340	45.09		414	54.91
Charing Cross	11	1.87		48	8.16		28	4.76		255	43.37		2	0.34		244	41.50		588	94.99		31	5.01		619	0.78		279	47.45		309	52.55
Clovelly	43	2.61		203	12.31		94	5.70		672	40.75		0	0.00		637	38.63		1649	95.87		71	4.13		1720	2.17		759	46.03		890	53.97
Clovelly Beach (Wentworth)	14	2.00		87	12.41		53	7.56		254	36.23		4	0.57		289	41.23		701	97.36		19	2.64		720	0.91		297	42.37		404	57.63
Clovelly North (Wentworth)	31	2.02		151	9.84		106	6.91		636	41.46		8	0.52		602	39.24		1534	96.06		63	3.94		1597	2.01		734	47.85		800	52.15
