Senate - 2001 Election: New South Wales																																																																																																																																																																																																																																																															
First Preference Votes by Candidate																																																																																																																																																																																																																																																															
By Polling Place																																																																																																																																																																																																																																																															
																																																																																																																																																																																																																																																															
Calare (85310)																																																																																																																																																																																																																																																															
			 A Pauline Hanson's One Nation															 B Christian Democratic Party (Fred Nile Group)												 C Unity - Say No To Hanson												 D Citizens Electoral Council of Australia												 E Progressive Labour Party												 F Helen Caldicott's - Our Common Future Party												 G Australian Democrats																								 H Help End Marijuana Prohibition												 I Peter Breen - Reform The Legal System												 J Australian Labor Party / Country Labor																		 K Lower Excise Fuel and Beer Party												 L 												 M The Fishing Party												 N 																																																																											
    			TICKET VOTES			MCKINNON			PUTRA			DEENEY			Group Total			TICKET VOTES			CAPSIS			HUME			Group Total			TICKET VOTES			NGO			MCLEOD			Group Total			TICKET VOTES			BUTLER			COLLINS			Group Total			TICKET VOTES			WOLDRING			LEE			Group Total			TICKET VOTES			CALDICOTT			POTTS			Group Total			TICKET VOTES			BOURNE			YATES			CHUNG			MAYFIELD			PRINCE			EVANS			Group Total			TICKET VOTES		BALDERSTONE				FUGGLE			Group Total			TICKET VOTES			GREENAWAY			ARMSTRONG			Group Total			TICKET VOTES			# STEPHENS			# CAMPBELL			MUNDINE			WOODS			Group Total			TICKET VOTES			O'LOUGHLIN			FREEMAN			Group Total			TICKET VOTES			STEWART			STEWART			Group Total			TICKET VOTES			SMITH			WISEMAN			Group Total			TICKET VOTES			SMITH			LAWLER			ANTHONY			Group Total																																																															
    						Don			Rick			Carol									George			Kevin									Thang			Robert									Robert			Glenys									Klaas			Shona									Helen			Ted									Vicki			Joanne			Craig			E Caroline			Janine			Julian									Michael			Don									Denise			Valerie									Ursula			George			Warren			Joanna									David			Paul									Lex			Joe									Robert			David									Warren			Geoff			Dora																																																																		
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																														
	Barry		8	7.55		3	2.83		0	0.00		0	0.00		11	10.38		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.94		3	2.83		0	0.00		1	0.94		0	0.00		0	0.00		0	0.00		5	4.72		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		21	19.81		0	0.00		0	0.00		0	0.00		1	0.94		22	20.75		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00																																																														
	Bathurst		98	3.97		14	0.57		0	0.00		1	0.04		113	4.58		40	1.62		14	0.57		0	0.00		54	2.19		2	0.08		0	0.00		0	0.00		2	0.08		2	0.08		0	0.00		0	0.00		2	0.08		47	1.90		1	0.04		0	0.00		48	1.94		3	0.12		0	0.00		0	0.00		3	0.12		137	5.55		20	0.81		1	0.04		0	0.00		0	0.00		0	0.00		0	0.00		158	6.40		46	1.86		1	0.04		0	0.00		47	1.90		5	0.20		0	0.00		0	0.00		5	0.20		847	34.32		10	0.41		1	0.04		3	0.12		2	0.08		863	34.97		18	0.73		0	0.00		0	0.00		18	0.73		2	0.08		0	0.00		0	0.00		2	0.08		18	0.73		1	0.04		0	0.00		19	0.77		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00																																																														
	Bathurst Central		36	3.08		5	0.43		0	0.00		1	0.09		42	3.59		23	1.97		1	0.09		0	0.00		24	2.05		4	0.34		0	0.00		0	0.00		4	0.34		3	0.26		0	0.00		0	0.00		3	0.26		20	1.71		0	0.00		0	0.00		20	1.71		1	0.09		0	0.00		0	0.00		1	0.09		76	6.50		12	1.03		0	0.00		0	0.00		0	0.00		1	0.09		0	0.00		89	7.61		16	1.37		1	0.09		0	0.00		17	1.45		1	0.09		0	0.00		0	0.00		1	0.09		407	34.79		4	0.34		0	0.00		1	0.09		1	0.09		413	35.30		8	0.68		2	0.17		0	0.00		10	0.85		1	0.09		0	0.00		0	0.00		1	0.09		7	0.60		1	0.09		0	0.00		8	0.68		1	0.09		0	0.00		0	0.00		0	0.00		1	0.09																																																														
	Bathurst City		73	5.33		3	0.22		0	0.00		0	0.00		76	5.55		25	1.83		1	0.07		0	0.00		26	1.90		0	0.00		1	0.07		0	0.00		1	0.07		4	0.29		0	0.00		0	0.00		4	0.29		28	2.05		1	0.07		0	0.00		29	2.12		0	0.00		0	0.00		0	0.00		0	0.00		96	7.01		6	0.44		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		102	7.45		27	1.97		1	0.07		0	0.00		28	2.05		5	0.37		0	0.00		0	0.00		5	0.37		446	32.58		5	0.37		0	0.00		1	0.07		0	0.00		452	33.02		18	1.31		0	0.00		0	0.00		18	1.31		3	0.22		0	0.00		0	0.00		3	0.22		3	0.22		0	0.00		0	0.00		3	0.22		1	0.07		0	0.00		0	0.00		0	0.00		1	0.07																																																														
	Bathurst High		54	5.03		6	0.56		0	0.00		0	0.00		60	5.59		18	1.68		3	0.28		0	0.00		21	1.96		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		14	1.30		0	0.00		0	0.00		14	1.30		1	0.09		1	0.09		0	0.00		2	0.19		88	8.20		5	0.47		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		93	8.67		17	1.58		3	0.28		0	0.00		20	1.86		3	0.28		0	0.00		0	0.00		3	0.28		367	34.20		4	0.37		1	0.09		0	0.00		0	0.00		372	34.67		10	0.93		0	0.00		0	0.00		10	0.93		1	0.09		0	0.00		0	0.00		1	0.09		12	1.12		0	0.00		0	0.00		12	1.12		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00																																																														
	Bathurst Hospital		37	5.08		5	0.69		0	0.00		1	0.14		43	5.91		20	2.75		2	0.27		0	0.00		22	3.02		0	0.00		1	0.14		0	0.00		1	0.14		1	0.14		0	0.00		0	0.00		1	0.14		11	1.51		1	0.14		0	0.00		12	1.65		1	0.14		0	0.00		0	0.00		1	0.14		31	4.26		1	0.14		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		32	4.40		8	1.10		1	0.14		0	0.00		9	1.24		2	0.27		1	0.14		0	0.00		3	0.41		284	39.01		2	0.27		0	0.00		0	0.00		1	0.14		287	39.42		6	0.82		0	0.00		0	0.00		6	0.82		1	0.14		0	0.00		0	0.00		1	0.14		4	0.55		0	0.00		0	0.00		4	0.55		1	0.14		0	0.00		0	0.00		0	0.00		1	0.14																																																														
	Bathurst St Vincents		22	8.00		0	0.00		0	0.00		0	0.00		22	8.00		4	1.45		1	0.36		0	0.00		5	1.82		1	0.36		0	0.00		0	0.00		1	0.36		0	0.00		0	0.00		0	0.00		0	0.00		10	3.64		0	0.00		0	0.00		10	3.64		0	0.00		0	0.00		0	0.00		0	0.00		13	4.73		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		13	4.73		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		124	45.09		0	0.00		1	0.36		1	0.36		0	0.00		126	45.82		2	0.73		0	0.00		0	0.00		2	0.73		0	0.00		0	0.00		0	0.00		0	0.00		3	1.09		0	0.00		0	0.00		3	1.09		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00																																																														
	Bathurst South		66	5.37		4	0.33		0	0.00		0	0.00		70	5.70		18	1.46		1	0.08		0	0.00		19	1.55		1	0.08		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		0	0.00		0	0.00		21	1.71		0	0.00		0	0.00		21	1.71		0	0.00		1	0.08		0	0.00		1	0.08		79	6.43		2	0.16		1	0.08		0	0.00		0	0.00		0	0.00		1	0.08		83	6.75		26	2.12		1	0.08		0	0.00		27	2.20		2	0.16		0	0.00		0	0.00		2	0.16		480	39.06		7	0.57		0	0.00		5	0.41		1	0.08		493	40.11		12	0.98		2	0.16		0	0.00		14	1.14		5	0.41		0	0.00		0	0.00		5	0.41		13	1.06		1	0.08		0	0.00		14	1.14		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00
	Bathurst West		133	5.48		3	0.12		0	0.00		0	0.00		136	5.61		47	1.94		9	0.37		0	0.00		56	2.31		0	0.00		0	0.00		0	0.00		0	0.00		2	0.08		0	0.00		0	0.00		2	0.08		35	1.44		0	0.00		0	0.00		35	1.44		1	0.04		1	0.04		0	0.00		2	0.08		152	6.27		15	0.62		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		167	6.88		46	1.90		1	0.04		0	0.00		47	1.94		5	0.21		0	0.00		0	0.00		5	0.21		800	32.98		11	0.45		1	0.04		3	0.12		3	0.12		818	33.72		20	0.82		0	0.00		0	0.00		20	0.82		0	0.00		0	0.00		0	0.00		0	0.00		20	0.82		2	0.08		0	0.00		22	0.91		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00
	Billimari		11	7.80		3	2.13		0	0.00		0	0.00		14	9.93		3	2.13		3	2.13		0	0.00		6	4.26		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.71		0	0.00		0	0.00		1	0.71		0	0.00		0	0.00		0	0.00		0	0.00		3	2.13		2	1.42		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	3.55		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		26	18.44		0	0.00		1	0.71		1	0.71		0	0.00		28	19.86		3	2.13		0	0.00		0	0.00		3	2.13		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00
