Senate - 2001 Election: New South Wales																																																																																																																																																																																																																																																															
First Preference Votes by Candidate																																																																																																																																																																																																																																																															
By Polling Place																																																																																																																																																																																																																																																															

Cowper (79982)																																																																																																																																																																																																																																																															
		   	 A Pauline Hanson's One Nation															 B Christian Democratic Party (Fred Nile Group)												 C Unity - Say No To Hanson												 D Citizens Electoral Council of Australia												 E Progressive Labour Party												 F Helen Caldicott's - Our Common Future Party												 G Australian Democrats																								 H Help End Marijuana Prohibition												 I Peter Breen - Reform The Legal System												 J Australian Labor Party / Country Labor																		 K Lower Excise Fuel and Beer Party												 L 												 M The Fishing Party												 N 															 O Non-Custodial Parents Party												 P Nuclear Disarmament Party of Australia												 Q Liberal/Nationals																								 R No Goods and Services Tax Party												
	    		TICKET VOTES			MCKINNON			PUTRA			DEENEY			Group Total			TICKET VOTES			CAPSIS			HUME			Group Total			TICKET VOTES			NGO			MCLEOD			Group Total			TICKET VOTES			BUTLER			COLLINS			Group Total			TICKET VOTES			WOLDRING			LEE			Group Total			TICKET VOTES			CALDICOTT			POTTS			Group Total			TICKET VOTES			BOURNE			YATES			CHUNG			MAYFIELD			PRINCE			EVANS			Group Total			TICKET VOTES			BALDERSTONE			FUGGLE			Group Total			TICKET VOTES			GREENAWAY			ARMSTRONG			Group Total			TICKET VOTES			# STEPHENS			# CAMPBELL			MUNDINE			WOODS			Group Total			TICKET VOTES			O'LOUGHLIN			FREEMAN			Group Total			TICKET VOTES			STEWART			STEWART			Group Total			TICKET VOTES			SMITH			WISEMAN			Group Total			TICKET VOTES			SMITH			LAWLER			ANTHONY			Group Total			TICKET VOTES			THOMPSON			MCKEEGAN			Group Total			TICKET VOTES			DENBOROUGH			FRANCIS			Group Total			TICKET VOTES			# COONAN			# MACDONALD			# PAYNE			NASH			MACDONALD			TANG			Group Total			TICKET VOTES			GALLAGHER			MARTIN						
	    					Don			Rick			Carol									George			Kevin									Thang			Robert									Robert			Glenys									Klaas			Shona									Helen			Ted									Vicki			Joanne			Craig			E Caroline			Janine			Julian									Michael			Don									Denise			Valerie									Ursula			George			Warren			Joanna									David			Paul									Lex			Joe									Robert			David									Warren			Geoff			Dora									Andy			Annette									Michael			Yvonne									Helen			Sandy			Marise			Fiona			Scot			Terence									Mick			Charles H						
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%					
	Argents Hill		9	9.89		1	1.10		0	0.00		0	0.00		10	10.99		1	1.10		0	0.00		0	0.00		1	1.10		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.10		0	0.00		0	0.00		1	1.10		0	0.00		0	0.00		0	0.00		0	0.00		7	7.69		1	1.10		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		8	8.79		0	0.00		3	3.30		0	0.00		3	3.30		0	0.00		0	0.00		0	0.00		0	0.00		22	24.18		0	0.00		0	0.00		0	0.00		0	0.00		22	24.18		1	1.10		0	0.00		0	0.00		1	1.10		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		22	24.18		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		22	24.18		0	0.00		0	0.00		0	0.00					
	Bayldon		165	7.61		10	0.46		0	0.00		0	0.00		175	8.07		59	2.72		5	0.23		0	0.00		64	2.95		0	0.00		0	0.00		0	0.00		0	0.00		1	0.05		0	0.00		0	0.00		1	0.05		29	1.34		0	0.00		0	0.00		29	1.34		1	0.05		0	0.00		0	0.00		1	0.05		101	4.66		7	0.32		0	0.00		0	0.00		1	0.05		0	0.00		1	0.05		110	5.07		13	0.60		2	0.09		0	0.00		15	0.69		3	0.14		1	0.05		0	0.00		4	0.18		705	32.52		7	0.32		0	0.00		0	0.00		0	0.00		712	32.84		63	2.91		1	0.05		1	0.05		65	3.00		0	0.00		0	0.00		0	0.00		0	0.00		17	0.78		1	0.05		1	0.05		19	0.88		1	0.05		0	0.00		0	0.00		0	0.00		1	0.05		6	0.28		0	0.00		0	0.00		6	0.28		3	0.14		0	0.00		0	0.00		3	0.14		865	39.90		10	0.46		0	0.00		0	0.00		1	0.05		0	0.00		0	0.00		876	40.41		19	0.88		0	0.00		0	0.00					
	Bellbrook		14	11.38		0	0.00		0	0.00		0	0.00		14	11.38		1	0.81		0	0.00		0	0.00		1	0.81		1	0.81		0	0.00		0	0.00		1	0.81		1	0.81		0	0.00		0	0.00		1	0.81		10	8.13		0	0.00		0	0.00		10	8.13		0	0.00		1	0.81		0	0.00		1	0.81		4	3.25		2	1.63		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	4.88		3	2.44		0	0.00		0	0.00		3	2.44		1	0.81		0	0.00		0	0.00		1	0.81		36	29.27		0	0.00		0	0.00		0	0.00		0	0.00		36	29.27		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.81		0	0.00		0	0.00		1	0.81		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		41	33.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		41	33.33		0	0.00		0	0.00		0	0.00					
	Bellimbopinni		30	16.95		0	0.00		0	0.00		0	0.00		30	16.95		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.13		0	0.00		0	0.00		2	1.13		1	0.56		0	0.00		0	0.00		1	0.56		6	3.39		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	3.39		1	0.56		0	0.00		0	0.00		1	0.56		1	0.56		0	0.00		0	0.00		1	0.56		46	25.99		3	1.69		1	0.56		0	0.00		0	0.00		50	28.25		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		70	39.55		2	1.13		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		72	40.68		2	1.13		0	0.00		0	0.00					
	Bellingen		96	4.69		4	0.20		1	0.05		1	0.05		102	4.98		53	2.59		12	0.59		0	0.00		65	3.17		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		25	1.22		0	0.00		0	0.00		25	1.22		4	0.20		3	0.15		0	0.00		7	0.34		206	10.06		25	1.22		0	0.00		0	0.00		1	0.05		1	0.05		3	0.15		236	11.52		21	1.03		4	0.20		1	0.05		26	1.27		3	0.15		0	0.00		0	0.00		3	0.15		516	25.20		15	0.73		0	0.00		0	0.00		1	0.05		532	25.98		22	1.07		2	0.10		0	0.00		24	1.17		0	0.00		0	0.00		0	0.00		0	0.00		10	0.49		1	0.05		0	0.00		11	0.54		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.05		0	0.00		0	0.00		1	0.05		3	0.15		0	0.00		0	0.00		3	0.15		616	30.08		4	0.20		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		620	30.27		9	0.44		1	0.05		0	0.00					
	Bellingen Hospital		8	4.08		0	0.00		0	0.00		0	0.00		8	4.08		8	4.08		1	0.51		0	0.00		9	4.59		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.51		0	0.00		0	0.00		1	0.51		0	0.00		0	0.00		0	0.00		0	0.00		16	8.16		3	1.53		0	0.00		1	0.51		0	0.00		0	0.00		0	0.00		20	10.20		3	1.53		1	0.51		0	0.00		4	2.04		0	0.00		0	0.00		0	0.00		0	0.00		60	30.61		3	1.53		1	0.51		0	0.00		0	0.00		64	32.65		1	0.51		0	0.00		0	0.00		1	0.51		0	0.00		0	0.00		0	0.00		0	0.00		1	0.51		0	0.00		0	0.00		1	0.51		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.51		0	0.00		0	0.00		1	0.51		0	0.00		0	0.00		0	0.00		0	0.00		62	31.63		1	0.51		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		63	32.14		1	0.51		0	0.00		0	0.00					
	Boambee		84	6.28		5	0.37		0	0.00		0	0.00		89	6.66		59	4.41		6	0.45		0	0.00		65	4.86		1	0.07		1	0.07		0	0.00		2	0.15		0	0.00		0	0.00		0	0.00		0	0.00		15	1.12		0	0.00		0	0.00		15	1.12		0	0.00		0	0.00		0	0.00		0	0.00		95	7.11		7	0.52		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		102	7.63		11	0.82		2	0.15		0	0.00		13	0.97		1	0.07		0	0.00		0	0.00		1	0.07		217	16.23		4	0.30		0	0.00		1	0.07		0	0.00		222	16.60		22	1.65		2	0.15		0	0.00		24	1.80		0	0.00		0	0.00		0	0.00		0	0.00		9	0.67		0	0.00		0	0.00		9	0.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.15		0	0.00		0	0.00		2	0.15		2	0.15		0	0.00		0	0.00		2	0.15		723	54.08		7	0.52		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		730	54.60		5	0.37		0	0.00		0	0.00					
	Bonville		69	8.10		11	1.29		0	0.00		1	0.12		81	9.51		32	3.76		5	0.59		0	0.00		37	4.34		0	0.00		0	0.00		0	0.00		0	0.00		1	0.12		0	0.00		0	0.00		1	0.12		8	0.94		1	0.12		0	0.00		9	1.06		1	0.12		0	0.00		0	0.00		1	0.12		44	5.16		7	0.82		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		51	5.99		6	0.70		1	0.12		0	0.00		7	0.82		2	0.23		0	0.00		0	0.00		2	0.23		162	19.01		1	0.12		0	0.00		0	0.00		0	0.00		163	19.13		12	1.41		0	0.00		0	0.00		12	1.41		1	0.12		0	0.00		0	0.00		1	0.12		5	0.59		0	0.00		0	0.00		5	0.59		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.12		0	0.00		0	0.00		1	0.12		1	0.12		0	0.00		0	0.00		1	0.12		423	49.65		5	0.59		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		428	50.23		2	0.23		0	0.00		0	0.00
	Bostobrick		7	7.00		3	3.00		0	0.00		0	0.00		10	10.00		0	0.00		1	1.00		0	0.00		1	1.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.00		0	0.00		1	1.00		6	6.00		3	3.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	9.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		20	20.00		0	0.00		0	0.00		0	0.00		1	1.00		21	21.00		2	2.00		1	1.00		0	0.00		3	3.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.00		0	0.00		0	0.00		1	1.00		0	0.00		0	0.00		0	0.00		0	0.00		42	42.00		1	1.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		43	43.00		0	0.00		0	0.00		0	0.00
	Bowraville		154	14.43		7	0.66		0	0.00		1	0.09		162	15.18		17	1.59		3	0.28		0	0.00		20	1.87		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		15	1.41		0	0.00		0	0.00		15	1.41		4	0.37		0	0.00		0	0.00		4	0.37		37	3.47		3	0.28		0	0.00		0	0.00		0	0.00		1	0.09		0	0.00		41	3.84		12	1.12		1	0.09		0	0.00		13	1.22		0	0.00		0	0.00		0	0.00		0	0.00		278	26.05		6	0.56		0	0.00		0	0.00		0	0.00		284	26.62		19	1.78		1	0.09		0	0.00		20	1.87		0	0.00		0	0.00		0	0.00		0	0.00		7	0.66		1	0.09		0	0.00		8	0.75		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.09		0	0.00		0	0.00		1	0.09		385	36.08		4	0.37		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		389	36.46		10	0.94		0	0.00		0	0.00
