Senate - 2001 Election: New South Wales																																																																																																																																																																																																																																																															
First Preference Votes by Candidate																																																																																																																																																																																																																																																															
By Polling Place																																																																																																																																																																																																																																																															

Eden-Monaro (85815)																																																																																																																																																																																																																																																															
			 A Pauline Hanson's One Nation															 B Christian Democratic Party (Fred Nile Group)												 C Unity - Say No To Hanson												 D Citizens Electoral Council of Australia												 E Progressive Labour Party												 F Helen Caldicott's - Our Common Future Party												 G Australian Democrats																								 H Help End Marijuana Prohibition												 I Peter Breen - Reform The Legal System												 J Australian Labor Party / Country Labor																		 K Lower Excise Fuel and Beer Party												 L 												 M The Fishing Party												 N 															 O Non-Custodial Parents Party												 P Nuclear Disarmament Party of Australia												 Q Liberal/Nationals																								 R No Goods and Services Tax Party												
	    		TICKET VOTES			MCKINNON			PUTRA			DEENEY			Group Total			TICKET VOTES			CAPSIS			HUME			Group Total			TICKET VOTES			NGO			MCLEOD			Group Total			TICKET VOTES			BUTLER			COLLINS			Group Total			TICKET VOTES			WOLDRING			LEE			Group Total			TICKET VOTES			CALDICOTT			POTTS			Group Total			TICKET VOTES			BOURNE			YATES			CHUNG			MAYFIELD			PRINCE			EVANS			Group Total			TICKET VOTES			BALDERSTONE			FUGGLE			Group Total			TICKET VOTES			GREENAWAY			ARMSTRONG			Group Total			TICKET VOTES			# STEPHENS			# CAMPBELL			MUNDINE			WOODS			Group Total			TICKET VOTES			O'LOUGHLIN			FREEMAN			Group Total			TICKET VOTES			STEWART			STEWART			Group Total			TICKET VOTES			SMITH			WISEMAN			Group Total			TICKET VOTES			SMITH			LAWLER			ANTHONY			Group Total			TICKET VOTES			THOMPSON			MCKEEGAN			Group Total			TICKET VOTES			DENBOROUGH			FRANCIS			Group Total			TICKET VOTES			# COONAN			# MACDONALD			# PAYNE			NASH			MACDONALD			TANG			Group Total			TICKET VOTES			GALLAGHER			MARTIN						
	    					Don			Rick			Carol									George			Kevin									Thang			Robert									Robert			Glenys									Klaas			Shona									Helen			Ted									Vicki			Joanne			Craig			E Caroline			Janine			Julian									Michael			Don									Denise			Valerie									Ursula			George			Warren			Joanna									David			Paul									Lex			Joe									Robert			David									Warren			Geoff			Dora									Andy			Annette									Michael			Yvonne									Helen			Sandy			Marise			Fiona			Scot			Terence									Mick			Charles H						
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%					
	Adaminaby		25	7.53		2	0.60		0	0.00		0	0.00		27	8.13		6	1.81		3	0.90		0	0.00		9	2.71		1	0.30		0	0.00		0	0.00		1	0.30		0	0.00		0	0.00		0	0.00		0	0.00		6	1.81		0	0.00		0	0.00		6	1.81		0	0.00		0	0.00		0	0.00		0	0.00		15	4.52		1	0.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		16	4.82		1	0.30		1	0.30		0	0.00		2	0.60		2	0.60		0	0.00		0	0.00		2	0.60		70	21.08		0	0.00		0	0.00		0	0.00		0	0.00		70	21.08		0	0.00		0	0.00		0	0.00		0	0.00		3	0.90		0	0.00		0	0.00		3	0.90		2	0.60		0	0.00		0	0.00		2	0.60		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		179	53.92		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		179	53.92		2	0.60		0	0.00		0	0.00					
	Araluen		8	9.20		0	0.00		0	0.00		0	0.00		8	9.20		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	3.45		0	0.00		0	0.00		3	3.45		0	0.00		0	0.00		0	0.00		0	0.00		5	5.75		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	5.75		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		22	25.29		0	0.00		0	0.00		0	0.00		0	0.00		22	25.29		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		43	49.43		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		43	49.43		0	0.00		0	0.00		0	0.00					
	Batehaven		86	5.86		4	0.27		0	0.00		0	0.00		90	6.13		14	0.95		1	0.07		0	0.00		15	1.02		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		20	1.36		0	0.00		0	0.00		20	1.36		4	0.27		0	0.00		0	0.00		4	0.27		59	4.02		8	0.54		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		67	4.56		12	0.82		2	0.14		0	0.00		14	0.95		5	0.34		0	0.00		0	0.00		5	0.34		508	34.60		1	0.07		0	0.00		0	0.00		1	0.07		510	34.74		7	0.48		0	0.00		0	0.00		7	0.48		0	0.00		0	0.00		0	0.00		0	0.00		13	0.89		1	0.07		0	0.00		14	0.95		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.14		0	0.00		0	0.00		2	0.14		670	45.64		2	0.14		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		672	45.78		4	0.27		0	0.00		0	0.00					
	Batemans Bay		160	6.53		5	0.20		0	0.00		0	0.00		165	6.73		60	2.45		0	0.00		0	0.00		60	2.45		0	0.00		0	0.00		0	0.00		0	0.00		1	0.04		0	0.00		0	0.00		1	0.04		35	1.43		1	0.04		0	0.00		36	1.47		1	0.04		1	0.04		0	0.00		2	0.08		102	4.16		6	0.24		1	0.04		0	0.00		0	0.00		1	0.04		0	0.00		110	4.49		18	0.73		0	0.00		0	0.00		18	0.73		4	0.16		0	0.00		0	0.00		4	0.16		788	32.16		5	0.20		0	0.00		0	0.00		0	0.00		793	32.37		18	0.73		0	0.00		0	0.00		18	0.73		3	0.12		0	0.00		0	0.00		3	0.12		19	0.78		1	0.04		0	0.00		20	0.82		1	0.04		0	0.00		0	0.00		0	0.00		1	0.04		6	0.24		0	0.00		0	0.00		6	0.24		3	0.12		0	0.00		0	0.00		3	0.12		1097	44.78		5	0.20		0	0.00		1	0.04		0	0.00		0	0.00		1	0.04		1104	45.06		9	0.37		0	0.00		0	0.00					
	Bega		137	7.14		2	0.10		0	0.00		0	0.00		139	7.24		15	0.78		7	0.36		0	0.00		22	1.15		0	0.00		0	0.00		0	0.00		0	0.00		1	0.05		0	0.00		0	0.00		1	0.05		33	1.72		0	0.00		0	0.00		33	1.72		6	0.31		2	0.10		0	0.00		8	0.42		92	4.79		7	0.36		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		99	5.16		24	1.25		1	0.05		0	0.00		25	1.30		2	0.10		0	0.00		0	0.00		2	0.10		535	27.88		5	0.26		0	0.00		0	0.00		0	0.00		540	28.14		23	1.20		0	0.00		0	0.00		23	1.20		0	0.00		0	0.00		0	0.00		0	0.00		14	0.73		0	0.00		0	0.00		14	0.73		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	0.16		0	0.00		0	0.00		3	0.16		2	0.10		0	0.00		0	0.00		2	0.10		874	45.54		4	0.21		0	0.00		1	0.05		0	0.00		0	0.00		1	0.05		880	45.86		18	0.94		0	0.00		0	0.00					
	Bega Central		74	6.07		4	0.33		0	0.00		0	0.00		78	6.40		9	0.74		1	0.08		0	0.00		10	0.82		1	0.08		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		0	0.00		0	0.00		19	1.56		0	0.00		0	0.00		19	1.56		9	0.74		0	0.00		0	0.00		9	0.74		64	5.25		2	0.16		0	0.00		0	0.00		0	0.00		1	0.08		0	0.00		67	5.50		14	1.15		3	0.25		0	0.00		17	1.39		4	0.33		0	0.00		0	0.00		4	0.33		355	29.12		3	0.25		0	0.00		0	0.00		0	0.00		358	29.37		8	0.66		0	0.00		0	0.00		8	0.66		0	0.00		0	0.00		0	0.00		0	0.00		5	0.41		0	0.00		0	0.00		5	0.41		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		1	0.08		574	47.09		1	0.08		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		575	47.17		7	0.57		0	0.00		0	0.00					
	Bemboka		21	5.24		1	0.25		0	0.00		0	0.00		22	5.49		2	0.50		1	0.25		0	0.00		3	0.75		1	0.25		0	0.00		0	0.00		1	0.25		0	0.00		0	0.00		0	0.00		0	0.00		7	1.75		0	0.00		0	0.00		7	1.75		0	0.00		0	0.00		0	0.00		0	0.00		17	4.24		3	0.75		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		20	4.99		4	1.00		0	0.00		0	0.00		4	1.00		0	0.00		0	0.00		0	0.00		0	0.00		82	20.45		4	1.00		0	0.00		0	0.00		0	0.00		86	21.45		3	0.75		0	0.00		0	0.00		3	0.75		0	0.00		0	0.00		0	0.00		0	0.00		1	0.25		1	0.25		0	0.00		2	0.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		210	52.37		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		210	52.37		4	1.00		0	0.00		0	0.00					
	Bermagui		114	8.24		4	0.29		2	0.14		0	0.00		120	8.68		16	1.16		0	0.00		0	0.00		16	1.16		2	0.14		0	0.00		0	0.00		2	0.14		0	0.00		1	0.07		0	0.00		1	0.07		20	1.45		0	0.00		0	0.00		20	1.45		8	0.58		1	0.07		0	0.00		9	0.65		61	4.41		8	0.58		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		69	4.99		17	1.23		0	0.00		0	0.00		17	1.23		5	0.36		0	0.00		0	0.00		5	0.36		457	33.04		4	0.29		1	0.07		1	0.07		1	0.07		464	33.55		4	0.29		0	0.00		0	0.00		4	0.29		2	0.14		0	0.00		0	0.00		2	0.14		9	0.65		0	0.00		0	0.00		9	0.65		1	0.07		0	0.00		0	0.00		0	0.00		1	0.07		0	0.00		0	0.00		0	0.00		0	0.00		2	0.14		0	0.00		0	0.00		2	0.14		524	37.89		1	0.07		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		525	37.96		3	0.22		0	0.00		0	0.00
	Berridale		44	7.01		2	0.32		0	0.00		0	0.00		46	7.32		10	1.59		0	0.00		1	0.16		11	1.75		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	0.80		0	0.00		0	0.00		5	0.80		1	0.16		0	0.00		0	0.00		1	0.16		33	5.25		3	0.48		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		36	5.73		5	0.80		0	0.00		0	0.00		5	0.80		0	0.00		0	0.00		0	0.00		0	0.00		156	24.84		1	0.16		0	0.00		0	0.00		0	0.00		157	25.00		6	0.96		0	0.00		0	0.00		6	0.96		2	0.32		0	0.00		0	0.00		2	0.32		5	0.80		0	0.00		0	0.00		5	0.80		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.16		0	0.00		0	0.00		1	0.16		1	0.16		0	0.00		0	0.00		1	0.16		312	49.68		1	0.16		1	0.16		0	0.00		0	0.00		0	0.00		0	0.00		314	50.00		3	0.48		0	0.00		0	0.00
	Bibbenluke		6	4.58		0	0.00		0	0.00		0	0.00		6	4.58		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.76		0	0.00		0	0.00		1	0.76		1	0.76		1	0.76		0	0.00		2	1.53		1	0.76		1	0.76		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.53		0	0.00		0	0.00		0	0.00		0	0.00		1	0.76		0	0.00		0	0.00		1	0.76		30	22.90		0	0.00		0	0.00		0	0.00		0	0.00		30	22.90		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.76		0	0.00		0	0.00		1	0.76		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		80	61.07		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		80	61.07		1	0.76		0	0.00		0	0.00
