Senate - 2001 Election: New South Wales																																																																																																																																																																																																																																																															
First Preference Votes by Candidate 																																																																																																																																																																																																																																																															
By Polling Place																																																																																																																																																																																																																																																															

Farrer (84423)																																																																																																																																																																																																																																																															
			 A Pauline Hanson's One Nation															 B Christian Democratic Party (Fred Nile Group)												 C Unity - Say No To Hanson												 D Citizens Electoral Council of Australia												 E Progressive Labour Party												 F Helen Caldicott's - Our Common Future Party												 G Australian Democrats																								 H Help End Marijuana Prohibition												 I Peter Breen - Reform The Legal System												 J Australian Labor Party / Country Labor																		 K Lower Excise Fuel and Beer Party												 L 												 M The Fishing Party												 N 															 O Non-Custodial Parents Party												 P Nuclear Disarmament Party of Australia												 Q Liberal/Nationals																								 R No Goods and Services Tax Party												
	    		TICKET VOTES			MCKINNON			PUTRA			DEENEY			Group Total			TICKET VOTES			CAPSIS			HUME			Group Total			TICKET VOTES			NGO			MCLEOD			Group Total			TICKET VOTES			BUTLER			COLLINS			Group Total			TICKET VOTES			WOLDRING			LEE			Group Total			TICKET VOTES			CALDICOTT			POTTS			Group Total			TICKET VOTES			BOURNE			YATES			CHUNG			MAYFIELD			PRINCE			EVANS			Group Total			TICKET VOTES			BALDERSTONE			FUGGLE			Group Total			TICKET VOTES			GREENAWAY			ARMSTRONG			Group Total			TICKET VOTES			# STEPHENS			# CAMPBELL			MUNDINE			WOODS			Group Total			TICKET VOTES			O'LOUGHLIN			FREEMAN			Group Total			TICKET VOTES			STEWART			STEWART			Group Total			TICKET VOTES			SMITH			WISEMAN			Group Total			TICKET VOTES			SMITH			LAWLER			ANTHONY			Group Total			TICKET VOTES			THOMPSON			MCKEEGAN			Group Total			TICKET VOTES			DENBOROUGH			FRANCIS			Group Total			TICKET VOTES			# COONAN			# MACDONALD			# PAYNE			NASH			MACDONALD			TANG			Group Total			TICKET VOTES			GALLAGHER			MARTIN						
	    					Don			Rick			Carol									George			Kevin									Thang			Robert									Robert			Glenys									Klaas			Shona									Helen			Ted									Vicki			Joanne			Craig			E Caroline			Janine			Julian									Michael			Don									Denise			Valerie									Ursula			George			Warren			Joanna									David			Paul									Lex			Joe									Robert			David									Warren			Geoff			Dora									Andy			Annette									Michael			Yvonne									Helen			Sandy			Marise			Fiona			Scot			Terence									Mick			Charles H						
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%					
	Adelong		66	8.45		1	0.13		0	0.00		0	0.00		67	8.58		18	2.30		1	0.13		0	0.00		19	2.43		2	0.26		0	0.00		0	0.00		2	0.26		2	0.26		0	0.00		0	0.00		2	0.26		25	3.20		0	0.00		0	0.00		25	3.20		1	0.13		0	0.00		0	0.00		1	0.13		19	2.43		4	0.51		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		23	2.94		2	0.26		0	0.00		0	0.00		2	0.26		4	0.51		0	0.00		0	0.00		4	0.51		218	27.91		1	0.13		1	0.13		0	0.00		0	0.00		220	28.17		12	1.54		0	0.00		0	0.00		12	1.54		2	0.26		0	0.00		0	0.00		2	0.26		6	0.77		0	0.00		0	0.00		6	0.77		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.26		0	0.00		0	0.00		2	0.26		1	0.13		0	0.00		0	0.00		1	0.13		367	46.99		4	0.51		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		371	47.50		7	0.90		0	0.00		0	0.00					
	Albury		102	4.68		5	0.23		0	0.00		0	0.00		107	4.91		42	1.93		5	0.23		0	0.00		47	2.15		1	0.05		1	0.05		0	0.00		2	0.09		1	0.05		0	0.00		0	0.00		1	0.05		37	1.70		0	0.00		0	0.00		37	1.70		2	0.09		1	0.05		0	0.00		3	0.14		206	9.45		12	0.55		1	0.05		0	0.00		1	0.05		0	0.00		0	0.00		220	10.09		36	1.65		1	0.05		0	0.00		37	1.70		0	0.00		0	0.00		0	0.00		0	0.00		447	20.50		4	0.18		0	0.00		0	0.00		0	0.00		451	20.68		19	0.87		0	0.00		0	0.00		19	0.87		1	0.05		0	0.00		0	0.00		1	0.05		11	0.50		1	0.05		0	0.00		12	0.55		0	0.00		0	0.00		1	0.05		0	0.00		1	0.05		0	0.00		0	0.00		0	0.00		0	0.00		6	0.28		0	0.00		0	0.00		6	0.28		1031	47.27		3	0.14		0	0.00		1	0.05		1	0.05		0	0.00		1	0.05		1037	47.55		14	0.64		0	0.00		0	0.00					
	Albury East		75	6.84		4	0.36		0	0.00		0	0.00		79	7.20		20	1.82		4	0.36		0	0.00		24	2.19		1	0.09		0	0.00		0	0.00		1	0.09		0	0.00		0	0.00		0	0.00		0	0.00		23	2.10		0	0.00		1	0.09		24	2.19		0	0.00		0	0.00		0	0.00		0	0.00		60	5.47		1	0.09		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		61	5.56		8	0.73		0	0.00		0	0.00		8	0.73		1	0.09		0	0.00		0	0.00		1	0.09		250	22.79		1	0.09		0	0.00		0	0.00		1	0.09		252	22.97		6	0.55		1	0.09		0	0.00		7	0.64		3	0.27		0	0.00		0	0.00		3	0.27		14	1.28		0	0.00		0	0.00		14	1.28		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.09		0	0.00		0	0.00		1	0.09		1	0.09		0	0.00		0	0.00		1	0.09		561	51.14		4	0.36		0	0.00		1	0.09		0	0.00		0	0.00		2	0.18		568	51.78		5	0.46		0	0.00		0	0.00					
	Albury High School		80	3.54		4	0.18		0	0.00		0	0.00		84	3.72		31	1.37		9	0.40		0	0.00		40	1.77		0	0.00		0	0.00		0	0.00		0	0.00		2	0.09		0	0.00		0	0.00		2	0.09		22	0.97		1	0.04		0	0.00		23	1.02		2	0.09		0	0.00		0	0.00		2	0.09		215	9.52		9	0.40		1	0.04		2	0.09		2	0.09		1	0.04		1	0.04		231	10.23		20	0.89		3	0.13		0	0.00		23	1.02		3	0.13		0	0.00		0	0.00		3	0.13		385	17.05		8	0.35		1	0.04		1	0.04		0	0.00		395	17.49		19	0.84		0	0.00		0	0.00		19	0.84		5	0.22		0	0.00		0	0.00		5	0.22		10	0.44		1	0.04		0	0.00		11	0.49		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.09		0	0.00		0	0.00		2	0.09		3	0.13		1	0.04		0	0.00		4	0.18		1207	53.45		6	0.27		1	0.04		1	0.04		0	0.00		1	0.04		0	0.00		1216	53.85		15	0.66		0	0.00		0	0.00					
	Albury Mercy Hospital		5	5.62		0	0.00		0	0.00		0	0.00		5	5.62		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.12		0	0.00		0	0.00		1	1.12		2	2.25		1	1.12		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	3.37		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		20	22.47		0	0.00		0	0.00		0	0.00		0	0.00		20	22.47		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.12		0	0.00		1	1.12		52	58.43		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		52	58.43		1	1.12		0	0.00		0	0.00					
	Albury North		123	7.09		10	0.58		0	0.00		0	0.00		133	7.67		38	2.19		3	0.17		0	0.00		41	2.36		0	0.00		0	0.00		0	0.00		0	0.00		1	0.06		0	0.00		0	0.00		1	0.06		31	1.79		1	0.06		0	0.00		32	1.84		3	0.17		1	0.06		0	0.00		4	0.23		103	5.94		9	0.52		0	0.00		0	0.00		1	0.06		0	0.00		2	0.12		115	6.63		38	2.19		0	0.00		0	0.00		38	2.19		4	0.23		0	0.00		0	0.00		4	0.23		397	22.88		3	0.17		0	0.00		0	0.00		1	0.06		401	23.11		17	0.98		0	0.00		0	0.00		17	0.98		4	0.23		0	0.00		0	0.00		4	0.23		17	0.98		0	0.00		0	0.00		17	0.98		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	0.29		0	0.00		0	0.00		5	0.29		3	0.17		0	0.00		0	0.00		3	0.17		805	46.40		3	0.17		1	0.06		0	0.00		0	0.00		0	0.00		0	0.00		809	46.63		25	1.44		0	0.00		0	0.00					
	Albury North Central		123	9.01		3	0.22		0	0.00		0	0.00		126	9.23		20	1.47		2	0.15		0	0.00		22	1.61		1	0.07		0	0.00		0	0.00		1	0.07		1	0.07		0	0.00		0	0.00		1	0.07		41	3.00		2	0.15		0	0.00		43	3.15		1	0.07		0	0.00		0	0.00		1	0.07		67	4.91		2	0.15		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		69	5.05		12	0.88		0	0.00		0	0.00		12	0.88		5	0.37		1	0.07		0	0.00		6	0.44		384	28.13		1	0.07		1	0.07		0	0.00		0	0.00		386	28.28		9	0.66		0	0.00		0	0.00		9	0.66		3	0.22		0	0.00		0	0.00		3	0.22		16	1.17		0	0.00		0	0.00		16	1.17		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.07		0	0.00		0	0.00		1	0.07		3	0.22		0	0.00		0	0.00		3	0.22		601	44.03		2	0.15		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		603	44.18		19	1.39		0	0.00		0	0.00					
	Albury South		98	6.87		6	0.42		0	0.00		0	0.00		104	7.29		24	1.68		3	0.21		0	0.00		27	1.89		0	0.00		0	0.00		0	0.00		0	0.00		4	0.28		0	0.00		0	0.00		4	0.28		25	1.75		0	0.00		0	0.00		25	1.75		1	0.07		0	0.00		0	0.00		1	0.07		93	6.52		9	0.63		1	0.07		0	0.00		0	0.00		0	0.00		1	0.07		104	7.29		16	1.12		0	0.00		0	0.00		16	1.12		0	0.00		0	0.00		0	0.00		0	0.00		325	22.79		5	0.35		1	0.07		0	0.00		0	0.00		331	23.21		20	1.40		0	0.00		0	0.00		20	1.40		0	0.00		0	0.00		0	0.00		0	0.00		16	1.12		0	0.00		0	0.00		16	1.12		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	0.21		0	0.00		0	0.00		3	0.21		684	47.97		6	0.42		1	0.07		0	0.00		0	0.00		0	0.00		1	0.07		692	48.53		9	0.63		1	0.07		0	0.00
	Albury West		71	3.98		2	0.11		0	0.00		0	0.00		73	4.09		9	0.50		1	0.06		0	0.00		10	0.56		3	0.17		1	0.06		0	0.00		4	0.22		0	0.00		0	0.00		0	0.00		0	0.00		29	1.62		0	0.00		0	0.00		29	1.62		2	0.11		0	0.00		0	0.00		2	0.11		137	7.67		4	0.22		0	0.00		0	0.00		0	0.00		0	0.00		1	0.06		142	7.95		8	0.45		1	0.06		0	0.00		9	0.50		4	0.22		0	0.00		0	0.00		4	0.22		349	19.54		3	0.17		0	0.00		1	0.06		0	0.00		353	19.76		9	0.50		0	0.00		0	0.00		9	0.50		2	0.11		0	0.00		0	0.00		2	0.11		15	0.84		0	0.00		0	0.00		15	0.84		1	0.06		0	0.00		0	0.00		0	0.00		1	0.06		0	0.00		0	0.00		0	0.00		0	0.00		5	0.28		0	0.00		0	0.00		5	0.28		1011	56.61		6	0.34		0	0.00		0	0.00		0	0.00		1	0.06		1	0.06		1019	57.05		8	0.45		0	0.00		0	0.00
	Balldale		9	7.38		2	1.64		0	0.00		0	0.00		11	9.02		12	9.84		2	1.64		0	0.00		14	11.48		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.82		1	0.82		0	0.00		0	0.00		0	0.00		0	0.00		3	2.46		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	2.46		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		13	10.66		1	0.82		0	0.00		0	0.00		0	0.00		14	11.48		1	0.82		0	0.00		0	0.00		1	0.82		0	0.00		0	0.00		0	0.00		0	0.00		1	0.82		0	0.00		0	0.00		1	0.82		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		76	62.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		76	62.30		0	0.00		0	0.00		0	0.00
	Balranald		88	11.47		1	0.13		0	0.00		0	0.00		89	11.60		2	0.26		0	0.00		0	0.00		2	0.26		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		15	1.96		0	0.00		0	0.00		15	1.96		0	0.00		0	0.00		0	0.00		0	0.00		20	2.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		20	2.61		5	0.65		0	0.00		0	0.00		5	0.65		2	0.26		0	0.00		0	0.00		2	0.26		225	29.34		2	0.26		0	0.00		0	0.00		0	0.00		227	29.60		5	0.65		1	0.13		0	0.00		6	0.78		0	0.00		0	0.00		0	0.00		0	0.00		5	0.65		1	0.13		0	0.00		6	0.78		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.13		0	0.00		0	0.00		1	0.13		0	0.00		0	0.00		0	0.00		0	0.00		377	49.15		0	0.00		1	0.13		0	0.00		0	0.00		0	0.00		0	0.00		378	49.28		2	0.26		0	0.00		0	0.00
	Barham		96	9.30		3	0.29		0	0.00		0	0.00		99	9.59		11	1.07		1	0.10		1	0.10		13	1.26		1	0.10		0	0.00		0	0.00		1	0.10		2	0.19		0	0.00		0	0.00		2	0.19		14	1.36		0	0.00		0	0.00		14	1.36		1	0.10		0	0.00		0	0.00		1	0.10		38	3.68		2	0.19		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		40	3.88		4	0.39		1	0.10		0	0.00		5	0.48		1	0.10		0	0.00		0	0.00		1	0.10		180	17.44		0	0.00		0	0.00		0	0.00		0	0.00		180	17.44		8	0.78		0	0.00		0	0.00		8	0.78		1	0.10		0	0.00		0	0.00		1	0.10		10	0.97		0	0.00		0	0.00		10	0.97		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.10		0	0.00		0	0.00		1	0.10		1	0.10		0	0.00		0	0.00		1	0.10		628	60.85		1	0.10		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		629	60.95		8	0.78		0	0.00		0	0.00
	Barooga		42	4.71		1	0.11		0	0.00		0	0.00		43	4.82		6	0.67		0	0.00		0	0.00		6	0.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		18	2.02		0	0.00		0	0.00		18	2.02		0	0.00		0	0.00		0	0.00		0	0.00		26	2.91		1	0.11		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		27	3.03		4	0.45		0	0.00		0	0.00		4	0.45		0	0.00		0	0.00		0	0.00		0	0.00		212	23.77		1	0.11		0	0.00		0	0.00		0	0.00		213	23.88		6	0.67		0	0.00		0	0.00		6	0.67		0	0.00		0	0.00		0	0.00		0	0.00		7	0.78		1	0.11		0	0.00		8	0.90		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.11		0	0.00		0	0.00		1	0.11		4	0.45		0	0.00		0	0.00		4	0.45		536	60.09		0	0.00		0	0.00		1	0.11		0	0.00		0	0.00		0	0.00		537	60.20		2	0.22		0	0.00		0	0.00
	Batlow		89	9.98		5	0.56		0	0.00		0	0.00		94	10.54		18	2.02		0	0.00		0	0.00		18	2.02		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		21	2.35		0	0.00		0	0.00		21	2.35		1	0.11		1	0.11		0	0.00		2	0.22		25	2.80		3	0.34		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		28	3.14		15	1.68		0	0.00		0	0.00		15	1.68		3	0.34		0	0.00		0	0.00		3	0.34		316	35.43		1	0.11		0	0.00		0	0.00		1	0.11		318	35.65		11	1.23		1	0.11		0	0.00		12	1.35		0	0.00		0	0.00		0	0.00		0	0.00		13	1.46		0	0.00		0	0.00		13	1.46		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.11		0	0.00		0	0.00		1	0.11		0	0.00		0	0.00		0	0.00		0	0.00		323	36.21		2	0.22		1	0.11		0	0.00		0	0.00		0	0.00		0	0.00		326	36.55		7	0.78		0	0.00		0	0.00
	Berrigan		79	9.10		4	0.46		0	0.00		0	0.00		83	9.56		17	1.96		1	0.12		0	0.00		18	2.07		1	0.12		0	0.00		0	0.00		1	0.12		0	0.00		0	0.00		0	0.00		0	0.00		16	1.84		0	0.00		0	0.00		16	1.84		1	0.12		0	0.00		0	0.00		1	0.12		20	2.30		3	0.35		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		23	2.65		7	0.81		0	0.00		0	0.00		7	0.81		0	0.00		0	0.00		0	0.00		0	0.00		133	15.32		1	0.12		1	0.12		0	0.00		0	0.00		135	15.55		14	1.61		0	0.00		0	0.00		14	1.61		1	0.12		0	0.00		0	0.00		1	0.12		12	1.38		0	0.00		0	0.00		12	1.38		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.12		0	0.00		0	0.00		1	0.12		0	0.00		0	0.00		0	0.00		0	0.00		527	60.71		1	0.12		1	0.12		0	0.00		1	0.12		0	0.00		0	0.00		530	61.06		9	1.04		0	0.00		0	0.00
	Blighty		8	4.26		1	0.53		0	0.00		0	0.00		9	4.79		5	2.66		0	0.00		0	0.00		5	2.66		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.53		0	0.00		0	0.00		1	0.53		0	0.00		0	0.00		0	0.00		0	0.00		3	1.60		1	0.53		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	2.13		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	4.79		0	0.00		0	0.00		0	0.00		0	0.00		9	4.79		1	0.53		0	0.00		0	0.00		1	0.53		0	0.00		0	0.00		0	0.00		0	0.00		1	0.53		0	0.00		0	0.00		1	0.53		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		158	84.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		158	84.04		0	0.00		0	0.00		0	0.00
	Boree Creek		9	6.08		1	0.68		0	0.00		0	0.00		10	6.76		1	0.68		0	0.00		0	0.00		1	0.68		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	2.03		0	0.00		0	0.00		3	2.03		0	0.00		0	0.00		0	0.00		0	0.00		2	1.35		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.35		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		14	9.46		0	0.00		1	0.68		0	0.00		0	0.00		15	10.14		1	0.68		0	0.00		0	0.00		1	0.68		0	0.00		0	0.00		0	0.00		0	0.00		1	0.68		0	0.00		0	0.00		1	0.68		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.68		0	0.00		0	0.00		1	0.68		112	75.68		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		112	75.68		0	0.00		0	0.00		0	0.00
