Senate - 2001 Election: New South Wales																																																																																																																																																																																																																																																															
First Preference Votes by Candidate 																																																																																																																																																																																																																																																															
By Polling Place																																																																																																																																																																																																																																																															

Gwydir (84602)																																																																																																																																																																																																																																																															
			 A Pauline Hanson's One Nation															 B Christian Democratic Party (Fred Nile Group)												 C Unity - Say No To Hanson												 D Citizens Electoral Council of Australia												 E Progressive Labour Party												 F Helen Caldicott's - Our Common Future Party												 G Australian Democrats																								 H Help End Marijuana Prohibition												 I Peter Breen - Reform The Legal System												 J Australian Labor Party / Country Labor																		 K Lower Excise Fuel and Beer Party												 L 												 M The Fishing Party												 N 															 O Non-Custodial Parents Party												 P Nuclear Disarmament Party of Australia												 Q Liberal/Nationals																								 R No Goods and Services Tax Party												
	    		TICKET VOTES			MCKINNON			PUTRA			DEENEY			Group Total			TICKET VOTES			CAPSIS			HUME			Group Total			TICKET VOTES			NGO			MCLEOD			Group Total			TICKET VOTES			BUTLER			COLLINS			Group Total			TICKET VOTES			WOLDRING			LEE			Group Total			TICKET VOTES			CALDICOTT			POTTS			Group Total			TICKET VOTES			BOURNE			YATES			CHUNG			MAYFIELD			PRINCE			EVANS			Group Total			TICKET VOTES			BALDERSTONE			FUGGLE			Group Total			TICKET VOTES			GREENAWAY			ARMSTRONG			Group Total			TICKET VOTES			# STEPHENS			# CAMPBELL			MUNDINE			WOODS			Group Total			TICKET VOTES			O'LOUGHLIN			FREEMAN			Group Total			TICKET VOTES			STEWART			STEWART			Group Total			TICKET VOTES			SMITH			WISEMAN			Group Total			TICKET VOTES			SMITH			LAWLER			ANTHONY			Group Total			TICKET VOTES			THOMPSON			MCKEEGAN			Group Total			TICKET VOTES			DENBOROUGH			FRANCIS			Group Total			TICKET VOTES			# COONAN			# MACDONALD			# PAYNE			NASH			MACDONALD			TANG			Group Total			TICKET VOTES			GALLAGHER			MARTIN						
	    					Don			Rick			Carol									George			Kevin									Thang			Robert									Robert			Glenys									Klaas			Shona									Helen			Ted									Vicki			Joanne			Craig			E Caroline			Janine			Julian									Michael			Don									Denise			Valerie									Ursula			George			Warren			Joanna									David			Paul									Lex			Joe									Robert			David									Warren			Geoff			Dora									Andy			Annette									Michael			Yvonne									Helen			Sandy			Marise			Fiona			Scot			Terence									Mick			Charles H						
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%					
	Aberdeen		115	10.18		8	0.71		0	0.00		0	0.00		123	10.88		9	0.80		0	0.00		0	0.00		9	0.80		1	0.09		0	0.00		0	0.00		1	0.09		4	0.35		0	0.00		0	0.00		4	0.35		39	3.45		0	0.00		0	0.00		39	3.45		1	0.09		0	0.00		0	0.00		1	0.09		35	3.10		1	0.09		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		36	3.19		13	1.15		2	0.18		0	0.00		15	1.33		3	0.27		0	0.00		0	0.00		3	0.27		414	36.64		2	0.18		0	0.00		0	0.00		0	0.00		416	36.81		21	1.86		0	0.00		0	0.00		21	1.86		1	0.09		0	0.00		0	0.00		1	0.09		23	2.04		1	0.09		0	0.00		24	2.12		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		409	36.19		2	0.18		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		411	36.37		8	0.71		0	0.00		0	0.00					
	Ashley		23	15.54		1	0.68		0	0.00		0	0.00		24	16.22		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	2.70		0	0.00		0	0.00		4	2.70		1	0.68		0	0.00		0	0.00		1	0.68		2	1.35		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.35		0	0.00		0	0.00		0	0.00		0	0.00		1	0.68		0	0.00		0	0.00		1	0.68		26	17.57		0	0.00		0	0.00		0	0.00		0	0.00		26	17.57		3	2.03		0	0.00		0	0.00		3	2.03		0	0.00		0	0.00		0	0.00		0	0.00		4	2.70		0	0.00		0	0.00		4	2.70		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.68		0	0.00		0	0.00		1	0.68		0	0.00		0	0.00		0	0.00		0	0.00		78	52.70		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		78	52.70		1	0.68		0	0.00		0	0.00					
	Baan Baa		26	18.57		0	0.00		0	0.00		0	0.00		26	18.57		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.43		0	0.00		0	0.00		2	1.43		1	0.71		0	0.00		0	0.00		1	0.71		0	0.00		0	0.00		0	0.00		0	0.00		1	0.71		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.71		2	1.43		0	0.00		0	0.00		2	1.43		0	0.00		0	0.00		0	0.00		0	0.00		14	10.00		0	0.00		0	0.00		0	0.00		0	0.00		14	10.00		2	1.43		1	0.71		0	0.00		3	2.14		0	0.00		0	0.00		0	0.00		0	0.00		2	1.43		0	0.00		0	0.00		2	1.43		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		89	63.57		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		89	63.57		0	0.00		0	0.00		0	0.00					
	Balladoran		32	32.65		2	2.04		0	0.00		0	0.00		34	34.69		2	2.04		0	0.00		0	0.00		2	2.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.02		0	0.00		0	0.00		1	1.02		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		11	11.22		0	0.00		0	0.00		0	0.00		0	0.00		11	11.22		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		49	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		49	50.00		0	0.00		0	0.00		0	0.00					
	Baradine		106	16.88		0	0.00		0	0.00		0	0.00		106	16.88		6	0.96		1	0.16		0	0.00		7	1.11		0	0.00		0	0.00		0	0.00		0	0.00		3	0.48		0	0.00		0	0.00		3	0.48		18	2.87		0	0.00		0	0.00		18	2.87		0	0.00		0	0.00		0	0.00		0	0.00		5	0.80		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	0.80		3	0.48		1	0.16		0	0.00		4	0.64		1	0.16		0	0.00		0	0.00		1	0.16		143	22.77		0	0.00		0	0.00		0	0.00		0	0.00		143	22.77		6	0.96		0	0.00		0	0.00		6	0.96		0	0.00		0	0.00		0	0.00		0	0.00		5	0.80		0	0.00		0	0.00		5	0.80		2	0.32		0	0.00		0	0.00		0	0.00		2	0.32		1	0.16		0	0.00		0	0.00		1	0.16		0	0.00		0	0.00		0	0.00		0	0.00		308	49.04		4	0.64		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		312	49.68		9	1.43		0	0.00		0	0.00					
	Bellata		39	17.18		1	0.44		0	0.00		0	0.00		40	17.62		5	2.20		0	0.00		0	0.00		5	2.20		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	1.32		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	1.32		2	0.88		0	0.00		0	0.00		2	0.88		0	0.00		0	0.00		0	0.00		0	0.00		20	8.81		0	0.00		0	0.00		0	0.00		0	0.00		20	8.81		6	2.64		0	0.00		0	0.00		6	2.64		0	0.00		0	0.00		0	0.00		0	0.00		3	1.32		0	0.00		0	0.00		3	1.32		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		143	63.00		0	0.00		0	0.00		0	0.00		1	0.44		0	0.00		0	0.00		144	63.44		2	0.88		0	0.00		0	0.00					
	Binnaway		93	20.17		3	0.65		0	0.00		0	0.00		96	20.82		4	0.87		0	0.00		0	0.00		4	0.87		1	0.22		0	0.00		0	0.00		1	0.22		3	0.65		0	0.00		0	0.00		3	0.65		11	2.39		0	0.00		0	0.00		11	2.39		0	0.00		0	0.00		0	0.00		0	0.00		7	1.52		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	1.52		12	2.60		0	0.00		0	0.00		12	2.60		2	0.43		0	0.00		0	0.00		2	0.43		157	34.06		2	0.43		0	0.00		1	0.22		0	0.00		160	34.71		3	0.65		0	0.00		0	0.00		3	0.65		0	0.00		0	0.00		0	0.00		0	0.00		5	1.08		0	0.00		0	0.00		5	1.08		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.22		0	0.00		0	0.00		1	0.22		0	0.00		0	0.00		0	0.00		0	0.00		145	31.45		1	0.22		0	0.00		0	0.00		1	0.22		0	0.00		0	0.00		147	31.89		2	0.43		0	0.00		0	0.00					
	Blackville		4	4.55		0	0.00		0	0.00		0	0.00		4	4.55		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	3.41		0	0.00		0	0.00		3	3.41		1	1.14		0	0.00		0	0.00		1	1.14		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		8	9.09		0	0.00		0	0.00		0	0.00		0	0.00		8	9.09		1	1.14		0	0.00		0	0.00		1	1.14		0	0.00		0	0.00		0	0.00		0	0.00		1	1.14		0	0.00		0	0.00		1	1.14		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		67	76.14		1	1.14		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		68	77.27		1	1.14		0	0.00		0	0.00
	Blandford		23	11.56		0	0.00		0	0.00		0	0.00		23	11.56		1	0.50		0	0.00		0	0.00		1	0.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	3.52		0	0.00		0	0.00		7	3.52		0	0.00		0	0.00		0	0.00		0	0.00		3	1.51		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	1.51		1	0.50		0	0.00		0	0.00		1	0.50		0	0.00		0	0.00		0	0.00		0	0.00		42	21.11		0	0.00		0	0.00		0	0.00		0	0.00		42	21.11		3	1.51		0	0.00		0	0.00		3	1.51		0	0.00		0	0.00		0	0.00		0	0.00		1	0.50		0	0.00		0	0.00		1	0.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		109	54.77		0	0.00		1	0.50		0	0.00		0	0.00		1	0.50		0	0.00		111	55.78		1	0.50		0	0.00		0	0.00
	Boggabilla		69	17.88		2	0.52		0	0.00		0	0.00		71	18.39		2	0.52		2	0.52		0	0.00		4	1.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		10	2.59		0	0.00		0	0.00		10	2.59		0	0.00		0	0.00		0	0.00		0	0.00		9	2.33		1	0.26		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		10	2.59		0	0.00		0	0.00		0	0.00		0	0.00		3	0.78		0	0.00		0	0.00		3	0.78		100	25.91		0	0.00		0	0.00		0	0.00		0	0.00		100	25.91		3	0.78		0	0.00		0	0.00		3	0.78		0	0.00		1	0.26		0	0.00		1	0.26		5	1.30		0	0.00		0	0.00		5	1.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		169	43.78		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		169	43.78		5	1.30		0	0.00		0	0.00
	Boggabri		93	13.03		3	0.42		0	0.00		0	0.00		96	13.45		8	1.12		2	0.28		0	0.00		10	1.40		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		17	2.38		0	0.00		0	0.00		17	2.38		2	0.28		0	0.00		0	0.00		2	0.28		12	1.68		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		12	1.68		4	0.56		0	0.00		0	0.00		4	0.56		0	0.00		0	0.00		0	0.00		0	0.00		185	25.91		0	0.00		0	0.00		0	0.00		0	0.00		185	25.91		6	0.84		0	0.00		0	0.00		6	0.84		0	0.00		0	0.00		0	0.00		0	0.00		1	0.14		0	0.00		0	0.00		1	0.14		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.28		0	0.00		0	0.00		2	0.28		351	49.16		2	0.28		3	0.42		0	0.00		0	0.00		0	0.00		0	0.00		356	49.86		3	0.42		0	0.00		0	0.00
	Boomi		28	19.44		1	0.69		0	0.00		0	0.00		29	20.14		2	1.39		0	0.00		0	0.00		2	1.39		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	2.08		0	0.00		0	0.00		3	2.08		0	0.00		0	0.00		0	0.00		0	0.00		2	1.39		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.39		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		23	15.97		0	0.00		0	0.00		0	0.00		0	0.00		23	15.97		2	1.39		0	0.00		0	0.00		2	1.39		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		81	56.25		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		81	56.25		1	0.69		0	0.00		0	0.00
	Bourke		174	13.34		4	0.31		0	0.00		0	0.00		178	13.65		91	6.98		7	0.54		0	0.00		98	7.52		1	0.08		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		0	0.00		0	0.00		84	6.44		0	0.00		0	0.00		84	6.44		2	0.15		0	0.00		0	0.00		2	0.15		28	2.15		0	0.00		0	0.00		0	0.00		0	0.00		1	0.08		0	0.00		29	2.22		7	0.54		2	0.15		0	0.00		9	0.69		0	0.00		0	0.00		0	0.00		0	0.00		281	21.55		3	0.23		0	0.00		0	0.00		0	0.00		284	21.78		11	0.84		0	0.00		0	0.00		11	0.84		2	0.15		0	0.00		0	0.00		2	0.15		14	1.07		0	0.00		0	0.00		14	1.07		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		1	0.08		1	0.08		0	0.00		0	0.00		1	0.08		561	43.02		5	0.38		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		567	43.48		7	0.54		0	0.00		0	0.00
	Breeza		17	14.41		1	0.85		0	0.00		0	0.00		18	15.25		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.69		0	0.00		0	0.00		2	1.69		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.85		0	0.00		0	0.00		1	0.85		0	0.00		0	0.00		0	0.00		0	0.00		23	19.49		0	0.00		0	0.00		0	0.00		0	0.00		23	19.49		2	1.69		0	0.00		0	0.00		2	1.69		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.85		0	0.00		0	0.00		1	0.85		63	53.39		2	1.69		1	0.85		0	0.00		0	0.00		0	0.00		0	0.00		66	55.93		2	1.69		0	0.00		1	0.85
	Brewarrina		52	9.17		7	1.23		1	0.18		1	0.18		61	10.76		3	0.53		0	0.00		0	0.00		3	0.53		0	0.00		0	0.00		0	0.00		0	0.00		1	0.18		0	0.00		0	0.00		1	0.18		25	4.41		0	0.00		0	0.00		25	4.41		0	0.00		0	0.00		0	0.00		0	0.00		5	0.88		1	0.18		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	1.06		3	0.53		0	0.00		0	0.00		3	0.53		3	0.53		0	0.00		0	0.00		3	0.53		209	36.86		0	0.00		0	0.00		0	0.00		0	0.00		209	36.86		6	1.06		0	0.00		0	0.00		6	1.06		1	0.18		0	0.00		0	0.00		1	0.18		2	0.35		1	0.18		0	0.00		3	0.53		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.18		0	0.00		0	0.00		1	0.18		230	40.56		5	0.88		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		235	41.45		2	0.35		0	0.00		0	0.00
	Bugaldie		14	14.58		1	1.04		0	0.00		0	0.00		15	15.63		2	2.08		3	3.13		0	0.00		5	5.21		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.04		0	0.00		0	0.00		1	1.04		0	0.00		0	0.00		0	0.00		0	0.00		1	1.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	7.29		0	0.00		0	0.00		0	0.00		0	0.00		7	7.29		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		62	64.58		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		62	64.58		1	1.04		0	0.00		0	0.00
	Bullarah		15	13.39		0	0.00		0	0.00		0	0.00		15	13.39		1	0.89		0	0.00		0	0.00		1	0.89		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.89		0	0.00		0	0.00		1	0.89		0	0.00		0	0.00		0	0.00		0	0.00		3	2.68		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	2.68		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	8.04		0	0.00		0	0.00		0	0.00		0	0.00		9	8.04		1	0.89		0	0.00		0	0.00		1	0.89		0	0.00		0	0.00		0	0.00		0	0.00		1	0.89		0	0.00		0	0.00		1	0.89		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		80	71.43		0	0.00		1	0.89		0	0.00		0	0.00		0	0.00		0	0.00		81	72.32		0	0.00		0	0.00		0	0.00
