Senate - 2001 Election: New South Wales																																																																																																																																																																																																																																																															
First Preference Votes by Candidate																																																																																																																																																																																																																																																															
By Polling Place																																																																																																																																																																																																																																																															

Hume (85640)																																																																																																																																																																																																																																																															
			 A Pauline Hanson's One Nation															 B Christian Democratic Party (Fred Nile Group)												 C Unity - Say No To Hanson												 D Citizens Electoral Council of Australia												 E Progressive Labour Party												 F Helen Caldicott's - Our Common Future Party												 G Australian Democrats																								 H Help End Marijuana Prohibition												 I Peter Breen - Reform The Legal System												 J Australian Labor Party / Country Labor																		 K Lower Excise Fuel and Beer Party												 L 												 M The Fishing Party												 N 															 O Non-Custodial Parents Party												 P Nuclear Disarmament Party of Australia												 Q Liberal/Nationals																								 R No Goods and Services Tax Party												
	    		TICKET VOTES			MCKINNON			PUTRA			DEENEY			Group Total			TICKET VOTES			CAPSIS			HUME			Group Total			TICKET VOTES			NGO			MCLEOD			Group Total			TICKET VOTES			BUTLER			COLLINS			Group Total			TICKET VOTES			WOLDRING			LEE			Group Total			TICKET VOTES			CALDICOTT			POTTS			Group Total			TICKET VOTES			BOURNE			YATES			CHUNG			MAYFIELD			PRINCE			EVANS			Group Total			TICKET VOTES			BALDERSTONE			FUGGLE			Group Total			TICKET VOTES			GREENAWAY			ARMSTRONG			Group Total			TICKET VOTES			# STEPHENS			# CAMPBELL			MUNDINE			WOODS			Group Total			TICKET VOTES			O'LOUGHLIN			FREEMAN			Group Total			TICKET VOTES			STEWART			STEWART			Group Total			TICKET VOTES			SMITH			WISEMAN			Group Total			TICKET VOTES			SMITH			LAWLER			ANTHONY			Group Total			TICKET VOTES			THOMPSON			MCKEEGAN			Group Total			TICKET VOTES			DENBOROUGH			FRANCIS			Group Total			TICKET VOTES			# COONAN			# MACDONALD			# PAYNE			NASH			MACDONALD			TANG			Group Total			TICKET VOTES			GALLAGHER			MARTIN						
	    					Don			Rick			Carol									George			Kevin									Thang			Robert									Robert			Glenys									Klaas			Shona									Helen			Ted									Vicki			Joanne			Craig			E Caroline			Janine			Julian									Michael			Don									Denise			Valerie									Ursula			George			Warren			Joanna									David			Paul									Lex			Joe									Robert			David									Warren			Geoff			Dora									Andy			Annette									Michael			Yvonne									Helen			Sandy			Marise			Fiona			Scot			Terence									Mick			Charles H						
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%					
	Appin		93	9.85		1	0.11		0	0.00		0	0.00		94	9.96		12	1.27		3	0.32		0	0.00		15	1.59		3	0.32		0	0.00		0	0.00		3	0.32		0	0.00		0	0.00		0	0.00		0	0.00		19	2.01		0	0.00		1	0.11		20	2.12		0	0.00		0	0.00		0	0.00		0	0.00		48	5.08		4	0.42		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		52	5.51		8	0.85		0	0.00		0	0.00		8	0.85		1	0.11		0	0.00		0	0.00		1	0.11		251	26.59		2	0.21		0	0.00		0	0.00		1	0.11		254	26.91		6	0.64		0	0.00		0	0.00		6	0.64		0	0.00		0	0.00		0	0.00		0	0.00		7	0.74		1	0.11		0	0.00		8	0.85		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		432	45.76		6	0.64		0	0.00		0	0.00		0	0.00		1	0.11		0	0.00		439	46.50		9	0.95		0	0.00		0	0.00					
	Bargo		187	10.03		14	0.75		0	0.00		0	0.00		201	10.78		32	1.72		6	0.32		0	0.00		38	2.04		0	0.00		1	0.05		0	0.00		1	0.05		0	0.00		0	0.00		0	0.00		0	0.00		31	1.66		0	0.00		0	0.00		31	1.66		1	0.05		0	0.00		0	0.00		1	0.05		103	5.53		3	0.16		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		106	5.69		12	0.64		1	0.05		0	0.00		13	0.70		2	0.11		0	0.00		0	0.00		2	0.11		550	29.51		2	0.11		1	0.05		0	0.00		1	0.05		554	29.72		15	0.80		0	0.00		0	0.00		15	0.80		0	0.00		0	0.00		0	0.00		0	0.00		22	1.18		0	0.00		0	0.00		22	1.18		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.11		0	0.00		0	0.00		2	0.11		1	0.05		0	0.00		0	0.00		1	0.05		762	40.88		13	0.70		1	0.05		0	0.00		1	0.05		1	0.05		0	0.00		778	41.74		19	1.02		1	0.05		0	0.00					
	Bendick Murrell		16	10.26		0	0.00		0	0.00		0	0.00		16	10.26		4	2.56		1	0.64		0	0.00		5	3.21		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	4.49		0	0.00		0	0.00		7	4.49		0	0.00		0	0.00		0	0.00		0	0.00		4	2.56		1	0.64		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	3.21		3	1.92		0	0.00		0	0.00		3	1.92		0	0.00		0	0.00		0	0.00		0	0.00		27	17.31		2	1.28		0	0.00		0	0.00		0	0.00		29	18.59		2	1.28		0	0.00		0	0.00		2	1.28		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		78	50.00		0	0.00		0	0.00		0	0.00		7	4.49		0	0.00		0	0.00		85	54.49		1	0.64		0	0.00		0	0.00					
	Berrima		27	5.00		4	0.74		0	0.00		0	0.00		31	5.74		12	2.22		0	0.00		1	0.19		13	2.41		1	0.19		0	0.00		0	0.00		1	0.19		0	0.00		0	0.00		0	0.00		0	0.00		7	1.30		0	0.00		0	0.00		7	1.30		0	0.00		0	0.00		0	0.00		0	0.00		21	3.89		5	0.93		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		26	4.81		4	0.74		2	0.37		0	0.00		6	1.11		1	0.19		0	0.00		0	0.00		1	0.19		95	17.59		3	0.56		0	0.00		0	0.00		0	0.00		98	18.15		6	1.11		0	0.00		0	0.00		6	1.11		0	0.00		0	0.00		0	0.00		0	0.00		4	0.74		0	0.00		0	0.00		4	0.74		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.37		0	0.00		0	0.00		2	0.37		1	0.19		0	0.00		0	0.00		1	0.19		294	54.44		5	0.93		0	0.00		0	0.00		1	0.19		1	0.19		0	0.00		301	55.74		3	0.56		0	0.00		0	0.00					
	Bigga		26	14.77		3	1.70		0	0.00		1	0.57		30	17.05		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.57		0	0.00		0	0.00		1	0.57		0	0.00		0	0.00		0	0.00		0	0.00		2	1.14		2	1.14		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	2.27		2	1.14		0	0.00		0	0.00		2	1.14		1	0.57		0	0.00		0	0.00		1	0.57		30	17.05		0	0.00		0	0.00		0	0.00		0	0.00		30	17.05		2	1.14		0	0.00		0	0.00		2	1.14		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		100	56.82		1	0.57		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		101	57.39		2	1.14		0	0.00		0	0.00					
	Binalong		32	10.74		3	1.01		0	0.00		0	0.00		35	11.74		3	1.01		0	0.00		0	0.00		3	1.01		0	0.00		1	0.34		0	0.00		1	0.34		0	0.00		0	0.00		0	0.00		0	0.00		5	1.68		0	0.00		0	0.00		5	1.68		2	0.67		0	0.00		0	0.00		2	0.67		10	3.36		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		10	3.36		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		62	20.81		0	0.00		0	0.00		0	0.00		0	0.00		62	20.81		3	1.01		0	0.00		0	0.00		3	1.01		0	0.00		0	0.00		0	0.00		0	0.00		5	1.68		0	0.00		0	0.00		5	1.68		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		148	49.66		2	0.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		150	50.34		5	1.68		0	0.00		0	0.00					
	Binda		18	9.73		0	0.00		0	0.00		0	0.00		18	9.73		4	2.16		0	0.00		0	0.00		4	2.16		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.08		0	0.00		0	0.00		2	1.08		0	0.00		0	0.00		0	0.00		0	0.00		4	2.16		1	0.54		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	2.70		1	0.54		0	0.00		0	0.00		1	0.54		1	0.54		0	0.00		0	0.00		1	0.54		50	27.03		0	0.00		0	0.00		0	0.00		0	0.00		50	27.03		2	1.08		0	0.00		0	0.00		2	1.08		0	0.00		0	0.00		0	0.00		0	0.00		3	1.62		0	0.00		0	0.00		3	1.62		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		94	50.81		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		94	50.81		1	0.54		0	0.00		0	0.00					
	Bookham		11	9.02		5	4.10		0	0.00		0	0.00		16	13.11		5	4.10		0	0.00		0	0.00		5	4.10		1	0.82		0	0.00		0	0.00		1	0.82		0	0.00		0	0.00		0	0.00		0	0.00		1	0.82		0	0.00		0	0.00		1	0.82		0	0.00		0	0.00		0	0.00		0	0.00		3	2.46		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	2.46		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		15	12.30		0	0.00		0	0.00		0	0.00		0	0.00		15	12.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		75	61.48		2	1.64		0	0.00		0	0.00		0	0.00		0	0.00		1	0.82		78	63.93		0	0.00		0	0.00		0	0.00
	Boorowa		96	10.12		3	0.32		1	0.11		0	0.00		100	10.54		4	0.42		0	0.00		0	0.00		4	0.42		1	0.11		0	0.00		0	0.00		1	0.11		1	0.11		0	0.00		0	0.00		1	0.11		25	2.63		0	0.00		0	0.00		25	2.63		1	0.11		0	0.00		0	0.00		1	0.11		19	2.00		1	0.11		0	0.00		1	0.11		0	0.00		0	0.00		0	0.00		21	2.21		3	0.32		0	0.00		0	0.00		3	0.32		1	0.11		0	0.00		0	0.00		1	0.11		291	30.66		1	0.11		0	0.00		0	0.00		0	0.00		292	30.77		9	0.95		0	0.00		0	0.00		9	0.95		2	0.21		0	0.00		0	0.00		2	0.21		13	1.37		0	0.00		0	0.00		13	1.37		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.11		0	0.00		0	0.00		1	0.11		449	47.31		5	0.53		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		454	47.84		5	0.53		0	0.00		0	0.00
	Bowning		15	6.49		2	0.87		0	0.00		0	0.00		17	7.36		1	0.43		0	0.00		0	0.00		1	0.43		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	1.73		0	0.00		0	0.00		4	1.73		0	0.00		0	0.00		0	0.00		0	0.00		12	5.19		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		12	5.19		2	0.87		0	0.00		0	0.00		2	0.87		0	0.00		0	0.00		0	0.00		0	0.00		61	26.41		0	0.00		0	0.00		0	0.00		0	0.00		61	26.41		3	1.30		0	0.00		0	0.00		3	1.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.43		0	0.00		0	0.00		0	0.00		1	0.43		0	0.00		0	0.00		0	0.00		0	0.00		1	0.43		0	0.00		0	0.00		1	0.43		113	48.92		1	0.43		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		114	49.35		3	1.30		0	0.00		0	0.00
