Senate - 2001 Election: New South Wales																																																																																																																																																																																																																																																															
First Preference Votes by Candidate																																																																																																																																																																																																																																																															
By Polling Place																																																																																																																																																																																																																																																															

Hunter (84649)																																																																																																																																																																																																																																																															
			 A Pauline Hanson's One Nation															 B Christian Democratic Party (Fred Nile Group)												 C Unity - Say No To Hanson												 D Citizens Electoral Council of Australia												 E Progressive Labour Party												 F Helen Caldicott's - Our Common Future Party												 G Australian Democrats																								 H Help End Marijuana Prohibition												 I Peter Breen - Reform The Legal System												 J Australian Labor Party / Country Labor																		 K Lower Excise Fuel and Beer Party												 L 												 M The Fishing Party												 N 															 O Non-Custodial Parents Party												 P Nuclear Disarmament Party of Australia												 Q Liberal/Nationals																								 R No Goods and Services Tax Party												
	    		TICKET VOTES			MCKINNON			PUTRA			DEENEY			Group Total			TICKET VOTES			CAPSIS			HUME			Group Total			TICKET VOTES			NGO			MCLEOD			Group Total			TICKET VOTES			BUTLER			COLLINS			Group Total			TICKET VOTES			WOLDRING			LEE			Group Total			TICKET VOTES			CALDICOTT			POTTS			Group Total			TICKET VOTES			BOURNE			YATES			CHUNG			MAYFIELD			PRINCE			EVANS			Group Total			TICKET VOTES			BALDERSTONE			FUGGLE			Group Total			TICKET VOTES			GREENAWAY			ARMSTRONG			Group Total			TICKET VOTES			# STEPHENS			# CAMPBELL			MUNDINE			WOODS			Group Total			TICKET VOTES			O'LOUGHLIN			FREEMAN			Group Total			TICKET VOTES			STEWART			STEWART			Group Total			TICKET VOTES			SMITH			WISEMAN			Group Total			TICKET VOTES			SMITH			LAWLER			ANTHONY			Group Total			TICKET VOTES			THOMPSON			MCKEEGAN			Group Total			TICKET VOTES			DENBOROUGH			FRANCIS			Group Total			TICKET VOTES			# COONAN			# MACDONALD			# PAYNE			NASH			MACDONALD			TANG			Group Total			TICKET VOTES			GALLAGHER			MARTIN						
	    					Don			Rick			Carol									George			Kevin									Thang			Robert									Robert			Glenys									Klaas			Shona									Helen			Ted									Vicki			Joanne			Craig			E Caroline			Janine			Julian									Michael			Don									Denise			Valerie									Ursula			George			Warren			Joanna									David			Paul									Lex			Joe									Robert			David									Warren			Geoff			Dora									Andy			Annette									Michael			Yvonne									Helen			Sandy			Marise			Fiona			Scot			Terence									Mick			Charles H						
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%					
	Aberdare		110	10.13		5	0.46		0	0.00		0	0.00		115	10.59		20	1.84		0	0.00		0	0.00		20	1.84		2	0.18		0	0.00		0	0.00		2	0.18		1	0.09		0	0.00		0	0.00		1	0.09		32	2.95		0	0.00		1	0.09		33	3.04		0	0.00		0	0.00		0	0.00		0	0.00		48	4.42		2	0.18		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		50	4.60		11	1.01		3	0.28		0	0.00		14	1.29		2	0.18		0	0.00		0	0.00		2	0.18		601	55.34		0	0.00		0	0.00		0	0.00		0	0.00		601	55.34		5	0.46		1	0.09		0	0.00		6	0.55		0	0.00		0	0.00		0	0.00		0	0.00		11	1.01		0	0.00		0	0.00		11	1.01		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.09		1	0.09		0	0.00		2	0.18		1	0.09		0	0.00		0	0.00		1	0.09		184	16.94		1	0.09		0	0.00		0	0.00		0	0.00		0	0.00		1	0.09		186	17.13		5	0.46		1	0.09		0	0.00					
	Aberdare West		124	10.81		2	0.17		0	0.00		0	0.00		126	10.99		20	1.74		0	0.00		0	0.00		20	1.74		0	0.00		0	0.00		0	0.00		0	0.00		2	0.17		0	0.00		0	0.00		2	0.17		32	2.79		0	0.00		0	0.00		32	2.79		1	0.09		0	0.00		0	0.00		1	0.09		40	3.49		2	0.17		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		42	3.66		12	1.05		0	0.00		0	0.00		12	1.05		3	0.26		0	0.00		0	0.00		3	0.26		611	53.27		1	0.09		0	0.00		0	0.00		0	0.00		612	53.36		9	0.78		1	0.09		0	0.00		10	0.87		0	0.00		0	0.00		0	0.00		0	0.00		14	1.22		0	0.00		0	0.00		14	1.22		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.09		0	0.00		0	0.00		1	0.09		226	19.70		0	0.00		0	0.00		0	0.00		0	0.00		1	0.09		0	0.00		227	19.79		7	0.61		0	0.00		0	0.00					
	Abermain		122	9.91		6	0.49		0	0.00		0	0.00		128	10.40		26	2.11		2	0.16		0	0.00		28	2.27		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		34	2.76		0	0.00		0	0.00		34	2.76		0	0.00		0	0.00		0	0.00		0	0.00		36	2.92		1	0.08		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		37	3.01		14	1.14		0	0.00		0	0.00		14	1.14		4	0.32		0	0.00		0	0.00		4	0.32		700	56.86		4	0.32		0	0.00		0	0.00		1	0.08		705	57.27		16	1.30		0	0.00		0	0.00		16	1.30		0	0.00		0	0.00		0	0.00		0	0.00		18	1.46		1	0.08		0	0.00		19	1.54		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		1	0.08		1	0.08		0	0.00		0	0.00		1	0.08		176	14.30		2	0.16		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		178	14.46		11	0.89		0	0.00		0	0.00					
	Allandale Hospital		1	0.89		0	0.00		0	0.00		0	0.00		1	0.89		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	3.57		0	0.00		0	0.00		4	3.57		0	0.00		0	0.00		0	0.00		0	0.00		6	5.36		1	0.89		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	6.25		2	1.79		0	0.00		0	0.00		2	1.79		0	0.00		0	0.00		0	0.00		0	0.00		71	63.39		0	0.00		0	0.00		0	0.00		0	0.00		71	63.39		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		22	19.64		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		22	19.64		0	0.00		0	0.00		0	0.00					
	Ashtonfield		64	4.41		0	0.00		0	0.00		0	0.00		64	4.41		28	1.93		0	0.00		0	0.00		28	1.93		3	0.21		0	0.00		0	0.00		3	0.21		1	0.07		0	0.00		0	0.00		1	0.07		16	1.10		0	0.00		0	0.00		16	1.10		0	0.00		0	0.00		0	0.00		0	0.00		103	7.10		4	0.28		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		107	7.38		9	0.62		0	0.00		0	0.00		9	0.62		2	0.14		0	0.00		0	0.00		2	0.14		526	36.28		1	0.07		0	0.00		1	0.07		0	0.00		528	36.41		5	0.34		1	0.07		0	0.00		6	0.41		0	0.00		0	0.00		0	0.00		0	0.00		12	0.83		1	0.07		0	0.00		13	0.90		0	0.00		1	0.07		0	0.00		0	0.00		1	0.07		2	0.14		0	0.00		0	0.00		2	0.14		4	0.28		0	0.00		0	0.00		4	0.28		611	42.14		3	0.21		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		614	42.34		2	0.14		0	0.00		0	0.00					
	Bellbird		108	8.87		1	0.08		0	0.00		0	0.00		109	8.95		12	0.99		0	0.00		0	0.00		12	0.99		0	0.00		0	0.00		0	0.00		0	0.00		2	0.16		0	0.00		0	0.00		2	0.16		32	2.63		0	0.00		0	0.00		32	2.63		0	0.00		0	0.00		0	0.00		0	0.00		50	4.11		1	0.08		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		51	4.19		11	0.90		1	0.08		0	0.00		12	0.99		2	0.16		0	0.00		0	0.00		2	0.16		720	59.11		0	0.00		0	0.00		0	0.00		0	0.00		720	59.11		12	0.99		0	0.00		0	0.00		12	0.99		0	0.00		0	0.00		0	0.00		0	0.00		11	0.90		0	0.00		0	0.00		11	0.90		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		1	0.08		1	0.08		0	0.00		0	0.00		1	0.08		218	17.90		1	0.08		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		219	17.98		6	0.49		0	0.00		0	0.00					
	Black Hill		8	5.88		7	5.15		0	0.00		0	0.00		15	11.03		2	1.47		1	0.74		0	0.00		3	2.21		0	0.00		0	0.00		0	0.00		0	0.00		1	0.74		0	0.00		0	0.00		1	0.74		1	0.74		0	0.00		0	0.00		1	0.74		0	0.00		0	0.00		0	0.00		0	0.00		10	7.35		2	1.47		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		12	8.82		1	0.74		0	0.00		0	0.00		1	0.74		0	0.00		0	0.00		0	0.00		0	0.00		27	19.85		0	0.00		0	0.00		0	0.00		0	0.00		27	19.85		1	0.74		0	0.00		0	0.00		1	0.74		0	0.00		0	0.00		0	0.00		0	0.00		1	0.74		0	0.00		0	0.00		1	0.74		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.74		0	0.00		1	0.74		0	0.00		0	0.00		0	0.00		0	0.00		66	48.53		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		66	48.53		2	1.47		0	0.00		0	0.00					
	Bolwarra		53	5.32		3	0.30		0	0.00		0	0.00		56	5.62		19	1.91		1	0.10		0	0.00		20	2.01		0	0.00		1	0.10		0	0.00		1	0.10		2	0.20		1	0.10		0	0.00		3	0.30		5	0.50		0	0.00		0	0.00		5	0.50		2	0.20		0	0.00		0	0.00		2	0.20		58	5.82		5	0.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		63	6.32		7	0.70		0	0.00		0	0.00		7	0.70		0	0.00		1	0.10		0	0.00		1	0.10		224	22.47		4	0.40		0	0.00		0	0.00		1	0.10		229	22.97		4	0.40		0	0.00		0	0.00		4	0.40		0	0.00		0	0.00		0	0.00		0	0.00		10	1.00		0	0.00		0	0.00		10	1.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.10		0	0.00		0	0.00		1	0.10		0	0.00		0	0.00		0	0.00		0	0.00		537	53.86		5	0.50		0	0.00		0	0.00		0	0.00		0	0.00		1	0.10		543	54.46		3	0.30		0	0.00		0	0.00
	Branxton		142	8.59		4	0.24		0	0.00		1	0.06		147	8.89		18	1.09		3	0.18		0	0.00		21	1.27		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		20	1.21		1	0.06		0	0.00		21	1.27		2	0.12		0	0.00		0	0.00		2	0.12		78	4.72		5	0.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		83	5.02		21	1.27		1	0.06		0	0.00		22	1.33		2	0.12		0	0.00		0	0.00		2	0.12		748	45.22		4	0.24		1	0.06		1	0.06		0	0.00		754	45.59		10	0.60		0	0.00		0	0.00		10	0.60		0	0.00		0	0.00		0	0.00		0	0.00		13	0.79		0	0.00		0	0.00		13	0.79		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.12		0	0.00		0	0.00		2	0.12		0	0.00		1	0.06		0	0.00		1	0.06		489	29.56		2	0.12		1	0.06		0	0.00		0	0.00		0	0.00		0	0.00		492	29.75		12	0.73		0	0.00		0	0.00
	Broke		39	11.68		3	0.90		0	0.00		0	0.00		42	12.57		2	0.60		2	0.60		0	0.00		4	1.20		0	0.00		0	0.00		0	0.00		0	0.00		2	0.60		0	0.00		0	0.00		2	0.60		2	0.60		0	0.00		0	0.00		2	0.60		0	0.00		0	0.00		0	0.00		0	0.00		24	7.19		1	0.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		25	7.49		4	1.20		0	0.00		0	0.00		4	1.20		0	0.00		0	0.00		0	0.00		0	0.00		100	29.94		2	0.60		0	0.00		0	0.00		0	0.00		102	30.54		3	0.90		0	0.00		0	0.00		3	0.90		0	0.00		0	0.00		0	0.00		0	0.00		5	1.50		1	0.30		0	0.00		6	1.80		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.30		0	0.00		0	0.00		1	0.30		0	0.00		0	0.00		0	0.00		0	0.00		132	39.52		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		132	39.52		4	1.20		0	0.00		0	0.00
	Camberwell		17	16.35		0	0.00		0	0.00		0	0.00		17	16.35		2	1.92		0	0.00		0	0.00		2	1.92		0	0.00		0	0.00		0	0.00		0	0.00		1	0.96		0	0.00		0	0.00		1	0.96		2	1.92		0	0.00		0	0.00		2	1.92		0	0.00		0	0.00		0	0.00		0	0.00		4	3.85		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	3.85		2	1.92		0	0.00		0	0.00		2	1.92		0	0.00		0	0.00		0	0.00		0	0.00		27	25.96		0	0.00		0	0.00		0	0.00		0	0.00		27	25.96		2	1.92		0	0.00		0	0.00		2	1.92		1	0.96		0	0.00		0	0.00		1	0.96		2	1.92		0	0.00		0	0.00		2	1.92		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.96		0	0.00		0	0.00		1	0.96		37	35.58		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		37	35.58		1	0.96		0	0.00		0	0.00
