Senate - 2001 Election: New South Wales																																																																																																																																																																																																																																																															
First Preference Votes by Candidate 																																																																																																																																																																																																																																																															
By Polling Place																																																																																																																																																																																																																																																															

Lyne (86901)																																																																																																																																																																																																																																																															
		   	 A Pauline Hanson's One Nation															 B Christian Democratic Party (Fred Nile Group)												 C Unity - Say No To Hanson												 D Citizens Electoral Council of Australia												 E Progressive Labour Party												 F Helen Caldicott's - Our Common Future Party												 G Australian Democrats																								 H Help End Marijuana Prohibition												 I Peter Breen - Reform The Legal System												 J Australian Labor Party / Country Labor																		 K Lower Excise Fuel and Beer Party												 L 												 M The Fishing Party												 N 															 O Non-Custodial Parents Party												 P Nuclear Disarmament Party of Australia												 Q Liberal/Nationals																								 R No Goods and Services Tax Party												
	    		TICKET VOTES			MCKINNON			PUTRA			DEENEY			Group Total			TICKET VOTES			CAPSIS			HUME			Group Total			TICKET VOTES			NGO			MCLEOD			Group Total			TICKET VOTES			BUTLER			COLLINS			Group Total			TICKET VOTES			WOLDRING			LEE			Group Total			TICKET VOTES			CALDICOTT			POTTS			Group Total			TICKET VOTES			BOURNE			YATES			CHUNG			MAYFIELD			PRINCE			EVANS			Group Total			TICKET VOTES			BALDERSTONE			FUGGLE			Group Total			TICKET VOTES			GREENAWAY			ARMSTRONG			Group Total			TICKET VOTES			# STEPHENS			# CAMPBELL			MUNDINE			WOODS			Group Total			TICKET VOTES			O'LOUGHLIN			FREEMAN			Group Total			TICKET VOTES			STEWART			STEWART			Group Total			TICKET VOTES			SMITH			WISEMAN			Group Total			TICKET VOTES			SMITH			LAWLER			ANTHONY			Group Total			TICKET VOTES			THOMPSON			MCKEEGAN			Group Total			TICKET VOTES			DENBOROUGH			FRANCIS			Group Total			TICKET VOTES			# COONAN			# MACDONALD			# PAYNE			NASH			MACDONALD			TANG			Group Total			TICKET VOTES			GALLAGHER			MARTIN						
	    					Don			Rick			Carol									George			Kevin									Thang			Robert									Robert			Glenys									Klaas			Shona									Helen			Ted									Vicki			Joanne			Craig			E Caroline			Janine			Julian									Michael			Don									Denise			Valerie									Ursula			George			Warren			Joanna									David			Paul									Lex			Joe									Robert			David									Warren			Geoff			Dora									Andy			Annette									Michael			Yvonne									Helen			Sandy			Marise			Fiona			Scot			Terence									Mick			Charles H						
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%					
	Aldavilla		198	16.19		4	0.33		0	0.00		2	0.16		204	16.68		19	1.55		1	0.08		0	0.00		20	1.64		1	0.08		0	0.00		1	0.08		2	0.16		0	0.00		0	0.00		0	0.00		0	0.00		20	1.64		0	0.00		0	0.00		20	1.64		1	0.08		1	0.08		0	0.00		2	0.16		32	2.62		2	0.16		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		34	2.78		14	1.14		2	0.16		0	0.00		16	1.31		3	0.25		0	0.00		0	0.00		3	0.25		299	24.45		2	0.16		0	0.00		0	0.00		1	0.08		302	24.69		4	0.33		0	0.00		0	0.00		4	0.33		0	0.00		0	0.00		0	0.00		0	0.00		9	0.74		1	0.08		1	0.08		11	0.90		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	0.25		0	0.00		0	0.00		3	0.25		1	0.08		0	0.00		0	0.00		1	0.08		563	46.03		4	0.33		0	0.00		0	0.00		0	0.00		2	0.16		0	0.00		569	46.52		6	0.49		2	0.16		0	0.00					
	Beechwood		77	10.08		5	0.65		0	0.00		0	0.00		82	10.73		11	1.44		2	0.26		0	0.00		13	1.70		1	0.13		0	0.00		0	0.00		1	0.13		0	0.00		0	0.00		0	0.00		0	0.00		4	0.52		0	0.00		0	0.00		4	0.52		2	0.26		1	0.13		0	0.00		3	0.39		32	4.19		4	0.52		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		36	4.71		3	0.39		1	0.13		0	0.00		4	0.52		2	0.26		0	0.00		0	0.00		2	0.26		164	21.47		4	0.52		0	0.00		1	0.13		0	0.00		169	22.12		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	0.92		0	0.00		0	0.00		7	0.92		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.13		0	0.00		0	0.00		1	0.13		397	51.96		1	0.13		0	0.00		0	0.00		1	0.13		0	0.00		0	0.00		399	52.23		2	0.26		0	0.00		0	0.00					
	Bonny Hills		74	6.66		7	0.63		0	0.00		0	0.00		81	7.29		30	2.70		2	0.18		0	0.00		32	2.88		1	0.09		0	0.00		0	0.00		1	0.09		1	0.09		0	0.00		0	0.00		1	0.09		9	0.81		0	0.00		0	0.00		9	0.81		1	0.09		0	0.00		0	0.00		1	0.09		76	6.84		3	0.27		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		79	7.11		13	1.17		1	0.09		0	0.00		14	1.26		2	0.18		0	0.00		0	0.00		2	0.18		313	28.17		3	0.27		0	0.00		0	0.00		2	0.18		318	28.62		2	0.18		0	0.00		0	0.00		2	0.18		0	0.00		0	0.00		0	0.00		0	0.00		6	0.54		0	0.00		0	0.00		6	0.54		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.09		0	0.00		0	0.00		1	0.09		1	0.09		0	0.00		2	0.18		3	0.27		476	42.84		2	0.18		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		478	43.02		3	0.27		0	0.00		0	0.00					
	Burrell Creek		41	18.89		6	2.76		0	0.00		0	0.00		47	21.66		2	0.92		1	0.46		0	0.00		3	1.38		0	0.00		0	0.00		0	0.00		0	0.00		1	0.46		0	0.00		0	0.00		1	0.46		1	0.46		0	0.00		0	0.00		1	0.46		0	0.00		0	0.00		0	0.00		0	0.00		8	3.69		2	0.92		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		10	4.61		3	1.38		0	0.00		0	0.00		3	1.38		0	0.00		0	0.00		0	0.00		0	0.00		39	17.97		0	0.00		1	0.46		0	0.00		0	0.00		40	18.43		2	0.92		0	0.00		0	0.00		2	0.92		0	0.00		0	0.00		0	0.00		0	0.00		1	0.46		0	0.00		0	0.00		1	0.46		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		100	46.08		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		100	46.08		1	0.46		0	0.00		0	0.00					
	Byabarra		11	9.24		1	0.84		0	0.00		0	0.00		12	10.08		4	3.36		0	0.00		0	0.00		4	3.36		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.84		0	0.00		0	0.00		1	0.84		0	0.00		1	0.84		0	0.00		1	0.84		5	4.20		2	1.68		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	5.88		2	1.68		0	0.00		0	0.00		2	1.68		1	0.84		0	0.00		0	0.00		1	0.84		32	26.89		2	1.68		0	0.00		0	0.00		0	0.00		34	28.57		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.84		0	0.00		0	0.00		1	0.84		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.84		0	0.00		0	0.00		1	0.84		45	37.82		1	0.84		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		46	38.66		2	1.68		0	0.00		0	0.00					
	Chatham		197	11.02		4	0.22		0	0.00		0	0.00		201	11.24		23	1.29		0	0.00		0	0.00		23	1.29		1	0.06		0	0.00		0	0.00		1	0.06		7	0.39		0	0.00		0	0.00		7	0.39		33	1.85		0	0.00		0	0.00		33	1.85		3	0.17		0	0.00		0	0.00		3	0.17		71	3.97		2	0.11		0	0.00		0	0.00		0	0.00		0	0.00		1	0.06		74	4.14		16	0.89		1	0.06		0	0.00		17	0.95		5	0.28		0	0.00		0	0.00		5	0.28		555	31.04		4	0.22		0	0.00		0	0.00		0	0.00		559	31.26		11	0.62		1	0.06		0	0.00		12	0.67		1	0.06		0	0.00		0	0.00		1	0.06		11	0.62		2	0.11		0	0.00		13	0.73		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.11		0	0.00		0	0.00		2	0.11		3	0.17		1	0.06		0	0.00		4	0.22		778	43.51		3	0.17		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		781	43.68		13	0.73		1	0.06		0	0.00					
	Comboyne		34	11.68		1	0.34		0	0.00		0	0.00		35	12.03		1	0.34		0	0.00		0	0.00		1	0.34		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	3.09		2	0.69		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		11	3.78		2	0.69		0	0.00		0	0.00		2	0.69		1	0.34		0	0.00		0	0.00		1	0.34		24	8.25		1	0.34		0	0.00		0	0.00		0	0.00		25	8.59		4	1.37		0	0.00		0	0.00		4	1.37		0	0.00		0	0.00		0	0.00		0	0.00		3	1.03		0	0.00		0	0.00		3	1.03		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.34		0	0.00		0	0.00		1	0.34		1	0.34		0	0.00		0	0.00		1	0.34		189	64.95		1	0.34		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		190	65.29		2	0.69		0	0.00		0	0.00					
	Coopernook		52	13.94		1	0.27		0	0.00		0	0.00		53	14.21		13	3.49		0	0.00		0	0.00		13	3.49		0	0.00		0	0.00		0	0.00		0	0.00		1	0.27		0	0.00		0	0.00		1	0.27		7	1.88		0	0.00		0	0.00		7	1.88		0	0.00		0	0.00		0	0.00		0	0.00		15	4.02		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		15	4.02		2	0.54		0	0.00		0	0.00		2	0.54		0	0.00		0	0.00		0	0.00		0	0.00		113	30.29		3	0.80		0	0.00		0	0.00		0	0.00		116	31.10		1	0.27		0	0.00		0	0.00		1	0.27		0	0.00		0	0.00		0	0.00		0	0.00		5	1.34		0	0.00		0	0.00		5	1.34		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		147	39.41		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		147	39.41		0	0.00		0	0.00		0	0.00
	Crescent Head		95	11.45		6	0.72		0	0.00		0	0.00		101	12.17		14	1.69		1	0.12		0	0.00		15	1.81		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		15	1.81		0	0.00		0	0.00		15	1.81		1	0.12		0	0.00		0	0.00		1	0.12		41	4.94		7	0.84		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		48	5.78		13	1.57		2	0.24		0	0.00		15	1.81		3	0.36		0	0.00		0	0.00		3	0.36		271	32.65		3	0.36		0	0.00		0	0.00		0	0.00		274	33.01		3	0.36		0	0.00		0	0.00		3	0.36		0	0.00		0	0.00		0	0.00		0	0.00		9	1.08		0	0.00		0	0.00		9	1.08		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	0.36		0	0.00		0	0.00		3	0.36		261	31.45		1	0.12		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		262	31.57		5	0.60		0	0.00		0	0.00
	Crowdy Head		15	15.15		3	3.03		0	0.00		0	0.00		18	18.18		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.01		0	0.00		0	0.00		1	1.01		0	0.00		0	0.00		0	0.00		0	0.00		5	5.05		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	5.05		2	2.02		0	0.00		0	0.00		2	2.02		1	1.01		0	0.00		0	0.00		1	1.01		32	32.32		0	0.00		0	0.00		0	0.00		0	0.00		32	32.32		2	2.02		0	0.00		0	0.00		2	2.02		0	0.00		0	0.00		0	0.00		0	0.00		1	1.01		0	0.00		0	0.00		1	1.01		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.01		0	0.00		0	0.00		1	1.01		0	0.00		0	0.00		0	0.00		0	0.00		34	34.34		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		34	34.34		0	0.00		0	0.00		0	0.00
