Senate - 2001 Election: New South Wales																																																																																																																																																																																																																																																															
First Preference Votes by Candidate 																																																																																																																																																																																																																																																															
By Polling Place																																																																																																																																																																																																																																																															

New England (84941)																																																																																																																																																																																																																																																															
			 A Pauline Hanson's One Nation															 B Christian Democratic Party (Fred Nile Group)												 C Unity - Say No To Hanson												 D Citizens Electoral Council of Australia												 E Progressive Labour Party												 F Helen Caldicott's - Our Common Future Party												 G Australian Democrats																								 H Help End Marijuana Prohibition												 I Peter Breen - Reform The Legal System												 J Australian Labor Party / Country Labor																		 K Lower Excise Fuel and Beer Party												 L 												 M The Fishing Party												 N 															 O Non-Custodial Parents Party												 P Nuclear Disarmament Party of Australia												 Q Liberal/Nationals																								 R No Goods and Services Tax Party												
	    		TICKET VOTES			MCKINNON			PUTRA			DEENEY			Group Total			TICKET VOTES			CAPSIS			HUME			Group Total			TICKET VOTES			NGO			MCLEOD			Group Total			TICKET VOTES			BUTLER			COLLINS			Group Total			TICKET VOTES			WOLDRING			LEE			Group Total			TICKET VOTES			CALDICOTT			POTTS			Group Total			TICKET VOTES			BOURNE			YATES			CHUNG			MAYFIELD			PRINCE			EVANS			Group Total			TICKET VOTES			BALDERSTONE			FUGGLE			Group Total			TICKET VOTES			GREENAWAY			ARMSTRONG			Group Total			TICKET VOTES			# STEPHENS			# CAMPBELL			MUNDINE			WOODS			Group Total			TICKET VOTES			O'LOUGHLIN			FREEMAN			Group Total			TICKET VOTES			STEWART			STEWART			Group Total			TICKET VOTES			SMITH			WISEMAN			Group Total			TICKET VOTES			SMITH			LAWLER			ANTHONY			Group Total			TICKET VOTES			THOMPSON			MCKEEGAN			Group Total			TICKET VOTES			DENBOROUGH			FRANCIS			Group Total			TICKET VOTES			# COONAN			# MACDONALD			# PAYNE			NASH			MACDONALD			TANG			Group Total			TICKET VOTES			GALLAGHER			MARTIN						
	    					Don			Rick			Carol									George			Kevin									Thang			Robert									Robert			Glenys									Klaas			Shona									Helen			Ted									Vicki			Joanne			Craig			E Caroline			Janine			Julian									Michael			Don									Denise			Valerie									Ursula			George			Warren			Joanna									David			Paul									Lex			Joe									Robert			David									Warren			Geoff			Dora									Andy			Annette									Michael			Yvonne									Helen			Sandy			Marise			Fiona			Scot			Terence									Mick			Charles H						
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%					
	Arding		14	5.43		0	0.00		0	0.00		0	0.00		14	5.43		18	6.98		0	0.00		0	0.00		18	6.98		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.39		0	0.00		1	0.39		4	1.55		0	0.00		0	0.00		4	1.55		0	0.00		0	0.00		0	0.00		0	0.00		23	8.91		1	0.39		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		24	9.30		1	0.39		0	0.00		0	0.00		1	0.39		1	0.39		0	0.00		0	0.00		1	0.39		64	24.81		1	0.39		1	0.39		0	0.00		0	0.00		66	25.58		3	1.16		0	0.00		0	0.00		3	1.16		0	0.00		0	0.00		0	0.00		0	0.00		3	1.16		0	0.00		0	0.00		3	1.16		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.39		0	0.00		0	0.00		1	0.39		0	0.00		0	0.00		0	0.00		0	0.00		100	38.76		1	0.39		1	0.39		0	0.00		0	0.00		0	0.00		0	0.00		102	39.53		0	0.00		0	0.00		0	0.00					
	Armidale		99	3.84		7	0.27		1	0.04		0	0.00		107	4.15		70	2.71		23	0.89		2	0.08		95	3.68		3	0.12		0	0.00		1	0.04		4	0.16		1	0.04		0	0.00		0	0.00		1	0.04		41	1.59		0	0.00		0	0.00		41	1.59		3	0.12		3	0.12		0	0.00		6	0.23		256	9.92		33	1.28		2	0.08		0	0.00		0	0.00		0	0.00		2	0.08		293	11.36		19	0.74		5	0.19		2	0.08		26	1.01		5	0.19		0	0.00		0	0.00		5	0.19		632	24.50		19	0.74		2	0.08		1	0.04		2	0.08		656	25.43		24	0.93		2	0.08		0	0.00		26	1.01		1	0.04		0	0.00		0	0.00		1	0.04		19	0.74		1	0.04		0	0.00		20	0.78		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	0.12		0	0.00		0	0.00		3	0.12		1	0.04		0	0.00		0	0.00		1	0.04		965	37.40		17	0.66		2	0.08		0	0.00		1	0.04		2	0.08		2	0.08		989	38.33		26	1.01		1	0.04		0	0.00					
	Armidale East		76	6.18		6	0.49		0	0.00		0	0.00		82	6.67		27	2.20		1	0.08		0	0.00		28	2.28		1	0.08		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		0	0.00		0	0.00		32	2.60		0	0.00		0	0.00		32	2.60		0	0.00		0	0.00		0	0.00		0	0.00		78	6.35		8	0.65		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		86	7.00		12	0.98		0	0.00		0	0.00		12	0.98		0	0.00		0	0.00		0	0.00		0	0.00		428	34.83		3	0.24		0	0.00		3	0.24		0	0.00		434	35.31		10	0.81		2	0.16		0	0.00		12	0.98		1	0.08		0	0.00		0	0.00		1	0.08		10	0.81		0	0.00		0	0.00		10	0.81		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	0.33		0	0.00		0	0.00		4	0.33		2	0.16		0	0.00		0	0.00		2	0.16		435	35.39		3	0.24		2	0.16		0	0.00		0	0.00		1	0.08		0	0.00		441	35.88		9	0.73		0	0.00		0	0.00					
	Armidale Hospital		37	4.36		1	0.12		0	0.00		0	0.00		38	4.48		11	1.30		4	0.47		1	0.12		16	1.89		1	0.12		0	0.00		0	0.00		1	0.12		1	0.12		0	0.00		0	0.00		1	0.12		23	2.71		2	0.24		0	0.00		25	2.95		2	0.24		1	0.12		0	0.00		3	0.35		69	8.14		12	1.42		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		81	9.55		12	1.42		2	0.24		0	0.00		14	1.65		3	0.35		0	0.00		0	0.00		3	0.35		256	30.19		7	0.83		1	0.12		0	0.00		2	0.24		266	31.37		2	0.24		0	0.00		0	0.00		2	0.24		0	0.00		0	0.00		0	0.00		0	0.00		5	0.59		0	0.00		0	0.00		5	0.59		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.12		0	0.00		1	0.12		2	0.24		0	0.00		0	0.00		0	0.00		0	0.00		309	36.44		5	0.59		0	0.00		0	0.00		1	0.12		0	0.00		1	0.12		316	37.26		2	0.24		0	0.00		0	0.00					
	Armidale South		33	3.09		6	0.56		0	0.00		0	0.00		39	3.66		33	3.09		5	0.47		0	0.00		38	3.56		0	0.00		0	0.00		0	0.00		0	0.00		1	0.09		0	0.00		0	0.00		1	0.09		7	0.66		1	0.09		0	0.00		8	0.75		0	0.00		2	0.19		0	0.00		2	0.19		113	10.59		19	1.78		1	0.09		0	0.00		0	0.00		0	0.00		1	0.09		134	12.56		8	0.75		1	0.09		0	0.00		9	0.84		0	0.00		0	0.00		0	0.00		0	0.00		282	26.43		6	0.56		0	0.00		1	0.09		2	0.19		291	27.27		4	0.37		0	0.00		0	0.00		4	0.37		0	0.00		0	0.00		0	0.00		0	0.00		6	0.56		1	0.09		0	0.00		7	0.66		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.09		0	0.00		0	0.00		1	0.09		1	0.09		0	0.00		0	0.00		1	0.09		408	38.24		6	0.56		0	0.00		0	0.00		0	0.00		0	0.00		2	0.19		416	38.99		9	0.84		0	0.00		0	0.00					
	Armidale University		10	2.20		1	0.22		0	0.00		0	0.00		11	2.42		6	1.32		3	0.66		0	0.00		9	1.98		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	1.32		0	0.00		0	0.00		6	1.32		0	0.00		0	0.00		0	0.00		0	0.00		74	16.26		6	1.32		0	0.00		2	0.44		0	0.00		0	0.00		0	0.00		82	18.02		9	1.98		1	0.22		0	0.00		10	2.20		1	0.22		0	0.00		0	0.00		1	0.22		103	22.64		3	0.66		0	0.00		1	0.22		0	0.00		107	23.52		8	1.76		2	0.44		1	0.22		11	2.42		0	0.00		0	0.00		0	0.00		0	0.00		4	0.88		0	0.00		0	0.00		4	0.88		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.22		0	0.00		0	0.00		1	0.22		0	0.00		0	0.00		0	0.00		0	0.00		164	36.04		1	0.22		4	0.88		1	0.22		0	0.00		0	0.00		0	0.00		170	37.36		8	1.76		0	0.00		0	0.00					
	Armidale West		152	6.73		8	0.35		0	0.00		0	0.00		160	7.09		43	1.90		7	0.31		0	0.00		50	2.21		2	0.09		0	0.00		0	0.00		2	0.09		1	0.04		0	0.00		0	0.00		1	0.04		45	1.99		1	0.04		0	0.00		46	2.04		4	0.18		0	0.00		0	0.00		4	0.18		181	8.02		14	0.62		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		195	8.64		25	1.11		1	0.04		0	0.00		26	1.15		3	0.13		0	0.00		0	0.00		3	0.13		662	29.32		8	0.35		3	0.13		0	0.00		4	0.18		677	29.98		30	1.33		2	0.09		0	0.00		32	1.42		1	0.04		0	0.00		0	0.00		1	0.04		34	1.51		0	0.00		0	0.00		34	1.51		1	0.04		1	0.04		0	0.00		0	0.00		2	0.09		2	0.09		0	0.00		0	0.00		2	0.09		2	0.09		2	0.09		0	0.00		4	0.18		831	36.80		6	0.27		5	0.22		1	0.04		2	0.09		1	0.04		0	0.00		846	37.47		22	0.97		2	0.09		0	0.00					
	Ashford		100	21.65		2	0.43		0	0.00		1	0.22		103	22.29		13	2.81		0	0.00		0	0.00		13	2.81		0	0.00		0	0.00		0	0.00		0	0.00		1	0.22		0	0.00		0	0.00		1	0.22		5	1.08		0	0.00		0	0.00		5	1.08		0	0.00		0	0.00		0	0.00		0	0.00		16	3.46		1	0.22		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		17	3.68		12	2.60		1	0.22		0	0.00		13	2.81		1	0.22		0	0.00		0	0.00		1	0.22		126	27.27		0	0.00		3	0.65		0	0.00		0	0.00		129	27.92		1	0.22		1	0.22		0	0.00		2	0.43		0	0.00		0	0.00		0	0.00		0	0.00		3	0.65		0	0.00		0	0.00		3	0.65		1	0.22		0	0.00		0	0.00		0	0.00		1	0.22		0	0.00		0	0.00		0	0.00		0	0.00		1	0.22		0	0.00		0	0.00		1	0.22		159	34.42		3	0.65		1	0.22		0	0.00		0	0.00		0	0.00		0	0.00		163	35.28		7	1.52		0	0.00		0	0.00
	Attunga		38	8.44		1	0.22		0	0.00		0	0.00		39	8.67		20	4.44		2	0.44		0	0.00		22	4.89		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		10	2.22		1	0.22		0	0.00		11	2.44		1	0.22		0	0.00		0	0.00		1	0.22		12	2.67		3	0.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		15	3.33		3	0.67		0	0.00		0	0.00		3	0.67		2	0.44		0	0.00		0	0.00		2	0.44		96	21.33		0	0.00		0	0.00		0	0.00		0	0.00		96	21.33		10	2.22		0	0.00		0	0.00		10	2.22		0	0.00		0	0.00		0	0.00		0	0.00		9	2.00		1	0.22		0	0.00		10	2.22		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		221	49.11		0	0.00		0	0.00		0	0.00		0	0.00		1	0.22		0	0.00		222	49.33		4	0.89		1	0.22		0	0.00
	Barraba		97	8.21		10	0.85		0	0.00		1	0.08		108	9.14		13	1.10		0	0.00		0	0.00		13	1.10		3	0.25		0	0.00		0	0.00		3	0.25		4	0.34		0	0.00		0	0.00		4	0.34		19	1.61		0	0.00		0	0.00		19	1.61		1	0.08		1	0.08		0	0.00		2	0.17		54	4.57		2	0.17		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		56	4.74		9	0.76		0	0.00		0	0.00		9	0.76		5	0.42		0	0.00		0	0.00		5	0.42		313	26.48		1	0.08		0	0.00		0	0.00		0	0.00		314	26.57		16	1.35		0	0.00		0	0.00		16	1.35		0	0.00		0	0.00		0	0.00		0	0.00		25	2.12		2	0.17		0	0.00		27	2.28		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.17		0	0.00		0	0.00		2	0.17		2	0.17		0	0.00		0	0.00		2	0.17		546	46.19		6	0.51		2	0.17		0	0.00		0	0.00		0	0.00		0	0.00		554	46.87		18	1.52		0	0.00		0	0.00
