Senate - 2001 Election: New South Wales																																																																																																																																																																																																																																																															
First Preference Votes by Candidate 																																																																																																																																																																																																																																																															
By Polling Place																																																																																																																																																																																																																																																															

Page (82272)																																																																																																																																																																																																																																																															
			 A Pauline Hanson's One Nation															 B Christian Democratic Party (Fred Nile Group)												 C Unity - Say No To Hanson												 D Citizens Electoral Council of Australia												 E Progressive Labour Party												 F Helen Caldicott's - Our Common Future Party												 G Australian Democrats																								 H Help End Marijuana Prohibition												 I Peter Breen - Reform The Legal System												 J Australian Labor Party / Country Labor																		 K Lower Excise Fuel and Beer Party												 L 												 M The Fishing Party												 N 															 O Non-Custodial Parents Party												 P Nuclear Disarmament Party of Australia												 Q Liberal/Nationals																								 R No Goods and Services Tax Party												
	    		TICKET VOTES			MCKINNON			PUTRA			DEENEY			Group Total			TICKET VOTES			CAPSIS			HUME			Group Total			TICKET VOTES			NGO			MCLEOD			Group Total			TICKET VOTES			BUTLER			COLLINS			Group Total			TICKET VOTES			WOLDRING			LEE			Group Total			TICKET VOTES			CALDICOTT			POTTS			Group Total			TICKET VOTES			BOURNE			YATES			CHUNG			MAYFIELD			PRINCE			EVANS			Group Total			TICKET VOTES			BALDERSTONE			FUGGLE			Group Total			TICKET VOTES			GREENAWAY			ARMSTRONG			Group Total			TICKET VOTES			# STEPHENS			# CAMPBELL			MUNDINE			WOODS			Group Total			TICKET VOTES			O'LOUGHLIN			FREEMAN			Group Total			TICKET VOTES			STEWART			STEWART			Group Total			TICKET VOTES			SMITH			WISEMAN			Group Total			TICKET VOTES			SMITH			LAWLER			ANTHONY			Group Total			TICKET VOTES			THOMPSON			MCKEEGAN			Group Total			TICKET VOTES			DENBOROUGH			FRANCIS			Group Total			TICKET VOTES			# COONAN			# MACDONALD			# PAYNE			NASH			MACDONALD			TANG			Group Total			TICKET VOTES			GALLAGHER			MARTIN						
	    					Don			Rick			Carol									George			Kevin									Thang			Robert									Robert			Glenys									Klaas			Shona									Helen			Ted									Vicki			Joanne			Craig			E Caroline			Janine			Julian									Michael			Don									Denise			Valerie									Ursula			George			Warren			Joanna									David			Paul									Lex			Joe									Robert			David									Warren			Geoff			Dora									Andy			Annette									Michael			Yvonne									Helen			Sandy			Marise			Fiona			Scot			Terence									Mick			Charles H						
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%					
	Ballina		260	6.09		17	0.40		0	0.00		0	0.00		277	6.49		88	2.06		7	0.16		2	0.05		97	2.27		3	0.07		0	0.00		0	0.00		3	0.07		2	0.05		0	0.00		0	0.00		2	0.05		66	1.55		1	0.02		0	0.00		67	1.57		10	0.23		2	0.05		0	0.00		12	0.28		229	5.37		15	0.35		1	0.02		1	0.02		0	0.00		0	0.00		0	0.00		246	5.76		73	1.71		4	0.09		0	0.00		77	1.80		3	0.07		0	0.00		0	0.00		3	0.07		1400	32.80		9	0.21		0	0.00		0	0.00		5	0.12		1414	33.13		23	0.54		2	0.05		0	0.00		25	0.59		1	0.02		1	0.02		0	0.00		2	0.05		30	0.70		0	0.00		0	0.00		30	0.70		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	0.21		0	0.00		0	0.00		9	0.21		6	0.14		1	0.02		0	0.00		7	0.16		1702	39.88		22	0.52		0	0.00		0	0.00		0	0.00		1	0.02		0	0.00		1725	40.42		34	0.80		0	0.00		0	0.00					
	Ballina East		83	3.52		9	0.38		0	0.00		0	0.00		92	3.91		51	2.17		5	0.21		0	0.00		56	2.38		0	0.00		0	0.00		0	0.00		0	0.00		5	0.21		0	0.00		0	0.00		5	0.21		15	0.64		0	0.00		0	0.00		15	0.64		2	0.08		1	0.04		0	0.00		3	0.13		166	7.05		9	0.38		1	0.04		0	0.00		0	0.00		0	0.00		0	0.00		176	7.47		24	1.02		2	0.08		0	0.00		26	1.10		4	0.17		0	0.00		0	0.00		4	0.17		684	29.04		5	0.21		0	0.00		0	0.00		0	0.00		689	29.26		16	0.68		0	0.00		0	0.00		16	0.68		1	0.04		0	0.00		0	0.00		1	0.04		17	0.72		0	0.00		0	0.00		17	0.72		0	0.00		0	0.00		1	0.04		0	0.00		1	0.04		3	0.13		0	0.00		0	0.00		3	0.13		1	0.04		0	0.00		0	0.00		1	0.04		1091	46.33		6	0.25		0	0.00		0	0.00		1	0.04		0	0.00		2	0.08		1100	46.71		10	0.42		0	0.00		0	0.00					
	Ballina Hospital		100	6.04		8	0.48		0	0.00		0	0.00		108	6.53		34	2.05		1	0.06		0	0.00		35	2.11		1	0.06		0	0.00		0	0.00		1	0.06		0	0.00		0	0.00		0	0.00		0	0.00		33	1.99		0	0.00		0	0.00		33	1.99		5	0.30		0	0.00		0	0.00		5	0.30		75	4.53		3	0.18		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		78	4.71		14	0.85		0	0.00		0	0.00		14	0.85		6	0.36		0	0.00		0	0.00		6	0.36		555	33.53		1	0.06		0	0.00		1	0.06		0	0.00		557	33.66		9	0.54		0	0.00		0	0.00		9	0.54		1	0.06		0	0.00		0	0.00		1	0.06		19	1.15		1	0.06		0	0.00		20	1.21		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.12		0	0.00		0	0.00		2	0.12		0	0.00		2	0.12		0	0.00		2	0.12		683	41.27		4	0.24		0	0.00		0	0.00		0	0.00		1	0.06		0	0.00		688	41.57		13	0.79		1	0.06		0	0.00					
	Ballina West		59	5.91		5	0.50		0	0.00		0	0.00		64	6.41		22	2.20		1	0.10		0	0.00		23	2.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	0.90		0	0.00		0	0.00		9	0.90		0	0.00		0	0.00		0	0.00		0	0.00		50	5.01		1	0.10		0	0.00		1	0.10		0	0.00		0	0.00		0	0.00		52	5.21		6	0.60		0	0.00		0	0.00		6	0.60		4	0.40		0	0.00		0	0.00		4	0.40		286	28.66		0	0.00		0	0.00		0	0.00		0	0.00		286	28.66		6	0.60		0	0.00		0	0.00		6	0.60		1	0.10		0	0.00		0	0.00		1	0.10		6	0.60		0	0.00		0	0.00		6	0.60		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.10		0	0.00		0	0.00		1	0.10		0	0.00		0	0.00		0	0.00		0	0.00		492	49.30		6	0.60		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		498	49.90		9	0.90		0	0.00		0	0.00					
	Baryulgil		6	13.64		1	2.27		0	0.00		0	0.00		7	15.91		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	4.55		0	0.00		0	0.00		2	4.55		0	0.00		0	0.00		0	0.00		0	0.00		15	34.09		0	0.00		0	0.00		0	0.00		0	0.00		15	34.09		1	2.27		0	0.00		0	0.00		1	2.27		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	2.27		0	0.00		0	0.00		1	2.27		0	0.00		0	0.00		0	0.00		0	0.00		18	40.91		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		18	40.91		0	0.00		0	0.00		0	0.00					
	Bentley		12	4.67		1	0.39		0	0.00		0	0.00		13	5.06		5	1.95		0	0.00		0	0.00		5	1.95		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.39		0	0.00		0	0.00		1	0.39		1	0.39		0	0.00		0	0.00		1	0.39		16	6.23		1	0.39		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		17	6.61		3	1.17		1	0.39		0	0.00		4	1.56		0	0.00		0	0.00		0	0.00		0	0.00		53	20.62		0	0.00		0	0.00		0	0.00		0	0.00		53	20.62		1	0.39		0	0.00		0	0.00		1	0.39		0	0.00		0	0.00		0	0.00		0	0.00		3	1.17		0	0.00		0	0.00		3	1.17		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.78		0	0.00		0	0.00		2	0.78		0	0.00		0	0.00		0	0.00		0	0.00		134	52.14		1	0.39		0	0.00		0	0.00		1	0.39		0	0.00		0	0.00		136	52.92		0	0.00		0	0.00		0	0.00					
	Bexhill		30	5.99		5	1.00		0	0.00		0	0.00		35	6.99		8	1.60		5	1.00		0	0.00		13	2.59		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	1.80		0	0.00		0	0.00		9	1.80		3	0.60		2	0.40		0	0.00		5	1.00		31	6.19		8	1.60		0	0.00		1	0.20		0	0.00		1	0.20		0	0.00		41	8.18		5	1.00		0	0.00		0	0.00		5	1.00		0	0.00		0	0.00		0	0.00		0	0.00		91	18.16		1	0.20		0	0.00		0	0.00		0	0.00		92	18.36		2	0.40		0	0.00		0	0.00		2	0.40		0	0.00		0	0.00		0	0.00		0	0.00		5	1.00		0	0.00		1	0.20		6	1.20		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		241	48.10		2	0.40		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		243	48.50		6	1.20		2	0.40		0	0.00					
	Bonalbo		39	10.40		3	0.80		0	0.00		0	0.00		42	11.20		3	0.80		0	0.00		0	0.00		3	0.80		0	0.00		0	0.00		0	0.00		0	0.00		2	0.53		0	0.00		0	0.00		2	0.53		3	0.80		0	0.00		0	0.00		3	0.80		1	0.27		0	0.00		0	0.00		1	0.27		21	5.60		1	0.27		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		22	5.87		5	1.33		2	0.53		0	0.00		7	1.87		0	0.00		0	0.00		0	0.00		0	0.00		78	20.80		0	0.00		0	0.00		0	0.00		0	0.00		78	20.80		3	0.80		0	0.00		0	0.00		3	0.80		0	0.00		0	0.00		0	0.00		0	0.00		4	1.07		0	0.00		0	0.00		4	1.07		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.27		1	0.27		180	48.00		4	1.07		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		184	49.07		5	1.33		0	0.00		0	0.00
	Broadwater		34	8.31		1	0.24		0	0.00		0	0.00		35	8.56		9	2.20		2	0.49		0	0.00		11	2.69		0	0.00		0	0.00		0	0.00		0	0.00		1	0.24		0	0.00		0	0.00		1	0.24		4	0.98		1	0.24		0	0.00		5	1.22		1	0.24		0	0.00		0	0.00		1	0.24		22	5.38		2	0.49		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		24	5.87		5	1.22		0	0.00		0	0.00		5	1.22		2	0.49		0	0.00		0	0.00		2	0.49		137	33.50		6	1.47		0	0.00		0	0.00		1	0.24		144	35.21		3	0.73		0	0.00		0	0.00		3	0.73		0	0.00		0	0.00		0	0.00		0	0.00		6	1.47		0	0.00		0	0.00		6	1.47		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		132	32.27		2	0.49		0	0.00		0	0.00		1	0.24		0	0.00		0	0.00		135	33.01		2	0.49		0	0.00		0	0.00
	Caniaba		20	7.04		2	0.70		0	0.00		0	0.00		22	7.75		4	1.41		0	0.00		0	0.00		4	1.41		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.70		0	0.00		0	0.00		2	0.70		0	0.00		2	0.70		0	0.00		2	0.70		12	4.23		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		12	4.23		8	2.82		0	0.00		0	0.00		8	2.82		2	0.70		0	0.00		0	0.00		2	0.70		56	19.72		0	0.00		0	0.00		0	0.00		0	0.00		56	19.72		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.70		0	0.00		0	0.00		2	0.70		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		152	53.52		0	0.00		1	0.35		0	0.00		0	0.00		0	0.00		0	0.00		153	53.87		4	1.41		0	0.00		0	0.00
