Senate - 2001 Election: New South Wales																																																																																																																																																																																																																																																															
First Preference Votes by Candidate 																																																																																																																																																																																																																																																															
By Polling Place																																																																																																																																																																																																																																																															

Parkes (83036)																																																																																																																																																																																																																																																															


			 A Pauline Hanson's One Nation															 B Christian Democratic Party (Fred Nile Group)												 C Unity - Say No To Hanson												 D Citizens Electoral Council of Australia												 E Progressive Labour Party												 F Helen Caldicott's - Our Common Future Party												 G Australian Democrats																								 H Help End Marijuana Prohibition												 I Peter Breen - Reform The Legal System												 J Australian Labor Party / Country Labor																		 K Lower Excise Fuel and Beer Party												 L 												 M The Fishing Party												 N 															 O Non-Custodial Parents Party												 P Nuclear Disarmament Party of Australia												 Q Liberal/Nationals																								 R No Goods and Services Tax Party												
	    		TICKET VOTES			MCKINNON			PUTRA			DEENEY			Group Total			TICKET VOTES			CAPSIS			HUME			Group Total			TICKET VOTES			NGO			MCLEOD			Group Total			TICKET VOTES			BUTLER			COLLINS			Group Total			TICKET VOTES			WOLDRING			LEE			Group Total			TICKET VOTES			CALDICOTT			POTTS			Group Total			TICKET VOTES			BOURNE			YATES			CHUNG			MAYFIELD			PRINCE			EVANS			Group Total			TICKET VOTES			BALDERSTONE			FUGGLE			Group Total			TICKET VOTES			GREENAWAY			ARMSTRONG			Group Total			TICKET VOTES			# STEPHENS			# CAMPBELL			MUNDINE			WOODS			Group Total			TICKET VOTES			O'LOUGHLIN			FREEMAN			Group Total			TICKET VOTES			STEWART			STEWART			Group Total			TICKET VOTES			SMITH			WISEMAN			Group Total			TICKET VOTES			SMITH			LAWLER			ANTHONY			Group Total			TICKET VOTES			THOMPSON			MCKEEGAN			Group Total			TICKET VOTES			DENBOROUGH			FRANCIS			Group Total			TICKET VOTES			# COONAN			# MACDONALD			# PAYNE			NASH			MACDONALD			TANG			Group Total			TICKET VOTES			GALLAGHER			MARTIN						
	    					Don			Rick			Carol									George			Kevin									Thang			Robert									Robert			Glenys									Klaas			Shona									Helen			Ted									Vicki			Joanne			Craig			E Caroline			Janine			Julian									Michael			Don									Denise			Valerie									Ursula			George			Warren			Joanna									David			Paul									Lex			Joe									Robert			David									Warren			Geoff			Dora									Andy			Annette									Michael			Yvonne									Helen			Sandy			Marise			Fiona			Scot			Terence									Mick			Charles H						
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%					
	Albert		5	5.21		1	1.04		0	0.00		0	0.00		6	6.25		4	4.17		0	0.00		0	0.00		4	4.17		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	2.08		0	0.00		0	0.00		2	2.08		0	0.00		1	1.04		0	0.00		1	1.04		1	1.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		12	12.50		0	0.00		0	0.00		0	0.00		0	0.00		12	12.50		3	3.13		0	0.00		0	0.00		3	3.13		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		61	63.54		2	2.08		1	1.04		0	0.00		0	0.00		0	0.00		0	0.00		64	66.67		1	1.04		1	1.04		0	0.00					
	Alectown		17	9.39		1	0.55		0	0.00		0	0.00		18	9.94		22	12.15		1	0.55		0	0.00		23	12.71		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	2.76		0	0.00		0	0.00		5	2.76		0	0.00		0	0.00		0	0.00		0	0.00		2	1.10		1	0.55		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	1.66		1	0.55		0	0.00		0	0.00		1	0.55		0	0.00		1	0.55		0	0.00		1	0.55		35	19.34		1	0.55		0	0.00		0	0.00		0	0.00		36	19.89		1	0.55		0	0.00		0	0.00		1	0.55		0	0.00		0	0.00		0	0.00		0	0.00		1	0.55		0	0.00		0	0.00		1	0.55		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.55		0	0.00		0	0.00		1	0.55		0	0.00		0	0.00		0	0.00		0	0.00		80	44.20		3	1.66		0	0.00		0	0.00		0	0.00		1	0.55		0	0.00		84	46.41		1	0.55		2	1.10		0	0.00					
	Alma		196	10.70		10	0.55		0	0.00		0	0.00		206	11.24		21	1.15		2	0.11		0	0.00		23	1.26		0	0.00		0	0.00		0	0.00		0	0.00		1	0.05		0	0.00		0	0.00		1	0.05		38	2.07		1	0.05		0	0.00		39	2.13		0	0.00		0	0.00		0	0.00		0	0.00		48	2.62		8	0.44		0	0.00		0	0.00		1	0.05		1	0.05		0	0.00		58	3.17		11	0.60		1	0.05		0	0.00		12	0.66		11	0.60		0	0.00		0	0.00		11	0.60		1103	60.21		4	0.22		2	0.11		0	0.00		0	0.00		1109	60.53		3	0.16		0	0.00		0	0.00		3	0.16		1	0.05		0	0.00		0	0.00		1	0.05		5	0.27		2	0.11		0	0.00		7	0.38		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.11		1	0.05		0	0.00		3	0.16		306	16.70		5	0.27		1	0.05		0	0.00		0	0.00		2	0.11		0	0.00		314	17.14		12	0.66		0	0.00		0	0.00					
	Ballimore		11	9.32		1	0.85		0	0.00		0	0.00		12	10.17		2	1.69		1	0.85		1	0.85		4	3.39		1	0.85		0	0.00		0	0.00		1	0.85		0	0.00		0	0.00		0	0.00		0	0.00		2	1.69		0	0.00		0	0.00		2	1.69		1	0.85		0	0.00		0	0.00		1	0.85		5	4.24		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	4.24		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		30	25.42		0	0.00		0	0.00		0	0.00		0	0.00		30	25.42		1	0.85		0	0.00		0	0.00		1	0.85		1	0.85		0	0.00		0	0.00		1	0.85		1	0.85		0	0.00		0	0.00		1	0.85		1	0.85		0	0.00		0	0.00		0	0.00		1	0.85		1	0.85		0	0.00		0	0.00		1	0.85		0	0.00		0	0.00		0	0.00		0	0.00		55	46.61		1	0.85		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		56	47.46		0	0.00		0	0.00		0	0.00					
	Barmedman		27	11.02		1	0.41		0	0.00		0	0.00		28	11.43		1	0.41		0	0.00		0	0.00		1	0.41		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	1.63		0	0.00		0	0.00		4	1.63		1	0.41		0	0.00		0	0.00		1	0.41		6	2.45		1	0.41		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	2.86		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		44	17.96		2	0.82		0	0.00		0	0.00		0	0.00		46	18.78		4	1.63		0	0.00		0	0.00		4	1.63		0	0.00		0	0.00		0	0.00		0	0.00		4	1.63		0	0.00		0	0.00		4	1.63		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.41		0	0.00		0	0.00		1	0.41		0	0.00		0	0.00		0	0.00		0	0.00		141	57.55		0	0.00		0	0.00		0	0.00		1	0.41		1	0.41		0	0.00		143	58.37		3	1.22		0	0.00		0	0.00					
	Bedgerebong		13	9.77		1	0.75		0	0.00		0	0.00		14	10.53		9	6.77		0	0.00		0	0.00		9	6.77		1	0.75		0	0.00		0	0.00		1	0.75		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	4.51		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	4.51		1	0.75		0	0.00		0	0.00		1	0.75		0	0.00		0	0.00		0	0.00		0	0.00		11	8.27		0	0.00		1	0.75		0	0.00		0	0.00		12	9.02		1	0.75		0	0.00		0	0.00		1	0.75		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		88	66.17		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		88	66.17		0	0.00		0	0.00		0	0.00
	Bogan Gate		30	13.10		3	1.31		0	0.00		0	0.00		33	14.41		2	0.87		1	0.44		0	0.00		3	1.31		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	1.31		0	0.00		0	0.00		3	1.31		1	0.44		0	0.00		0	0.00		1	0.44		6	2.62		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	2.62		3	1.31		1	0.44		0	0.00		4	1.75		0	0.00		0	0.00		0	0.00		0	0.00		34	14.85		0	0.00		0	0.00		0	0.00		0	0.00		34	14.85		9	3.93		0	0.00		0	0.00		9	3.93		0	0.00		0	0.00		0	0.00		0	0.00		2	0.87		0	0.00		0	0.00		2	0.87		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		125	54.59		2	0.87		3	1.31		0	0.00		0	0.00		0	0.00		0	0.00		130	56.77		1	0.44		0	0.00		0	0.00
	Broken Hill		136	8.80		5	0.32		1	0.06		0	0.00		142	9.19		30	1.94		7	0.45		0	0.00		37	2.39		2	0.13		0	0.00		0	0.00		2	0.13		0	0.00		0	0.00		0	0.00		0	0.00		31	2.01		0	0.00		0	0.00		31	2.01		2	0.13		0	0.00		0	0.00		2	0.13		60	3.88		5	0.32		1	0.06		0	0.00		0	0.00		0	0.00		0	0.00		66	4.27		10	0.65		0	0.00		0	0.00		10	0.65		5	0.32		0	0.00		0	0.00		5	0.32		796	51.52		9	0.58		1	0.06		1	0.06		3	0.19		810	52.43		7	0.45		0	0.00		0	0.00		7	0.45		3	0.19		0	0.00		0	0.00		3	0.19		4	0.26		0	0.00		0	0.00		4	0.26		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.13		0	0.00		1	0.06		3	0.19		2	0.13		0	0.00		0	0.00		2	0.13		355	22.98		3	0.19		2	0.13		0	0.00		1	0.06		0	0.00		0	0.00		361	23.37		12	0.78		0	0.00		0	0.00
	Broken Hill Hospital		14	8.59		1	0.61		0	0.00		0	0.00		15	9.20		1	0.61		0	0.00		0	0.00		1	0.61		1	0.61		0	0.00		0	0.00		1	0.61		0	0.00		0	0.00		0	0.00		0	0.00		5	3.07		0	0.00		0	0.00		5	3.07		1	0.61		0	0.00		0	0.00		1	0.61		9	5.52		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	5.52		1	0.61		0	0.00		0	0.00		1	0.61		0	0.00		0	0.00		0	0.00		0	0.00		88	53.99		0	0.00		0	0.00		1	0.61		0	0.00		89	54.60		1	0.61		0	0.00		0	0.00		1	0.61		1	0.61		0	0.00		0	0.00		1	0.61		1	0.61		0	0.00		0	0.00		1	0.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		29	17.79		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		29	17.79		6	3.68		0	0.00		0	0.00
	Broken Hill North		219	10.54		13	0.63		0	0.00		0	0.00		232	11.16		33	1.59		1	0.05		0	0.00		34	1.64		2	0.10		0	0.00		0	0.00		2	0.10		3	0.14		0	0.00		1	0.05		4	0.19		54	2.60		0	0.00		0	0.00		54	2.60		0	0.00		1	0.05		0	0.00		1	0.05		60	2.89		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		60	2.89		17	0.82		0	0.00		0	0.00		17	0.82		6	0.29		0	0.00		0	0.00		6	0.29		1118	53.80		10	0.48		1	0.05		0	0.00		1	0.05		1130	54.38		8	0.38		1	0.05		0	0.00		9	0.43		1	0.05		0	0.00		0	0.00		1	0.05		13	0.63		0	0.00		0	0.00		13	0.63		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	0.14		0	0.00		0	0.00		3	0.14		1	0.05		0	0.00		0	0.00		1	0.05		469	22.57		5	0.24		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		474	22.81		10	0.48		0	0.00		0	0.00
	Broken Hill West		93	8.64		3	0.28		0	0.00		0	0.00		96	8.92		14	1.30		0	0.00		0	0.00		14	1.30		0	0.00		0	0.00		0	0.00		0	0.00		1	0.09		0	0.00		0	0.00		1	0.09		27	2.51		0	0.00		0	0.00		27	2.51		3	0.28		0	0.00		0	0.00		3	0.28		32	2.97		1	0.09		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		33	3.07		8	0.74		0	0.00		0	0.00		8	0.74		2	0.19		0	0.00		0	0.00		2	0.19		566	52.60		2	0.19		0	0.00		1	0.09		0	0.00		569	52.88		4	0.37		0	0.00		0	0.00		4	0.37		0	0.00		0	0.00		0	0.00		0	0.00		5	0.46		0	0.00		0	0.00		5	0.46		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.09		0	0.00		0	0.00		1	0.09		1	0.09		0	0.00		0	0.00		1	0.09		282	26.21		1	0.09		0	0.00		0	0.00		0	0.00		0	0.00		1	0.09		284	26.39		3	0.28		1	0.09		0	0.00
	Burcher		1	1.30		0	0.00		0	0.00		0	0.00		1	1.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	3.90		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	3.90		1	1.30		0	0.00		0	0.00		1	1.30		0	0.00		0	0.00		0	0.00		0	0.00		3	3.90		0	0.00		0	0.00		0	0.00		0	0.00		3	3.90		1	1.30		0	0.00		0	0.00		1	1.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.30		0	0.00		0	0.00		0	0.00		1	1.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		65	84.42		1	1.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		66	85.71		0	0.00		0	0.00		0	0.00
	Caragabal		14	8.70		0	0.00		0	0.00		0	0.00		14	8.70		4	2.48		0	0.00		0	0.00		4	2.48		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	2.48		0	0.00		0	0.00		4	2.48		0	0.00		0	0.00		0	0.00		0	0.00		4	2.48		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	2.48		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		17	10.56		0	0.00		0	0.00		0	0.00		0	0.00		17	10.56		2	1.24		0	0.00		0	0.00		2	1.24		0	0.00		0	0.00		0	0.00		0	0.00		1	0.62		0	0.00		0	0.00		1	0.62		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.62		0	0.00		0	0.00		1	0.62		0	0.00		0	0.00		0	0.00		0	0.00		110	68.32		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		110	68.32		3	1.86		0	0.00		0	0.00
	Churchill Gardens		177	10.79		8	0.49		1	0.06		1	0.06		187	11.40		60	3.66		3	0.18		0	0.00		63	3.84		2	0.12		0	0.00		0	0.00		2	0.12		4	0.24		0	0.00		0	0.00		4	0.24		34	2.07		0	0.00		0	0.00		34	2.07		2	0.12		0	0.00		0	0.00		2	0.12		50	3.05		3	0.18		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		53	3.23		18	1.10		3	0.18		0	0.00		21	1.28		1	0.06		0	0.00		1	0.06		2	0.12		434	26.46		2	0.12		1	0.06		2	0.12		1	0.06		440	26.83		10	0.61		0	0.00		0	0.00		10	0.61		1	0.06		0	0.00		0	0.00		1	0.06		11	0.67		2	0.12		0	0.00		13	0.79		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	0.24		0	0.00		0	0.00		4	0.24		0	0.00		0	0.00		0	0.00		0	0.00		744	45.37		7	0.43		1	0.06		0	0.00		0	0.00		0	0.00		0	0.00		752	45.85		16	0.98		0	0.00		0	0.00
	Cobar		301	14.64		19	0.92		0	0.00		1	0.05		321	15.61		22	1.07		3	0.15		0	0.00		25	1.22		0	0.00		0	0.00		0	0.00		0	0.00		1	0.05		0	0.00		0	0.00		1	0.05		45	2.19		1	0.05		0	0.00		46	2.24		2	0.10		0	0.00		1	0.05		3	0.15		59	2.87		1	0.05		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		60	2.92		24	1.17		0	0.00		0	0.00		24	1.17		2	0.10		0	0.00		0	0.00		2	0.10		632	30.74		0	0.00		2	0.10		3	0.15		0	0.00		637	30.98		17	0.83		1	0.05		0	0.00		18	0.88		3	0.15		0	0.00		0	0.00		3	0.15		23	1.12		0	0.00		0	0.00		23	1.12		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.10		0	0.00		0	0.00		2	0.10		2	0.10		0	0.00		0	0.00		2	0.10		807	39.25		8	0.39		2	0.10		0	0.00		1	0.05		2	0.10		0	0.00		820	39.88		17	0.83		1	0.05		0	0.00
