Senate - 2001 Election: New South Wales																																																																																																																																																																																																																																																															
First Preference Votes by Candidate																																																																																																																																																																																																																																																															
By Polling Place																																																																																																																																																																																																																																																															

Paterson (82782)																																																																																																																																																																																																																																																															


			 A Pauline Hanson's One Nation															 B Christian Democratic Party (Fred Nile Group)												 C Unity - Say No To Hanson												 D Citizens Electoral Council of Australia												 E Progressive Labour Party												 F Helen Caldicott's - Our Common Future Party												 G Australian Democrats																								 H Help End Marijuana Prohibition												 I Peter Breen - Reform The Legal System												 J Australian Labor Party / Country Labor																		 K Lower Excise Fuel and Beer Party												 L 												 M The Fishing Party												 N 															 O Non-Custodial Parents Party												 P Nuclear Disarmament Party of Australia												 Q Liberal/Nationals																								 R No Goods and Services Tax Party												
	    		TICKET VOTES			MCKINNON			PUTRA			DEENEY			Group Total			TICKET VOTES			CAPSIS			HUME			Group Total			TICKET VOTES			NGO			MCLEOD			Group Total			TICKET VOTES			BUTLER			COLLINS			Group Total			TICKET VOTES			WOLDRING			LEE			Group Total			TICKET VOTES			CALDICOTT			POTTS			Group Total			TICKET VOTES			BOURNE			YATES			CHUNG			MAYFIELD			PRINCE			EVANS			Group Total			TICKET VOTES			BALDERSTONE			FUGGLE			Group Total			TICKET VOTES			GREENAWAY			ARMSTRONG			Group Total			TICKET VOTES			# STEPHENS			# CAMPBELL			MUNDINE			WOODS			Group Total			TICKET VOTES			O'LOUGHLIN			FREEMAN			Group Total			TICKET VOTES			STEWART			STEWART			Group Total			TICKET VOTES			SMITH			WISEMAN			Group Total			TICKET VOTES			SMITH			LAWLER			ANTHONY			Group Total			TICKET VOTES			THOMPSON			MCKEEGAN			Group Total			TICKET VOTES			DENBOROUGH			FRANCIS			Group Total			TICKET VOTES			# COONAN			# MACDONALD			# PAYNE			NASH			MACDONALD			TANG			Group Total			TICKET VOTES			GALLAGHER			MARTIN						
	    					Don			Rick			Carol									George			Kevin									Thang			Robert									Robert			Glenys									Klaas			Shona									Helen			Ted									Vicki			Joanne			Craig			E Caroline			Janine			Julian									Michael			Don									Denise			Valerie									Ursula			George			Warren			Joanna									David			Paul									Lex			Joe									Robert			David									Warren			Geoff			Dora									Andy			Annette									Michael			Yvonne									Helen			Sandy			Marise			Fiona			Scot			Terence									Mick			Charles H						
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%					
	Anna Bay		106	4.80		8	0.36		0	0.00		1	0.05		115	5.21		28	1.27		5	0.23		0	0.00		33	1.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		30	1.36		1	0.05		0	0.00		31	1.40		0	0.00		0	0.00		0	0.00		0	0.00		91	4.12		10	0.45		0	0.00		0	0.00		0	0.00		0	0.00		1	0.05		102	4.62		36	1.63		1	0.05		0	0.00		37	1.68		0	0.00		0	0.00		0	0.00		0	0.00		806	36.52		6	0.27		1	0.05		0	0.00		1	0.05		814	36.88		13	0.59		0	0.00		0	0.00		13	0.59		18	0.82		0	0.00		0	0.00		18	0.82		22	1.00		0	0.00		0	0.00		22	1.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	0.14		0	0.00		0	0.00		3	0.14		2	0.09		0	0.00		0	0.00		2	0.09		888	40.24		4	0.18		1	0.05		0	0.00		0	0.00		0	0.00		0	0.00		893	40.46		8	0.36		0	0.00		0	0.00					
	Bandon Grove		10	8.26		2	1.65		0	0.00		0	0.00		12	9.92		2	1.65		0	0.00		0	0.00		2	1.65		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	3.31		0	0.00		0	0.00		4	3.31		0	0.00		0	0.00		0	0.00		0	0.00		10	8.26		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		10	8.26		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		26	21.49		0	0.00		0	0.00		0	0.00		0	0.00		26	21.49		1	0.83		0	0.00		0	0.00		1	0.83		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		58	47.93		0	0.00		2	1.65		0	0.00		0	0.00		0	0.00		0	0.00		60	49.59		0	0.00		0	0.00		0	0.00					
	Barrington		12	3.66		1	0.30		0	0.00		0	0.00		13	3.96		7	2.13		2	0.61		0	0.00		9	2.74		0	0.00		0	0.00		0	0.00		0	0.00		1	0.30		0	0.00		0	0.00		1	0.30		5	1.52		0	0.00		0	0.00		5	1.52		0	0.00		0	0.00		0	0.00		0	0.00		10	3.05		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		10	3.05		2	0.61		0	0.00		0	0.00		2	0.61		0	0.00		0	0.00		0	0.00		0	0.00		57	17.38		1	0.30		0	0.00		0	0.00		0	0.00		58	17.68		1	0.30		0	0.00		0	0.00		1	0.30		3	0.91		0	0.00		0	0.00		3	0.91		3	0.91		0	0.00		0	0.00		3	0.91		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.61		0	0.00		0	0.00		2	0.61		1	0.30		0	0.00		0	0.00		1	0.30		197	60.06		2	0.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		199	60.67		2	0.61		0	0.00		0	0.00					
	Beresfield		145	6.58		8	0.36		0	0.00		0	0.00		153	6.95		21	0.95		9	0.41		0	0.00		30	1.36		0	0.00		0	0.00		0	0.00		0	0.00		5	0.23		0	0.00		0	0.00		5	0.23		63	2.86		0	0.00		0	0.00		63	2.86		2	0.09		0	0.00		0	0.00		2	0.09		86	3.90		2	0.09		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		88	3.99		27	1.23		0	0.00		0	0.00		27	1.23		3	0.14		0	0.00		0	0.00		3	0.14		1083	49.16		1	0.05		0	0.00		0	0.00		0	0.00		1084	49.21		19	0.86		1	0.05		0	0.00		20	0.91		1	0.05		0	0.00		0	0.00		1	0.05		35	1.59		1	0.05		0	0.00		36	1.63		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.05		0	0.00		0	0.00		1	0.05		1	0.05		0	0.00		0	0.00		1	0.05		597	27.10		4	0.18		1	0.05		0	0.00		0	0.00		0	0.00		0	0.00		602	27.33		17	0.77		0	0.00		0	0.00					
	Bobs Farm		21	7.45		4	1.42		0	0.00		0	0.00		25	8.87		4	1.42		0	0.00		0	0.00		4	1.42		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	1.06		0	0.00		0	0.00		3	1.06		0	0.00		0	0.00		0	0.00		0	0.00		4	1.42		5	1.77		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	3.19		2	0.71		0	0.00		0	0.00		2	0.71		0	0.00		0	0.00		0	0.00		0	0.00		79	28.01		1	0.35		0	0.00		0	0.00		0	0.00		80	28.37		3	1.06		0	0.00		0	0.00		3	1.06		0	0.00		0	0.00		0	0.00		0	0.00		3	1.06		0	0.00		0	0.00		3	1.06		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		144	51.06		1	0.35		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		145	51.42		1	0.35		0	0.00		0	0.00					
	Booral		50	12.14		7	1.70		0	0.00		0	0.00		57	13.83		5	1.21		0	0.00		0	0.00		5	1.21		0	0.00		0	0.00		0	0.00		0	0.00		2	0.49		0	0.00		0	0.00		2	0.49		4	0.97		0	0.00		0	0.00		4	0.97		0	0.00		1	0.24		0	0.00		1	0.24		15	3.64		1	0.24		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		16	3.88		7	1.70		0	0.00		0	0.00		7	1.70		0	0.00		0	0.00		0	0.00		0	0.00		111	26.94		1	0.24		0	0.00		0	0.00		0	0.00		112	27.18		6	1.46		0	0.00		0	0.00		6	1.46		1	0.24		0	0.00		0	0.00		1	0.24		5	1.21		0	0.00		0	0.00		5	1.21		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.24		0	0.00		1	0.24		179	43.45		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		179	43.45		1	0.24		0	0.00		0	0.00
	Bulahdelah		111	11.27		7	0.71		0	0.00		0	0.00		118	11.98		11	1.12		2	0.20		0	0.00		13	1.32		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		16	1.62		0	0.00		0	0.00		16	1.62		0	0.00		0	0.00		0	0.00		0	0.00		27	2.74		4	0.41		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		31	3.15		7	0.71		0	0.00		0	0.00		7	0.71		2	0.20		2	0.20		0	0.00		4	0.41		237	24.06		1	0.10		0	0.00		0	0.00		0	0.00		238	24.16		6	0.61		0	0.00		0	0.00		6	0.61		0	0.00		0	0.00		0	0.00		0	0.00		24	2.44		1	0.10		0	0.00		25	2.54		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.20		0	0.00		0	0.00		2	0.20		0	0.00		0	0.00		0	0.00		0	0.00		494	50.15		2	0.20		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		496	50.36		2	0.20		0	0.00		0	0.00
	Bungwahl		23	8.81		0	0.00		0	0.00		0	0.00		23	8.81		3	1.15		0	0.00		0	0.00		3	1.15		0	0.00		0	0.00		0	0.00		0	0.00		2	0.77		0	0.00		0	0.00		2	0.77		4	1.53		0	0.00		0	0.00		4	1.53		1	0.38		1	0.38		0	0.00		2	0.77		11	4.21		3	1.15		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		14	5.36		5	1.92		0	0.00		0	0.00		5	1.92		0	0.00		0	0.00		0	0.00		0	0.00		78	29.89		2	0.77		0	0.00		0	0.00		0	0.00		80	30.65		1	0.38		0	0.00		0	0.00		1	0.38		0	0.00		0	0.00		0	0.00		0	0.00		3	1.15		0	0.00		0	0.00		3	1.15		0	0.00		1	0.38		0	0.00		0	0.00		1	0.38		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		104	39.85		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		104	39.85		3	1.15		0	0.00		0	0.00
	Bunyah		7	15.91		0	0.00		0	0.00		0	0.00		7	15.91		0	0.00		0	0.00		0	0.00		0	0.00		1	2.27		0	0.00		0	0.00		1	2.27		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	4.55		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	4.55		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	11.36		0	0.00		0	0.00		0	0.00		0	0.00		5	11.36		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		26	59.09		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		26	59.09		0	0.00		0	0.00		0	0.00
	Clarence Town		95	10.18		2	0.21		0	0.00		0	0.00		97	10.40		15	1.61		2	0.21		0	0.00		17	1.82		0	0.00		0	0.00		0	0.00		0	0.00		3	0.32		1	0.11		0	0.00		4	0.43		16	1.71		1	0.11		0	0.00		17	1.82		1	0.11		0	0.00		0	0.00		1	0.11		60	6.43		6	0.64		0	0.00		0	0.00		0	0.00		0	0.00		1	0.11		67	7.18		11	1.18		0	0.00		0	0.00		11	1.18		0	0.00		0	0.00		0	0.00		0	0.00		313	33.55		2	0.21		0	0.00		1	0.11		0	0.00		316	33.87		5	0.54		0	0.00		0	0.00		5	0.54		0	0.00		0	0.00		0	0.00		0	0.00		13	1.39		1	0.11		0	0.00		14	1.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		347	37.19		2	0.21		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		349	37.41		4	0.43		0	0.00		0	0.00
