Senate - 2001 Election: New South Wales																																																																																																																																																																																																																																																															
First Preference Votes by Candidate																																																																																																																																																																																																																																																															
By Polling Place																																																																																																																																																																																																																																																															

Riverina (87399)																																																																																																																																																																																																																																																															
			 A Pauline Hanson's One Nation															 B Christian Democratic Party (Fred Nile Group)												 C Unity - Say No To Hanson												 D Citizens Electoral Council of Australia												 E Progressive Labour Party												 F Helen Caldicott's - Our Common Future Party												 G Australian Democrats																								 H Help End Marijuana Prohibition												 I Peter Breen - Reform The Legal System												 J Australian Labor Party / Country Labor																		 K Lower Excise Fuel and Beer Party												 L 												 M The Fishing Party												 N 															 O Non-Custodial Parents Party												 P Nuclear Disarmament Party of Australia												 Q Liberal/Nationals																								 R No Goods and Services Tax Party												
	    		TICKET VOTES			MCKINNON			PUTRA			DEENEY			Group Total			TICKET VOTES			CAPSIS			HUME			Group Total			TICKET VOTES			NGO			MCLEOD			Group Total			TICKET VOTES			BUTLER			COLLINS			Group Total			TICKET VOTES			WOLDRING			LEE			Group Total			TICKET VOTES			CALDICOTT			POTTS			Group Total			TICKET VOTES			BOURNE			YATES			CHUNG			MAYFIELD			PRINCE			EVANS			Group Total			TICKET VOTES			BALDERSTONE			FUGGLE			Group Total			TICKET VOTES			GREENAWAY			ARMSTRONG			Group Total			TICKET VOTES			# STEPHENS			# CAMPBELL			MUNDINE			WOODS			Group Total			TICKET VOTES			O'LOUGHLIN			FREEMAN			Group Total			TICKET VOTES			STEWART			STEWART			Group Total			TICKET VOTES			SMITH			WISEMAN			Group Total			TICKET VOTES			SMITH			LAWLER			ANTHONY			Group Total			TICKET VOTES			THOMPSON			MCKEEGAN			Group Total			TICKET VOTES			DENBOROUGH			FRANCIS			Group Total			TICKET VOTES			# COONAN			# MACDONALD			# PAYNE			NASH			MACDONALD			TANG			Group Total			TICKET VOTES			GALLAGHER			MARTIN						
	    					Don			Rick			Carol									George			Kevin									Thang			Robert									Robert			Glenys									Klaas			Shona									Helen			Ted									Vicki			Joanne			Craig			E Caroline			Janine			Julian									Michael			Don									Denise			Valerie									Ursula			George			Warren			Joanna									David			Paul									Lex			Joe									Robert			David									Warren			Geoff			Dora									Andy			Annette									Michael			Yvonne									Helen			Sandy			Marise			Fiona			Scot			Terence									Mick			Charles H						
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%					
	Adjungbilly		4	7.55		2	3.77		0	0.00		0	0.00		6	11.32		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.89		0	0.00		0	0.00		1	1.89		1	1.89		0	0.00		0	0.00		1	1.89		12	22.64		0	0.00		0	0.00		0	0.00		0	0.00		12	22.64		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		30	56.60		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		30	56.60		2	3.77		0	0.00		0	0.00					
	Ardlethan		24	6.58		1	0.27		0	0.00		0	0.00		25	6.85		2	0.55		0	0.00		0	0.00		2	0.55		1	0.27		0	0.00		0	0.00		1	0.27		1	0.27		0	0.00		0	0.00		1	0.27		4	1.10		0	0.00		0	0.00		4	1.10		0	0.00		0	0.00		0	0.00		0	0.00		8	2.19		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		8	2.19		5	1.37		0	0.00		0	0.00		5	1.37		2	0.55		0	0.00		0	0.00		2	0.55		77	21.10		2	0.55		0	0.00		0	0.00		0	0.00		79	21.64		2	0.55		2	0.55		0	0.00		4	1.10		0	0.00		0	0.00		0	0.00		0	0.00		2	0.55		0	0.00		0	0.00		2	0.55		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.55		0	0.00		0	0.00		2	0.55		0	0.00		0	0.00		0	0.00		0	0.00		217	59.45		2	0.55		1	0.27		0	0.00		0	0.00		0	0.00		0	0.00		220	60.27		1	0.27		0	0.00		0	0.00					
	Ariah Park		25	6.74		1	0.27		0	0.00		0	0.00		26	7.01		34	9.16		4	1.08		0	0.00		38	10.24		0	0.00		0	0.00		0	0.00		0	0.00		1	0.27		0	0.00		0	0.00		1	0.27		8	2.16		0	0.00		0	0.00		8	2.16		1	0.27		0	0.00		0	0.00		1	0.27		11	2.96		0	0.00		0	0.00		0	0.00		0	0.00		1	0.27		0	0.00		12	3.23		0	0.00		0	0.00		0	0.00		0	0.00		1	0.27		0	0.00		0	0.00		1	0.27		38	10.24		0	0.00		0	0.00		0	0.00		0	0.00		38	10.24		5	1.35		1	0.27		0	0.00		6	1.62		0	0.00		0	0.00		0	0.00		0	0.00		2	0.54		0	0.00		0	0.00		2	0.54		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.27		0	0.00		0	0.00		1	0.27		0	0.00		0	0.00		0	0.00		0	0.00		216	58.22		5	1.35		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		221	59.57		8	2.16		1	0.27		0	0.00					
	Ashmont		120	5.96		8	0.40		0	0.00		0	0.00		128	6.36		34	1.69		3	0.15		0	0.00		37	1.84		0	0.00		0	0.00		0	0.00		0	0.00		2	0.10		0	0.00		0	0.00		2	0.10		76	3.78		2	0.10		0	0.00		78	3.87		1	0.05		0	0.00		0	0.00		1	0.05		71	3.53		3	0.15		1	0.05		0	0.00		0	0.00		0	0.00		0	0.00		75	3.73		39	1.94		1	0.05		0	0.00		40	1.99		3	0.15		0	0.00		0	0.00		3	0.15		708	35.17		3	0.15		1	0.05		0	0.00		1	0.05		713	35.42		36	1.79		0	0.00		0	0.00		36	1.79		2	0.10		0	0.00		0	0.00		2	0.10		32	1.59		1	0.05		0	0.00		33	1.64		0	0.00		0	0.00		1	0.05		0	0.00		1	0.05		1	0.05		0	0.00		0	0.00		1	0.05		3	0.15		0	0.00		0	0.00		3	0.15		778	38.65		6	0.30		0	0.00		0	0.00		0	0.00		1	0.05		0	0.00		785	39.00		31	1.54		0	0.00		0	0.00					
	Barellan		43	11.91		3	0.83		0	0.00		0	0.00		46	12.74		9	2.49		0	0.00		0	0.00		9	2.49		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		8	2.22		0	0.00		0	0.00		8	2.22		0	0.00		0	0.00		0	0.00		0	0.00		4	1.11		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	1.11		4	1.11		0	0.00		0	0.00		4	1.11		0	0.00		0	0.00		0	0.00		0	0.00		60	16.62		0	0.00		0	0.00		0	0.00		0	0.00		60	16.62		5	1.39		0	0.00		0	0.00		5	1.39		0	0.00		0	0.00		0	0.00		0	0.00		5	1.39		0	0.00		0	0.00		5	1.39		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		215	59.56		1	0.28		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		216	59.83		1	0.28		0	0.00		0	0.00					
	Beckom		5	7.25		0	0.00		0	0.00		0	0.00		5	7.25		2	2.90		0	0.00		0	0.00		2	2.90		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.45		0	0.00		0	0.00		1	1.45		1	1.45		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.45		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	4.35		0	0.00		0	0.00		0	0.00		0	0.00		3	4.35		1	1.45		0	0.00		0	0.00		1	1.45		0	0.00		0	0.00		0	0.00		0	0.00		1	1.45		0	0.00		0	0.00		1	1.45		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		54	78.26		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		54	78.26		0	0.00		0	0.00		0	0.00					
	Beelbangera		30	9.01		1	0.30		0	0.00		0	0.00		31	9.31		3	0.90		0	0.00		0	0.00		3	0.90		1	0.30		0	0.00		0	0.00		1	0.30		0	0.00		0	0.00		0	0.00		0	0.00		5	1.50		0	0.00		0	0.00		5	1.50		0	0.00		0	0.00		0	0.00		0	0.00		12	3.60		1	0.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		13	3.90		4	1.20		0	0.00		0	0.00		4	1.20		0	0.00		0	0.00		0	0.00		0	0.00		82	24.62		0	0.00		1	0.30		0	0.00		0	0.00		83	24.92		4	1.20		0	0.00		0	0.00		4	1.20		0	0.00		0	0.00		0	0.00		0	0.00		6	1.80		0	0.00		0	0.00		6	1.80		1	0.30		0	0.00		0	0.00		0	0.00		1	0.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		171	51.35		0	0.00		0	0.00		0	0.00		1	0.30		0	0.00		0	0.00		172	51.65		3	0.90		0	0.00		0	0.00					
	Bethungra		8	6.72		0	0.00		0	0.00		0	0.00		8	6.72		2	1.68		0	0.00		0	0.00		2	1.68		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.68		0	0.00		0	0.00		2	1.68		0	0.00		0	0.00		0	0.00		0	0.00		8	6.72		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		8	6.72		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		22	18.49		0	0.00		0	0.00		0	0.00		0	0.00		22	18.49		3	2.52		0	0.00		0	0.00		3	2.52		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.84		0	0.00		0	0.00		0	0.00		1	0.84		0	0.00		0	0.00		0	0.00		0	0.00		1	0.84		0	0.00		0	0.00		1	0.84		65	54.62		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		65	54.62		0	0.00		0	0.00		0	0.00
	Bilbul		12	6.12		1	0.51		0	0.00		0	0.00		13	6.63		1	0.51		0	0.00		0	0.00		1	0.51		1	0.51		0	0.00		0	0.00		1	0.51		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	2.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	2.04		3	1.53		0	0.00		0	0.00		3	1.53		1	0.51		0	0.00		0	0.00		1	0.51		54	27.55		0	0.00		0	0.00		0	0.00		0	0.00		54	27.55		2	1.02		0	0.00		0	0.00		2	1.02		0	0.00		0	0.00		0	0.00		0	0.00		4	2.04		0	0.00		0	0.00		4	2.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		103	52.55		0	0.00		0	0.00		0	0.00		1	0.51		0	0.00		0	0.00		104	53.06		3	1.53		0	0.00		0	0.00
	Binya		9	9.57		0	0.00		0	0.00		0	0.00		9	9.57		3	3.19		0	0.00		0	0.00		3	3.19		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.06		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.06		1	1.06		0	0.00		0	0.00		1	1.06		0	0.00		0	0.00		0	0.00		0	0.00		6	6.38		0	0.00		0	0.00		0	0.00		0	0.00		6	6.38		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.06		0	0.00		0	0.00		1	1.06		69	73.40		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		69	73.40		0	0.00		0	0.00		0	0.00
	Booligal		9	17.31		1	1.92		0	0.00		0	0.00		10	19.23		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	5.77		0	0.00		0	0.00		3	5.77		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.92		0	0.00		0	0.00		1	1.92		7	13.46		0	0.00		0	0.00		0	0.00		0	0.00		7	13.46		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.92		0	0.00		0	0.00		1	1.92		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		30	57.69		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		30	57.69		0	0.00		0	0.00		0	0.00
	Carrathool		12	15.00		0	0.00		0	0.00		0	0.00		12	15.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.25		0	0.00		0	0.00		1	1.25		0	0.00		0	0.00		0	0.00		0	0.00		2	2.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	2.50		2	2.50		0	0.00		0	0.00		2	2.50		0	0.00		0	0.00		0	0.00		0	0.00		12	15.00		0	0.00		0	0.00		0	0.00		0	0.00		12	15.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.25		0	0.00		0	0.00		1	1.25		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		49	61.25		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		49	61.25		0	0.00		0	0.00		0	0.00
	Charles Sturt University		8	4.52		3	1.69		0	0.00		0	0.00		11	6.21		11	6.21		1	0.56		1	0.56		13	7.34		0	0.00		0	0.00		0	0.00		0	0.00		1	0.56		0	0.00		0	0.00		1	0.56		2	1.13		1	0.56		0	0.00		3	1.69		0	0.00		0	0.00		0	0.00		0	0.00		16	9.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		16	9.04		1	0.56		2	1.13		0	0.00		3	1.69		0	0.00		0	0.00		0	0.00		0	0.00		40	22.60		0	0.00		1	0.56		0	0.00		1	0.56		42	23.73		4	2.26		0	0.00		0	0.00		4	2.26		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.56		0	0.00		0	0.00		1	0.56		0	0.00		0	0.00		0	0.00		0	0.00		63	35.59		2	1.13		0	0.00		1	0.56		0	0.00		0	0.00		1	0.56		67	37.85		1	0.56		0	0.00		0	0.00
	Coleambally		40	6.67		1	0.17		0	0.00		0	0.00		41	6.83		7	1.17		0	0.00		0	0.00		7	1.17		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	0.50		0	0.00		0	0.00		3	0.50		1	0.17		0	0.00		0	0.00		1	0.17		14	2.33		1	0.17		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		15	2.50		5	0.83		0	0.00		0	0.00		5	0.83		1	0.17		0	0.00		0	0.00		1	0.17		94	15.67		0	0.00		0	0.00		0	0.00		0	0.00		94	15.67		11	1.83		0	0.00		0	0.00		11	1.83		0	0.00		0	0.00		0	0.00		0	0.00		4	0.67		0	0.00		0	0.00		4	0.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.17		0	0.00		0	0.00		1	0.17		3	0.50		0	0.00		0	0.00		3	0.50		396	66.00		2	0.33		0	0.00		1	0.17		0	0.00		0	0.00		0	0.00		399	66.50		4	0.67		0	0.00		0	0.00
	Collingullie		10	5.13		3	1.54		0	0.00		0	0.00		13	6.67		2	1.03		1	0.51		0	0.00		3	1.54		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	1.54		0	0.00		0	0.00		3	1.54		0	0.00		0	0.00		0	0.00		0	0.00		3	1.54		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	1.54		0	0.00		0	0.00		0	0.00		0	0.00		1	0.51		0	0.00		0	0.00		1	0.51		40	20.51		0	0.00		1	0.51		0	0.00		0	0.00		41	21.03		1	0.51		0	0.00		0	0.00		1	0.51		0	0.00		0	0.00		0	0.00		0	0.00		2	1.03		0	0.00		0	0.00		2	1.03		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		117	60.00		3	1.54		2	1.03		0	0.00		0	0.00		1	0.51		0	0.00		123	63.08		3	1.54		0	0.00		0	0.00
	Coolac		16	7.14		1	0.45		0	0.00		0	0.00		17	7.59		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	1.79		0	0.00		0	0.00		4	1.79		0	0.00		0	0.00		0	0.00		0	0.00		3	1.34		0	0.00		0	0.00		0	0.00		1	0.45		0	0.00		0	0.00		4	1.79		2	0.89		0	0.00		0	0.00		2	0.89		1	0.45		0	0.00		0	0.00		1	0.45		58	25.89		1	0.45		0	0.00		1	0.45		0	0.00		60	26.79		1	0.45		1	0.45		0	0.00		2	0.89		1	0.45		0	0.00		0	0.00		1	0.45		3	1.34		0	0.00		0	0.00		3	1.34		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.45		0	0.00		0	0.00		1	0.45		120	53.57		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		120	53.57		0	0.00		0	0.00		0	0.00
	Coolamon		79	7.55		1	0.10		0	0.00		1	0.10		81	7.74		8	0.76		2	0.19		0	0.00		10	0.96		0	0.00		0	0.00		0	0.00		0	0.00		2	0.19		0	0.00		0	0.00		2	0.19		22	2.10		0	0.00		0	0.00		22	2.10		1	0.10		0	0.00		0	0.00		1	0.10		38	3.63		9	0.86		0	0.00		1	0.10		1	0.10		0	0.00		0	0.00		49	4.68		8	0.76		2	0.19		0	0.00		10	0.96		1	0.10		1	0.10		0	0.00		2	0.19		217	20.75		0	0.00		0	0.00		0	0.00		0	0.00		217	20.75		19	1.82		0	0.00		0	0.00		19	1.82		0	0.00		0	0.00		0	0.00		0	0.00		15	1.43		0	0.00		0	0.00		15	1.43		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.19		0	0.00		0	0.00		2	0.19		0	0.00		0	0.00		0	0.00		0	0.00		588	56.21		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		588	56.21		8	0.76		0	0.00		0	0.00
