House of Representatives - 2001 Election: New South Wales																															
Distribution of Preferences																															
By Polling Place																															
																															
Banks																															
				O'LEARY			WILCOX			ABRAHAMS			HANNOUN			WATZLAFF			MURPHY			COLE			MELHAM			BAISSARI			
				Ken			David			Lynn			Nazim			Marcus			Lynne			Stephen			Daryl			Sam			
				AFI			GRN			HAN			IND			LP			UNI			DEM			ALP			CTA			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Beverly Hills North                                            																															
	FIRST			67	2.58		69	2.66		116	4.47		11	0.42		854	32.90		53	2.04		67	2.58		1281	49.35		78	3.00		2596
	SECOND			0	0.00		5	45.45		1	9.09			Excluded		1	9.09		1	9.09		1	9.09		0	0.00		2	18.18		11
		TOTAL		67	2.58		74	2.85		117	4.51					855	32.94		54	2.08		68	2.62		1281	49.35		80	3.08		2596
	THIRD			2	3.70		4	7.41		0	0.00					4	7.41			Excluded		5	9.26		37	68.52		2	3.70		54
		TOTAL		69	2.66		78	3.00		117	4.51					859	33.09					73	2.81		1318	50.77		82	3.16		2596
	FOURTH			6	7.32		7	8.54		0	0.00					40	48.78					9	10.98		20	24.39			Excluded		82
		TOTAL		75	2.89		85	3.27		117	4.51					899	34.63					82	3.16		1338	51.54					2596
	FIFTH			11	12.94			Excluded		8	9.41					18	21.18					18	21.18		30	35.29					85
		TOTAL		86	3.31					125	4.82					917	35.32					100	3.85		1368	52.70					2596
	SIXTH				Excluded					46	53.49					16	18.60					9	10.47		15	17.44					86
		TOTAL								171	6.59					933	35.94					109	4.20		1383	53.27					2596
	SEVENTH									13	11.93					23	21.10						Excluded		73	66.97					109
		TOTAL								184	7.09					956	36.83								1456	56.09					2596
	EIGHTH										Excluded					141	76.63								43	23.37					184
		TOTAL														1097	42.26								1499	57.74					2596
																									Elected						
																															
Beverly Hills South (Banks)                                    																															
	FIRST			35	5.01		10	1.43		11	1.57		4	0.57		215	30.76		17	2.43		25	3.58		360	51.50		22	3.15		699
	SECOND			0	0.00		1	25.00		0	0.00			Excluded		2	50.00		0	0.00		0	0.00		1	25.00		0	0.00		4
		TOTAL		35	5.01		11	1.57		11	1.57					217	31.04		17	2.43		25	3.58		361	51.65		22	3.15		699
