House of Representatives - 2001 Election: New South Wales																						
Distribution of Preferences 																						
By Polling Place																						
																						
Dobell																						
				LEE			HENNIG			KER			TICEHURST			FALCONER			HASTIE			
				Michael			Luke			Samantha			Ken			Ron			Carolyn			
				ALP			CTA			GRN			LP			HAN			DEM			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Bateau Bay Central                                             																						
	FIRST			345	40.54		12	1.41		9	1.06		437	51.35		27	3.17		21	2.47		851
	SECOND			0	0.00			Excluded		2	16.67		9	75.00		1	8.33		0	0.00		12
		TOTAL		345	40.54					11	1.29		446	52.41		28	3.29		21	2.47		851
	THIRD			5	45.45						Excluded		1	9.09		1	9.09		4	36.36		11
		TOTAL		350	41.13								447	52.53		29	3.41		25	2.94		851
	FOURTH			4	13.79								12	41.38			Excluded		13	44.83		29
		TOTAL		354	41.60								459	53.94					38	4.47		851
	FIFTH			19	50.00								19	50.00						Excluded		38
		TOTAL		373	43.83								478	56.17								851
													Elected									
																						
Bateau Bay East                                                																						
	FIRST			829	41.89		40	2.02		59	2.98		853	43.10		99	5.00		99	5.00		1979
	SECOND			6	15.00			Excluded		4	10.00		24	60.00		4	10.00		2	5.00		40
		TOTAL		835	42.19					63	3.18		877	44.32		103	5.20		101	5.10		1979
	THIRD			26	41.27						Excluded		8	12.70		4	6.35		25	39.68		63
		TOTAL		861	43.51								885	44.72		107	5.41		126	6.37		1979
	FOURTH			20	18.69								29	27.10			Excluded		58	54.21		107
		TOTAL		881	44.52								914	46.18					184	9.30		1979
	FIFTH			103	55.98								81	44.02						Excluded		184
		TOTAL		984	49.72								995	50.28								1979
													Elected									
																						
Bateau Bay South                                               																						
	FIRST			557	48.06		15	1.29		12	1.04		504	43.49		27	2.33		44	3.80		1159
	SECOND			2	13.33			Excluded		1	6.67		9	60.00		1	6.67		2	13.33		15
		TOTAL		559	48.23					13	1.12		513	44.26		28	2.42		46	3.97		1159
	THIRD			4	30.77						Excluded		2	15.38		1	7.69		6	46.15		13
		TOTAL		563	48.58								515	44.43		29	2.50		52	4.49		1159
	FOURTH			8	27.59								10	34.48			Excluded		11	37.93		29
		TOTAL		571	49.27								525	45.30					63	5.44		1159
	FIFTH			39	61.90								24	38.10						Excluded		63
		TOTAL		610	52.63								549	47.37								1159
													Elected									
																						
Bateau Bay West                                                																						
	FIRST			282	68.95		5	1.22		11	2.69		86	21.03		14	3.42		11	2.69		409
	SECOND			0	0.00			Excluded		0	0.00		4	80.00		0	0.00		1	20.00		5
		TOTAL		282	68.95					11	2.69		90	22.00		14	3.42		12	2.93		409
	THIRD			7	63.64						Excluded		0	0.00		0	0.00		4	36.36		11
		TOTAL		289	70.66								90	22.00		14	3.42		16	3.91		409
	FOURTH			4	28.57								8	57.14			Excluded		2	14.29		14
		TOTAL		293	71.64								98	23.96					18	4.40		409
	FIFTH			14	77.78								4	22.22						Excluded		18
		TOTAL		307	75.06								102	24.94								409
													Elected									
																						
Berkeley Vale                                                  																						
	FIRST			1178	43.06		71	2.60		53	1.94		1171	42.80		135	4.93		128	4.68		2736
	SECOND			11	15.49			Excluded		9	12.68		41	57.75		5	7.04		5	7.04		71
		TOTAL		1189	43.46					62	2.27		1212	44.30		140	5.12		133	4.86		2736
	THIRD			21	33.87						Excluded		4	6.45		8	12.90		29	46.77		62
		TOTAL		1210	44.23								1216	44.44		148	5.41		162	5.92		2736
	FOURTH			37	25.00								45	30.41			Excluded		66	44.59		148
		TOTAL		1247	45.58								1261	46.09					228	8.33		2736
	FIFTH			129	56.58								99	43.42						Excluded		228
