House of Representatives - 2001 Election: New South Wales																																		
Distribution of Preferences 																																		
By Polling Place																																		
																																		
Eden-Monaro																																		
				WHAN			CHAPMAN			PHILLIPS			BEAUMONT			SWIFT			VLUG			URQUHART			COCHRAN			NAIRN			BRIDGES			
				Steve			Linda			Frank			Rosemary			Matthew			Peter			Steve			Peter			Gary			Barry			
				ALP			DEM			CTA			GRN			IND			NCP			IND			IND			LP			HAN			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Adaminaby                                                      																																		
	FIRST			74	22.84		4	1.23		0	0.00		6	1.85		14	4.32		2	0.62		0	0.00		53	16.36		161	49.69		10	3.09		324
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		74	22.84		4	1.23		0	0.00		7	2.16		15	4.63					0	0.00		53	16.36		161	49.69		10	3.09		324
	THIRD			1	6.67		1	6.67		3	20.00		2	13.33			Excluded					0	0.00		4	26.67		2	13.33		2	13.33		15
		TOTAL		75	23.15		5	1.54		3	0.93		9	2.78								0	0.00		57	17.59		163	50.31		12	3.70		324
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		75	23.15		5	1.54		3	0.93		9	2.78											57	17.59		163	50.31		12	3.70		324
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00											2	66.67		0	0.00		1	33.33		3
		TOTAL		75	23.15		5	1.54					9	2.78											59	18.21		163	50.31		13	4.01		324
	SIXTH			1	20.00			Excluded					4	80.00											0	0.00		0	0.00		0	0.00		5
		TOTAL		76	23.46								13	4.01											59	18.21		163	50.31		13	4.01		324
	SEVENTH			2	15.38								2	15.38											5	38.46		4	30.77			Excluded		13
		TOTAL		78	24.07								15	4.63											64	19.75		167	51.54					324
	EIGHTH			5	33.33									Excluded											6	40.00		4	26.67					15
		TOTAL		83	25.62																				70	21.60		171	52.78					324
	NINTH			21	30.00																					Excluded		49	70.00					70
		TOTAL		104	32.10																							220	67.90					324
																												Elected						
																																		
Araluen                                                        																																		
	FIRST			23	26.44		1	1.15		0	0.00		8	9.20		0	0.00		0	0.00		0	0.00		6	6.90		43	49.43		6	6.90		87
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		23	26.44		1	1.15		0	0.00		8	9.20		0	0.00					0	0.00		6	6.90		43	49.43		6	6.90		87
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		23	26.44		1	1.15		0	0.00		8	9.20								0	0.00		6	6.90		43	49.43		6	6.90		87
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		23	26.44		1	1.15		0	0.00		8	9.20											6	6.90		43	49.43		6	6.90		87
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00											0	0.00		0	0.00		0	0.00		0
		TOTAL		23	26.44		1	1.15					8	9.20											6	6.90		43	49.43		6	6.90		87
	SIXTH			0	0.00			Excluded					1	100.00											0	0.00		0	0.00		0	0.00		1
		TOTAL		23	26.44								9	10.34											6	6.90		43	49.43		6	6.90		87
	SEVENTH			0	0.00								1	16.67											2	33.33		3	50.00			Excluded		6
		TOTAL		23	26.44								10	11.49											8	9.20		46	52.87					87
	EIGHTH			8	80.00									Excluded											2	20.00		0	0.00					10
		TOTAL		31	35.63																				10	11.49		46	52.87					87
	NINTH			2	20.00																					Excluded		8	80.00					10
		TOTAL		33	37.93																							54	62.07					87
																												Elected						
																																		
Batehaven                                                      																																		
	FIRST			561	38.72		35	2.42		21	1.45		35	2.42		4	0.28		2	0.14		5	0.35		75	5.18		661	45.62		50	3.45		1449
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	50.00		2
		TOTAL		562	38.79		35	2.42		21	1.45		35	2.42		4	0.28					5	0.35		75	5.18		661	45.62		51	3.52		1449
	THIRD			0	0.00		1	25.00		0	0.00		1	25.00			Excluded					0	0.00		2	50.00		0	0.00		0	0.00		4
		TOTAL		562	38.79		36	2.48		21	1.45		36	2.48								5	0.35		77	5.31		661	45.62		51	3.52		1449
	FOURTH			1	20.00		0	0.00		1	20.00		0	0.00									Excluded		3	60.00		0	0.00		0	0.00		5
		TOTAL		563	38.85		36	2.48		22	1.52		36	2.48											80	5.52		661	45.62		51	3.52		1449
	FIFTH			4	18.18		2	9.09			Excluded		1	4.55											3	13.64		11	50.00		1	4.55		22
		TOTAL		567	39.13		38	2.62					37	2.55											83	5.73		672	46.38		52	3.59		1449
	SIXTH			9	23.68			Excluded					22	57.89											4	10.53		2	5.26		1	2.63		38
		TOTAL		576	39.75								59	4.07											87	6.00		674	46.51		53	3.66		1449
	SEVENTH			15	28.30								2	3.77											21	39.62		15	28.30			Excluded		53
		TOTAL		591	40.79								61	4.21											108	7.45		689	47.55					1449
	EIGHTH			44	72.13									Excluded											11	18.03		6	9.84					61
		TOTAL		635	43.82																				119	8.21		695	47.96					1449
	NINTH			43	36.13																					Excluded		76	63.87					119
		TOTAL		678	46.79																							771	53.21					1449
																												Elected						
																																		
Batemans Bay                                                   																																		
	FIRST			890	37.01		55	2.29		57	2.37		71	2.95		4	0.17		0	0.00		8	0.33		126	5.24		1079	44.86		115	4.78		2405
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		890	37.01		55	2.29		57	2.37		71	2.95		4	0.17					8	0.33		126	5.24		1079	44.86		115	4.78		2405
	THIRD			2	50.00		0	0.00		0	0.00		0	0.00			Excluded					2	50.00		0	0.00		0	0.00		0	0.00		4
		TOTAL		892	37.09		55	2.29		57	2.37		71	2.95								10	0.42		126	5.24		1079	44.86		115	4.78		2405
	FOURTH			1	10.00		0	0.00		1	10.00		0	0.00									Excluded		6	60.00		0	0.00		2	20.00		10
		TOTAL		893	37.13		55	2.29		58	2.41		71	2.95											132	5.49		1079	44.86		117	4.86		2405
	FIFTH			11	18.97		1	1.72			Excluded		3	5.17											7	12.07		36	62.07		0	0.00		58
		TOTAL		904	37.59		56	2.33					74	3.08											139	5.78		1115	46.36		117	4.86		2405
	SIXTH			19	33.93			Excluded					29	51.79											2	3.57		5	8.93		1	1.79		56
		TOTAL		923	38.38								103	4.28											141	5.86		1120	46.57		118	4.91		2405
	SEVENTH			23	19.49								11	9.32											58	49.15		26	22.03			Excluded		118
		TOTAL		946	39.33								114	4.74											199	8.27		1146	47.65					2405
	EIGHTH			79	69.30									Excluded											29	25.44		6	5.26					114
		TOTAL		1025	42.62																				228	9.48		1152	47.90					2405
	NINTH			67	29.39																					Excluded		161	70.61					228
		TOTAL		1092	45.41																							1313	54.59					2405
																												Elected						
																																		
Bega                                                           																																		
	FIRST			629	33.14		42	2.21		24	1.26		81	4.27		5	0.26		3	0.16		26	1.37		141	7.43		864	45.52		83	4.37		1898
	SECOND			1	33.33		0	0.00		1	33.33		0	0.00		0	0.00			Excluded		1	33.33		0	0.00		0	0.00		0	0.00		3
		TOTAL		630	33.19		42	2.21		25	1.32		81	4.27		5	0.26					27	1.42		141	7.43		864	45.52		83	4.37		1898
	THIRD			0	0.00		0	0.00		0	0.00		1	20.00			Excluded					2	40.00		1	20.00		1	20.00		0	0.00		5
		TOTAL		630	33.19		42	2.21		25	1.32		82	4.32								29	1.53		142	7.48		865	45.57		83	4.37		1898
	FOURTH			2	6.90		0	0.00		14	48.28		2	6.90									Excluded		4	13.79		2	6.90		5	17.24		29
		TOTAL		632	33.30		42	2.21		39	2.05		84	4.43											146	7.69		867	45.68		88	4.64		1898
	FIFTH			20	51.28		4	10.26			Excluded		3	7.69											5	12.82		6	15.38		1	2.56		39
		TOTAL		652	34.35		46	2.42					87	4.58											151	7.96		873	46.00		89	4.69		1898
	SIXTH			15	32.61			Excluded					24	52.17											3	6.52		4	8.70		0	0.00		46
		TOTAL		667	35.14								111	5.85											154	8.11		877	46.21		89	4.69		1898
	SEVENTH			17	19.10								4	4.49											48	53.93		20	22.47			Excluded		89
		TOTAL		684	36.04								115	6.06											202	10.64		897	47.26					1898
