House of Representatives - 2001 Election: New South Wales																																								
Distribution of Preferences 																																								
By Polling Place																																								
																																								
Farrer																																								
				SOBEY			WEYRICH			BOTT			WILKINSON			WATSON			KREUTZBERGER			MILLEN			LEY			CORBETT			PATERSON			TAYLOR			GIBSON			
				Chris			Tom			Bill			Max			Stuart			Keith			Frank			Sussan			David			Brett			Sue			Andrew			
				GRN			IND			NP			HAN			IND						CLR			LP			IND			DEM			IND			IND			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Adelong                                                        																																								
	FIRST			25	3.34		5	0.67		117	15.62		58	7.74		51	6.81		7	0.93		184	24.57		276	36.85		2	0.27		14	1.87		8	1.07		2	0.27		749
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	50.00		1	50.00		2
		TOTAL		25	3.34		5	0.67		117	15.62		58	7.74		51	6.81		7	0.93		184	24.57		276	36.85					14	1.87		9	1.20		3	0.40		749
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		3	100.00			Excluded		3
		TOTAL		25	3.34		5	0.67		117	15.62		58	7.74		51	6.81		7	0.93		184	24.57		276	36.85					14	1.87		12	1.60					749
	FOURTH			2	40.00			Excluded		0	0.00		0	0.00		1	20.00		0	0.00		0	0.00		0	0.00					0	0.00		2	40.00					5
		TOTAL		27	3.60					117	15.62		58	7.74		52	6.94		7	0.93		184	24.57		276	36.85					14	1.87		14	1.87					749
	FIFTH			0	0.00					0	0.00		1	14.29		2	28.57			Excluded		1	14.29		0	0.00					1	14.29		2	28.57					7
		TOTAL		27	3.60					117	15.62		59	7.88		54	7.21					185	24.70		276	36.85					15	2.00		16	2.14					749
	SIXTH			4	7.41					10	18.52		15	27.78			Excluded					7	12.96		7	12.96					2	3.70		9	16.67					54
		TOTAL		31	4.14					127	16.96		74	9.88								192	25.63		283	37.78					17	2.27		25	3.34					749
	SEVENTH			4	23.53					2	11.76		1	5.88								4	23.53		2	11.76						Excluded		4	23.53					17
		TOTAL		35	4.67					129	17.22		75	10.01								196	26.17		285	38.05								29	3.87					749
	EIGHTH			12	41.38					5	17.24		3	10.34								5	17.24		4	13.79									Excluded					29
		TOTAL		47	6.28					134	17.89		78	10.41								201	26.84		289	38.58														749
	NINTH				Excluded					23	48.94		6	12.77								14	29.79		4	8.51														47
		TOTAL								157	20.96		84	11.21								215	28.70		293	39.12														749
	TENTH									35	41.67			Excluded								22	26.19		27	32.14														84
		TOTAL								192	25.63											237	31.64		320	42.72														749
	ELEVENTH									175	73.84												Excluded		62	26.16														237
		TOTAL								367	49.00														382	51.00														749
																									Elected															
																																								
Albury                                                         																																								
	FIRST			165	7.74		14	0.66		331	15.53		83	3.89		22	1.03		19	0.89		479	22.47		841	39.45		18	0.84		129	6.05		21	0.98		10	0.47		2132
	SECOND			1	5.56		8	44.44		0	0.00		0	0.00		1	5.56		0	0.00		0	0.00		2	11.11			Excluded		3	16.67		3	16.67		0	0.00		18
		TOTAL		166	7.79		22	1.03		331	15.53		83	3.89		23	1.08		19	0.89		479	22.47		843	39.54					132	6.19		24	1.13		10	0.47		2132
	THIRD			0	0.00		2	20.00		1	10.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					1	10.00		6	60.00			Excluded		10
		TOTAL		166	7.79		24	1.13		332	15.57		83	3.89		23	1.08		19	0.89		479	22.47		843	39.54					133	6.24		30	1.41					2132
	FOURTH			9	37.50			Excluded		2	8.33		0	0.00		11	45.83		0	0.00		1	4.17		0	0.00					1	4.17		0	0.00					24
		TOTAL		175	8.21					334	15.67		83	3.89		34	1.59		19	0.89		480	22.51		843	39.54					134	6.29		30	1.41					2132
	FIFTH			1	5.26					3	15.79		2	10.53		4	21.05			Excluded		3	15.79		3	15.79					0	0.00		3	15.79					19
		TOTAL		176	8.26					337	15.81		85	3.99		38	1.78					483	22.65		846	39.68					134	6.29		33	1.55					2132
	SIXTH			5	13.16					3	7.89		3	7.89			Excluded					3	7.89		4	10.53					4	10.53		16	42.11					38
		TOTAL		181	8.49					340	15.95		88	4.13								486	22.80		850	39.87					138	6.47		49	2.30					2132
	SEVENTH			71	51.45					5	3.62		1	0.72								31	22.46		16	11.59						Excluded		14	10.14					138
		TOTAL		252	11.82					345	16.18		89	4.17								517	24.25		866	40.62								63	2.95					2132
	EIGHTH			19	30.16					9	14.29		11	17.46								9	14.29		15	23.81									Excluded					63
		TOTAL		271	12.71					354	16.60		100	4.69								526	24.67		881	41.32														2132
	NINTH				Excluded					63	23.25		14	5.17								129	47.60		65	23.99														271
		TOTAL								417	19.56		114	5.35								655	30.72		946	44.37														2132
	TENTH									31	27.19			Excluded								28	24.56		55	48.25														114
		TOTAL								448	21.01											683	32.04		1001	46.95														2132
	ELEVENTH									476	69.69												Excluded		207	30.31														683
		TOTAL								924	43.34														1208	56.66														2132
																									Elected															
																																								
Albury East                                                    																																								
	FIRST			38	3.61		5	0.48		184	17.49		57	5.42		13	1.24		16	1.52		243	23.10		442	42.02		8	0.76		30	2.85		11	1.05		5	0.48		1052
	SECOND			0	0.00		3	37.50		1	12.50		0	0.00		0	0.00		0	0.00		1	12.50		1	12.50			Excluded		1	12.50		1	12.50		0	0.00		8
		TOTAL		38	3.61		8	0.76		185	17.59		57	5.42		13	1.24		16	1.52		244	23.19		443	42.11					31	2.95		12	1.14		5	0.48		1052
	THIRD			1	20.00		1	20.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		3	60.00			Excluded		5
		TOTAL		39	3.71		9	0.86		185	17.59		57	5.42		13	1.24		16	1.52		244	23.19		443	42.11					31	2.95		15	1.43					1052
	FOURTH			3	33.33			Excluded		0	0.00		0	0.00		6	66.67		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					9
		TOTAL		42	3.99					185	17.59		57	5.42		19	1.81		16	1.52		244	23.19		443	42.11					31	2.95		15	1.43					1052
	FIFTH			3	18.75					3	18.75		2	12.50		2	12.50			Excluded		1	6.25		2	12.50					1	6.25		2	12.50					16
		TOTAL		45	4.28					188	17.87		59	5.61		21	2.00					245	23.29		445	42.30					32	3.04		17	1.62					1052
	SIXTH			2	9.52					1	4.76		6	28.57			Excluded					1	4.76		1	4.76					0	0.00		10	47.62					21
		TOTAL		47	4.47					189	17.97		65	6.18								246	23.38		446	42.40					32	3.04		27	2.57					1052
	SEVENTH			8	25.00					5	15.63		1	3.13								6	18.75		5	15.63						Excluded		7	21.88					32
		TOTAL		55	5.23					194	18.44		66	6.27								252	23.95		451	42.87								34	3.23					1052
	EIGHTH			7	20.59					9	26.47		6	17.65								3	8.82		9	26.47									Excluded					34
		TOTAL		62	5.89					203	19.30		72	6.84								255	24.24		460	43.73														1052
	NINTH				Excluded					15	24.19		6	9.68								25	40.32		16	25.81														62
		TOTAL								218	20.72		78	7.41								280	26.62		476	45.25														1052
	TENTH									29	37.18			Excluded								27	34.62		22	28.21														78
		TOTAL								247	23.48											307	29.18		498	47.34														1052
	ELEVENTH									218	71.01												Excluded		89	28.99														307
		TOTAL								465	44.20														587	55.80														1052
																									Elected															
																																								
Albury High School                                             																																								
	FIRST			197	8.88		9	0.41		310	13.97		75	3.38		13	0.59		16	0.72		402	18.12		1018	45.88		10	0.45		136	6.13		27	1.22		6	0.27		2219
	SECOND			0	0.00		3	30.00		2	20.00		1	10.00		0	0.00		0	0.00		0	0.00		1	10.00			Excluded		0	0.00		2	20.00		1	10.00		10
		TOTAL		197	8.88		12	0.54		312	14.06		76	3.42		13	0.59		16	0.72		402	18.12		1019	45.92					136	6.13		29	1.31		7	0.32		2219
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	14.29		0	0.00					1	14.29		5	71.43			Excluded		7
		TOTAL		197	8.88		12	0.54		312	14.06		76	3.42		13	0.59		16	0.72		403	18.16		1019	45.92					137	6.17		34	1.53					2219
	FOURTH			2	16.67			Excluded		3	25.00		0	0.00		7	58.33		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00					12
		TOTAL		199	8.97					315	14.20		76	3.42		20	0.90		16	0.72		403	18.16		1019	45.92					137	6.17		34	1.53					2219
	FIFTH			3	18.75					2	12.50		1	6.25		3	18.75			Excluded		4	25.00		3	18.75					0	0.00		0	0.00					16
		TOTAL		202	9.10					317	14.29		77	3.47		23	1.04					407	18.34		1022	46.06					137	6.17		34	1.53					2219
	SIXTH			5	21.74					0	0.00		2	8.70			Excluded					2	8.70		0	0.00					1	4.35		13	56.52					23
		TOTAL		207	9.33					317	14.29		79	3.56								409	18.43		1022	46.06					138	6.22		47	2.12					2219
	SEVENTH			76	55.07					10	7.25		1	0.72								26	18.84		11	7.97						Excluded		14	10.14					138
		TOTAL		283	12.75					327	14.74		80	3.61								435	19.60		1033	46.55								61	2.75					2219
	EIGHTH			15	24.59					7	11.48		11	18.03								8	13.11		20	32.79									Excluded					61
		TOTAL		298	13.43					334	15.05		91	4.10								443	19.96		1053	47.45														2219
	NINTH				Excluded					75	25.17		8	2.68								150	50.34		65	21.81														298
		TOTAL								409	18.43		99	4.46								593	26.72		1118	50.38														2219
	TENTH									23	23.23			Excluded								24	24.24		52	52.53														99
		TOTAL								432	19.47											617	27.81		1170	52.73														2219
	ELEVENTH									422	68.40												Excluded		195	31.60														617
		TOTAL								854	38.49														1365	61.51														2219
																									Elected															
																																								
Albury Mercy Hospital                                          																																								
	FIRST			3	3.37		0	0.00		15	16.85		3	3.37		1	1.12		0	0.00		24	26.97		39	43.82		0	0.00		2	2.25		1	1.12		1	1.12		89
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		3	3.37		0	0.00		15	16.85		3	3.37		1	1.12		0	0.00		24	26.97		39	43.82					2	2.25		1	1.12		1	1.12		89
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	100.00			Excluded		1
		TOTAL		3	3.37		0	0.00		15	16.85		3	3.37		1	1.12		0	0.00		24	26.97		39	43.82					2	2.25		2	2.25					89
