House of Representatives - 2001 Election: New South Wales																																		
Distribution of Preferences 																																		
By Polling Place																																		
																																		
Fowler																																		
				JOHNSON			GRANT			POULARAS			WATSON			BRAZENALL			CHUNG			ROSSO			GASKELL			MENDELSSOHN			IRWIN			
				Hal			Lee			Manny			Glenn			Max			Steve			Oscar			Robin			David			Julia			
				CEC			GRN			CTA			LP			AFI			UNI			HAN			NGST			DEM			ALP			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Ashcroft                                                       																																		
	FIRST			34	2.29		37	2.49		21	1.42		228	15.36		34	2.29		19	1.28		80	5.39		23	1.55		21	1.42		987	66.51		1484
	SECOND			3	8.82		2	5.88		1	2.94		7	20.59			Excluded		0	0.00		6	17.65		6	17.65		2	5.88		7	20.59		34
		TOTAL		37	2.49		39	2.63		22	1.48		235	15.84					19	1.28		86	5.80		29	1.95		23	1.55		994	66.98		1484
	THIRD			1	4.55		5	22.73			Excluded		6	27.27					1	4.55		1	4.55		0	0.00		3	13.64		5	22.73		22
		TOTAL		38	2.56		44	2.96					241	16.24					20	1.35		87	5.86		29	1.95		26	1.75		999	67.32		1484
	FOURTH			3	11.54		6	23.08					3	11.54					1	3.85		3	11.54		1	3.85			Excluded		9	34.62		26
		TOTAL		41	2.76		50	3.37					244	16.44					21	1.42		90	6.06		30	2.02					1008	67.92		1484
	FIFTH			4	13.33		8	26.67					3	10.00					3	10.00		2	6.67			Excluded					10	33.33		30
		TOTAL		45	3.03		58	3.91					247	16.64					24	1.62		92	6.20								1018	68.60		1484
	SIXTH			14	24.14			Excluded					9	15.52					6	10.34		6	10.34								23	39.66		58
		TOTAL		59	3.98								256	17.25					30	2.02		98	6.60								1041	70.15		1484
	SEVENTH			33	33.67								20	20.41					6	6.12			Excluded								39	39.80		98
		TOTAL		92	6.20								276	18.60					36	2.43											1080	72.78		1484
	EIGHTH				Excluded								60	65.22					17	18.48											15	16.30		92
		TOTAL											336	22.64					53	3.57											1095	73.79		1484
	NINTH												30	56.60						Excluded											23	43.40		53
		TOTAL											366	24.66																	1118	75.34		1484
																															Elected			
																																		
Bonnyrigg                                                      																																		
	FIRST			68	3.51		46	2.38		14	0.72		197	10.18		19	0.98		111	5.74		35	1.81		47	2.43		39	2.02		1359	70.23		1935
	SECOND			2	10.53		0	0.00		1	5.26		8	42.11			Excluded		2	10.53		3	15.79		2	10.53		0	0.00		1	5.26		19
		TOTAL		70	3.62		46	2.38		15	0.78		205	10.59					113	5.84		38	1.96		49	2.53		39	2.02		1360	70.28		1935
	THIRD			2	13.33		3	20.00			Excluded		3	20.00					0	0.00		0	0.00		1	6.67		2	13.33		4	26.67		15
		TOTAL		72	3.72		49	2.53					208	10.75					113	5.84		38	1.96		50	2.58		41	2.12		1364	70.49		1935
	FOURTH			3	7.32		4	9.76					6	14.63					5	12.20		1	2.44		2	4.88			Excluded		20	48.78		41
		TOTAL		75	3.88		53	2.74					214	11.06					118	6.10		39	2.02		52	2.69					1384	71.52		1935
	FIFTH			4	7.69		5	9.62					4	7.69					2	3.85		4	7.69			Excluded					33	63.46		52
		TOTAL		79	4.08		58	3.00					218	11.27					120	6.20		43	2.22								1417	73.23		1935
	SIXTH			22	37.93			Excluded					9	15.52					13	22.41		3	5.17								11	18.97		58
		TOTAL		101	5.22								227	11.73					133	6.87		46	2.38								1428	73.80		1935
	SEVENTH			16	34.78								8	17.39					8	17.39			Excluded								14	30.43		46
		TOTAL		117	6.05								235	12.14					141	7.29											1442	74.52		1935
	EIGHTH				Excluded								87	74.36					20	17.09											10	8.55		117
		TOTAL											322	16.64					161	8.32											1452	75.04		1935
	NINTH												48	29.81						Excluded											113	70.19		161
		TOTAL											370	19.12																	1565	80.88		1935
																															Elected			
																																		
Bonnyrigg Heights                                              																																		
	FIRST			51	1.89		61	2.26		43	1.59		573	21.20		19	0.70		77	2.85		73	2.70		36	1.33		46	1.70		1724	63.78		2703
	SECOND			1	5.26		2	10.53		0	0.00		5	26.32			Excluded		0	0.00		6	31.58		4	21.05		0	0.00		1	5.26		19
		TOTAL		52	1.92		63	2.33		43	1.59		578	21.38					77	2.85		79	2.92		40	1.48		46	1.70		1725	63.82		2703
	THIRD			3	6.98		7	16.28			Excluded		17	39.53					2	4.65		5	11.63		5	11.63		1	2.33		3	6.98		43
		TOTAL		55	2.03		70	2.59					595	22.01					79	2.92		84	3.11		45	1.66		47	1.74		1728	63.93		2703
	FOURTH			1	2.13		14	29.79					7	14.89					0	0.00		2	4.26		2	4.26			Excluded		21	44.68		47
		TOTAL		56	2.07		84	3.11					602	22.27					79	2.92		86	3.18		47	1.74					1749	64.71		2703
