House of Representatives - 2001 Election: New South Wales																														
Distribution of Preferences																														
By Polling Place																														
																														
Gilmore																														
				KNOTT			GASH			RYAN			MCCLUNG			BANGE			HAYES			MCLEOD			CROCKER					
				Peter			Joanna			Steve			Jean			Jane			Michael			Paul			Geoff					
				CLR			LP			CTA			CEC			GRN			DEM			UNI			HAN					
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total		
Avoca                                                          																														
	FIRST			27	12.92		148	70.81		4	1.91		0	0.00		11	5.26		8	3.83		0	0.00		11	5.26		209		
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0		
		TOTAL		27	12.92		148	70.81		4	1.91					11	5.26		8	3.83		0	0.00		11	5.26		209		
	THIRD			0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	0.00		0		
		TOTAL		27	12.92		148	70.81		4	1.91					11	5.26		8	3.83					11	5.26		209		
	FOURTH			0	0.00		4	100.00			Excluded					0	0.00		0	0.00					0	0.00		4		
		TOTAL		27	12.92		152	72.73								11	5.26		8	3.83					11	5.26		209	
	FIFTH			3	37.50		2	25.00								2	25.00			Excluded					1	12.50		8	
		TOTAL		30	14.35		154	73.68								13	6.22								12	5.74		209	
	SIXTH			2	16.67		7	58.33								3	25.00									Excluded		12	
		TOTAL		32	15.31		161	77.03								16	7.66											209	
	SEVENTH			12	75.00		4	25.00									Excluded											16	
		TOTAL		44	21.05		165	78.95																				209	
							Elected																						
																													
Basin View                                                     																													
	FIRST			249	28.65		480	55.24		12	1.38		0	0.00		34	3.91		37	4.26		2	0.23		55	6.33		869	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		249	28.65		480	55.24		12	1.38					34	3.91		37	4.26		2	0.23		55	6.33		869	
	THIRD			0	0.00		0	0.00		0	0.00					2	100.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		249	28.65		480	55.24		12	1.38					36	4.14		37	4.26					55	6.33		869	
	FOURTH			2	16.67		6	50.00			Excluded					1	8.33		1	8.33					2	16.67		12	
		TOTAL		251	28.88		486	55.93								37	4.26		38	4.37					57	6.56		869	
	FIFTH			10	26.32		3	7.89								23	60.53			Excluded					2	5.26		38	
		TOTAL		261	30.03		489	56.27								60	6.90								59	6.79		869	
	SIXTH			8	13.56		25	42.37								26	44.07									Excluded		59	
		TOTAL		269	30.96		514	59.15								86	9.90											869	
	SEVENTH			60	69.77		26	30.23									Excluded											86	
		TOTAL		329	37.86		540	62.14																				869	
							Elected																						
																													
