House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Greenway																													
				BAWDEN			SHERWOOD			PETTITT			MOSSFIELD			VLATKO			FRANCIS			TANDA			HOLDER				
				Bob			Ted			Tony			Frank			Tony			Joseph			Amarjit Singh			Rick				
				CTA			AFI			HAN			ALP			GRN			DEM			IND			LP				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Blacktown Central                                              																													
	FIRST			6	2.82		4	1.88		8	3.76		120	56.34		4	1.88		5	2.35		2	0.94		64	30.05		213	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		6	2.82		4	1.88		8	3.76		120	56.34		5	2.35		6	2.82					64	30.05		213	
	THIRD			0	0.00			Excluded		1	25.00		1	25.00		0	0.00		0	0.00					2	50.00		4	
		TOTAL		6	2.82					9	4.23		121	56.81		5	2.35		6	2.82					66	30.99		213	
	FOURTH			2	40.00					0	0.00		2	40.00			Excluded		1	20.00					0	0.00		5	
		TOTAL		8	3.76					9	4.23		123	57.75					7	3.29					66	30.99		213	
	FIFTH			3	42.86					0	0.00		3	42.86						Excluded					1	14.29		7	
		TOTAL		11	5.16					9	4.23		126	59.15											67	31.46		213	
	SIXTH				Excluded					4	36.36		3	27.27											4	36.36		11	
		TOTAL								13	6.10		129	60.56											71	33.33		213	
	SEVENTH										Excluded		8	61.54											5	38.46		13	
		TOTAL											137	64.32											76	35.68		213	
													Elected																
																													
Blacktown City                                                 																													
	FIRST			65	6.94		16	1.71		32	3.42		479	51.18		26	2.78		28	2.99		6	0.64		284	30.34		936	
	SECOND			0	0.00		0	0.00		1	16.67		1	16.67		0	0.00		2	33.33			Excluded		2	33.33		6	
		TOTAL		65	6.94		16	1.71		33	3.53		480	51.28		26	2.78		30	3.21					286	30.56		936	
	THIRD			3	18.75			Excluded		6	37.50		2	12.50		3	18.75		0	0.00					2	12.50		16	
		TOTAL		68	7.26					39	4.17		482	51.50		29	3.10		30	3.21					288	30.77		936	
	FOURTH			2	6.90					1	3.45		9	31.03			Excluded		12	41.38					5	17.24		29	
		TOTAL		70	7.48					40	4.27		491	52.46					42	4.49					293	31.30		936	
	FIFTH			4	9.52					2	4.76		24	57.14						Excluded					12	28.57		42	
		TOTAL		74	7.91					42	4.49		515	55.02											305	32.59		936	
	SIXTH				Excluded					25	33.78		18	24.32											31	41.89		74	
		TOTAL								67	7.16		533	56.94											336	35.90		936	
	SEVENTH										Excluded		43	64.18											24	35.82		67	
		TOTAL											576	61.54											360	38.46		936	
													Elected																
																													
Blacktown East                                                 																													
	FIRST			134	4.90		65	2.38		184	6.73		1225	44.77		80	2.92		111	4.06		26	0.95		911	33.30		2736	
	SECOND			2	7.69		2	7.69		0	0.00		8	30.77		3	11.54		4	15.38			Excluded		7	26.92		26	
		TOTAL		136	4.97		67	2.45		184	6.73		1233	45.07		83	3.03		115	4.20					918	33.55		2736	
	THIRD			10	14.93			Excluded		26	38.81		10	14.93		9	13.43		2	2.99					10	14.93		67	
		TOTAL		146	5.34					210	7.68		1243	45.43		92	3.36		117	4.28					928	33.92		2736	
	FOURTH			4	4.35					8	8.70		34	36.96			Excluded		32	34.78					14	15.22		92	
		TOTAL		150	5.48					218	7.97		1277	46.67					149	5.45					942	34.43		2736	
	FIFTH			11	7.38					10	6.71		82	55.03						Excluded					46	30.87		149	
		TOTAL		161	5.88					228	8.33		1359	49.67											988	36.11		2736	
	SIXTH				Excluded					60	37.27		42	26.09											59	36.65		161	
		TOTAL								288	10.53		1401	51.21											1047	38.27		2736	
	SEVENTH										Excluded		142	49.31											146	50.69		288	
		TOTAL											1543	56.40											1193	43.60		2736	
													Elected																
																													
Blacktown Hospital                                             																													
