House of Representatives - 2001 Election: New South Wales																																			
Distribution of Preferences																																			
By Polling Place																																			
																																			
Gwydir																																			
				WITTEN			HAIGH			GRAHAM			ROGERS			STRACHAN			WEBER			ANDERSON			MURNAIN			EDWARDS			O'REGAN				
				Richard			Bruce			Ken			Colin			Neil			Harry			John			Anne			Gary			Bevan				
				CEC			IND			DEM			HAN			GRN			LEF			NP			CLR			IND			IND				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Aberdeen                                                       																																			
	FIRST			26	2.43		23	2.15		30	2.81		116	10.86		19	1.78		27	2.53		424	39.70		387	36.24		5	0.47		11	1.03		1068	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		5	100.00		5	
		TOTAL		26	2.43		23	2.15		30	2.81		116	10.86		19	1.78		27	2.53		424	39.70		387	36.24					16	1.50		1068	
	THIRD			1	3.70		1	3.70		1	3.70		5	18.52		2	7.41			Excluded		8	29.63		7	25.93					2	7.41		27	
		TOTAL		27	2.53		24	2.25		31	2.90		121	11.33		21	1.97					432	40.45		394	36.89					18	1.69		1068	
	FOURTH				Excluded		18	66.67		3	11.11		0	0.00		1	3.70					3	11.11		1	3.70					1	3.70		27	
		TOTAL					42	3.93		34	3.18		121	11.33		22	2.06					435	40.73		395	36.99					19	1.78		1068	
	FIFTH						8	23.53			Excluded		4	11.76		10	29.41					4	11.76		6	17.65					2	5.88		34	
		TOTAL					50	4.68					125	11.70		32	3.00					439	41.10		401	37.55					21	1.97		1068	
	SIXTH						5	23.81					4	19.05		1	4.76					2	9.52		9	42.86						Excluded		21	
		TOTAL					55	5.15					129	12.08		33	3.09					441	41.29		410	38.39								1068	
	SEVENTH						7	21.21					11	33.33			Excluded					5	15.15		10	30.30								33	
		TOTAL					62	5.81					140	13.11								446	41.76		420	39.33								1068	
	EIGHTH							Excluded					37	59.68								13	20.97		12	19.35								62	
		TOTAL											177	16.57								459	42.98		432	40.45								1068	
	NINTH													Excluded								98	55.37		79	44.63								177	
		TOTAL																				557	52.15		511	47.85								1068	
																						Elected													
																																			
Ashley                                                         																																			
	FIRST			2	1.35		4	2.70		1	0.68		19	12.84		1	0.68		0	0.00		93	62.84		23	15.54		1	0.68		4	2.70		148	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		2	1.35		4	2.70		1	0.68		19	12.84		1	0.68		1	0.68		93	62.84		23	15.54					4	2.70		148	
	THIRD			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00					0	0.00		1	
		TOTAL		2	1.35		4	2.70		1	0.68		20	13.51		1	0.68					93	62.84		23	15.54					4	2.70		148	
	FOURTH				Excluded		0	0.00		1	50.00		1	50.00		0	0.00					0	0.00		0	0.00					0	0.00		2	
		TOTAL					4	2.70		2	1.35		21	14.19		1	0.68					93	62.84		23	15.54					4	2.70		148	
	FIFTH						0	0.00			Excluded		1	50.00		0	0.00					0	0.00		1	50.00					0	0.00		2	
		TOTAL					4	2.70					22	14.86		1	0.68					93	62.84		24	16.22					4	2.70		148	
	SIXTH						1	25.00					0	0.00		0	0.00					1	25.00		2	50.00						Excluded		4	
