House of Representatives - 2001 Election: New South Wales																				
Distribution of Preferences																				
By Polling Place																				
																				
Hume																				
				SCHULTZ			WATCHIRS			ROXBURGH			PRELL			MERRIMAN				
				Alby			Kevin			James			Charlie			Jan				
				LP			GRN			DEM			HAN			ALP				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Appin                                                          																				
	FIRST			462	49.78		34	3.66		42	4.53		98	10.56		292	31.47		928	
	SECOND			9	26.47			Excluded		14	41.18		7	20.59		4	11.76		34	
		TOTAL		471	50.75					56	6.03		105	11.31		296	31.90		928	
	THIRD			19	33.93						Excluded		6	10.71		31	55.36		56	
		TOTAL		490	52.80								111	11.96		327	35.24		928	
	FOURTH			46	41.44									Excluded		65	58.56		111	
		TOTAL		536	57.76											392	42.24		928	
				Elected																
																				
Bargo                                                          																				
	FIRST			870	46.85		81	4.36		92	4.95		169	9.10		645	34.73		1857	
	SECOND			27	33.33			Excluded		31	38.27		8	9.88		15	18.52		81	
		TOTAL		897	48.30					123	6.62		177	9.53		660	35.54		1857	
	THIRD			23	18.70						Excluded		19	15.45		81	65.85		123	
		TOTAL		920	49.54								196	10.55		741	39.90		1857	
	FOURTH			83	42.35									Excluded		113	57.65		196	
		TOTAL		1003	54.01											854	45.99		1857	
				Elected																
																				
Bendick Murrell                                                																				
	FIRST			91	59.09		3	1.95		5	3.25		18	11.69		37	24.03		154	
	SECOND			0	0.00			Excluded		2	66.67		1	33.33		0	0.00		3	
		TOTAL		91	59.09					7	4.55		19	12.34		37	24.03		154	
	THIRD			2	28.57						Excluded		2	28.57		3	42.86		7	
		TOTAL		93	60.39								21	13.64		40	25.97		154	
	FOURTH			7	33.33									Excluded		14	66.67		21	
		TOTAL		100	64.94											54	35.06		154	
				Elected																
																				
Berrima                                                        																				
	FIRST			311	57.81		40	7.43		24	4.46		38	7.06		125	23.23		538	
	SECOND			6	15.00			Excluded		19	47.50		1	2.50		14	35.00		40	
		TOTAL		317	58.92					43	7.99		39	7.25		139	25.84		538	
	THIRD			14	32.56						Excluded		2	4.65		27	62.79		43	
		TOTAL		331	61.52								41	7.62		166	30.86		538	
	FOURTH			20	48.78									Excluded		21	51.22		41	
		TOTAL		351	65.24											187	34.76		538	
				Elected																
																				
Bigga                                                          																				
	FIRST			114	63.69		2	1.12		3	1.68		26	14.53		34	18.99		179	
	SECOND			1	50.00			Excluded		1	50.00		0	0.00		0	0.00		2	
		TOTAL		115	64.25					4	2.23		26	14.53		34	18.99		179	
	THIRD			2	50.00						Excluded		2	50.00		0	0.00		4	
		TOTAL		117	65.36								28	15.64		34	18.99		179	
	FOURTH			11	39.29									Excluded		17	60.71		28	
		TOTAL		128	71.51											51	28.49		179	
				Elected																
																				
Binalong                                                       																				
	FIRST			185	62.08		14	4.70		2	0.67		28	9.40		69	23.15		298	
	SECOND			0	0.00			Excluded		9	64.29		0	0.00		5	35.71		14	
		TOTAL		185	62.08					11	3.69		28	9.40		74	24.83		298	
	THIRD			2	18.18						Excluded		1	9.09		8	72.73		11	
		TOTAL		187	62.75								29	9.73		82	27.52		298	
	FOURTH			11	37.93									Excluded		18	62.07		29	
		TOTAL		198	66.44											100	33.56		298	
				Elected																
																				
Binda                                                          																				
	FIRST			104	55.03		7	3.70		2	1.06		23	12.17		53	28.04		189	
	SECOND			0	0.00			Excluded		4	57.14		0	0.00		3	42.86		7	
		TOTAL		104	55.03					6	3.17		23	12.17		56	29.63		189	
	THIRD			1	16.67						Excluded		2	33.33		3	50.00		6	
		TOTAL		105	55.56								25	13.23		59	31.22		189	
	FOURTH			6	24.00									Excluded		19	76.00		25	
		TOTAL		111	58.73											78	41.27		189	
				Elected																
																				
Bookham                                                        																				
	FIRST			88	71.54		2	1.63		1	0.81		13	10.57		19	15.45		123	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		2	100.00		2	
		TOTAL		88	71.54					1	0.81		13	10.57		21	17.07		123	
	THIRD			1	100.00						Excluded		0	0.00		0	0.00		1	
		TOTAL		89	72.36								13	10.57		21	17.07		123	
	FOURTH			9	69.23									Excluded		4	30.77		13	
		TOTAL		98	79.67											25	20.33		123	
				Elected																
																				
Boorowa                                                        																				
	FIRST			544	57.02		9	0.94		11	1.15		93	9.75		297	31.13		954	
	SECOND			3	33.33			Excluded		3	33.33		1	11.11		2	22.22		9	
		TOTAL		547	57.34					14	1.47		94	9.85		299	31.34		954	
	THIRD			6	42.86						Excluded		4	28.57		4	28.57		14	
		TOTAL		553	57.97								98	10.27		303	31.76		954	
	FOURTH			40	40.82									Excluded		58	59.18		98	
		TOTAL		593	62.16											361	37.84		954	
				Elected																
																				
Bowning                                                        																				
	FIRST			147	63.36		8	3.45		7	3.02		5	2.16		65	28.02		232	
	SECOND			0	0.00			Excluded		7	87.50		0	0.00		1	12.50		8	
		TOTAL		147	63.36					14	6.03		5	2.16		66	28.45		232	
