House of Representatives - 2001 Election: New South Wales																							
Distribution of Preferences																							
By Polling Place																							
																							
Hunter																							
				MACAULAY			O'BRIEN			BENNISON			LAWLER			FOX			FITZGIBBON				
				Rob			Larry			Rod			Ann			Bill			Joel				
				NP			GRN			DEM			CEC			HAN			ALP				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Aberdare                                                       																							
	FIRST			177	16.30		37	3.41		40	3.68		11	1.01		116	10.68		705	64.92		1086	
	SECOND			3	27.27		1	9.09		3	27.27			Excluded		2	18.18		2	18.18		11	
		TOTAL		180	16.57		38	3.50		43	3.96					118	10.87		707	65.10		1086	
	THIRD			11	25.58		18	41.86			Excluded					4	9.30		10	23.26		43	
		TOTAL		191	17.59		56	5.16								122	11.23		717	66.02		1086	
	FOURTH			20	35.71			Excluded								10	17.86		26	46.43		56	
		TOTAL		211	19.43											132	12.15		743	68.42		1086	
	FIFTH			88	66.67												Excluded		44	33.33		132	
		TOTAL		299	27.53														787	72.47		1086	
																			Elected				
																							
Aberdare West                                                  																							
	FIRST			203	17.87		49	4.31		26	2.29		12	1.06		144	12.68		702	61.80		1136	
	SECOND			2	16.67		2	16.67		3	25.00			Excluded		2	16.67		3	25.00		12	
		TOTAL		205	18.05		51	4.49		29	2.55					146	12.85		705	62.06		1136	
	THIRD			4	13.79		16	55.17			Excluded					1	3.45		8	27.59		29	
		TOTAL		209	18.40		67	5.90								147	12.94		713	62.76		1136	
	FOURTH			33	49.25			Excluded								10	14.93		24	35.82		67	
		TOTAL		242	21.30											157	13.82		737	64.88		1136	
	FIFTH			109	69.43												Excluded		48	30.57		157	
		TOTAL		351	30.90														785	69.10		1136	
																			Elected				
																							
Abermain                                                       																							
	FIRST			166	13.66		56	4.61		44	3.62		6	0.49		154	12.67		789	64.94		1215	
	SECOND			1	16.67		0	0.00		2	33.33			Excluded		3	50.00		0	0.00		6	
		TOTAL		167	13.74		56	4.61		46	3.79					157	12.92		789	64.94		1215	
	THIRD			9	19.57		21	45.65			Excluded					7	15.22		9	19.57		46	
		TOTAL		176	14.49		77	6.34								164	13.50		798	65.68		1215	
	FOURTH			31	40.26			Excluded								14	18.18		32	41.56		77	
		TOTAL		207	17.04											178	14.65		830	68.31		1215	
	FIFTH			109	61.24												Excluded		69	38.76		178	
		TOTAL		316	26.01														899	73.99		1215	
																			Elected				
																							
Allandale Hospital                                             																							
	FIRST			23	20.18		7	6.14		5	4.39		1	0.88		3	2.63		75	65.79		114	
	SECOND			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		23	20.18		7	6.14		6	5.26					3	2.63		75	65.79		114	
	THIRD			1	16.67		2	33.33			Excluded					1	16.67		2	33.33		6	
		TOTAL		24	21.05		9	7.89								4	3.51		77	67.54		114	
