House of Representatives - 2001 Election: New South Wales																							
Distribution of Preferences																							
By Polling Place																							
																							
Kingsford Smith																							
				BROWN			NOTLEY-SMITH			HURWITZ			CARMAN			BRERETON			ZAKRZEWSKI				
				Jill			Bruce			Arthur			Marina			Laurie			Peter				
				HAN			LP			GRN						ALP			DEM				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Ansett                                                         																							
	FIRST			1	5.88		5	29.41		2	11.76		0	0.00		7	41.18		2	11.76		17	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		1	5.88		5	29.41		2	11.76					7	41.18		2	11.76		17	
	THIRD				Excluded		1	100.00		0	0.00					0	0.00		0	0.00		1	
		TOTAL					6	35.29		2	11.76					7	41.18		2	11.76		17	
	FOURTH						0	0.00		1	50.00					1	50.00			Excluded		2	
		TOTAL					6	35.29		3	17.65					8	47.06					17	
	FIFTH						1	33.33			Excluded					2	66.67					3	
		TOTAL					7	41.18								10	58.82					17	
																Elected							
																							
Banksmeadow                                                    																							
	FIRST			91	7.17		339	26.69		53	4.17		5	0.39		749	58.98		33	2.60		1270	
	SECOND			2	40.00		0	0.00		0	0.00			Excluded		2	40.00		1	20.00		5	
		TOTAL		93	7.32		339	26.69		53	4.17					751	59.13		34	2.68		1270	
	THIRD				Excluded		52	55.91		14	15.05					19	20.43		8	8.60		93	
		TOTAL					391	30.79		67	5.28					770	60.63		42	3.31		1270	
	FOURTH						6	14.29		22	52.38					14	33.33			Excluded		42	
		TOTAL					397	31.26		89	7.01					784	61.73					1270	
	FIFTH						28	31.46			Excluded					61	68.54					89	
		TOTAL					425	33.46								845	66.54					1270	
																Elected							
																							
Botany                                                         																							
	FIRST			143	7.19		553	27.80		99	4.98		16	0.80		1112	55.91		66	3.32		1989	
	SECOND			8	50.00		1	6.25		3	18.75			Excluded		0	0.00		4	25.00		16	
		TOTAL		151	7.59		554	27.85		102	5.13					1112	55.91		70	3.52		1989	
	THIRD				Excluded		87	57.62		29	19.21					28	18.54		7	4.64		151	
		TOTAL					641	32.23		131	6.59					1140	57.32		77	3.87		1989	
	FOURTH						18	23.38		32	41.56					27	35.06			Excluded		77	
		TOTAL					659	33.13		163	8.20					1167	58.67					1989	
	FIFTH						49	30.06			Excluded					114	69.94					163	
		TOTAL					708	35.60								1281	64.40					1989	
																Elected							
																							
Botany East                                                    																							
	FIRST			94	5.54		669	39.40		94	5.54		6	0.35		777	45.76		58	3.42		1698	
	SECOND			0	0.00		3	50.00		2	33.33			Excluded		1	16.67		0	0.00		6	
		TOTAL		94	5.54		672	39.58		96	5.65					778	45.82		58	3.42		1698	
	THIRD				Excluded		53	56.38		15	15.96					21	22.34		5	5.32		94	
		TOTAL					725	42.70		111	6.54					799	47.06		63	3.71		1698	
	FOURTH						18	28.57		21	33.33					24	38.10			Excluded		63	
		TOTAL					743	43.76		132	7.77					823	48.47					1698	
	FIFTH						39	29.55			Excluded					93	70.45					132	
		TOTAL					782	46.05								916	53.95					1698	
																Elected							
																							
Bunnerong                                                      																							
	FIRST			145	5.66		817	31.86		129	5.03		17	0.66		1344	52.42		112	4.37		2564	
	SECOND			3	17.65		3	17.65		4	23.53			Excluded		2	11.76		5	29.41		17	
		TOTAL		148	5.77		820	31.98		133	5.19					1346	52.50		117	4.56		2564	
	THIRD				Excluded		96	64.86		9	6.08					29	19.59		14	9.46		148	
		TOTAL					916	35.73		142	5.54					1375	53.63		131	5.11		2564	
	FOURTH						21	16.03		54	41.22					56	42.75			Excluded		131	
		TOTAL					937	36.54		196	7.64					1431	55.81					2564	
	FIFTH						43	21.94			Excluded					153	78.06					196	
		TOTAL					980	38.22								1584	61.78					2564	
																Elected							
																							
Chifley                                                        																							
	FIRST			154	8.37		579	31.45		95	5.16		5	0.27		938	50.95		70	3.80		1841	
	SECOND			2	40.00		1	20.00		2	40.00			Excluded		0	0.00		0	0.00		5	
		TOTAL		156	8.47		580	31.50		97	5.27					938	50.95		70	3.80		1841	
	THIRD				Excluded		113	72.44		17	10.90					19	12.18		7	4.49		156	
		TOTAL					693	37.64		114	6.19					957	51.98		77	4.18		1841	
	FOURTH						9	11.69		32	41.56					36	46.75			Excluded		77	
		TOTAL					702	38.13		146	7.93					993	53.94					1841	
	FIFTH						47	32.19			Excluded					99	67.81					146	
		TOTAL					749	40.68								1092	59.32					1841	
																Elected							
																							
Clovelly Beach (Kingsford Smith)                               																							
	FIRST			17	2.78		211	34.53		105	17.18		8	1.31		223	36.50		47	7.69		611	
	SECOND			0	0.00		1	12.50		5	62.50			Excluded		2	25.00		0	0.00		8	
		TOTAL		17	2.78		212	34.70		110	18.00					225	36.82		47	7.69		611	
	THIRD				Excluded		7	41.18		4	23.53					3	17.65		3	17.65		17	
		TOTAL					219	35.84		114	18.66					228	37.32		50	8.18		611	
	FOURTH						8	16.00		29	58.00					13	26.00			Excluded		50	
		TOTAL					227	37.15		143	23.40					241	39.44					611	
	FIFTH						28	19.58			Excluded					115	80.42					143	
		TOTAL					255	41.73								356	58.27					611	
																Elected							
																							
Clovelly North (Kingsford Smith)                               																							
	FIRST			12	2.78		181	42.00		51	11.83		7	1.62		138	32.02		42	9.74		431	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		5	71.43		2	28.57		7	
		TOTAL		12	2.78		181	42.00		51	11.83					143	33.18		44	10.21		431	
	THIRD				Excluded		7	58.33		4	33.33					1	8.33		0	0.00		12	
		TOTAL					188	43.62		55	12.76					144	33.41		44	10.21		431	
	FOURTH						6	13.64		15	34.09					23	52.27			Excluded		44	
		TOTAL					194	45.01		70	16.24					167	38.75					431	
	FIFTH						20	28.57			Excluded					50	71.43					70	
		TOTAL					214	49.65								217	50.35					431	
																Elected							
																							
Coogee                                                         																							
	FIRST			49	2.76		691	38.93		216	12.17		19	1.07		641	36.11		159	8.96		1775	
	SECOND			2	10.53		2	10.53		8	42.11			Excluded		5	26.32		2	10.53		19	
		TOTAL		51	2.87		693	39.04		224	12.62					646	36.39		161	9.07		1775	
	THIRD				Excluded		33	64.71		8	15.69					4	7.84		6	11.76		51	
		TOTAL					726	40.90		232	13.07					650	36.62		167	9.41		1775	
	FOURTH						14	8.38		104	62.28					49	29.34			Excluded		167	
		TOTAL					740	41.69		336	18.93					699	39.38					1775	
	FIFTH						63	18.75			Excluded					273	81.25					336	
		TOTAL					803	45.24								972	54.76					1775	
																Elected							
																							
Coogee Beach                                                   																							
	FIRST			59	2.64		842	37.66		313	14.00		9	0.40		856	38.28		157	7.02		2236	
	SECOND			0	0.00		0	0.00		5	55.56			Excluded		0	0.00		4	44.44		9	
		TOTAL		59	2.64		842	37.66		318	14.22					856	38.28		161	7.20		2236	
	THIRD				Excluded		38	64.41		7	11.86					12	20.34		2	3.39		59	
		TOTAL					880	39.36		325	14.53					868	38.82		163	7.29		2236	
	FOURTH						16	9.82		97	59.51					50	30.67			Excluded		163	
