House of Representatives - 2001 Election: New South Wales																																									
Distribution of Preferences																																									
By Polling Place																																									
																																									
Lindsay																																									
				PHILLIPS			BRADBURY			EDWARDS			COURTNEY			NIXON			WATERS			MITCHELL			WALKER			BROWN			KELLY			EYKAMP			LINDSAY-HENDERSON				
				John			David			Lesley			Anthony David			Bill			Geraldine				Graham		Stephen			Geoff			Jackie			Jean M			Steve				
				CTA			ALP			GRN			IND			HAN			DEM			IND			NCP			SAS			LP			NGST			IND				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Berkshire Park                                                 																																									
	FIRST			4	1.46		69	25.18		3	1.09		1	0.36		17	6.20		6	2.19		3	1.09		1	0.36		9	3.28		150	54.74		8	2.92		3	1.09		274	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		1	
		TOTAL		4	1.46		69	25.18		3	1.09		1	0.36		17	6.20		6	2.19		3	1.09					9	3.28		150	54.74		8	2.92		4	1.46		274	
	THIRD			0	0.00		0	0.00		0	0.00		1	33.33		1	33.33		1	33.33			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		3	
		TOTAL		4	1.46		69	25.18		3	1.09		2	0.73		18	6.57		7	2.55								9	3.28		150	54.74		8	2.92		4	1.46		274	
	FOURTH			0	0.00		0	0.00		0	0.00		2	50.00		0	0.00		0	0.00								0	0.00		1	25.00		1	25.00			Excluded		4	
		TOTAL		4	1.46		69	25.18		3	1.09		4	1.46		18	6.57		7	2.55								9	3.28		151	55.11		9	3.28					274	
	FIFTH			0	0.00		0	0.00		0	0.00		1	11.11		1	11.11		0	0.00								5	55.56		2	22.22			Excluded					9	
		TOTAL		4	1.46		69	25.18		3	1.09		5	1.82		19	6.93		7	2.55								14	5.11		153	55.84								274	
	SIXTH			2	40.00		1	20.00		0	0.00			Excluded		0	0.00		1	20.00								0	0.00		1	20.00								5	
		TOTAL		6	2.19		70	25.55		3	1.09					19	6.93		8	2.92								14	5.11		154	56.20								274	
	SEVENTH			1	12.50		1	12.50		2	25.00					2	25.00			Excluded								1	12.50		1	12.50								8	
		TOTAL		7	2.55		71	25.91		5	1.82					21	7.66											15	5.47		155	56.57								274	
	EIGHTH				Excluded		3	42.86		1	14.29					0	0.00											1	14.29		2	28.57								7	
		TOTAL					74	27.01		6	2.19					21	7.66											16	5.84		157	57.30								274	
	NINTH						2	33.33			Excluded					0	0.00											3	50.00		1	16.67								6	
		TOTAL					76	27.74								21	7.66											19	6.93		158	57.66								274	
	TENTH						11	57.89								2	10.53												Excluded		6	31.58								19	
		TOTAL					87	31.75								23	8.39														164	59.85								274	
	ELEVENTH						9	39.13									Excluded														14	60.87								23	
		TOTAL					96	35.04																							178	64.96								274	
																															Elected										
																																									
Blaxland (Lindsay)                                             																																									
	FIRST			30	4.13		202	27.79		50	6.88		8	1.10		26	3.58		37	5.09		4	0.55		0	0.00		19	2.61		343	47.18		5	0.69		3	0.41		727	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		30	4.13		202	27.79		50	6.88		8	1.10		26	3.58		37	5.09		4	0.55					19	2.61		343	47.18		5	0.69		3	0.41		727	
	THIRD			0	0.00		0	0.00		1	25.00		1	25.00		0	0.00		1	25.00			Excluded					0	0.00		0	0.00		0	0.00		1	25.00		4	
		TOTAL		30	4.13		202	27.79		51	7.02		9	1.24		26	3.58		38	5.23								19	2.61		343	47.18		5	0.69		4	0.55		727	
	FOURTH			0	0.00		1	25.00		0	0.00		1	25.00		0	0.00		0	0.00								0	0.00		0	0.00		2	50.00			Excluded		4	
		TOTAL		30	4.13		203	27.92		51	7.02		10	1.38		26	3.58		38	5.23								19	2.61		343	47.18		7	0.96					727	
	FIFTH			1	14.29		1	14.29		1	14.29		0	0.00		0	0.00		0	0.00								1	14.29		3	42.86			Excluded					7	
		TOTAL		31	4.26		204	28.06		52	7.15		10	1.38		26	3.58		38	5.23								20	2.75		346	47.59								727	
	SIXTH			0	0.00		4	40.00		0	0.00			Excluded		1	10.00		1	10.00								1	10.00		3	30.00								10	
		TOTAL		31	4.26		208	28.61		52	7.15					27	3.71		39	5.36								21	2.89		349	48.01								727	
	SEVENTH			1	2.56		12	30.77		13	33.33					3	7.69			Excluded								6	15.38		4	10.26								39	
		TOTAL		32	4.40		220	30.26		65	8.94					30	4.13											27	3.71		353	48.56								727	
	EIGHTH				Excluded		4	12.50		0	0.00					1	3.13											7	21.88		20	62.50								32	
		TOTAL					224	30.81		65	8.94					31	4.26											34	4.68		373	51.31								727	
	NINTH						26	40.00			Excluded					4	6.15											29	44.62		6	9.23								65	
		TOTAL					250	34.39								35	4.81											63	8.67		379	52.13								727	
	TENTH						39	61.90								10	15.87												Excluded		14	22.22								63	
		TOTAL					289	39.75								45	6.19														393	54.06								727	
	ELEVENTH						23	51.11									Excluded														22	48.89								45	
		TOTAL					312	42.92																							415	57.08								727	
																															Elected										
																																									
Braddock                                                       																																									
	FIRST			68	2.39		1155	40.55		52	1.83		34	1.19		139	4.88		40	1.40		7	0.25		2	0.07		165	5.79		1154	40.52		20	0.70		12	0.42		2848	
