House of Representatives - 2001 Election: New South Wales																										
Distribution of Preferences																										
By Polling Place																										
																										
Lowe																										
				MURPHY			DOUST			GARRETT			WONG			KRUMINS			LANE			SOULOS				
				John			David			Anna			Ernest			Harry			Max			Mersina				
				ALP			LP			DEM			UNI			HAN						GRN				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Abbotsford                                                     																										
	FIRST			1457	41.23		1645	46.55		173	4.90		31	0.88		64	1.81		14	0.40		150	4.24		3534	
	SECOND			4	28.57		1	7.14		1	7.14		1	7.14		1	7.14			Excluded		6	42.86		14	
		TOTAL		1461	41.34		1646	46.58		174	4.92		32	0.91		65	1.84					156	4.41		3534	
	THIRD			10	15.38		23	35.38		3	4.62		4	6.15			Excluded					25	38.46		65	
		TOTAL		1471	41.62		1669	47.23		177	5.01		36	1.02								181	5.12		3534	
	FOURTH			10	27.78		5	13.89		12	33.33			Excluded								9	25.00		36	
		TOTAL		1481	41.91		1674	47.37		189	5.35											190	5.38		3534	
	FIFTH			51	26.84		42	22.11		97	51.05												Excluded		190	
		TOTAL		1532	43.35		1716	48.56		286	8.09														3534	
	SIXTH			204	71.33		82	28.67			Excluded														286	
		TOTAL		1736	49.12		1798	50.88																	3534	
				Elected																						
																										
Ashfield North (Lowe)                                          																										
	FIRST			546	50.56		326	30.19		61	5.65		26	2.41		38	3.52		5	0.46		78	7.22		1080	
	SECOND			0	0.00		1	20.00		0	0.00		0	0.00		0	0.00			Excluded		4	80.00		5	
		TOTAL		546	50.56		327	30.28		61	5.65		26	2.41		38	3.52					82	7.59		1080	
	THIRD			7	18.42		14	36.84		3	7.89		1	2.63			Excluded					13	34.21		38	
		TOTAL		553	51.20		341	31.57		64	5.93		27	2.50								95	8.80		1080	
	FOURTH			11	40.74		0	0.00		14	51.85			Excluded								2	7.41		27	
		TOTAL		564	52.22		341	31.57		78	7.22											97	8.98		1080	
	FIFTH			31	31.96		12	12.37		54	55.67												Excluded		97	
		TOTAL		595	55.09		353	32.69		132	12.22														1080	
	SIXTH			98	74.24		34	25.76			Excluded														132	
		TOTAL		693	64.17		387	35.83																	1080	
				Elected																						
																										
Burwood                                                        																										
	FIRST			1778	50.18		1175	33.16		115	3.25		252	7.11		67	1.89		20	0.56		136	3.84		3543	
	SECOND			4	20.00		0	0.00		2	10.00		4	20.00		0	0.00			Excluded		10	50.00		20	
		TOTAL		1782	50.30		1175	33.16		117	3.30		256	7.23		67	1.89					146	4.12		3543	
	THIRD			15	22.39		16	23.88		3	4.48		1	1.49			Excluded					32	47.76		67	
		TOTAL		1797	50.72		1191	33.62		120	3.39		257	7.25								178	5.02		3543	
	FOURTH			111	43.19		23	8.95		91	35.41			Excluded								32	12.45		257	
		TOTAL		1908	53.85		1214	34.26		211	5.96											210	5.93		3543	
	FIFTH			58	27.62		38	18.10		114	54.29												Excluded		210	
		TOTAL		1966	55.49		1252	35.34		325	9.17														3543	
	SIXTH			250	76.92		75	23.08			Excluded														325	
		TOTAL		2216	62.55		1327	37.45																	3543	
				Elected																						
																										
Burwood East                                                   																										
