House of Representatives - 2001 Election: New South Wales																										
Distribution of Preferences																										
By Polling Place																										
																										
Lyne																										
				STANFIELD			SARA			VAILE			ISHERWOOD			JIRMAN			MULDOON			STEVENS				
				Lynn			Dane William			Mark			Siobhan			Philip			Graeme			Pat				
				HAN			IND			NP			GRN			DEM			CEC			CLR				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Aldavilla                                                      																										
	FIRST			227	18.89		12	1.00		577	48.00		25	2.08		24	2.00		3	0.25		334	27.79		1202	
	SECOND			1	33.33		0	0.00		0	0.00		0	0.00		1	33.33			Excluded		1	33.33		3	
		TOTAL		228	18.97		12	1.00		577	48.00		25	2.08		25	2.08					335	27.87		1202	
	THIRD			3	25.00			Excluded		5	41.67		3	25.00		0	0.00					1	8.33		12	
		TOTAL		231	19.22					582	48.42		28	2.33		25	2.08					336	27.95		1202	
	FOURTH			2	8.00					4	16.00		12	48.00			Excluded					7	28.00		25	
		TOTAL		233	19.38					586	48.75		40	3.33								343	28.54		1202	
	FIFTH			4	10.00					9	22.50			Excluded								27	67.50		40	
		TOTAL		237	19.72					595	49.50											370	30.78		1202	
	SIXTH				Excluded					112	47.26											125	52.74		237	
		TOTAL								707	58.82											495	41.18		1202	
										Elected																
																										
Beechwood                                                      																										
	FIRST			79	10.49		8	1.06		438	58.17		24	3.19		16	2.12		1	0.13		187	24.83		753	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		79	10.49		8	1.06		438	58.17		24	3.19		17	2.26					187	24.83		753	
	THIRD			0	0.00			Excluded		3	37.50		2	25.00		1	12.50					2	25.00		8	
		TOTAL		79	10.49					441	58.57		26	3.45		18	2.39					189	25.10		753	
	FOURTH			2	11.11					3	16.67		9	50.00			Excluded					4	22.22		18	
		TOTAL		81	10.76					444	58.96		35	4.65								193	25.63		753	
	FIFTH			4	11.43					8	22.86			Excluded								23	65.71		35	
		TOTAL		85	11.29					452	60.03											216	28.69		753	
