House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Macarthur																													
				WATKINS			OATES			SANDERS			FARMER			LANTRY			KNOWLES			SHEPPARD			HUNT				
				Len			Meg			Eric			Pat			Jasmine			Gregory John			Elwyn			Geraldine				
				HAN			ALP			NCP			LP			DEM			IND			CTA			GRN				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Airds                                                          																													
	FIRST			51	5.37		565	59.47		7	0.74		263	27.68		15	1.58		8	0.84		14	1.47		27	2.84		950	
	SECOND			1	14.29		3	42.86			Excluded		1	14.29		0	0.00		0	0.00		1	14.29		1	14.29		7	
		TOTAL		52	5.47		568	59.79					264	27.79		15	1.58		8	0.84		15	1.58		28	2.95		950	
	THIRD			2	25.00		1	12.50					2	25.00		1	12.50			Excluded		0	0.00		2	25.00		8	
		TOTAL		54	5.68		569	59.89					266	28.00		16	1.68					15	1.58		30	3.16		950	
	FOURTH			1	6.67		3	20.00					5	33.33		3	20.00						Excluded		3	20.00		15	
		TOTAL		55	5.79		572	60.21					271	28.53		19	2.00								33	3.47		950	
	FIFTH			2	10.53		6	31.58					6	31.58			Excluded								5	26.32		19	
		TOTAL		57	6.00		578	60.84					277	29.16											38	4.00		950	
	SIXTH			10	26.32		21	55.26					7	18.42												Excluded		38	
		TOTAL		67	7.05		599	63.05					284	29.89														950	
	SEVENTH				Excluded		47	70.15					20	29.85														67	
		TOTAL					646	68.00					304	32.00														950	
													Elected																
																													
Airds North                                                    																													
	FIRST			19	2.93		460	70.88		2	0.31		124	19.11		9	1.39		9	1.39		8	1.23		18	2.77		649	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		1	50.00		1	50.00		0	0.00		0	0.00		2	
		TOTAL		19	2.93		460	70.88					124	19.11		10	1.54		10	1.54		8	1.23		18	2.77		649	
	THIRD			2	20.00		3	30.00					3	30.00		1	10.00			Excluded		0	0.00		1	10.00		10	
		TOTAL		21	3.24		463	71.34					127	19.57		11	1.69					8	1.23		19	2.93		649	
	FOURTH			1	12.50		1	12.50					4	50.00		1	12.50						Excluded		1	12.50		8	
		TOTAL		22	3.39		464	71.49					131	20.18		12	1.85								20	3.08		649	
	FIFTH			1	8.33		5	41.67					2	16.67			Excluded								4	33.33		12	
		TOTAL		23	3.54		469	72.27					133	20.49											24	3.70		649	
	SIXTH			5	20.83		12	50.00					7	29.17												Excluded		24	
		TOTAL		28	4.31		481	74.11					140	21.57														649	
	SEVENTH				Excluded		19	67.86					9	32.14														28	
		TOTAL					500	77.04					149	22.96														649	
													Elected																
																													
Ambarvale                                                      																													
	FIRST			200	5.57		1382	38.52		9	0.25		1729	48.19		83	2.31		25	0.70		57	1.59		103	2.87		3588	
	SECOND			3	33.33		2	22.22			Excluded		1	11.11		1	11.11		0	0.00		2	22.22		0	0.00		9	
		TOTAL		203	5.66		1384	38.57					1730	48.22		84	2.34		25	0.70		59	1.64		103	2.87		3588	
	THIRD			2	8.00		5	20.00					6	24.00		5	20.00			Excluded		2	8.00		5	20.00		25	
		TOTAL		205	5.71		1389	38.71					1736	48.38		89	2.48					61	1.70		108	3.01		3588	
	FOURTH			7	11.48		14	22.95					23	37.70		6	9.84						Excluded		11	18.03		61	
		TOTAL		212	5.91		1403	39.10					1759	49.02		95	2.65								119	3.32		3588	
	FIFTH			4	4.21		29	30.53					24	25.26			Excluded								38	40.00		95	
		TOTAL		216	6.02		1432	39.91					1783	49.69											157	4.38		3588	
	SIXTH			17	10.83		87	55.41					53	33.76												Excluded		157	
		TOTAL		233	6.49		1519	42.34					1836	51.17														3588	
	SEVENTH				Excluded		89	38.20					144	61.80														233	
		TOTAL					1608	44.82					1980	55.18														3588	
													Elected																
																													
Ambarvale West                                                 																													
	FIRST			99	4.88		866	42.72		10	0.49		902	44.50		31	1.53		21	1.04		25	1.23		73	3.60		2027	
	SECOND			2	20.00		2	20.00			Excluded		1	10.00		0	0.00		0	0.00		3	30.00		2	20.00		10	
		TOTAL		101	4.98		868	42.82					903	44.55		31	1.53		21	1.04		28	1.38		75	3.70		2027	
	THIRD			1	4.76		2	9.52					7	33.33		7	33.33			Excluded		2	9.52		2	9.52		21	
		TOTAL		102	5.03		870	42.92					910	44.89		38	1.87					30	1.48		77	3.80		2027	
	FOURTH			5	16.67		7	23.33					11	36.67		2	6.67						Excluded		5	16.67		30	
		TOTAL		107	5.28		877	43.27					921	45.44		40	1.97								82	4.05		2027	
	FIFTH			6	15.00		12	30.00					4	10.00			Excluded								18	45.00		40	
		TOTAL		113	5.57		889	43.86					925	45.63											100	4.93		2027	
	SIXTH			9	9.00		65	65.00					26	26.00												Excluded		100	
		TOTAL		122	6.02		954	47.06					951	46.92														2027	
	SEVENTH				Excluded		68	55.74					54	44.26														122	
		TOTAL					1022	50.42					1005	49.58														2027	
													Elected																
																													
Austral (Macarthur)                                            																													
	FIRST			11	6.29		52	29.71		2	1.14		93	53.14		2	1.14		3	1.71		9	5.14		3	1.71		175	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		2	100.00		0	0.00		2	
		TOTAL		11	6.29		52	29.71					93	53.14		2	1.14		3	1.71		11	6.29		3	1.71		175	
	THIRD			2	66.67		0	0.00					1	33.33		0	0.00			Excluded		0	0.00		0	0.00		3	
		TOTAL		13	7.43		52	29.71					94	53.71		2	1.14					11	6.29		3	1.71		175	
	FOURTH			0	0.00		0	0.00					1	9.09		10	90.91						Excluded		0	0.00		11	
		TOTAL		13	7.43		52	29.71					95	54.29		12	6.86								3	1.71		175	
	FIFTH			0	0.00		1	8.33					7	58.33			Excluded								4	33.33		12	
		TOTAL		13	7.43		53	30.29					102	58.29											7	4.00		175	
	SIXTH			3	42.86		3	42.86					1	14.29												Excluded		7	
		TOTAL		16	9.14		56	32.00					103	58.86														175	
	SEVENTH				Excluded		9	56.25					7	43.75														16	
		TOTAL					65	37.14					110	62.86														175	
													Elected																
																													
Badgerys Creek                                                 																													
	FIRST			20	9.09		78	35.45		1	0.45		94	42.73		4	1.82		8	3.64		7	3.18		8	3.64		220	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		20	9.09		78	35.45					94	42.73		5	2.27		8	3.64		7	3.18		8	3.64		220	
	THIRD			0	0.00		6	75.00					0	0.00		1	12.50			Excluded		0	0.00		1	12.50		8	
		TOTAL		20	9.09		84	38.18					94	42.73		6	2.73					7	3.18		9	4.09		220	
	FOURTH			0	0.00		0	0.00					5	71.43		1	14.29						Excluded		1	14.29		7	
		TOTAL		20	9.09		84	38.18					99	45.00		7	3.18								10	4.55		220	
	FIFTH			2	28.57		2	28.57					1	14.29			Excluded								2	28.57		7	
		TOTAL		22	10.00		86	39.09					100	45.45											12	5.45		220	
	SIXTH			1	8.33		4	33.33					7	58.33												Excluded		12	
		TOTAL		23	10.45		90	40.91					107	48.64														220	
	SEVENTH				Excluded		12	52.17					11	47.83														23	
		TOTAL					102	46.36					118	53.64														220	
													Elected																
																													
Blairmount                                                     																													
	FIRST			31	3.65		416	48.94		1	0.12		353	41.53		16	1.88		4	0.47		17	2.00		12	1.41		850	
	SECOND			0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		31	3.65		417	49.06					353	41.53		16	1.88		4	0.47		17	2.00		12	1.41		850	
	THIRD			2	50.00		0	0.00					1	25.00		1	25.00			Excluded		0	0.00		0	0.00		4	
		TOTAL		33	3.88		417	49.06					354	41.65		17	2.00					17	2.00		12	1.41		850	
	FOURTH			0	0.00		4	23.53					9	52.94		0	0.00						Excluded		4	23.53		17	
		TOTAL		33	3.88		421	49.53					363	42.71		17	2.00								16	1.88		850	
	FIFTH			3	17.65		6	35.29					3	17.65			Excluded								5	29.41		17	
		TOTAL		36	4.24		427	50.24					366	43.06											21	2.47		850	
	SIXTH			5	23.81		10	47.62					6	28.57												Excluded		21	
		TOTAL		41	4.82		437	51.41					372	43.76														850	
	SEVENTH				Excluded		26	63.41					15	36.59														41	
		TOTAL					463	54.47					387	45.53														850	
													Elected																
																													
Bradbury                                                       																													
	FIRST			212	5.45		1349	34.68		19	0.49		1929	49.59		119	3.06		81	2.08		73	1.88		108	2.78		3890	
	SECOND			4	21.05		4	21.05			Excluded		4	21.05		2	10.53		0	0.00		5	26.32		0	0.00		19	
		TOTAL		216	5.55		1353	34.78					1933	49.69		121	3.11		81	2.08		78	2.01		108	2.78		3890	
	THIRD			7	8.64		35	43.21					16	19.75		7	8.64			Excluded		4	4.94		12	14.81		81	
