House of Representatives - 2001 Election: New South Wales																										
Distribution of Preferences																										
By Polling Place																										
																										
Macquarie																										
				WILLIAMS			SEARLE			GRIGG			MAJOROS			BUCKLEY			BARTLETT			WARREN				
				Leigh			Adam			Brian			Les			Wayne			Kerry			Robert				
				GRN			ALP			CTA			DEM			HAN			LP			SAS				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Bilpin                                                         																										
	FIRST			46	10.60		88	20.28		16	3.69		22	5.07		47	10.83		206	47.47		9	2.07		434	
	SECOND			5	55.56		2	22.22		1	11.11		0	0.00		0	0.00		1	11.11			Excluded		9	
		TOTAL		51	11.75		90	20.74		17	3.92		22	5.07		47	10.83		207	47.70					434	
	THIRD			1	5.88		0	0.00			Excluded		1	5.88		0	0.00		15	88.24					17	
		TOTAL		52	11.98		90	20.74					23	5.30		47	10.83		222	51.15					434	
	FOURTH			5	10.64		21	44.68					5	10.64			Excluded		16	34.04					47	
		TOTAL		57	13.13		111	25.58					28	6.45					238	54.84					434	
	FIFTH			20	71.43		6	21.43						Excluded					2	7.14					28	
		TOTAL		77	17.74		117	26.96											240	55.30					434	
	SIXTH				Excluded		56	72.73											21	27.27					77	
		TOTAL					173	39.86											261	60.14					434	
																			Elected							
																										
Blackheath                                                     																										
	FIRST			296	13.03		746	32.83		31	1.36		165	7.26		120	5.28		900	39.61		14	0.62		2272	
	SECOND			9	64.29		1	7.14		1	7.14		0	0.00		2	14.29		1	7.14			Excluded		14	
		TOTAL		305	13.42		747	32.88		32	1.41		165	7.26		122	5.37		901	39.66					2272	
	THIRD			3	9.38		8	25.00			Excluded		5	15.63		0	0.00		16	50.00					32	
		TOTAL		308	13.56		755	33.23					170	7.48		122	5.37		917	40.36					2272	
	FOURTH			18	14.75		48	39.34					11	9.02			Excluded		45	36.89					122	
		TOTAL		326	14.35		803	35.34					181	7.97					962	42.34					2272	
	FIFTH			116	64.09		41	22.65						Excluded					24	13.26					181	
		TOTAL		442	19.45		844	37.15											986	43.40					2272	
	SIXTH				Excluded		381	86.20											61	13.80					442	
		TOTAL					1225	53.92											1047	46.08					2272	
																			Elected							
																										
Blaxland (Macquarie)                                           																										
	FIRST			83	9.64		312	36.24		20	2.32		36	4.18		33	3.83		369	42.86		8	0.93		861	
	SECOND			4	50.00		0	0.00		1	12.50		1	12.50		0	0.00		2	25.00			Excluded		8	
		TOTAL		87	10.10		312	36.24		21	2.44		37	4.30		33	3.83		371	43.09					861	
