House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Mitchell																													
				MUDGEE			CADMAN			BAGGS			TAYLOR			MCSHANE			GREGORY			BURKE			EDER				
				David			Alan			David			Cindy			John			Ken			Stephen			Dale				
				AFI			LP			DEM			GRN			ALP			CTA			IND			HAN				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Aminya                                                         																													
	FIRST			7	1.23		363	63.68		26	4.56		22	3.86		114	20.00		18	3.16		5	0.88		15	2.63		570	
	SECOND			0	0.00		0	0.00		0	0.00		1	20.00		2	40.00		1	20.00			Excluded		1	20.00		5	
		TOTAL		7	1.23		363	63.68		26	4.56		23	4.04		116	20.35		19	3.33					16	2.81		570	
	THIRD				Excluded		5	71.43		1	14.29		0	0.00		0	0.00		0	0.00					1	14.29		7	
		TOTAL					368	64.56		27	4.74		23	4.04		116	20.35		19	3.33					17	2.98		570	
	FOURTH						16	84.21		0	0.00		2	10.53		0	0.00			Excluded					1	5.26		19	
		TOTAL					384	67.37		27	4.74		25	4.39		116	20.35								18	3.16		570	
	FIFTH						14	77.78		1	5.56		0	0.00		3	16.67									Excluded		18	
		TOTAL					398	69.82		28	4.91		25	4.39		119	20.88											570	
	SIXTH						2	8.00		13	52.00			Excluded		10	40.00											25	
		TOTAL					400	70.18		41	7.19					129	22.63											570	
	SEVENTH						13	31.71			Excluded					28	68.29											41	
		TOTAL					413	72.46								157	27.54											570	
							Elected																						
																													
Annangrove                                                     																													
	FIRST			7	0.64		776	70.42		53	4.81		30	2.72		146	13.25		30	2.72		18	1.63		42	3.81		1102	
	SECOND			0	0.00		2	11.11		2	11.11		10	55.56		2	11.11		1	5.56			Excluded		1	5.56		18	
		TOTAL		7	0.64		778	70.60		55	4.99		40	3.63		148	13.43		31	2.81					43	3.90		1102	
	THIRD				Excluded		3	42.86		0	0.00		2	28.57		1	14.29		0	0.00					1	14.29		7	
		TOTAL					781	70.87		55	4.99		42	3.81		149	13.52		31	2.81					44	3.99		1102	
	FOURTH						25	80.65		2	6.45		3	9.68		1	3.23			Excluded					0	0.00		31	
		TOTAL					806	73.14		57	5.17		45	4.08		150	13.61								44	3.99		1102	
	FIFTH						40	90.91		1	2.27		2	4.55		1	2.27									Excluded		44	
		TOTAL					846	76.77		58	5.26		47	4.26		151	13.70											1102	
	SIXTH						5	10.64		26	55.32			Excluded		16	34.04											47	
		TOTAL					851	77.22		84	7.62					167	15.15											1102	
	SEVENTH						30	35.71			Excluded					54	64.29											84	
		TOTAL					881	79.95								221	20.05											1102	
							Elected																						
																													
Baulkham Hills                                                 																													
