House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Paterson																													
				HORNE			SHAW			DAVIES			RANKE			HENNELLY			BALDWIN			KING			CARY				
				Bob			Ian			Sharon			Aina			Paul			Bob			Tony			Paul				
				ALP			NP			DEM			GRN			FPY			LP			CEC			HAN				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Anna Bay                                                       																													
	FIRST			986	45.35		114	5.24		55	2.53		95	4.37		22	1.01		811	37.30		7	0.32		84	3.86		2174	
	SECOND			0	0.00		0	0.00		0	0.00		1	14.29		1	14.29		2	28.57			Excluded		3	42.86		7	
		TOTAL		986	45.35		114	5.24		55	2.53		96	4.42		23	1.06		813	37.40					87	4.00		2174	
	THIRD			4	17.39		1	4.35		2	8.70		5	21.74			Excluded		5	21.74					6	26.09		23	
		TOTAL		990	45.54		115	5.29		57	2.62		101	4.65					818	37.63					93	4.28		2174	
	FOURTH			18	31.58		6	10.53			Excluded		25	43.86					6	10.53					2	3.51		57	
		TOTAL		1008	46.37		121	5.57					126	5.80					824	37.90					95	4.37		2174	
	FIFTH			68	53.97		29	23.02						Excluded					15	11.90					14	11.11		126	
		TOTAL		1076	49.49		150	6.90											839	38.59					109	5.01		2174	
	SIXTH			36	33.03		41	37.61											32	29.36						Excluded		109	
		TOTAL		1112	51.15		191	8.79											871	40.06								2174	
	SEVENTH			57	29.84			Excluded											134	70.16								191	
		TOTAL		1169	53.77														1005	46.23								2174	
																			Elected										
																													
Bandon Grove                                                   																													
	FIRST			38	30.89		15	12.20		3	2.44		0	0.00		2	1.63		52	42.28		0	0.00		13	10.57		123	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		38	30.89		15	12.20		3	2.44		0	0.00		2	1.63		52	42.28					13	10.57		123	
	THIRD			0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00					1	50.00		2	
		TOTAL		38	30.89		15	12.20		3	2.44		1	0.81					52	42.28					14	11.38		123	
	FOURTH			1	33.33		0	0.00			Excluded		1	33.33					0	0.00					1	33.33		3	
		TOTAL		39	31.71		15	12.20					2	1.63					52	42.28					15	12.20		123	
	FIFTH			1	50.00		0	0.00						Excluded					1	50.00					0	0.00		2	
		TOTAL		40	32.52		15	12.20											53	43.09					15	12.20		123	
	SIXTH			1	6.67		6	40.00											8	53.33						Excluded		15	
		TOTAL		41	33.33		21	17.07											61	49.59								123	
	SEVENTH			0	0.00			Excluded											21	100.00								21	
		TOTAL		41	33.33														82	66.67								123	
																			Elected										
																													
Barrington                                                     																													
	FIRST			65	19.40		114	34.03		6	1.79		17	5.07		3	0.90		118	35.22		4	1.19		8	2.39		335	
	SECOND			0	0.00		2	50.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	50.00		4	
		TOTAL		65	19.40		116	34.63		6	1.79		17	5.07		3	0.90		118	35.22					10	2.99		335	
	THIRD			1	33.33		1	33.33		0	0.00		1	33.33			Excluded		0	0.00					0	0.00		3	
		TOTAL		66	19.70		117	34.93		6	1.79		18	5.37					118	35.22					10	2.99		335	
	FOURTH			2	33.33		2	33.33			Excluded		2	33.33					0	0.00					0	0.00		6	
		TOTAL		68	20.30		119	35.52					20	5.97					118	35.22					10	2.99		335	
	FIFTH			7	35.00		4	20.00						Excluded					3	15.00					6	30.00		20	
		TOTAL		75	22.39		123	36.72											121	36.12					16	4.78		335	
	SIXTH			6	37.50		8	50.00											2	12.50						Excluded		16	
		TOTAL		81	24.18		131	39.10											123	36.72								335	
	SEVENTH			14	10.69			Excluded											117	89.31								131	
		TOTAL		95	28.36														240	71.64								335	
																			Elected										
																													
Beresfield                                                     																													
	FIRST			1247	57.41		36	1.66		73	3.36		55	2.53		28	1.29		612	28.18		11	0.51		110	5.06		2172	
	SECOND			2	18.18		4	36.36		1	9.09		2	18.18		0	0.00		0	0.00			Excluded		2	18.18		11	
		TOTAL		1249	57.50		40	1.84		74	3.41		57	2.62		28	1.29		612	28.18					112	5.16		2172	
	THIRD			9	32.14		0	0.00		1	3.57		7	25.00			Excluded		5	17.86					6	21.43		28	
		TOTAL		1258	57.92		40	1.84		75	3.45		64	2.95					617	28.41					118	5.43		2172	
	FOURTH			15	20.00		7	9.33			Excluded		40	53.33					6	8.00					7	9.33		75	
		TOTAL		1273	58.61		47	2.16					104	4.79					623	28.68					125	5.76		2172	
	FIFTH			51	49.04		15	14.42						Excluded					21	20.19					17	16.35		104	
		TOTAL		1324	60.96		62	2.85											644	29.65					142	6.54		2172	
	SIXTH			67	47.18		43	30.28											32	22.54						Excluded		142	
		TOTAL		1391	64.04		105	4.83											676	31.12								2172	
	SEVENTH			47	44.76			Excluded											58	55.24								105	
		TOTAL		1438	66.21														734	33.79								2172	
																			Elected										
																													
Bobs Farm                                                      																													
	FIRST			89	32.36		32	11.64		6	2.18		9	3.27		1	0.36		116	42.18		1	0.36		21	7.64		275	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		89	32.36		32	11.64		6	2.18		9	3.27		2	0.73		116	42.18					21	7.64		275	
	THIRD			0	0.00		0	0.00		0	0.00		1	50.00			Excluded		1	50.00					0	0.00		2	
		TOTAL		89	32.36		32	11.64		6	2.18		10	3.64					117	42.55					21	7.64		275	
	FOURTH			1	16.67		0	0.00			Excluded		5	83.33					0	0.00					0	0.00		6	
		TOTAL		90	32.73		32	11.64					15	5.45					117	42.55					21	7.64		275	
	FIFTH			7	46.67		5	33.33						Excluded					2	13.33					1	6.67		15	
		TOTAL		97	35.27		37	13.45											119	43.27					22	8.00		275	
	SIXTH			5	22.73		11	50.00											6	27.27						Excluded		22	
		TOTAL		102	37.09		48	17.45											125	45.45								275	
	SEVENTH			8	16.67			Excluded											40	83.33								48	
		TOTAL		110	40.00														165	60.00								275	
																			Elected										
																													
Booral                                                         																													
	FIRST			135	33.17		54	13.27		4	0.98		7	1.72		0	0.00		155	38.08		16	3.93		36	8.85		407	
	SECOND			4	25.00		1	6.25		0	0.00		1	6.25		0	0.00		8	50.00			Excluded		2	12.50		16	
		TOTAL		139	34.15		55	13.51		4	0.98		8	1.97		0	0.00		163	40.05					38	9.34		407	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	
		TOTAL		139	34.15		55	13.51		4	0.98		8	1.97					163	40.05					38	9.34		407	
	FOURTH			2	50.00		0	0.00			Excluded		1	25.00					1	25.00					0	0.00		4	
		TOTAL		141	34.64		55	13.51					9	2.21					164	40.29					38	9.34		407	
	FIFTH			5	55.56		2	22.22						Excluded					1	11.11					1	11.11		9	
		TOTAL		146	35.87		57	14.00											165	40.54					39	9.58		407	
	SIXTH			9	23.08		19	48.72											11	28.21						Excluded		39	
		TOTAL		155	38.08		76	18.67											176	43.24								407	
	SEVENTH			16	21.05			Excluded											60	78.95								76	
		TOTAL		171	42.01														236	57.99								407	
																			Elected										
																													
Bulahdelah                                                     																													
	FIRST			315	32.37		89	9.15		12	1.23		18	1.85		13	1.34		426	43.78		2	0.21		98	10.07		973	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		1	50.00		2	
		TOTAL		315	32.37		89	9.15		12	1.23		18	1.85		13	1.34		427	43.88					99	10.17		973	
	THIRD			3	23.08		4	30.77		2	15.38		1	7.69			Excluded		0	0.00					3	23.08		13	
		TOTAL		318	32.68		93	9.56		14	1.44		19	1.95					427	43.88					102	10.48		973	
	FOURTH			7	50.00		1	7.14			Excluded		5	35.71					0	0.00					1	7.14		14	
		TOTAL		325	33.40		94	9.66					24	2.47					427	43.88					103	10.59		973	
	FIFTH			15	62.50		6	25.00						Excluded					1	4.17					2	8.33		24	
		TOTAL		340	34.94		100	10.28											428	43.99					105	10.79		973	
	SIXTH			29	27.62		53	50.48											23	21.90						Excluded		105	
		TOTAL		369	37.92		153	15.72											451	46.35								973	
	SEVENTH			36	23.53			Excluded											117	76.47								153	
		TOTAL		405	41.62														568	58.38								973	
																			Elected										
																													
Bungwahl                                                       																													
