House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Reid																													
				CHAMAS			ARCHER			MAXWELL			LEDERMANN			MACDONALD			YUSUF			O'CONNOR			FERGUSON				
				Habib			Adrian Peter			Steve			Uwe			Lisa			Irfan			Shane			Laurie				
				UNI			DEM			GRN			CTA						LP			HAN			ALP				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Auburn                                                         																													
	FIRST			34	3.58		38	4.00		28	2.95		11	1.16		22	2.32		177	18.63		17	1.79		623	65.58		950	
	SECOND			4	18.18		2	9.09		6	27.27		2	9.09			Excluded		6	27.27		2	9.09		0	0.00		22	
		TOTAL		38	4.00		40	4.21		34	3.58		13	1.37					183	19.26		19	2.00		623	65.58		950	
	THIRD			3	23.08		1	7.69		1	7.69			Excluded					4	30.77		3	23.08		1	7.69		13	
		TOTAL		41	4.32		41	4.32		35	3.68								187	19.68		22	2.32		624	65.68		950	
	FOURTH			8	22.86		13	37.14			Excluded								5	14.29		1	2.86		8	22.86		35	
		TOTAL		49	5.16		54	5.68											192	20.21		23	2.42		632	66.53		950	
	FIFTH			22	40.74			Excluded											17	31.48		5	9.26		10	18.52		54	
		TOTAL		71	7.47														209	22.00		28	2.95		642	67.58		950	
	SIXTH			8	28.57														10	35.71			Excluded		10	35.71		28	
		TOTAL		79	8.32														219	23.05					652	68.63		950	
	SEVENTH				Excluded														42	53.16					37	46.84		79	
		TOTAL																	261	27.47					689	72.53		950	
																									Elected				
																													
Auburn East                                                    																													
	FIRST			20	3.17		28	4.44		20	3.17		20	3.17		10	1.59		143	22.70		36	5.71		353	56.03		630	
	SECOND			0	0.00		0	0.00		1	10.00		1	10.00			Excluded		7	70.00		1	10.00		0	0.00		10	
		TOTAL		20	3.17		28	4.44		21	3.33		21	3.33					150	23.81		37	5.87		353	56.03		630	
	THIRD			1	4.76		7	33.33		3	14.29			Excluded					3	14.29		4	19.05		3	14.29		21	
		TOTAL		21	3.33		35	5.56		24	3.81								153	24.29		41	6.51		356	56.51		630	
	FOURTH			3	12.50		7	29.17			Excluded								3	12.50		1	4.17		10	41.67		24	
		TOTAL		24	3.81		42	6.67											156	24.76		42	6.67		366	58.10		630	
	FIFTH			7	16.67			Excluded											12	28.57		4	9.52		19	45.24		42	
		TOTAL		31	4.92														168	26.67		46	7.30		385	61.11		630	
	SIXTH			9	19.57														19	41.30			Excluded		18	39.13		46	
		TOTAL		40	6.35														187	29.68					403	63.97		630	
	SEVENTH				Excluded														19	47.50					21	52.50		40	
		TOTAL																	206	32.70					424	67.30		630	
																									Elected				
																													
Auburn Hospital                                                																													
	FIRST			40	5.33		23	3.06		28	3.73		12	1.60		8	1.07		137	18.24		24	3.20		479	63.78		751	
	SECOND			0	0.00		0	0.00		1	12.50		2	25.00			Excluded		2	25.00		1	12.50		2	25.00		8	
		TOTAL		40	5.33		23	3.06		29	3.86		14	1.86					139	18.51		25	3.33		481	64.05		751	
	THIRD			0	0.00		3	21.43		4	28.57			Excluded					4	28.57		0	0.00		3	21.43		14	
		TOTAL		40	5.33		26	3.46		33	4.39								143	19.04		25	3.33		484	64.45		751	
	FOURTH			2	6.06		15	45.45			Excluded								5	15.15		1	3.03		10	30.30		33	
		TOTAL		42	5.59		41	5.46											148	19.71		26	3.46		494	65.78		751	
	FIFTH			18	43.90			Excluded											9	21.95		3	7.32		11	26.83		41	
		TOTAL		60	7.99														157	20.91		29	3.86		505	67.24		751	
	SIXTH			9	31.03														12	41.38			Excluded		8	27.59		29	
		TOTAL		69	9.19														169	22.50					513	68.31		751	
	SEVENTH				Excluded														33	47.83					36	52.17		69	
		TOTAL																	202	26.90					549	73.10		751	
																									Elected				
																													
Auburn North                                                   																													
	FIRST			96	6.05		45	2.84		43	2.71		11	0.69		16	1.01		231	14.56		30	1.89		1115	70.26		1587	
	SECOND			3	18.75		0	0.00		3	18.75		0	0.00			Excluded		3	18.75		3	18.75		4	25.00		16	
		TOTAL		99	6.24		45	2.84		46	2.90		11	0.69					234	14.74		33	2.08		1119	70.51		1587	
	THIRD			3	27.27		2	18.18		2	18.18			Excluded					0	0.00		0	0.00		4	36.36		11	
		TOTAL		102	6.43		47	2.96		48	3.02								234	14.74		33	2.08		1123	70.76		1587	
	FOURTH			6	12.50		21	43.75			Excluded								3	6.25		4	8.33		14	29.17		48	
		TOTAL		108	6.81		68	4.28											237	14.93		37	2.33		1137	71.64		1587	
	FIFTH			17	25.00			Excluded											10	14.71		9	13.24		32	47.06		68	
		TOTAL		125	7.88														247	15.56		46	2.90		1169	73.66		1587	
	SIXTH			7	15.22														20	43.48			Excluded		19	41.30		46	
		TOTAL		132	8.32														267	16.82					1188	74.86		1587	
	SEVENTH				Excluded														53	40.15					79	59.85		132	
		TOTAL																	320	20.16					1267	79.84		1587	
																									Elected				
																													
Auburn West                                                    																													
	FIRST			184	6.85		66	2.46		91	3.39		35	1.30		46	1.71		442	16.45		131	4.88		1692	62.97		2687	
	SECOND			5	10.87		8	17.39		14	30.43		4	8.70			Excluded		6	13.04		1	2.17		8	17.39		46	
		TOTAL		189	7.03		74	2.75		105	3.91		39	1.45					448	16.67		132	4.91		1700	63.27		2687	
	THIRD			2	5.13		8	20.51		7	17.95			Excluded					7	17.95		10	25.64		5	12.82		39	
		TOTAL		191	7.11		82	3.05		112	4.17								455	16.93		142	5.28		1705	63.45		2687	
	FOURTH			24	21.43		33	29.46			Excluded								5	4.46		10	8.93		40	35.71		112	
		TOTAL		215	8.00		115	4.28											460	17.12		152	5.66		1745	64.94		2687	
	FIFTH			45	39.13			Excluded											26	22.61		10	8.70		34	29.57		115	
		TOTAL		260	9.68														486	18.09		162	6.03		1779	66.21		2687	
	SIXTH			15	9.26														67	41.36			Excluded		80	49.38		162	
		TOTAL		275	10.23														553	20.58					1859	69.18		2687	
	SEVENTH				Excluded														130	47.27					145	52.73		275	
		TOTAL																	683	25.42					2004	74.58		2687	
																									Elected				
																													
Berala                                                         																													
	FIRST			194	6.13		101	3.19		88	2.78		59	1.86		53	1.67		519	16.39		134	4.23		2019	63.75		3167	
	SECOND			16	30.19		4	7.55		17	32.08		3	5.66			Excluded		3	5.66		4	7.55		6	11.32		53	
		TOTAL		210	6.63		105	3.32		105	3.32		62	1.96					522	16.48		138	4.36		2025	63.94		3167	
	THIRD			10	16.13		8	12.90		4	6.45			Excluded					25	40.32		8	12.90		7	11.29		62	
		TOTAL		220	6.95		113	3.57		109	3.44								547	17.27		146	4.61		2032	64.16		3167	
	FOURTH			24	22.02		46	42.20			Excluded								9	8.26		6	5.50		24	22.02		109	
		TOTAL		244	7.70		159	5.02											556	17.56		152	4.80		2056	64.92		3167	
	FIFTH			53	33.33			Excluded											37	23.27		15	9.43		54	33.96		159	
		TOTAL		297	9.38														593	18.72		167	5.27		2110	66.62		3167	
	SIXTH			27	16.17														65	38.92			Excluded		75	44.91		167	
		TOTAL		324	10.23														658	20.78					2185	68.99		3167	
	SEVENTH				Excluded														143	44.14					181	55.86		324	
		TOTAL																	801	25.29					2366	74.71		3167	
																									Elected				
																													
Blaxcell                                                       																													
