House of Representatives - 2001 Election: New South Wales																										
Distribution of Preferences																										
By Polling Place																										
																										
Shortland																										
				PERREM			CANDLISH			HALL			CRAIG			ADAMS			LAMBERT			GARDNIR				
				Brian			Iris			Jill			Peter			Steven Mark			Joan			Ron				
				LP			HAN			ALP			IND			DEM			GRN			IND				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Belmont                                                        																										
	FIRST			469	34.23		58	4.23		740	54.01		45	3.28		18	1.31		33	2.41		7	0.51		1370	
	SECOND			1	14.29		2	28.57		1	14.29		1	14.29		0	0.00		2	28.57			Excluded		7	
		TOTAL		470	34.31		60	4.38		741	54.09		46	3.36		18	1.31		35	2.55					1370	
	THIRD			28	60.87		4	8.70		5	10.87			Excluded		8	17.39		1	2.17					46	
		TOTAL		498	36.35		64	4.67		746	54.45					26	1.90		36	2.63					1370	
	FOURTH			2	7.69		1	3.85		9	34.62						Excluded		14	53.85					26	
		TOTAL		500	36.50		65	4.74		755	55.11								50	3.65					1370	
	FIFTH			33	50.77			Excluded		22	33.85								10	15.38					65	
		TOTAL		533	38.91					777	56.72								60	4.38					1370	
	SIXTH			17	28.33					43	71.67									Excluded					60	
		TOTAL		550	40.15					820	59.85														1370	
										Elected																
																										
Belmont Central                                                																										
	FIRST			491	31.12		62	3.93		868	55.01		47	2.98		30	1.90		71	4.50		9	0.57		1578	
	SECOND			1	11.11		1	11.11		1	11.11		2	22.22		2	22.22		2	22.22			Excluded		9	
		TOTAL		492	31.18		63	3.99		869	55.07		49	3.11		32	2.03		73	4.63					1578	
	THIRD			21	42.86		4	8.16		11	22.45			Excluded		9	18.37		4	8.16					49	
		TOTAL		513	32.51		67	4.25		880	55.77					41	2.60		77	4.88					1578	
	FOURTH			6	14.63		0	0.00		14	34.15						Excluded		21	51.22					41	
		TOTAL		519	32.89		67	4.25		894	56.65								98	6.21					1578	
	FIFTH			24	35.82			Excluded		21	31.34								22	32.84					67	
		TOTAL		543	34.41					915	57.98								120	7.60					1578	
	SIXTH			28	23.33					92	76.67									Excluded					120	
		TOTAL		571	36.19					1007	63.81														1578	
										Elected																
																										
Belmont North                                                  																										
	FIRST			460	25.61		86	4.79		1068	59.47		70	3.90		32	1.78		67	3.73		13	0.72		1796	
	SECOND			2	15.38		1	7.69		2	15.38		3	23.08		1	7.69		4	30.77			Excluded		13	
		TOTAL		462	25.72		87	4.84		1070	59.58		73	4.06		33	1.84		71	3.95					1796	
	THIRD			50	68.49		12	16.44		6	8.22			Excluded		2	2.74		3	4.11					73	
		TOTAL		512	28.51		99	5.51		1076	59.91					35	1.95		74	4.12					1796	
	FOURTH			5	14.29		2	5.71		12	34.29						Excluded		16	45.71					35	
		TOTAL		517	28.79		101	5.62		1088	60.58								90	5.01					1796	
	FIFTH			41	40.59			Excluded		35	34.65								25	24.75					101	
		TOTAL		558	31.07					1123	62.53								115	6.40					1796	
	SIXTH			32	27.83					83	72.17									Excluded					115	
		TOTAL		590	32.85					1206	67.15														1796	
										Elected																
																										
Belmont West                                                   																										
	FIRST			416	34.96		60	5.04		558	46.89		58	4.87		36	3.03		47	3.95		15	1.26		1190	
	SECOND			0	0.00		0	0.00		1	6.67		10	66.67		1	6.67		3	20.00			Excluded		15	
