House of Representatives - 2001 Election: New South Wales																							
Distribution of Preferences																							
By Polling Place																							
																							
Throsby																							
				ROBERTS			PRSA			PERROTT			AKHURST			STORY			GEORGE				
				Madeleine			Ivan			Margaret			Alan			Elsa			Jennie				
				DEM			HAN						LP			GRN			ALP				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Albion Park                                                    																							
	FIRST			130	8.93		156	10.72		19	1.31		427	29.35		77	5.29		646	44.40		1455	
	SECOND			3	15.79		3	15.79			Excluded		4	21.05		7	36.84		2	10.53		19	
		TOTAL		133	9.14		159	10.93					431	29.62		84	5.77		648	44.54		1455	
	THIRD			34	40.48		6	7.14					10	11.90			Excluded		34	40.48		84	
		TOTAL		167	11.48		165	11.34					441	30.31					682	46.87		1455	
	FOURTH			42	25.45			Excluded					86	52.12					37	22.42		165	
		TOTAL		209	14.36								527	36.22					719	49.42		1455	
	FIFTH				Excluded								112	53.59					97	46.41		209	
		TOTAL											639	43.92					816	56.08		1455	
																			Elected				
																							
Albion Park Rail                                               																							
	FIRST			266	7.41		371	10.34		55	1.53		934	26.03		138	3.85		1824	50.84		3588	
	SECOND			14	25.45		15	27.27			Excluded		5	9.09		12	21.82		9	16.36		55	
		TOTAL		280	7.80		386	10.76					939	26.17		150	4.18		1833	51.09		3588	
	THIRD			60	40.00		21	14.00					21	14.00			Excluded		48	32.00		150	
		TOTAL		340	9.48		407	11.34					960	26.76					1881	52.42		3588	
	FOURTH			105	25.80			Excluded					204	50.12					98	24.08		407	
		TOTAL		445	12.40								1164	32.44					1979	55.16		3588	
	FIFTH				Excluded								206	46.29					239	53.71		445	
		TOTAL											1370	38.18					2218	61.82		3588	
																			Elected				
																							
Albion Park South                                              																							
	FIRST			189	7.07		214	8.00		37	1.38		894	33.43		117	4.38		1223	45.74		2674	
	SECOND			8	21.62		3	8.11			Excluded		8	21.62		15	40.54		3	8.11		37	
		TOTAL		197	7.37		217	8.12					902	33.73		132	4.94		1226	45.85		2674	
	THIRD			62	46.97		16	12.12					17	12.88			Excluded		37	28.03		132	
		TOTAL		259	9.69		233	8.71					919	34.37					1263	47.23		2674	
	FOURTH			57	24.46			Excluded					127	54.51					49	21.03		233	
		TOTAL		316	11.82								1046	39.12					1312	49.07		2674	
	FIFTH				Excluded								153	48.42					163	51.58		316	
		TOTAL											1199	44.84					1475	55.16		2674	
																			Elected				
																							
Barrack Heights                                                																							
	FIRST			125	9.13		78	5.70		19	1.39		253	18.48		68	4.97		826	60.34		1369	
	SECOND			7	36.84		5	26.32			Excluded		2	10.53		4	21.05		1	5.26		19	
