House of Representatives - 2001 Election: New South Wales																									
Distribution of Preferences																									
By Polling Place																									
																									
Watson																									
				NAM			GRIFFITHS			MCLEAY			POULSEN			FITZSIMMONS			PLOOY			FARRELL			
				Ken			Kristin			Leo			Ronald			Dominic			Arnold			Michelle			
				UNI			DEM			ALP						GRN			LP			HAN			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Bardwell Park                                                  																									
	FIRST			28	2.79		49	4.89		429	42.81		6	0.60		34	3.39		431	43.01		25	2.50		1002
	SECOND			1	16.67		2	33.33		0	0.00			Excluded		2	33.33		1	16.67		0	0.00		6
		TOTAL		29	2.89		51	5.09		429	42.81					36	3.59		432	43.11		25	2.50		1002
	THIRD			4	16.00		3	12.00		2	8.00					4	16.00		12	48.00			Excluded		25
		TOTAL		33	3.29		54	5.39		431	43.01					40	3.99		444	44.31					1002
	FOURTH			8	20.00		18	45.00		8	20.00						Excluded		6	15.00					40
		TOTAL		41	4.09		72	7.19		439	43.81								450	44.91					1002
	FIFTH				Excluded		26	63.41		10	24.39								5	12.20					41
		TOTAL					98	9.78		449	44.81								455	45.41					1002
	SIXTH							Excluded		69	70.41								29	29.59					98
		TOTAL								518	51.70								484	48.30					1002
										Elected															
																									
Belmore Central                                                																									
	FIRST			68	6.05		38	3.38		730	64.95		2	0.18		28	2.49		222	19.75		36	3.20		1124
	SECOND			1	50.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		2
		TOTAL		69	6.14		38	3.38		731	65.04					28	2.49		222	19.75		36	3.20		1124
	THIRD			3	8.33		1	2.78		7	19.44					1	2.78		24	66.67			Excluded		36
		TOTAL		72	6.41		39	3.47		738	65.66					29	2.58		246	21.89					1124
	FOURTH			7	24.14		5	17.24		9	31.03						Excluded		8	27.59					29
		TOTAL		79	7.03		44	3.91		747	66.46								254	22.60					1124
	FIFTH				Excluded		54	68.35		19	24.05								6	7.59					79
		TOTAL					98	8.72		766	68.15								260	23.13					1124
	SIXTH							Excluded		77	78.57								21	21.43					98
		TOTAL								843	75.00								281	25.00					1124
										Elected															
																									
Belmore North                                                  																									
	FIRST			126	5.23		106	4.40		1620	67.28		10	0.42		67	2.78		423	17.57		56	2.33		2408
	SECOND			1	10.00		2	20.00		4	40.00			Excluded		0	0.00		3	30.00		0	0.00		10
		TOTAL		127	5.27		108	4.49		1624	67.44					67	2.78		426	17.69		56	2.33		2408
	THIRD			2	3.57		7	12.50		11	19.64					11	19.64		25	44.64			Excluded		56
		TOTAL		129	5.36		115	4.78		1635	67.90					78	3.24		451	18.73					2408
	FOURTH			19	24.36		18	23.08		30	38.46						Excluded		11	14.10					78
		TOTAL		148	6.15		133	5.52		1665	69.14								462	19.19					2408
	FIFTH				Excluded		88	59.46		50	33.78								10	6.76					148
		TOTAL					221	9.18		1715	71.22								472	19.60					2408
	SIXTH							Excluded		174	78.73								47	21.27					221
		TOTAL								1889	78.45								519	21.55					2408
										Elected															
																									
Belmore South                                                  																									
	FIRST			77	3.53		79	3.62		1393	63.84		7	0.32		42	1.92		529	24.24		55	2.52		2182
	SECOND			0	0.00		1	14.29		4	57.14			Excluded		1	14.29		1	14.29		0	0.00		7
		TOTAL		77	3.53		80	3.67		1397	64.02					43	1.97		530	24.29		55	2.52		2182
	THIRD			6	10.91		4	7.27		13	23.64					13	23.64		19	34.55			Excluded		55
		TOTAL		83	3.80		84	3.85		1410	64.62					56	2.57		549	25.16					2182
	FOURTH			5	8.93		17	30.36		22	39.29						Excluded		12	21.43					56
		TOTAL		88	4.03		101	4.63		1432	65.63								561	25.71					2182
	FIFTH				Excluded		55	62.50		30	34.09								3	3.41					88
		TOTAL					156	7.15		1462	67.00								564	25.85					2182
	SIXTH							Excluded		123	78.85								33	21.15					156
		TOTAL								1585	72.64								597	27.36					2182
										Elected															
																									
Beverly Hills                                                  																									
	FIRST			31	2.93		29	2.74		511	48.25		1	0.09		29	2.74		417	39.38		41	3.87		1059
	SECOND			1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		32	3.02		29	2.74		511	48.25					29	2.74		417	39.38		41	3.87		1059
	THIRD			2	4.88		2	4.88		12	29.27					6	14.63		19	46.34			Excluded		41
		TOTAL		34	3.21		31	2.93		523	49.39					35	3.31		436	41.17					1059
	FOURTH			12	34.29		5	14.29		7	20.00						Excluded		11	31.43					35
		TOTAL		46	4.34		36	3.40		530	50.05								447	42.21					1059
	FIFTH				Excluded		25	54.35		18	39.13								3	6.52					46
		TOTAL					61	5.76		548	51.75								450	42.49					1059
	SIXTH							Excluded		44	72.13								17	27.87					61
		TOTAL								592	55.90								467	44.10					1059
										Elected															
																									
