Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Banks (83122)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Beverly Hills North		104	3.85		56	2.07		58	2.15		2	0.07		50	1.85		1	0.04		115	4.26		17	0.63		6	0.22		1237	45.80		10	0.37		2	0.07		11	0.41		0	0.00		9	0.33		1	0.04		949	35.14		10	0.37		4	0.15		38	1.41		1	0.04		2	0.07		18	0.67		0	0.00		2701	95.92		115	4.08		2816	3.55
Beverly Hills South (Banks)		16	2.25		15	2.11		14	1.97		0	0.00		14	1.97		0	0.00		29	4.08		1	0.14		0	0.00		359	50.56		4	0.56		0	0.00		3	0.42		0	0.00		0	0.00		1	0.14		237	33.38		3	0.42		1	0.14		11	1.55		0	0.00		0	0.00		2	0.28		0	0.00		710	95.17		36	4.83		746	0.94
East Hills		99	9.03		43	3.92		5	0.46		0	0.00		22	2.01		3	0.27		41	3.74		8	0.73		1	0.09		387	35.31		4	0.36		0	0.00		6	0.55		0	0.00		3	0.27		0	0.00		421	38.41		6	0.55		2	0.18		32	2.92		0	0.00		0	0.00		11	1.00		2	0.18		1096	95.47		52	4.53		1148	1.45
Hannans Road		147	5.96		32	1.30		49	1.99		1	0.04		75	3.04		1	0.04		84	3.40		10	0.41		4	0.16		1353	54.84		11	0.45		0	0.00		7	0.28		0	0.00		2	0.08		4	0.16		630	25.54		11	0.45		1	0.04		34	1.38		0	0.00		1	0.04		9	0.36		1	0.04		2467	93.95		159	6.05		2626	3.31
Lugarno		155	5.07		95	3.11		7	0.23		2	0.07		16	0.52		2	0.07		186	6.08		16	0.52		1	0.03		713	23.32		7	0.23		0	0.00		12	0.39		0	0.00		0	0.00		2	0.07		1726	56.46		7	0.23		3	0.10		88	2.88		0	0.00		2	0.07		17	0.56		0	0.00		3057	97.42		81	2.58		3138	3.95
Milperra		217	8.68		53	2.12		6	0.24		0	0.00		34	1.36		3	0.12		108	4.32		11	0.44		7	0.28		772	30.89		12	0.48		0	0.00		18	0.72		0	0.00		5	0.20		4	0.16		1131	45.26		13	0.52		3	0.12		52	2.08		1	0.04		3	0.12		46	1.84		0	0.00		2499	97.12		74	2.88		2573	3.24
Mortdale Central		106	5.38		35	1.78		8	0.41		0	0.00		24	1.22		1	0.05		106	5.38		15	0.76		5	0.25		848	43.05		6	0.30		0	0.00		4	0.20		1	0.05		0	0.00		5	0.25		707	35.89		10	0.51		2	0.10		69	3.50		0	0.00		0	0.00		18	0.91		0	0.00		1970	94.80		108	5.20		2078	2.62
Mortdale Heights		78	7.68		22	2.17		4	0.39		0	0.00		11	1.08		2	0.20		55	5.42		9	0.89		4	0.39		316	31.13		1	0.10		2	0.20		10	0.99		0	0.00		0	0.00		2	0.20		460	45.32		1	0.10		0	0.00		34	3.35		0	0.00		0	0.00		4	0.39		0	0.00		1015	96.39		38	3.61		1053	1.33
