Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Bennelong (86896)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Balaclava		41	1.63		60	2.38		61	2.42		0	0.00		17	0.67		1	0.04		291	11.54		18	0.71		3	0.12		633	25.10		6	0.24		1	0.04		7	0.28		0	0.00		4	0.16		5	0.20		1209	47.94		13	0.52		0	0.00		147	5.83		0	0.00		0	0.00		5	0.20		0	0.00		2522	97.49		65	2.51		2587	3.14
Boronia Park (Bennelong)		25	2.82		11	1.24		2	0.23		0	0.00		7	0.79		2	0.23		91	10.26		4	0.45		2	0.23		225	25.37		1	0.11		0	0.00		4	0.45		2	0.23		1	0.11		1	0.11		435	49.04		3	0.34		2	0.23		65	7.33		0	0.00		0	0.00		2	0.23		2	0.23		887	95.79		39	4.21		926	1.12
Carlingford (Bennelong)		27	2.41		36	3.21		38	3.39		1	0.09		14	1.25		1	0.09		95	8.47		2	0.18		1	0.09		261	23.28		1	0.09		1	0.09		5	0.45		0	0.00		1	0.09		1	0.09		605	53.97		8	0.71		0	0.00		20	1.78		0	0.00		1	0.09		2	0.18		0	0.00		1121	97.14		33	2.86		1154	1.40
Denistone		21	2.38		31	3.52		13	1.48		2	0.23		9	1.02		1	0.11		71	8.06		6	0.68		4	0.45		270	30.65		2	0.23		1	0.11		3	0.34		0	0.00		0	0.00		1	0.11		397	45.06		2	0.23		2	0.23		42	4.77		1	0.11		0	0.00		2	0.23		0	0.00		881	96.71		30	3.29		911	1.10
Denistone East		88	3.67		42	1.75		50	2.08		2	0.08		11	0.46		5	0.21		239	9.96		18	0.75		1	0.04		664	27.68		5	0.21		1	0.04		10	0.42		0	0.00		2	0.08		0	0.00		1124	46.85		3	0.13		4	0.17		114	4.75		0	0.00		0	0.00		13	0.54		3	0.13		2399	97.13		71	2.87		2470	3.00
Denistone West		38	3.20		21	1.77		13	1.10		0	0.00		10	0.84		2	0.17		99	8.34		9	0.76		1	0.08		360	30.33		3	0.25		0	0.00		5	0.42		0	0.00		1	0.08		0	0.00		573	48.27		3	0.25		2	0.17		43	3.62		0	0.00		0	0.00		3	0.25		1	0.08		1187	96.90		38	3.10		1225	1.49
Eastview		35	3.87		5	0.55		8	0.88		0	0.00		7	0.77		1	0.11		57	6.30		6	0.66		3	0.33		275	30.39		2	0.22		1	0.11		5	0.55		1	0.11		1	0.11		1	0.11		452	49.94		5	0.55		0	0.00		39	4.31		0	0.00		0	0.00		1	0.11		0	0.00		905	96.17		36	3.83		941	1.14
Eastwood		102	2.30		76	1.71		195	4.40		1	0.02		33	0.74		3	0.07		420	9.48		29	0.65		6	0.14		1353	30.53		8	0.18		1	0.02		13	0.29		0	0.00		3	0.07		5	0.11		1905	42.98		20	0.45		4	0.09		240	5.42		2	0.05		1	0.02		10	0.23		2	0.05		4432	97.39		119	2.61		4551	5.52
