Senate - 2001 Election: New South Wales																																																																																			
First Preference Votes by Group 																																																																																			
By Polling Place																																																																																			

Berowra (85766)																																																																																			
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 			
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent												
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		
Arcadia		48	5.69		24	2.84		0	0.00		0	0.00		4	0.47		2	0.24		40	4.74		2	0.24		0	0.00		121	14.34		4	0.47		1	0.12		4	0.47		0	0.00		0	0.00		3	0.36		526	62.32		3	0.36		1	0.12		59	6.99		1	0.12		0	0.00		1	0.12		0	0.00		844	97.12		25	2.88		869	1.06		
Asquith		79	3.66		41	1.90		25	1.16		1	0.05		18	0.83		2	0.09		184	8.52		30	1.39		6	0.28		599	27.73		12	0.56		1	0.05		13	0.60		2	0.09		1	0.05		4	0.19		1023	47.36		8	0.37		3	0.14		93	4.31		1	0.05		2	0.09		12	0.56		0	0.00		2160	97.96		45	2.04		2205	2.70		
Beecroft		57	1.74		86	2.62		46	1.40		0	0.00		10	0.30		5	0.15		355	10.81		16	0.49		3	0.09		545	16.60		7	0.21		1	0.03		8	0.24		0	0.00		3	0.09		2	0.06		1877	57.16		11	0.33		3	0.09		229	6.97		1	0.03		1	0.03		12	0.37		6	0.18		3284	97.91		70	2.09		3354	4.10		
Berowra		100	3.06		100	3.06		13	0.40		0	0.00		27	0.83		5	0.15		320	9.79		34	1.04		5	0.15		751	22.97		24	0.73		1	0.03		22	0.67		0	0.00		2	0.06		5	0.15		1665	50.93		16	0.49		5	0.15		164	5.02		0	0.00		0	0.00		10	0.31		0	0.00		3269	97.49		84	2.51		3353	4.10		
Berowra Heights		53	2.94		57	3.16		2	0.11		0	0.00		18	1.00		2	0.11		185	10.27		17	0.94		2	0.11		380	21.10		17	0.94		1	0.06		11	0.61		1	0.06		0	0.00		2	0.11		926	51.42		5	0.28		2	0.11		105	5.83		0	0.00		1	0.06		13	0.72		1	0.06		1801	97.72		42	2.28		1843	2.25		
Berowra Waters		4	5.26		1	1.32		0	0.00		0	0.00		1	1.32		0	0.00		1	1.32		0	0.00		0	0.00		17	22.37		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		44	57.89		0	0.00		0	0.00		5	6.58		0	0.00		0	0.00		3	3.95		0	0.00		76	95.00		4	5.00		80	0.10		
Bowden Brae		15	3.04		8	1.62		2	0.40		0	0.00		6	1.21		1	0.20		32	6.48		5	1.01		0	0.00		77	15.59		0	0.00		0	0.00		0	0.00		1	0.20		1	0.20		1	0.20		314	63.56		3	0.61		4	0.81		24	4.86		0	0.00		0	0.00		0	0.00		0	0.00		494	98.02		10	1.98		504	0.62		
Brooklyn		29	6.35		3	0.66		0	0.00		0	0.00		5	1.09		0	0.00		38	8.32		5	1.09		0	0.00		127	27.79		5	1.09		0	0.00		0	0.00		1	0.22		1	0.22		0	0.00		203	44.42		5	1.09		0	0.00		32	7.00		0	0.00		0	0.00		3	0.66		0	0.00		457	97.23		13	2.77		470	0.57		
Cheltenham		24	1.80		31	2.33		12	0.90		0	0.00		5	0.38		2	0.15		167	12.54		8	0.60		0	0.00		207	15.54		4	0.30		0	0.00		5	0.38		0	0.00		0	0.00		1	0.08		724	54.35		2	0.15		1	0.08		136	10.21		0	0.00		0	0.00		1	0.08		2	0.15		1332	97.65		32	2.35		1364	1.67
Cherrybrook		44	1.47		74	2.47		56	1.87		2	0.07		29	0.97		2	0.07		190	6.35		17	0.57		2	0.07		696	23.27		10	0.33		0	0.00		11	0.37		0	0.00		2	0.07		1	0.03		1733	57.94		14	0.47		8	0.27		88	2.94		2	0.07		0	0.00		7	0.23		3	0.10		2991	97.21		86	2.79		3077	3.76
Cherrybrook Central		8	0.85		37	3.93		5	0.53		0	0.00		9	0.96		0	0.00		60	6.38		6	0.64		1	0.11		188	19.98		3	0.32		0	0.00		2	0.21		0	0.00		2	0.21		1	0.11		596	63.34		3	0.32		0	0.00		17	1.81		0	0.00		0	0.00		3	0.32		0	0.00		941	99.05		9	0.95		950	1.16
Cherrybrook South		14	1.18		45	3.80		11	0.93		1	0.08		5	0.42		1	0.08		80	6.75		10	0.84		2	0.17		203	17.13		7	0.59		0	0.00		1	0.08		0	0.00		0	0.00		2	0.17		758	63.97		4	0.34		3	0.25		32	2.70		0	0.00		0	0.00		6	0.51		0	0.00		1185	98.18		22	1.82		1207	1.48
Cowan		27	8.54		11	3.48		0	0.00		0	0.00		3	0.95		0	0.00		27	8.54		3	0.95		1	0.32		80	25.32		1	0.32		0	0.00		3	0.95		1	0.32		0	0.00		1	0.32		133	42.09		3	0.95		0	0.00		21	6.65		0	0.00		0	0.00		1	0.32		0	0.00		316	96.93		10	3.07		326	0.40
Dangar Island		0	0.00		3	2.34		3	2.34		0	0.00		0	0.00		0	0.00		17	13.28		1	0.78		0	0.00		39	30.47		1	0.78		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		29	22.66		0	0.00		0	0.00		34	26.56		0	0.00		0	0.00		1	0.78		0	0.00		128	97.71		3	2.29		131	0.16
Dural (Berowra)		44	2.68		23	1.40		4	0.24		1	0.06		7	0.43		2	0.12		96	5.85		6	0.37		1	0.06		210	12.79		5	0.30		0	0.00		7	0.43		0	0.00		0	0.00		0	0.00		1143	69.61		6	0.37		4	0.24		74	4.51		0	0.00		0	0.00		8	0.49		1	0.06		1642	95.97		69	4.03		1711	2.09
Epping Heights (Berowra)		1	0.60		6	3.59		0	0.00		0	0.00		0	0.00		0	0.00		18	10.78		2	1.20		0	0.00		43	25.75		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		88	52.69		0	0.00		0	0.00		8	4.79		0	0.00		0	0.00		1	0.60		0	0.00		167	99.40		1	0.60		168	0.21
Galston		64	3.83		56	3.35		0	0.00		0	0.00		11	0.66		0	0.00		111	6.63		14	0.84		3	0.18		205	12.25		5	0.30		0	0.00		10	0.60		0	0.00		1	0.06		2	0.12		1067	63.78		8	0.48		4	0.24		99	5.92		1	0.06		1	0.06		10	0.60		1	0.06		1673	96.26		65	3.74		1738	2.13
Glenorie		74	4.85		32	2.10		3	0.20		1	0.07		10	0.66		0	0.00		73	4.79		6	0.39		6	0.39		210	13.77		10	0.66		2	0.13		5	0.33		1	0.07		1	0.07		2	0.13		999	65.51		13	0.85		2	0.13		66	4.33		1	0.07		1	0.07		7	0.46		0	0.00		1525	96.09		62	3.91		1587	1.94
Hillside Central		13	4.71		3	1.09		0	0.00		0	0.00		2	0.72		0	0.00		17	6.16		1	0.36		0	0.00		29	10.51		3	1.09		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		190	68.84		0	0.00		0	0.00		15	5.43		0	0.00		0	0.00		2	0.72		1	0.36		276	97.18		8	2.82		284	0.35
Hornsby		60	3.77		30	1.88		22	1.38		1	0.06		20	1.26		1	0.06		133	8.35		19	1.19		1	0.06		449	28.20		8	0.50		0	0.00		10	0.63		1	0.06		1	0.06		3	0.19		707	44.41		11	0.69		3	0.19		106	6.66		0	0.00		0	0.00		6	0.38		0	0.00		1592	96.78		53	3.22		1645	2.01
Hornsby Central		62	2.52		50	2.03		94	3.82		3	0.12		47	1.91		2	0.08		190	7.73		28	1.14		3	0.12		792	32.21		6	0.24		3	0.12		9	0.37		0	0.00		4	0.16		4	0.16		1024	41.64		22	0.89		4	0.16		97	3.94		0	0.00		0	0.00		15	0.61		0	0.00		2459	96.13		99	3.87		2558	3.13
Hornsby East		31	2.64		18	1.53		29	2.47		0	0.00		30	2.56		1	0.09		100	8.53		13	1.11		2	0.17		389	33.16		4	0.34		0	0.00		8	0.68		1	0.09		1	0.09		1	0.09		477	40.66		13	1.11		1	0.09		40	3.41		0	0.00		0	0.00		13	1.11		1	0.09		1173	97.99		24	2.01		1197	1.46
Hornsby Heights		74	2.74		69	2.56		18	0.67		0	0.00		17	0.63		2	0.07		283	10.49		17	0.63		2	0.07		535	19.83		19	0.70		0	0.00		16	0.59		1	0.04		2	0.07		5	0.19		1479	54.82		14	0.52		5	0.19		121	4.48		0	0.00		1	0.04		17	0.63		1	0.04		2698	97.86		59	2.14		2757	3.37
Hornsby Hospital		15	5.43		5	1.81		8	2.90		0	0.00		5	1.81		0	0.00		18	6.52		2	0.72		1	0.36		82	29.71		0	0.00		1	0.36		1	0.36		0	0.00		0	0.00		0	0.00		115	41.67		3	1.09		2	0.72		17	6.16		0	0.00		0	0.00		1	0.36		0	0.00		276	93.24		20	6.76		296	0.36
Hornsby North		57	2.96		51	2.65		10	0.52		1	0.05		16	0.83		1	0.05		172	8.93		20	1.04		1	0.05		407	21.13		18	0.93		0	0.00		10	0.52		1	0.05		2	0.10		2	0.10		1010	52.44		11	0.57		2	0.10		113	5.87		1	0.05		3	0.16		16	0.83		1	0.05		1926	97.92		41	2.08		1967	2.41
Hornsby South		50	3.49		41	2.86		18	1.26		0	0.00		21	1.47		0	0.00		134	9.35		17	1.19		1	0.07		338	23.59		7	0.49		1	0.07		6	0.42		0	0.00		0	0.00		0	0.00		680	47.45		5	0.35		1	0.07		103	7.19		0	0.00		0	0.00		8	0.56		2	0.14		1433	97.02		44	2.98		1477	1.81
Hornsby West		31	3.47		29	3.25		8	0.90		0	0.00		11	1.23		0	0.00		81	9.07		6	0.67		1	0.11		225	25.20		1	0.11		0	0.00		5	0.56		0	0.00		0	0.00		1	0.11		414	46.36		7	0.78		1	0.11		68	7.61		0	0.00		0	0.00		4	0.45		0	0.00		893	98.02		18	1.98		911	1.11
John Purchase		47	1.23		79	2.07		91	2.39		1	0.03		23	0.60		2	0.05		314	8.25		18	0.47		7	0.18		938	24.63		10	0.26		1	0.03		9	0.24		0	0.00		4	0.11		1	0.03		2101	55.17		14	0.37		8	0.21		130	3.41		0	0.00		1	0.03		6	0.16		3	0.08		3808	98.02		77	1.98		3885	4.75
Maroota		33	10.44		4	1.27		0	0.00		1	0.32		7	2.22		0	0.00		12	3.80		7	2.22		0	0.00		43	13.61		1	0.32		0	0.00		2	0.63		0	0.00		0	0.00		1	0.32		180	56.96		3	0.95		1	0.32		18	5.70		0	0.00		0	0.00		3	0.95		0	0.00		316	99.06		3	0.94		319	0.39
