Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group																																																																																	
By Polling Place																																																																																	

Blaxland (82779)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Bankstown		75	2.75		24	0.88		94	3.44		2	0.07		115	4.21		3	0.11		81	2.97		14	0.51		10	0.37		1792	65.64		8	0.29		5	0.18		10	0.37		4	0.15		1	0.04		2	0.07		407	14.91		27	0.99		0	0.00		45	1.65		0	0.00		3	0.11		8	0.29		0	0.00		2730	91.49		254	8.51		2984	3.81
Bankstown Central		48	2.33		10	0.48		111	5.38		1	0.05		67	3.25		0	0.00		47	2.28		2	0.10		7	0.34		1318	63.86		5	0.24		2	0.10		2	0.10		3	0.15		2	0.10		1	0.05		387	18.75		17	0.82		1	0.05		27	1.31		0	0.00		0	0.00		6	0.29		0	0.00		2064	92.31		172	7.69		2236	2.86
Bankstown North		84	6.53		16	1.24		29	2.25		1	0.08		65	5.05		3	0.23		55	4.27		5	0.39		4	0.31		663	51.52		4	0.31		0	0.00		14	1.09		0	0.00		1	0.08		2	0.16		289	22.46		16	1.24		2	0.16		26	2.02		0	0.00		0	0.00		8	0.62		0	0.00		1287	95.40		62	4.60		1349	1.72
Bankstown South		86	5.24		29	1.77		10	0.61		0	0.00		53	3.23		0	0.00		47	2.86		4	0.24		7	0.43		886	53.99		3	0.18		1	0.06		6	0.37		0	0.00		2	0.12		0	0.00		443	27.00		12	0.73		2	0.12		41	2.50		0	0.00		0	0.00		9	0.55		0	0.00		1641	92.40		135	7.60		1776	2.27
Bankstown West		92	5.21		45	2.55		39	2.21		0	0.00		47	2.66		3	0.17		82	4.64		5	0.28		4	0.23		957	54.16		6	0.34		1	0.06		6	0.34		0	0.00		0	0.00		3	0.17		423	23.94		17	0.96		1	0.06		29	1.64		1	0.06		0	0.00		6	0.34		0	0.00		1767	93.10		131	6.90		1898	2.43
Bass Hill		184	8.17		35	1.55		26	1.15		0	0.00		72	3.20		0	0.00		89	3.95		19	0.84		11	0.49		1056	46.87		8	0.36		3	0.13		15	0.67		5	0.22		1	0.04		0	0.00		659	29.25		17	0.75		4	0.18		39	1.73		0	0.00		0	0.00		10	0.44		0	0.00		2253	91.36		213	8.64		2466	3.15
Bass Hill Central		146	9.61		29	1.91		10	0.66		2	0.13		41	2.70		0	0.00		58	3.82		11	0.72		4	0.26		639	42.07		7	0.46		1	0.07		9	0.59		0	0.00		0	0.00		2	0.13		505	33.25		5	0.33		0	0.00		38	2.50		0	0.00		1	0.07		11	0.72		0	0.00		1519	92.96		115	7.04		1634	2.09
Bass Hill West		213	7.81		77	2.82		23	0.84		2	0.07		93	3.41		3	0.11		129	4.73		25	0.92		8	0.29		987	36.18		13	0.48		0	0.00		21	0.77		2	0.07		1	0.04		3	0.11		1024	37.54		16	0.59		0	0.00		61	2.24		0	0.00		1	0.04		24	0.88		2	0.07		2728	92.92		208	7.08		2936	3.75
