Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Charlton (83459)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Ambleside		128	6.71		43	2.25		2	0.10		1	0.05		39	2.04		0	0.00		130	6.81		13	0.68		5	0.26		671	35.17		8	0.42		1	0.05		24	1.26		0	0.00		2	0.10		3	0.16		763	39.99		10	0.52		2	0.10		54	2.83		0	0.00		0	0.00		8	0.42		1	0.05		1908	97.35		52	2.65		1960	2.45
Arcadia Vale		106	13.66		9	1.16		0	0.00		0	0.00		19	2.45		0	0.00		46	5.93		6	0.77		1	0.13		340	43.81		5	0.64		0	0.00		16	2.06		0	0.00		0	0.00		0	0.00		204	26.29		2	0.26		0	0.00		20	2.58		0	0.00		0	0.00		2	0.26		0	0.00		776	97.00		24	3.00		800	1.00
Argenton		72	9.01		7	0.88		0	0.00		0	0.00		29	3.63		0	0.00		25	3.13		5	0.63		5	0.63		481	60.20		8	1.00		0	0.00		3	0.38		0	0.00		1	0.13		0	0.00		127	15.89		10	1.25		0	0.00		22	2.75		1	0.13		0	0.00		3	0.38		0	0.00		799	95.01		42	4.99		841	1.05
Awaba		33	14.22		4	1.72		0	0.00		0	0.00		5	2.16		0	0.00		18	7.76		3	1.29		3	1.29		106	45.69		2	0.86		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		39	16.81		2	0.86		0	0.00		16	6.90		0	0.00		0	0.00		1	0.43		0	0.00		232	100.00		0	0.00		232	0.29
Barnsley		130	11.67		21	1.89		1	0.09		0	0.00		32	2.87		0	0.00		55	4.94		14	1.26		5	0.45		536	48.11		10	0.90		0	0.00		19	1.71		0	0.00		0	0.00		2	0.18		237	21.27		10	0.90		2	0.18		28	2.51		1	0.09		1	0.09		9	0.81		1	0.09		1114	97.04		34	2.96		1148	1.43
Biraban		96	8.63		25	2.25		1	0.09		0	0.00		32	2.88		2	0.18		44	3.96		10	0.90		4	0.36		640	57.55		5	0.45		1	0.09		11	0.99		0	0.00		2	0.18		3	0.27		213	19.15		4	0.36		1	0.09		13	1.17		0	0.00		0	0.00		5	0.45		0	0.00		1112	96.44		41	3.56		1153	1.44
Blackalls		125	8.61		35	2.41		0	0.00		0	0.00		34	2.34		0	0.00		87	6.00		10	0.69		6	0.41		722	49.76		8	0.55		1	0.07		17	1.17		0	0.00		2	0.14		1	0.07		318	21.92		16	1.10		0	0.00		58	4.00		1	0.07		2	0.14		8	0.55		0	0.00		1451	96.73		49	3.27		1500	1.87
Bolton Point		72	12.10		12	2.02		1	0.17		0	0.00		18	3.03		0	0.00		48	8.07		6	1.01		1	0.17		235	39.50		2	0.34		0	0.00		6	1.01		0	0.00		0	0.00		1	0.17		159	26.72		4	0.67		0	0.00		24	4.03		0	0.00		2	0.34		4	0.67		0	0.00		595	95.66		27	4.34		622	0.78
