Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group																																																																																	
By Polling Place																																																																																	

Cook (82150)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Bundeena		66	5.86		19	1.69		1	0.09		0	0.00		10	0.89		4	0.36		109	9.68		7	0.62		2	0.18		325	28.86		0	0.00		0	0.00		1	0.09		0	0.00		0	0.00		0	0.00		430	38.19		1	0.09		1	0.09		135	11.99		4	0.36		0	0.00		11	0.98		0	0.00		1126	97.07		34	2.93		1160	1.48
Burraneer Bay		127	3.75		64	1.89		1	0.03		0	0.00		16	0.47		4	0.12		174	5.13		13	0.38		3	0.09		556	16.40		14	0.41		1	0.03		15	0.44		1	0.03		2	0.06		2	0.06		2270	66.96		9	0.27		2	0.06		106	3.13		0	0.00		0	0.00		10	0.29		0	0.00		3390	97.41		90	2.59		3480	4.43
Caringbah		187	5.49		70	2.05		2	0.06		0	0.00		22	0.65		2	0.06		209	6.13		18	0.53		5	0.15		790	23.19		13	0.38		0	0.00		22	0.65		0	0.00		0	0.00		2	0.06		1943	57.03		11	0.32		3	0.09		94	2.76		0	0.00		0	0.00		14	0.41		0	0.00		3407	96.71		116	3.29		3523	4.49
Caringbah Central		77	6.97		55	4.98		3	0.27		1	0.09		7	0.63		0	0.00		75	6.79		6	0.54		0	0.00		282	25.54		4	0.36		1	0.09		7	0.63		1	0.09		0	0.00		0	0.00		535	48.46		3	0.27		1	0.09		39	3.53		0	0.00		1	0.09		6	0.54		0	0.00		1104	96.76		37	3.24		1141	1.45
Caringbah North		174	6.39		69	2.53		3	0.11		0	0.00		27	0.99		1	0.04		163	5.98		23	0.84		3	0.11		771	28.29		12	0.44		3	0.11		21	0.77		2	0.07		0	0.00		2	0.07		1322	48.51		12	0.44		3	0.11		92	3.38		0	0.00		0	0.00		22	0.81		0	0.00		2725	96.29		105	3.71		2830	3.60
Caringbah West		116	5.97		47	2.42		2	0.10		1	0.05		16	0.82		2	0.10		83	4.27		12	0.62		5	0.26		506	26.04		5	0.26		1	0.05		5	0.26		1	0.05		1	0.05		1	0.05		1047	53.89		8	0.41		2	0.10		68	3.50		1	0.05		2	0.10		10	0.51		1	0.05		1943	97.20		56	2.80		1999	2.55
Cronulla		108	4.62		44	1.88		3	0.13		0	0.00		15	0.64		4	0.17		145	6.20		15	0.64		3	0.13		437	18.68		19	0.81		1	0.04		9	0.38		0	0.00		1	0.04		1	0.04		1413	60.41		5	0.21		2	0.09		96	4.10		0	0.00		2	0.09		16	0.68		0	0.00		2339	97.26		66	2.74		2405	3.06
Cronulla Central		109	5.66		49	2.55		2	0.10		0	0.00		21	1.09		1	0.05		104	5.40		12	0.62		2	0.10		456	23.69		6	0.31		1	0.05		12	0.62		0	0.00		2	0.10		4	0.21		1019	52.94		7	0.36		0	0.00		103	5.35		0	0.00		0	0.00		14	0.73		1	0.05		1925	97.03		59	2.97		1984	2.53
