Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Cunningham (81540)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Austinmer		31	3.07		11	1.09		0	0.00		0	0.00		3	0.30		5	0.50		135	13.38		11	1.09		1	0.10		321	31.81		2	0.20		2	0.20		6	0.59		0	0.00		1	0.10		2	0.20		288	28.54		1	0.10		2	0.20		180	17.84		3	0.30		1	0.10		3	0.30		0	0.00		1009	97.77		23	2.23		1032	1.33
Balgownie		36	2.83		24	1.89		2	0.16		0	0.00		18	1.42		1	0.08		145	11.41		10	0.79		5	0.39		425	33.44		9	0.71		1	0.08		7	0.55		0	0.00		0	0.00		1	0.08		510	40.13		7	0.55		3	0.24		63	4.96		0	0.00		1	0.08		3	0.24		0	0.00		1271	98.22		23	1.78		1294	1.66
Balgownie Central		85	3.48		37	1.51		0	0.00		0	0.00		48	1.96		5	0.20		191	7.81		16	0.65		5	0.20		974	39.82		20	0.82		1	0.04		21	0.86		1	0.04		4	0.16		1	0.04		887	36.26		12	0.49		1	0.04		123	5.03		0	0.00		3	0.12		10	0.41		1	0.04		2446	95.06		127	4.94		2573	3.31
Bellambi		87	6.59		26	1.97		0	0.00		0	0.00		56	4.24		1	0.08		83	6.28		28	2.12		1	0.08		713	53.97		12	0.91		1	0.08		16	1.21		2	0.15		1	0.08		4	0.30		210	15.90		9	0.68		0	0.00		56	4.24		0	0.00		1	0.08		13	0.98		1	0.08		1321	95.66		60	4.34		1381	1.77
Bulli		57	7.22		7	0.89		0	0.00		0	0.00		18	2.28		3	0.38		87	11.03		9	1.14		2	0.25		327	41.44		3	0.38		0	0.00		6	0.76		1	0.13		1	0.13		2	0.25		199	25.22		9	1.14		0	0.00		52	6.59		0	0.00		0	0.00		6	0.76		0	0.00		789	97.05		24	2.95		813	1.04
Bulli Central		152	6.18		41	1.67		0	0.00		0	0.00		38	1.54		3	0.12		253	10.28		33	1.34		0	0.00		1042	42.36		12	0.49		3	0.12		25	1.02		7	0.28		3	0.12		2	0.08		620	25.20		15	0.61		3	0.12		178	7.24		0	0.00		12	0.49		16	0.65		2	0.08		2460	96.09		100	3.91		2560	3.29
Bulli Hospital		9	6.25		2	1.39		0	0.00		0	0.00		1	0.69		0	0.00		24	16.67		1	0.69		0	0.00		56	38.89		0	0.00		0	0.00		1	0.69		0	0.00		0	0.00		2	1.39		42	29.17		0	0.00		0	0.00		6	4.17		0	0.00		0	0.00		0	0.00		0	0.00		144	98.63		2	1.37		146	0.19
Coalcliff		11	10.09		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		10	9.17		1	0.92		0	0.00		40	36.70		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		32	29.36		0	0.00		0	0.00		14	12.84		0	0.00		0	0.00		1	0.92		0	0.00		109	100.00		0	0.00		109	0.14
