Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Eden-Monaro (85815)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Adaminaby		27	8.13		9	2.71		1	0.30		0	0.00		6	1.81		0	0.00		16	4.82		2	0.60		2	0.60		70	21.08		0	0.00		3	0.90		2	0.60		0	0.00		0	0.00		0	0.00		179	53.92		2	0.60		0	0.00		12	3.61		0	0.00		0	0.00		1	0.30		0	0.00		332	96.51		12	3.49		344	0.42
Araluen		8	9.20		0	0.00		0	0.00		0	0.00		3	3.45		0	0.00		5	5.75		0	0.00		0	0.00		22	25.29		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		43	49.43		0	0.00		0	0.00		5	5.75		1	1.15		0	0.00		0	0.00		0	0.00		87	93.55		6	6.45		93	0.11
Batehaven		90	6.13		15	1.02		0	0.00		0	0.00		20	1.36		4	0.27		67	4.56		14	0.95		5	0.34		510	34.74		7	0.48		0	0.00		14	0.95		0	0.00		0	0.00		2	0.14		672	45.78		4	0.27		1	0.07		35	2.38		0	0.00		1	0.07		7	0.48		0	0.00		1468	96.07		60	3.93		1528	1.86
Batemans Bay		165	6.73		60	2.45		0	0.00		1	0.04		36	1.47		2	0.08		110	4.49		18	0.73		4	0.16		793	32.37		18	0.73		3	0.12		20	0.82		1	0.04		6	0.24		3	0.12		1104	45.06		9	0.37		5	0.20		76	3.10		1	0.04		2	0.08		10	0.41		3	0.12		2450	96.53		88	3.47		2538	3.09
Bega		139	7.24		22	1.15		0	0.00		1	0.05		33	1.72		8	0.42		99	5.16		25	1.30		2	0.10		540	28.14		23	1.20		0	0.00		14	0.73		0	0.00		3	0.16		2	0.10		880	45.86		18	0.94		0	0.00		100	5.21		0	0.00		0	0.00		9	0.47		1	0.05		1919	96.14		77	3.86		1996	2.43
Bega Central		78	6.40		10	0.82		1	0.08		0	0.00		19	1.56		9	0.74		67	5.50		17	1.39		4	0.33		358	29.37		8	0.66		0	0.00		5	0.41		0	0.00		0	0.00		1	0.08		575	47.17		7	0.57		3	0.25		49	4.02		0	0.00		0	0.00		7	0.57		1	0.08		1219	96.82		40	3.18		1259	1.53
Bemboka		22	5.49		3	0.75		1	0.25		0	0.00		7	1.75		0	0.00		20	4.99		4	1.00		0	0.00		86	21.45		3	0.75		0	0.00		2	0.50		0	0.00		0	0.00		0	0.00		210	52.37		4	1.00		1	0.25		33	8.23		0	0.00		0	0.00		4	1.00		1	0.25		401	96.86		13	3.14		414	0.50
Bermagui		120	8.68		16	1.16		2	0.14		1	0.07		20	1.45		9	0.65		69	4.99		17	1.23		5	0.36		464	33.55		4	0.29		2	0.14		9	0.65		1	0.07		0	0.00		2	0.14		525	37.96		3	0.22		1	0.07		105	7.59		0	0.00		0	0.00		8	0.58		0	0.00		1383	96.38		52	3.62		1435	1.75
