Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Fowler (82745)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Ashcroft		120	7.49		23	1.43		9	0.56		1	0.06		60	3.74		1	0.06		26	1.62		15	0.94		8	0.50		987	61.57		4	0.25		2	0.12		6	0.37		0	0.00		2	0.12		0	0.00		279	17.40		16	1.00		1	0.06		18	1.12		2	0.12		0	0.00		23	1.43		0	0.00		1603	97.57		40	2.43		1643	2.12
Bonnyrigg		42	2.03		10	0.48		59	2.85		5	0.24		100	4.83		2	0.10		43	2.08		16	0.77		11	0.53		1430	69.12		2	0.10		6	0.29		6	0.29		0	0.00		1	0.05		3	0.14		265	12.81		25	1.21		2	0.10		27	1.30		0	0.00		1	0.05		13	0.63		0	0.00		2069	92.24		174	7.76		2243	2.89
Bonnyrigg Heights		78	2.69		38	1.31		65	2.24		2	0.07		109	3.75		1	0.03		92	3.17		11	0.38		4	0.14		1749	60.23		6	0.21		1	0.03		8	0.28		0	0.00		3	0.10		1	0.03		667	22.97		14	0.48		6	0.21		38	1.31		0	0.00		0	0.00		10	0.34		1	0.03		2904	91.96		254	8.04		3158	4.07
Bonnyrigg High		39	3.34		13	1.11		48	4.11		2	0.17		61	5.22		1	0.09		41	3.51		9	0.77		0	0.00		738	63.13		7	0.60		1	0.09		8	0.68		1	0.09		5	0.43		1	0.09		165	14.11		7	0.60		3	0.26		12	1.03		0	0.00		1	0.09		6	0.51		0	0.00		1169	93.52		81	6.48		1250	1.61
Cabramatta		49	1.04		25	0.53		327	6.97		3	0.06		199	4.24		4	0.09		55	1.17		9	0.19		14	0.30		3411	72.70		13	0.28		6	0.13		8	0.17		1	0.02		2	0.04		4	0.09		464	9.89		48	1.02		4	0.09		37	0.79		0	0.00		2	0.04		7	0.15		0	0.00		4692	94.71		262	5.29		4954	6.38
Cabramatta East		67	2.52		23	0.86		135	5.08		2	0.08		111	4.17		3	0.11		44	1.65		13	0.49		11	0.41		1816	68.27		3	0.11		2	0.08		8	0.30		1	0.04		1	0.04		4	0.15		341	12.82		39	1.47		4	0.15		22	0.83		1	0.04		2	0.08		7	0.26		0	0.00		2660	92.14		227	7.86		2887	3.72
Cabramatta High		61	2.73		12	0.54		166	7.44		1	0.04		79	3.54		2	0.09		32	1.43		6	0.27		13	0.58		1472	65.95		4	0.18		4	0.18		11	0.49		0	0.00		0	0.00		1	0.04		315	14.11		24	1.08		1	0.04		18	0.81		0	0.00		1	0.04		9	0.40		0	0.00		2232	93.86		146	6.14		2378	3.06
Cabramatta West		68	3.87		17	0.97		95	5.41		1	0.06		93	5.30		3	0.17		46	2.62		7	0.40		3	0.17		985	56.09		7	0.40		4	0.23		7	0.40		0	0.00		0	0.00		0	0.00		349	19.87		20	1.14		7	0.40		29	1.65		1	0.06		0	0.00		14	0.80		0	0.00		1756	91.75		158	8.25		1914	2.46
