Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Gilmore (83909)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Avoca		10	4.72		4	1.89		0	0.00		0	0.00		0	0.00		0	0.00		15	7.08		3	1.42		0	0.00		24	11.32		1	0.47		0	0.00		2	0.94		0	0.00		1	0.47		1	0.47		139	65.57		0	0.00		0	0.00		11	5.19		0	0.00		1	0.47		0	0.00		0	0.00		212	98.60		3	1.40		215	0.27
Basin View		74	8.25		15	1.67		1	0.11		1	0.11		11	1.23		0	0.00		53	5.91		5	0.56		2	0.22		263	29.32		8	0.89		1	0.11		13	1.45		0	0.00		1	0.11		0	0.00		406	45.26		10	1.11		0	0.00		25	2.79		0	0.00		0	0.00		8	0.89		0	0.00		897	95.83		39	4.17		936	1.16
Bawley Point		59	10.67		5	0.90		0	0.00		1	0.18		4	0.72		0	0.00		30	5.42		4	0.72		1	0.18		183	33.09		1	0.18		0	0.00		3	0.54		0	0.00		0	0.00		0	0.00		223	40.33		0	0.00		0	0.00		36	6.51		0	0.00		0	0.00		2	0.36		1	0.18		553	98.40		9	1.60		562	0.70
Berry		74	3.79		28	1.43		5	0.26		0	0.00		15	0.77		5	0.26		210	10.75		12	0.61		2	0.10		323	16.53		10	0.51		0	0.00		9	0.46		0	0.00		2	0.10		1	0.05		1079	55.22		4	0.20		3	0.15		165	8.44		0	0.00		1	0.05		6	0.31		0	0.00		1954	97.26		55	2.74		2009	2.50
Bomaderry		200	7.04		92	3.24		4	0.14		1	0.04		34	1.20		2	0.07		155	5.46		29	1.02		6	0.21		638	22.47		19	0.67		2	0.07		31	1.09		0	0.00		4	0.14		0	0.00		1493	52.59		23	0.81		3	0.11		87	3.06		1	0.04		3	0.11		10	0.35		2	0.07		2839	97.13		84	2.87		2923	3.64
Bomaderry South		39	6.04		22	3.41		0	0.00		0	0.00		10	1.55		1	0.15		35	5.42		3	0.46		0	0.00		161	24.92		8	1.24		0	0.00		6	0.93		0	0.00		2	0.31		1	0.15		335	51.86		2	0.31		2	0.31		18	2.79		0	0.00		0	0.00		1	0.15		0	0.00		646	97.29		18	2.71		664	0.83
Bundanoon		55	4.98		24	2.17		1	0.09		3	0.27		7	0.63		2	0.18		104	9.42		8	0.72		4	0.36		247	22.37		1	0.09		0	0.00		4	0.36		1	0.09		1	0.09		1	0.09		518	46.92		1	0.09		2	0.18		109	9.87		0	0.00		2	0.18		8	0.72		1	0.09		1104	96.17		44	3.83		1148	1.43
Burrawang		12	3.44		11	3.15		1	0.29		0	0.00		2	0.57		1	0.29		32	9.17		0	0.00		0	0.00		46	13.18		2	0.57		1	0.29		1	0.29		0	0.00		0	0.00		0	0.00		212	60.74		0	0.00		0	0.00		26	7.45		0	0.00		0	0.00		1	0.29		1	0.29		349	97.76		8	2.24		357	0.44
