Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group																																																																																	
By Polling Place																																																																																	

Grayndler (86146)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Annandale		34	1.75		17	0.87		12	0.62		0	0.00		22	1.13		3	0.15		330	16.98		24	1.24		2	0.10		629	32.37		6	0.31		2	0.10		2	0.10		0	0.00		2	0.10		4	0.21		482	24.81		7	0.36		2	0.10		346	17.81		9	0.46		0	0.00		5	0.26		3	0.15		1943	97.44		51	2.56		1994	2.49
Annandale North (Grayndler)		28	2.01		9	0.65		6	0.43		0	0.00		4	0.29		1	0.07		213	15.28		18	1.29		2	0.14		465	33.36		4	0.29		0	0.00		2	0.14		0	0.00		0	0.00		3	0.22		379	27.19		6	0.43		3	0.22		248	17.79		0	0.00		1	0.07		2	0.14		0	0.00		1394	98.17		26	1.83		1420	1.77
Ashbury		53	2.46		32	1.48		20	0.93		1	0.05		29	1.34		1	0.05		138	6.39		9	0.42		7	0.32		898	41.61		12	0.56		1	0.05		13	0.60		1	0.05		4	0.19		2	0.09		781	36.19		16	0.74		3	0.14		129	5.98		3	0.14		1	0.05		3	0.14		1	0.05		2158	95.32		106	4.68		2264	2.83
Ashfield		56	2.78		26	1.29		63	3.12		1	0.05		36	1.78		0	0.00		124	6.14		11	0.55		1	0.05		1024	50.74		2	0.10		0	0.00		1	0.05		0	0.00		1	0.05		1	0.05		519	25.72		12	0.59		5	0.25		122	6.05		5	0.25		0	0.00		5	0.25		3	0.15		2018	94.83		110	5.17		2128	2.66
Ashfield East		30	2.49		15	1.24		22	1.82		1	0.08		25	2.07		0	0.00		89	7.38		10	0.83		5	0.41		501	41.54		0	0.00		1	0.08		2	0.17		1	0.08		1	0.08		0	0.00		383	31.76		4	0.33		2	0.17		101	8.37		7	0.58		2	0.17		4	0.33		0	0.00		1206	94.44		71	5.56		1277	1.59
Ashfield North (Grayndler)		28	3.02		16	1.73		19	2.05		1	0.11		19	2.05		0	0.00		72	7.77		5	0.54		0	0.00		410	44.23		2	0.22		1	0.11		3	0.32		0	0.00		1	0.11		0	0.00		261	28.16		5	0.54		0	0.00		75	8.09		6	0.65		0	0.00		1	0.11		2	0.22		927	94.50		54	5.50		981	1.23
Camdenville		23	1.97		6	0.51		4	0.34		0	0.00		18	1.54		3	0.26		162	13.88		18	1.54		2	0.17		470	40.27		3	0.26		2	0.17		6	0.51		2	0.17		2	0.17		3	0.26		213	18.25		3	0.26		1	0.09		217	18.59		3	0.26		1	0.09		1	0.09		4	0.34		1167	95.81		51	4.19		1218	1.52
Camperdown		12	2.80		1	0.23		4	0.93		0	0.00		3	0.70		2	0.47		64	14.92		2	0.47		1	0.23		156	36.36		1	0.23		2	0.47		2	0.47		1	0.23		1	0.23		0	0.00		86	20.05		1	0.23		0	0.00		89	20.75		1	0.23		0	0.00		0	0.00		0	0.00		429	97.28		12	2.72		441	0.55
