Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Greenway (85876)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Blacktown Central		10	4.72		5	2.36		2	0.94		0	0.00		5	2.36		0	0.00		6	2.83		3	1.42		2	0.94		104	49.06		1	0.47		0	0.00		2	0.94		0	0.00		0	0.00		0	0.00		66	31.13		2	0.94		1	0.47		2	0.94		0	0.00		0	0.00		1	0.47		0	0.00		212	95.93		9	4.07		221	0.27
Blacktown City		47	4.80		28	2.86		5	0.51		1	0.10		26	2.65		1	0.10		42	4.29		10	1.02		4	0.41		463	47.24		3	0.31		0	0.00		3	0.31		0	0.00		3	0.31		1	0.10		306	31.22		15	1.53		1	0.10		13	1.33		0	0.00		0	0.00		8	0.82		0	0.00		980	94.41		58	5.59		1038	1.27
Blacktown East		192	6.81		69	2.45		2	0.07		3	0.11		57	2.02		2	0.07		148	5.25		22	0.78		5	0.18		1133	40.19		13	0.46		4	0.14		28	0.99		2	0.07		2	0.07		4	0.14		1004	35.62		31	1.10		2	0.07		66	2.34		0	0.00		0	0.00		26	0.92		4	0.14		2819	95.88		121	4.12		2940	3.59
Blacktown Hospital		15	4.79		3	0.96		0	0.00		0	0.00		6	1.92		0	0.00		14	4.47		3	0.96		0	0.00		172	54.95		1	0.32		0	0.00		1	0.32		0	0.00		0	0.00		0	0.00		81	25.88		3	0.96		0	0.00		14	4.47		0	0.00		0	0.00		0	0.00		0	0.00		313	95.43		15	4.57		328	0.40
Blacktown North		90	6.53		82	5.95		2	0.15		3	0.22		29	2.10		2	0.15		30	2.18		11	0.80		4	0.29		603	43.73		5	0.36		2	0.15		7	0.51		1	0.07		3	0.22		1	0.07		457	33.14		10	0.73		1	0.07		26	1.89		0	0.00		2	0.15		5	0.36		3	0.22		1379	93.81		91	6.19		1470	1.80
Blacktown South		141	6.36		41	1.85		4	0.18		3	0.14		51	2.30		3	0.14		103	4.65		22	0.99		7	0.32		971	43.82		8	0.36		2	0.09		13	0.59		2	0.09		3	0.14		3	0.14		758	34.21		13	0.59		4	0.18		48	2.17		0	0.00		1	0.05		12	0.54		3	0.14		2216	93.78		147	6.22		2363	2.89
Blacktown West (Greenway)		95	7.56		36	2.87		1	0.08		3	0.24		29	2.31		0	0.00		57	4.54		14	1.11		1	0.08		550	43.79		7	0.56		0	0.00		8	0.64		0	0.00		1	0.08		3	0.24		402	32.01		10	0.80		3	0.24		27	2.15		0	0.00		0	0.00		9	0.72		0	0.00		1256	92.42		103	7.58		1359	1.66
Dean Park		47	3.19		28	1.90		6	0.41		1	0.07		36	2.44		0	0.00		35	2.37		9	0.61		4	0.27		857	58.10		7	0.47		0	0.00		15	1.02		0	0.00		1	0.07		0	0.00		377	25.56		17	1.15		3	0.20		20	1.36		1	0.07		0	0.00		11	0.75		0	0.00		1475	95.90		63	4.10		1538	1.88
