Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group																																																																																	
 By Polling Place																																																																																	

Gwydir (84602)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Aberdeen		123	10.88		9	0.80		1	0.09		4	0.35		39	3.45		1	0.09		36	3.19		15	1.33		3	0.27		416	36.81		21	1.86		1	0.09		24	2.12		0	0.00		0	0.00		0	0.00		411	36.37		8	0.71		0	0.00		10	0.88		0	0.00		1	0.09		6	0.53		1	0.09		1130	96.01		47	3.99		1177	1.46
Ashley		24	16.22		0	0.00		0	0.00		0	0.00		4	2.70		1	0.68		2	1.35		0	0.00		1	0.68		26	17.57		3	2.03		0	0.00		4	2.70		0	0.00		1	0.68		0	0.00		78	52.70		1	0.68		0	0.00		1	0.68		0	0.00		0	0.00		2	1.35		0	0.00		148	92.50		12	7.50		160	0.20
Baan Baa		26	18.57		0	0.00		0	0.00		2	1.43		1	0.71		0	0.00		1	0.71		2	1.43		0	0.00		14	10.00		3	2.14		0	0.00		2	1.43		0	0.00		0	0.00		0	0.00		89	63.57		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		140	99.29		1	0.71		141	0.17
Balladoran		34	34.69		2	2.04		0	0.00		0	0.00		1	1.02		0	0.00		0	0.00		0	0.00		0	0.00		11	11.22		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		49	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.02		98	98.99		1	1.01		99	0.12
Baradine		106	16.88		7	1.11		0	0.00		3	0.48		18	2.87		0	0.00		5	0.80		4	0.64		1	0.16		143	22.77		6	0.96		0	0.00		5	0.80		2	0.32		1	0.16		0	0.00		312	49.68		9	1.43		1	0.16		0	0.00		0	0.00		1	0.16		4	0.64		0	0.00		628	97.97		13	2.03		641	0.79
Bellata		40	17.62		5	2.20		0	0.00		0	0.00		0	0.00		0	0.00		3	1.32		2	0.88		0	0.00		20	8.81		6	2.64		0	0.00		3	1.32		0	0.00		0	0.00		0	0.00		144	63.44		2	0.88		1	0.44		1	0.44		0	0.00		0	0.00		0	0.00		0	0.00		227	96.19		9	3.81		236	0.29
Binnaway		96	20.82		4	0.87		1	0.22		3	0.65		11	2.39		0	0.00		7	1.52		12	2.60		2	0.43		160	34.71		3	0.65		0	0.00		5	1.08		0	0.00		1	0.22		0	0.00		147	31.89		2	0.43		0	0.00		5	1.08		0	0.00		0	0.00		2	0.43		0	0.00		461	96.24		18	3.76		479	0.59
Blackville		4	4.55		0	0.00		0	0.00		0	0.00		3	3.41		1	1.14		0	0.00		0	0.00		0	0.00		8	9.09		1	1.14		0	0.00		1	1.14		0	0.00		0	0.00		0	0.00		68	77.27		1	1.14		0	0.00		1	1.14		0	0.00		0	0.00		0	0.00		0	0.00		88	97.78		2	2.22		90	0.11
