Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Hume (85640)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Appin		94	9.96		15	1.59		3	0.32		0	0.00		20	2.12		0	0.00		52	5.51		8	0.85		1	0.11		254	26.91		6	0.64		0	0.00		8	0.85		0	0.00		0	0.00		0	0.00		439	46.50		9	0.95		0	0.00		19	2.01		0	0.00		0	0.00		16	1.69		0	0.00		944	97.32		26	2.68		970	1.18
Bargo		201	10.78		38	2.04		1	0.05		0	0.00		31	1.66		1	0.05		106	5.69		13	0.70		2	0.11		554	29.72		15	0.80		0	0.00		22	1.18		0	0.00		2	0.11		1	0.05		778	41.74		20	1.07		2	0.11		55	2.95		1	0.05		0	0.00		20	1.07		1	0.05		1864	96.53		67	3.47		1931	2.35
Bendick Murrell		16	10.26		5	3.21		0	0.00		0	0.00		7	4.49		0	0.00		5	3.21		3	1.92		0	0.00		29	18.59		2	1.28		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		85	54.49		1	0.64		0	0.00		3	1.92		0	0.00		0	0.00		0	0.00		0	0.00		156	98.73		2	1.27		158	0.19
Berrima		31	5.74		13	2.41		1	0.19		0	0.00		7	1.30		0	0.00		26	4.81		6	1.11		1	0.19		98	18.15		6	1.11		0	0.00		4	0.74		0	0.00		2	0.37		1	0.19		301	55.74		3	0.56		1	0.19		38	7.04		0	0.00		0	0.00		0	0.00		1	0.19		540	97.65		13	2.35		553	0.67
Bigga		30	17.05		0	0.00		0	0.00		0	0.00		1	0.57		0	0.00		4	2.27		2	1.14		1	0.57		30	17.05		2	1.14		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		101	57.39		2	1.14		0	0.00		1	0.57		0	0.00		0	0.00		2	1.14		0	0.00		176	96.70		6	3.30		182	0.22
Binalong		35	11.74		3	1.01		1	0.34		0	0.00		5	1.68		2	0.67		10	3.36		0	0.00		0	0.00		62	20.81		3	1.01		0	0.00		5	1.68		0	0.00		0	0.00		0	0.00		150	50.34		5	1.68		0	0.00		16	5.37		0	0.00		0	0.00		0	0.00		1	0.34		298	96.44		11	3.56		309	0.38
Binda		18	9.73		4	2.16		0	0.00		0	0.00		2	1.08		0	0.00		5	2.70		1	0.54		1	0.54		50	27.03		2	1.08		0	0.00		3	1.62		0	0.00		0	0.00		0	0.00		94	50.81		1	0.54		0	0.00		4	2.16		0	0.00		0	0.00		0	0.00		0	0.00		185	97.37		5	2.63		190	0.23
Bookham		16	13.11		5	4.10		1	0.82		0	0.00		1	0.82		0	0.00		3	2.46		0	0.00		0	0.00		15	12.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		78	63.93		0	0.00		0	0.00		3	2.46		0	0.00		0	0.00		0	0.00		0	0.00		122	96.83		4	3.17		126	0.15
