Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Hunter (84649)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Aberdare		115	10.59		20	1.84		2	0.18		1	0.09		33	3.04		0	0.00		50	4.60		14	1.29		2	0.18		601	55.34		6	0.55		0	0.00		11	1.01		0	0.00		2	0.18		1	0.09		186	17.13		6	0.55		0	0.00		32	2.95		0	0.00		2	0.18		2	0.18		0	0.00		1086	97.40		29	2.60		1115	1.37
Aberdare West		126	10.99		20	1.74		0	0.00		2	0.17		32	2.79		1	0.09		42	3.66		12	1.05		3	0.26		612	53.36		10	0.87		0	0.00		14	1.22		0	0.00		0	0.00		1	0.09		227	19.79		7	0.61		1	0.09		30	2.62		1	0.09		0	0.00		6	0.52		0	0.00		1147	96.79		38	3.21		1185	1.45
Abermain		128	10.40		28	2.27		0	0.00		0	0.00		34	2.76		0	0.00		37	3.01		14	1.14		4	0.32		705	57.27		16	1.30		0	0.00		19	1.54		0	0.00		1	0.08		1	0.08		178	14.46		11	0.89		0	0.00		44	3.57		0	0.00		0	0.00		11	0.89		0	0.00		1231	97.08		37	2.92		1268	1.55
Allandale Hospital		1	0.89		0	0.00		0	0.00		0	0.00		4	3.57		0	0.00		7	6.25		2	1.79		0	0.00		71	63.39		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		22	19.64		0	0.00		0	0.00		3	2.68		0	0.00		0	0.00		2	1.79		0	0.00		112	97.39		3	2.61		115	0.14
Ashtonfield		64	4.41		28	1.93		3	0.21		1	0.07		16	1.10		0	0.00		107	7.38		9	0.62		2	0.14		528	36.41		6	0.41		0	0.00		13	0.90		1	0.07		2	0.14		4	0.28		614	42.34		2	0.14		1	0.07		42	2.90		0	0.00		0	0.00		7	0.48		0	0.00		1450	97.77		33	2.23		1483	1.82
Bellbird		109	8.95		12	0.99		0	0.00		2	0.16		32	2.63		0	0.00		51	4.19		12	0.99		2	0.16		720	59.11		12	0.99		0	0.00		11	0.90		0	0.00		1	0.08		1	0.08		219	17.98		6	0.49		0	0.00		20	1.64		1	0.08		0	0.00		7	0.57		0	0.00		1218	97.60		30	2.40		1248	1.53
Black Hill		15	11.03		3	2.21		0	0.00		1	0.74		1	0.74		0	0.00		12	8.82		1	0.74		0	0.00		27	19.85		1	0.74		0	0.00		1	0.74		0	0.00		1	0.74		0	0.00		66	48.53		2	1.47		0	0.00		5	3.68		0	0.00		0	0.00		0	0.00		0	0.00		136	97.84		3	2.16		139	0.17
Bolwarra		56	5.62		20	2.01		1	0.10		3	0.30		5	0.50		2	0.20		63	6.32		7	0.70		1	0.10		229	22.97		4	0.40		0	0.00		10	1.00		0	0.00		1	0.10		0	0.00		543	54.46		3	0.30		2	0.20		44	4.41		1	0.10		0	0.00		2	0.20		0	0.00		997	97.75		23	2.25		1020	1.25
