Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Kingsford Smith (86647)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Ansett		1	5.56		0	0.00		0	0.00		0	0.00		1	5.56		0	0.00		1	5.56		0	0.00		0	0.00		7	38.89		0	0.00		1	5.56		0	0.00		0	0.00		0	0.00		0	0.00		5	27.78		0	0.00		0	0.00		2	11.11		0	0.00		0	0.00		0	0.00		0	0.00		18	100.00		0	0.00		18	0.02
Banksmeadow		85	6.66		8	0.63		1	0.08		2	0.16		25	1.96		2	0.16		38	2.98		13	1.02		3	0.24		658	51.57		9	0.71		0	0.00		12	0.94		2	0.16		2	0.16		2	0.16		346	27.12		6	0.47		5	0.39		41	3.21		0	0.00		3	0.24		13	1.02		0	0.00		1276	94.17		79	5.83		1355	1.66
Botany		117	5.77		19	0.94		7	0.34		0	0.00		49	2.41		1	0.05		85	4.19		13	0.64		3	0.15		995	49.04		10	0.49		2	0.10		26	1.28		0	0.00		2	0.10		2	0.10		580	28.59		15	0.74		2	0.10		86	4.24		0	0.00		0	0.00		12	0.59		3	0.15		2029	93.85		133	6.15		2162	2.64
Botany East		94	5.40		14	0.80		5	0.29		1	0.06		34	1.95		1	0.06		77	4.42		9	0.52		6	0.34		684	39.27		8	0.46		2	0.11		6	0.34		0	0.00		2	0.11		2	0.11		703	40.36		12	0.69		2	0.11		78	4.48		0	0.00		2	0.11		0	0.00		0	0.00		1742	96.24		68	3.76		1810	2.21
Bunnerong		138	5.30		31	1.19		19	0.73		1	0.04		72	2.76		0	0.00		118	4.53		17	0.65		13	0.50		1208	46.37		14	0.54		0	0.00		9	0.35		1	0.04		1	0.04		1	0.04		835	32.05		16	0.61		2	0.08		97	3.72		0	0.00		0	0.00		12	0.46		0	0.00		2605	93.47		182	6.53		2787	3.41
Chifley		111	6.01		31	1.68		17	0.92		2	0.11		33	1.79		2	0.11		65	3.52		20	1.08		5	0.27		850	46.00		4	0.22		0	0.00		12	0.65		0	0.00		1	0.05		5	0.27		583	31.55		11	0.60		7	0.38		69	3.73		0	0.00		0	0.00		20	1.08		0	0.00		1848	95.90		79	4.10		1927	2.35
Clovelly Beach (Kingsford Smith)		16	2.60		2	0.32		4	0.65		0	0.00		2	0.32		5	0.81		70	11.36		3	0.49		1	0.16		192	31.17		0	0.00		0	0.00		4	0.65		0	0.00		1	0.16		0	0.00		219	35.55		0	0.00		0	0.00		95	15.42		0	0.00		0	0.00		2	0.32		0	0.00		616	97.16		18	2.84		634	0.77
Clovelly North (Kingsford Smith)		14	3.21		3	0.69		1	0.23		0	0.00		1	0.23		0	0.00		42	9.63		4	0.92		3	0.69		132	30.28		1	0.23		0	0.00		3	0.69		0	0.00		0	0.00		2	0.46		187	42.89		1	0.23		2	0.46		38	8.72		0	0.00		0	0.00		2	0.46		0	0.00		436	96.25		17	3.75		453	0.55
